,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,BOSTON_ACTION,CHARLOTTE_SCORE,BOSTON_SCORE
0,1,11:47.0,,T. Zeller makes 2-pt jump shot from 17 ft (assist by M. Smart),0,2
1,1,11:24.0,G. Henderson misses 2-pt jump shot from 11 ft,,0,2
2,1,11:23.0,,Defensive rebound by T. Zeller,0,2
3,1,11:04.0,,B. Bass misses 2-pt jump shot from 13 ft,0,2
4,1,11:03.0,Defensive rebound by M. Kidd-Gilchrist,,0,2
5,1,10:46.0,A. Jefferson makes 2-pt layup from 2 ft,,2,2
6,1,10:32.0,,M. Smart makes 2-pt jump shot from 12 ft,2,4
7,1,10:08.0,A. Jefferson makes 2-pt hook shot from 4 ft,,4,4
8,1,9:47.0,,B. Bass makes 2-pt jump shot from 17 ft (assist by A. Bradley),4,6
9,1,9:28.0,M. Williams misses 2-pt jump shot from 20 ft,,4,6
10,1,9:27.0,,Defensive rebound by T. Zeller,4,6
11,1,9:21.0,,B. Bass misses 2-pt jump shot from 17 ft,4,6
12,1,9:20.0,Defensive rebound by M. Williams,,4,6
13,1,9:12.0,A. Jefferson misses 2-pt jump shot from 15 ft,,4,6
14,1,9:10.0,,Defensive rebound by B. Bass,4,6
15,1,8:56.0,,A. Bradley misses 2-pt jump shot from 3 ft,4,6
16,1,8:55.0,Defensive rebound by A. Jefferson,,4,6
17,1,8:47.0,C. Zeller makes 2-pt jump shot from 20 ft (assist by M. Kidd-Gilchrist),,6,6
18,1,8:31.0,,M. Smart makes 2-pt jump shot from 14 ft (assist by E. Turner),6,8
19,1,8:08.0,G. Henderson misses 2-pt jump shot from 4 ft (block by T. Zeller),,6,8
20,1,8:06.0,,Defensive rebound by E. Turner,6,8
21,1,8:00.0,,M. Smart makes 3-pt jump shot from 25 ft (assist by E. Turner),6,11
22,1,7:41.0,M. Williams makes 2-pt jump shot from 14 ft (assist by G. Henderson),,8,11
23,1,7:31.0,,E. Turner misses 2-pt jump shot from 15 ft,8,11
24,1,7:29.0,Defensive rebound by G. Henderson,,8,11
25,1,7:20.0,M. Kidd-Gilchrist misses 2-pt layup from 1 ft (block by T. Zeller),,8,11
26,1,7:18.0,,Defensive rebound by A. Bradley,8,11
27,1,7:06.0,,T. Zeller misses 2-pt jump shot from 3 ft (block by A. Jefferson),8,11
28,1,7:05.0,Defensive rebound by M. Kidd-Gilchrist,,8,11
29,1,7:01.0,Personal foul by M. Smart (drawn by M. Kidd-Gilchrist),,8,11
30,1,6:56.0,M. Williams misses 2-pt jump shot from 13 ft,,8,11
31,1,6:55.0,,Defensive rebound by Team,8,11
32,1,6:32.0,,A. Bradley misses 3-pt jump shot from 24 ft,8,11
33,1,6:31.0,Defensive rebound by C. Zeller,,8,11
34,1,6:14.0,M. Kidd-Gilchrist makes 2-pt jump shot from 18 ft,,10,11
35,1,5:59.0,,B. Bass makes 2-pt jump shot from 15 ft (assist by E. Turner),10,13
36,1,5:39.0,A. Jefferson makes 2-pt layup from 2 ft,,12,13
37,1,5:27.0,,T. Zeller misses 2-pt layup from 2 ft,12,13
38,1,5:25.0,Defensive rebound by M. Williams,,12,13
39,1,5:15.0,M. Kidd-Gilchrist misses 2-pt jump shot from 4 ft,,12,13
40,1,5:14.0,,Defensive rebound by T. Zeller,12,13
41,1,5:08.0,,M. Smart makes 3-pt jump shot from 25 ft (assist by T. Zeller),12,16
42,1,4:59.0,Charlotte full timeout,,12,16
43,1,4:59.0,,I. Thomas enters the game for A. Bradley,12,16
44,1,4:59.0,,J. Crowder enters the game for B. Bass,12,16
