,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:42.0,0,2,WAS,NYK,18,away,JS,,13,make2,2,C. Anthony,
1,1,11:18.0,0,2,WAS,NYK,24,home,JS,,27,miss3,0,M. Morris,
2,1,11:18.0,0,2,WAS,NYK,0,away,DefReb,,,DefReb,,C. Lee,
3,1,11:12.0,0,2,WAS,NYK,6,away,JS,,5,miss2,0,C. Lee,
4,1,11:11.0,0,2,WAS,NYK,1,away,OffReb,,,OffReb,,C. Lee,
5,1,11:11.0,0,4,WAS,NYK,0,away,LU,assist,0,make2,2,W. Hernangómez,C. Lee
6,1,10:56.0,0,4,WAS,NYK,15,home,JS,,26,miss3,0,B. Beal,
7,1,10:55.0,0,4,WAS,NYK,1,away,DefReb,,,DefReb,,C. Anthony,
8,1,10:43.0,0,4,WAS,NYK,12,away,JS,,14,miss2,0,B. Jennings,
9,1,10:42.0,0,4,WAS,NYK,1,away,OffReb,,,OffReb,,W. Hernangómez,
10,1,10:41.0,0,4,WAS,NYK,1,away,LU,,0,miss2,0,W. Hernangómez,
11,1,10:39.0,0,4,WAS,NYK,2,home,DefReb,,,DefReb,,Team,
12,1,10:17.0,0,4,WAS,NYK,22,home,JS,,13,miss2,0,J. Wall,
13,1,10:16.0,0,4,WAS,NYK,1,home,OffReb,,,OffReb,,M. Morris,
14,1,10:15.0,2,4,WAS,NYK,1,home,LU,,1,make2,2,M. Morris,
15,1,10:01.0,2,4,WAS,NYK,14,away,JS,,26,miss3,0,C. Lee,
16,1,10:00.0,2,4,WAS,NYK,1,home,DefReb,,,DefReb,,M. Morris,
17,1,9:50.0,2,4,WAS,NYK,10,home,JS,,26,miss3,0,B. Beal,
18,1,9:49.0,2,4,WAS,NYK,1,away,DefReb,,,DefReb,,C. Lee,
19,1,9:34.0,2,4,WAS,NYK,15,away,JS,,26,miss3,0,C. Lee,
20,1,9:33.0,2,4,WAS,NYK,1,away,OffReb,,,OffReb,,J. Noah,
21,1,9:29.0,2,6,WAS,NYK,4,away,LU,assist,2,make2,2,W. Hernangómez,J. Noah
22,1,9:09.0,4,6,WAS,NYK,20,home,LU,assist,0,make2,2,M. Gortat,J. Wall
23,1,8:55.0,4,9,WAS,NYK,14,away,JS,assist,27,make3,3,B. Jennings,W. Hernangómez
24,1,8:38.0,6,9,WAS,NYK,17,home,LU,assist,2,make2,2,M. Gortat,M. Morris
