,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:42.0,0,0,ATL,DET,18,home,bad pass,steal,,turnover,,M. Plumlee,A. Drummond
1,1,11:30.0,0,0,ATL,DET,12,away,LU,,4,miss2,0,A. Drummond,
2,1,11:29.0,0,0,ATL,DET,1,away,OffReb,,,OffReb,,A. Drummond,
3,1,11:18.0,0,3,ATL,DET,11,away,JS,assist,24,make3,3,R. Bullock,R. Jackson
4,1,11:00.0,2,3,ATL,DET,18,home,LU,assist,1,make2,2,E. İlyasova,T. Prince
5,1,10:43.0,2,3,ATL,DET,17,away,LU,block,0,miss2,0,R. Jackson,K. Bazemore
6,1,10:43.0,2,3,ATL,DET,0,away,OffReb,,,OffReb,,Team,
7,1,10:36.0,2,3,ATL,DET,7,away,LU,,3,miss2,0,R. Bullock,
8,1,10:27.0,2,3,ATL,DET,9,home,DefReb,,,DefReb,,M. Plumlee,
9,1,10:25.0,2,3,ATL,DET,2,home,JS,,11,miss2,0,E. İlyasova,
10,1,10:22.0,2,3,ATL,DET,3,away,DefReb,,,DefReb,,A. Drummond,
11,1,10:17.0,2,5,ATL,DET,5,away,JS,,10,make2,2,R. Jackson,
12,1,9:59.0,5,5,ATL,DET,18,home,JS,assist,23,make3,3,K. Bazemore,T. Prince
13,1,9:39.0,5,5,ATL,DET,20,away,JS,,11,miss2,0,A. Bradley,
14,1,9:36.0,5,5,ATL,DET,3,home,DefReb,,,DefReb,,D. Schröder,
15,1,9:33.0,5,5,ATL,DET,3,home,PersonalBlockFoul,DrawnBy,,PersonalBlockingFoul,,R. Jackson,D. Schröder
16,1,9:26.0,5,5,ATL,DET,7,home,JS,block,4,miss2,0,K. Bazemore,A. Drummond
17,1,9:26.0,5,5,ATL,DET,0,away,DefReb,,,DefReb,,A. Drummond,
18,1,9:26.0,5,5,ATL,DET,0,away,OutOfBounds,,,turnover,,A. Drummond,
19,1,9:21.0,8,5,ATL,DET,5,home,JS,assist,24,make3,3,T. Prince,D. Schröder
20,1,9:04.0,8,7,ATL,DET,17,away,JS,assist,18,make2,2,A. Bradley,R. Jackson
21,1,8:49.0,10,7,ATL,DET,15,home,JS,assist,9,make2,2,E. İlyasova,D. Schröder
22,1,8:37.0,10,9,ATL,DET,12,away,LU,assist,1,make2,2,R. Bullock,A. Drummond
23,1,8:14.0,13,9,ATL,DET,23,home,JS,assist,23,make3,3,E. İlyasova,D. Schröder
24,1,7:55.0,13,9,ATL,DET,19,away,JS,,10,miss2,0,R. Jackson,
25,1,7:53.0,13,9,ATL,DET,2,home,DefReb,,,DefReb,,K. Bazemore,
26,1,7:44.0,15,9,ATL,DET,9,home,JS,assist,13,make2,2,E. İlyasova,M. Plumlee
27,1,7:38.0,15,9,ATL,DET,6,away,Timeout,,,,,,
28,1,7:38.0,15,9,ATL,DET,0,home,Sub,,,,,J. Collins,M. Plumlee
29,1,7:24.0,15,11,ATL,DET,14,away,JS,,15,make2,2,R. Jackson,
30,1,7:10.0,15,11,ATL,DET,14,home,JS,,25,miss3,0,K. Bazemore,
31,1,7:04.0,15,11,ATL,DET,6,away,DefReb,,,DefReb,,T. Harris,
32,1,7:00.0,15,11,ATL,DET,4,away,BadPass,,,turnover,,T. Harris,
33,1,6:41.0,18,11,ATL,DET,19,home,JS,assist,25,make3,3,E. İlyasova,J. Collins
34,1,6:26.0,18,13,ATL,DET,15,away,JS,,19,make2,2,T. Harris,
35,1,6:12.0,20,13,ATL,DET,14,home,LU,assist,2,make2,2,J. Collins,K. Bazemore
36,1,6:12.0,20,13,ATL,DET,0,home,ShootingFoul,DrawnBy,,ShootingFoul,,A. Drummond,J. Collins
37,1,6:12.0,20,13,ATL,DET,0,home,FreeThrow,,,make1,0,J. Collins,
38,1,6:12.0,20,13,ATL,DET,0,away,Sub,,,,,I. Smith,R. Jackson
