,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:45.0,0,0,ORL,OKC,15,away,JS,,4,miss2,0,T. Gibson,
1,1,11:44.0,0,0,ORL,OKC,1,home,DefReb,,,DefReb,,E. Fournier,
2,1,11:21.0,0,0,ORL,OKC,23,home,LU,,2,miss2,0,E. Payton,
3,1,11:20.0,0,0,ORL,OKC,1,away,DefReb,,,DefReb,,T. Gibson,
4,1,11:11.0,0,2,ORL,OKC,9,away,LU,assist,3,make2,2,V. Oladipo,R. Westbrook
5,1,10:59.0,0,2,ORL,OKC,12,home,HS,,10,miss2,0,A. Gordon,
6,1,10:58.0,0,2,ORL,OKC,1,away,DefReb,,,DefReb,,R. Westbrook,
7,1,10:53.0,0,2,ORL,OKC,5,away,bad pass,steal,,turnover,,R. Westbrook,N. Vučević
8,1,10:40.0,0,2,ORL,OKC,13,home,JS,,17,miss2,0,N. Vučević,
9,1,10:39.0,0,2,ORL,OKC,1,away,DefReb,,,DefReb,,T. Gibson,
10,1,10:22.0,0,2,ORL,OKC,17,away,HS,,10,miss2,0,S. Adams,
11,1,10:21.0,0,2,ORL,OKC,1,home,DefReb,,,DefReb,,N. Vučević,
12,1,10:06.0,0,2,ORL,OKC,15,home,JS,,6,miss2,0,E. Fournier,
13,1,10:05.0,0,2,ORL,OKC,1,away,DefReb,,,DefReb,,S. Adams,
14,1,9:50.0,0,2,ORL,OKC,15,away,JS,block,14,miss2,0,V. Oladipo,T. Ross
15,1,9:48.0,0,2,ORL,OKC,2,home,DefReb,,,DefReb,,N. Vučević,
16,1,9:42.0,0,2,ORL,OKC,6,home,JS,block,8,miss2,0,N. Vučević,S. Adams
17,1,9:40.0,0,2,ORL,OKC,2,away,DefReb,,,DefReb,,S. Adams,
18,1,9:32.0,0,2,ORL,OKC,8,away,JS,block,7,miss2,0,S. Adams,N. Vučević
19,1,9:30.0,0,2,ORL,OKC,2,home,DefReb,,,DefReb,,E. Payton,
20,1,9:26.0,0,2,ORL,OKC,4,home,LU,block,3,miss2,0,E. Payton,A. Roberson
21,1,9:23.0,0,2,ORL,OKC,3,away,DefReb,,,DefReb,,V. Oladipo,
22,1,9:13.0,0,4,ORL,OKC,10,away,LU,,2,make2,2,T. Gibson,
23,1,8:48.0,2,4,ORL,OKC,25,home,LU,,2,make2,2,E. Fournier,
24,1,8:33.0,2,6,ORL,OKC,15,away,JS,assist,18,make2,2,V. Oladipo,R. Westbrook
25,1,8:28.0,2,6,ORL,OKC,5,home,bad pass,steal,,turnover,,E. Payton,T. Gibson
26,1,8:21.0,2,8,ORL,OKC,7,away,LU,,2,make2,2,R. Westbrook,
27,1,8:07.0,2,8,ORL,OKC,14,home,lost ball,steal,,turnover,,E. Fournier,R. Westbrook
28,1,8:01.0,2,10,ORL,OKC,6,away,DK,assist,0,make2,2,R. Westbrook,V. Oladipo
29,1,7:53.0,2,10,ORL,OKC,8,home,Timeout,,,,,,
30,1,7:43.0,2,10,ORL,OKC,10,home,lost ball,steal,,turnover,,T. Ross,V. Oladipo
31,1,7:33.0,2,10,ORL,OKC,10,away,bad pass,steal,,turnover,,R. Westbrook,T. Ross
32,1,7:21.0,2,10,ORL,OKC,12,home,JS,,19,miss2,0,A. Gordon,
33,1,7:20.0,2,10,ORL,OKC,1,away,DefReb,,,DefReb,,R. Westbrook,
34,1,7:15.0,2,10,ORL,OKC,5,away,bad pass,steal,,turnover,,R. Westbrook,A. Gordon
35,1,7:10.0,4,10,ORL,OKC,5,home,LU,assist,2,make2,2,E. Fournier,E. Payton
36,1,6:54.0,4,10,ORL,OKC,16,away,JS,,25,miss3,0,V. Oladipo,
37,1,6:52.0,4,10,ORL,OKC,2,away,OffReb,,,OffReb,,R. Westbrook,
38,1,6:49.0,4,12,ORL,OKC,3,away,LU,,3,make2,2,R. Westbrook,
39,1,6:36.0,4,12,ORL,OKC,13,home,JS,,20,miss2,0,E. Fournier,
40,1,6:35.0,4,12,ORL,OKC,1,away,DefReb,,,DefReb,,Team,
41,1,6:22.0,4,12,ORL,OKC,13,away,bad pass,steal,,turnover,,R. Westbrook,A. Gordon
42,1,6:14.0,4,12,ORL,OKC,8,home,JS,,20,miss2,0,N. Vučević,
43,1,6:13.0,4,12,ORL,OKC,1,away,DefReb,,,DefReb,,T. Gibson,
44,1,6:06.0,4,12,ORL,OKC,7,away,Timeout,,,,,,
45,1,5:57.0,4,12,ORL,OKC,9,away,bad pass,steal,,turnover,,R. Westbrook,A. Gordon
46,1,5:50.0,7,12,ORL,OKC,7,home,JS,assist,24,make3,3,E. Fournier,T. Ross
47,1,5:40.0,7,12,ORL,OKC,10,away,ShootingFoul,DrawnBy,,ShootingFoul,,E. Payton,R. Westbrook
48,1,5:40.0,7,12,ORL,OKC,0,away,FreeThrow,,,make1,0,R. Westbrook,
49,1,5:40.0,7,12,ORL,OKC,0,away,OffReb,,,OffReb,,Team,
50,1,5:40.0,7,12,ORL,OKC,0,away,Sub,,,,,Á. Abrines,V. Oladipo
51,1,5:40.0,7,13,ORL,OKC,0,away,FreeThrow,,,make1,1,R. Westbrook,
52,1,5:28.0,9,13,ORL,OKC,12,home,JS,,8,make2,2,E. Payton,
53,1,5:06.0,9,13,ORL,OKC,22,away,JS,,26,miss3,0,Á. Abrines,
54,1,5:06.0,9,13,ORL,OKC,0,away,OffReb,,,OffReb,,Team,
55,1,5:06.0,9,13,ORL,OKC,0,home,LooseBallFoul,DrawnBy,,LooseBallFoul,,N. Vučević,S. Adams
56,1,4:46.0,9,13,ORL,OKC,20,away,LU,,1,miss2,0,A. Roberson,
