,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:52.0,0,0,PHI,LAC,8,away,Traveling,,,turnover,,P. Beverley,
1,1,11:43.0,0,0,PHI,LAC,9,home,PersonalFoul,DrawnBy,,PersonalFoul,,T. Harris,B. Simmons
2,1,11:28.0,2,0,PHI,LAC,15,home,JS,,11,make2,2,J. Embiid,
3,1,11:09.0,2,0,PHI,LAC,19,away,bad pass,steal,,turnover,,A. Bradley,M. Fultz
4,1,11:00.0,4,0,PHI,LAC,9,home,JS,assist,9,make2,2,B. Simmons,R. Covington
5,1,10:40.0,4,0,PHI,LAC,20,away,ShootingFoul,DrawnBy,,ShootingFoul,,J. Embiid,D. Gallinari
6,1,10:40.0,4,1,PHI,LAC,0,away,FreeThrow,,,make1,1,D. Gallinari,
7,1,10:40.0,4,2,PHI,LAC,0,away,FreeThrow,,,make1,1,D. Gallinari,
8,1,10:28.0,4,2,PHI,LAC,12,home,LU,,3,miss2,0,J. Embiid,
9,1,10:25.0,4,2,PHI,LAC,3,home,OffReb,,,OffReb,,D. Šarić,
10,1,10:20.0,4,2,PHI,LAC,5,home,JS,,12,miss2,0,B. Simmons,
11,1,10:18.0,4,2,PHI,LAC,2,away,DefReb,,,DefReb,,D. Gallinari,
12,1,10:10.0,4,2,PHI,LAC,8,away,JS,,6,miss2,0,T. Harris,
13,1,10:08.0,4,2,PHI,LAC,2,home,DefReb,,,DefReb,,J. Embiid,
14,1,9:46.0,4,2,PHI,LAC,22,home,JS,,8,miss2,0,J. Embiid,
15,1,9:45.0,4,2,PHI,LAC,1,home,OffReb,,,OffReb,,Team,
16,1,9:45.0,4,2,PHI,LAC,0,away,LooseBallFoul,DrawnBy,,LooseBallFoul,,P. Beverley,R. Covington
17,1,9:45.0,4,2,PHI,LAC,0,home,OffensiveFoul,,,turnover,,R. Covington,
18,1,9:45.0,4,2,PHI,LAC,0,home,OffensiveFoul,DrawnBy,,OffensiveFoul,,R. Covington,P. Beverley
19,1,9:29.0,4,4,PHI,LAC,16,away,JS,assist,20,make2,2,A. Bradley,M. Gortat
20,1,9:14.0,4,4,PHI,LAC,15,home,JS,,17,miss2,0,M. Fultz,
21,1,9:12.0,4,4,PHI,LAC,2,home,OffReb,,,OffReb,,B. Simmons,
22,1,9:10.0,7,4,PHI,LAC,2,home,JS,assist,27,make3,3,R. Covington,B. Simmons
23,1,8:51.0,7,4,PHI,LAC,19,away,JS,,26,miss3,0,D. Gallinari,
24,1,8:48.0,7,4,PHI,LAC,3,home,DefReb,,,DefReb,,M. Fultz,
25,1,8:39.0,10,4,PHI,LAC,9,home,JS,assist,26,make3,3,J. Embiid,B. Simmons
26,1,8:38.0,10,4,PHI,LAC,1,away,Timeout,,,,,,
27,1,8:18.0,10,4,PHI,LAC,20,away,bad pass,steal,,turnover,,A. Bradley,B. Simmons
28,1,8:09.0,10,4,PHI,LAC,9,home,JS,,26,miss3,0,D. Šarić,
29,1,8:05.0,10,4,PHI,LAC,4,home,OffReb,,,OffReb,,M. Fultz,
30,1,8:03.0,10,4,PHI,LAC,2,home,LU,block,3,miss2,0,M. Fultz,M. Gortat
31,1,8:00.0,10,4,PHI,LAC,3,away,DefReb,,,DefReb,,T. Harris,
32,1,7:54.0,10,6,PHI,LAC,6,away,JS,,7,make2,2,T. Harris,
33,1,7:32.0,12,6,PHI,LAC,22,home,HS,,10,make2,2,J. Embiid,
34,1,7:18.0,12,6,PHI,LAC,14,away,LU,block,5,miss2,0,P. Beverley,R. Covington
35,1,7:17.0,12,6,PHI,LAC,1,away,OffReb,,,OffReb,,Team,
36,1,7:17.0,12,6,PHI,LAC,0,home,Sub,,,,,A. Johnson,J. Embiid
37,1,7:17.0,12,6,PHI,LAC,0,home,Sub,,,,,J. Redick,M. Fultz
38,1,7:07.0,12,6,PHI,LAC,10,away,ShootingFoul,DrawnBy,,ShootingFoul,,R. Covington,D. Gallinari
39,1,7:07.0,12,7,PHI,LAC,0,away,FreeThrow,,,make1,1,D. Gallinari,
40,1,7:07.0,12,7,PHI,LAC,0,away,Sub,,,,,M. Harrell,M. Gortat
41,1,7:07.0,12,8,PHI,LAC,0,away,FreeThrow,,,make1,1,D. Gallinari,
42,1,7:07.0,12,8,PHI,LAC,0,home,Sub,,,,,L. Shamet,R. Covington
43,1,6:47.0,12,8,PHI,LAC,20,home,OffensiveFoul,,,turnover,,A. Johnson,
44,1,6:47.0,12,8,PHI,LAC,0,home,OffensiveFoul,DrawnBy,,OffensiveFoul,,A. Johnson,A. Bradley
45,1,6:35.0,12,8,PHI,LAC,12,away,D3SecTech,,,,,,
46,1,6:35.0,12,9,PHI,LAC,0,away,FreeThrow,,,make1,1,D. Gallinari makes technical free throw,
47,1,6:31.0,12,9,PHI,LAC,4,away,PersonalFoul,DrawnBy,,PersonalFoul,,D. Šarić,M. Harrell
48,1,6:31.0,12,9,PHI,LAC,0,home,Sub,,,,,M. Muscala,D. Šarić
