,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:32.0,0,0,OKC,UTA,28,home,JS,,18,miss2,0,S. Adams,
1,1,11:31.0,0,0,OKC,UTA,1,away,DefReb,,,DefReb,,G. Hayward,
2,1,11:08.0,0,0,OKC,UTA,23,away,bad pass,steal,,turnover,,G. Hill,S. Adams
3,1,11:03.0,0,0,OKC,UTA,5,home,LU,,3,miss2,0,R. Westbrook,
4,1,11:02.0,0,0,OKC,UTA,1,away,DefReb,,,DefReb,,J. Withey,
5,1,10:41.0,0,0,OKC,UTA,21,away,JS,,15,miss2,0,J. Johnson,
6,1,10:41.0,0,0,OKC,UTA,0,home,DefReb,,,DefReb,,A. Roberson,
7,1,10:33.0,2,0,OKC,UTA,8,home,LU,assist,2,make2,2,S. Adams,R. Westbrook
8,1,10:09.0,2,0,OKC,UTA,24,away,JS,,13,miss2,0,G. Hayward,
9,1,10:08.0,2,0,OKC,UTA,1,home,DefReb,,,DefReb,,R. Westbrook,
10,1,10:05.0,2,0,OKC,UTA,3,home,bad pass,steal,,turnover,,R. Westbrook,G. Hayward
11,1,9:49.0,2,2,OKC,UTA,16,away,JS,,12,make2,2,R. Hood,
12,1,9:27.0,4,2,OKC,UTA,22,home,JS,assist,8,make2,2,S. Adams,R. Westbrook
13,1,9:14.0,4,2,OKC,UTA,13,away,JS,,8,miss2,0,G. Hill,
14,1,9:13.0,4,2,OKC,UTA,1,home,DefReb,,,DefReb,,S. Adams,
15,1,9:06.0,6,2,OKC,UTA,7,home,LU,assist,2,make2,2,T. Gibson,R. Westbrook
16,1,8:41.0,6,4,OKC,UTA,25,away,LU,,1,make2,2,J. Johnson,
17,1,8:18.0,9,4,OKC,UTA,23,home,JS,assist,25,make3,3,V. Oladipo,R. Westbrook
18,1,8:03.0,9,4,OKC,UTA,15,away,OffensiveFoul,DrawnBy,,OffensiveFoul,,G. Hayward,A. Roberson
19,1,8:03.0,9,4,OKC,UTA,0,away,OffensiveFoul,,,turnover,,G. Hayward,
20,1,8:03.0,9,4,OKC,UTA,0,away,Sub,,,,,B. Diaw,J. Withey
21,1,7:43.0,9,4,OKC,UTA,20,home,JS,,25,miss3,0,V. Oladipo,
22,1,7:42.0,9,4,OKC,UTA,1,away,DefReb,,,DefReb,,J. Johnson,
23,1,7:37.0,9,4,OKC,UTA,5,away,PersonalFoul,DrawnBy,,PersonalFoul,,S. Adams,G. Hill
24,1,7:37.0,9,4,OKC,UTA,0,away,Sub,,,,,J. Withey,B. Diaw
25,1,7:24.0,9,4,OKC,UTA,13,away,JS,,23,miss2,0,G. Hill,
26,1,7:24.0,9,4,OKC,UTA,0,home,DefReb,,,DefReb,,R. Westbrook,
