,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:40.0,0,0,OKC,HOU,20,away,LU,,2,miss2,0,D. Motiejūnas,
1,1,11:40.0,0,0,OKC,HOU,0,away,OffReb,,,OffReb,,D. Motiejūnas,
2,1,11:36.0,0,3,OKC,HOU,4,away,JS,assist,24,make3,3,P. Beverley,D. Motiejūnas
3,1,11:17.0,2,3,OKC,HOU,19,home,JS,assist,17,make2,2,S. Ibaka,K. Durant
4,1,10:53.0,2,3,OKC,HOU,24,away,HS,,3,miss2,0,D. Howard,
5,1,10:53.0,2,3,OKC,HOU,0,home,DefReb,,,DefReb,,R. Westbrook,
6,1,10:49.0,2,3,OKC,HOU,4,home,LostBall,,,turnover,,R. Westbrook,
7,1,10:39.0,2,3,OKC,HOU,10,away,JS,,24,miss3,0,T. Ariza,
8,1,10:38.0,2,3,OKC,HOU,1,home,DefReb,,,DefReb,,R. Westbrook,
9,1,10:25.0,2,3,OKC,HOU,13,home,JS,,11,miss2,0,S. Ibaka,
10,1,10:25.0,2,3,OKC,HOU,0,away,DefReb,,,DefReb,,J. Harden,
11,1,10:13.0,2,3,OKC,HOU,12,away,LU,block,1,miss2,0,T. Ariza,S. Adams
12,1,10:12.0,2,3,OKC,HOU,1,home,DefReb,,,DefReb,,A. Roberson,
13,1,10:06.0,2,3,OKC,HOU,6,home,JS,,3,miss2,0,K. Durant,
14,1,10:05.0,2,3,OKC,HOU,1,home,OffReb,,,OffReb,,K. Durant,
15,1,10:02.0,4,3,OKC,HOU,3,home,JS,,4,make2,2,K. Durant,
16,1,9:40.0,4,5,OKC,HOU,22,away,DK,assist,0,make2,2,D. Howard,J. Harden
17,1,9:22.0,4,5,OKC,HOU,18,home,PersonalFoul,,,,,J. Harden,
18,1,9:05.0,4,5,OKC,HOU,17,home,JS,,23,miss3,0,R. Westbrook,
19,1,9:05.0,4,5,OKC,HOU,0,away,DefReb,,,DefReb,,J. Harden,
20,1,8:59.0,4,5,OKC,HOU,6,away,JS,,24,miss3,0,J. Harden,
21,1,8:58.0,4,5,OKC,HOU,1,home,DefReb,,,DefReb,,R. Westbrook,
22,1,8:46.0,6,5,OKC,HOU,12,home,LU,assist,0,make2,2,S. Adams,R. Westbrook
23,1,8:31.0,6,7,OKC,HOU,15,away,HS,assist,4,make2,2,D. Motiejūnas,D. Howard
24,1,8:21.0,6,7,OKC,HOU,10,home,BadPass,steal,,turnover,,R. Westbrook,T. Ariza
25,1,8:18.0,6,7,OKC,HOU,3,away,PersonalFoul,,,,,R. Westbrook,
26,1,8:09.0,6,9,OKC,HOU,9,away,JS,assist,14,make2,2,J. Harden,T. Ariza
27,1,7:48.0,9,9,OKC,HOU,21,home,JS,assist,24,make3,3,S. Ibaka,R. Westbrook
28,1,7:28.0,9,12,OKC,HOU,20,away,JS,assist,23,make3,3,P. Beverley,J. Harden
29,1,7:20.0,11,12,OKC,HOU,8,home,DK,,0,make2,2,S. Ibaka,
30,1,7:07.0,11,14,OKC,HOU,13,away,LU,assist,1,make2,2,D. Motiejūnas,J. Harden
31,1,6:56.0,11,14,OKC,HOU,11,home,BadPass,steal,,turnover,,K. Durant,T. Ariza
32,1,6:52.0,11,14,OKC,HOU,4,away,LostBall,,,turnover,,D. Motiejūnas,
33,1,6:52.0,11,14,OKC,HOU,0,away,Sub,,,,,M. Beasley,D. Motiejūnas
34,1,6:43.0,13,14,OKC,HOU,9,home,JS,,5,make2,2,R. Westbrook,
35,1,6:43.0,13,14,OKC,HOU,0,home,ShootingFoul,DrawnBy,,ShootingFoul,,P. Beverley,R. Westbrook
36,1,6:43.0,14,14,OKC,HOU,0,home,FreeThrow,,,make1,1,R. Westbrook,
37,1,6:30.0,14,16,OKC,HOU,13,away,DK,assist,0,make2,2,D. Howard,J. Harden
38,1,6:09.0,14,16,OKC,HOU,21,home,LostBall,steal,,turnover,,K. Durant,P. Beverley
39,1,6:04.0,14,18,OKC,HOU,5,away,LU,,0,make2,2,P. Beverley,
40,1,5:53.0,14,18,OKC,HOU,11,home,PersonalFoul,,,,,P. Beverley,
41,1,5:53.0,14,18,OKC,HOU,0,home,Timeout,,,,,,
42,1,5:53.0,14,18,OKC,HOU,0,away,Sub,,,,,C. Capela,D. Howard
43,1,5:53.0,14,18,OKC,HOU,0,away,Sub,,,,,C. Brewer,P. Beverley
44,1,5:45.0,14,18,OKC,HOU,8,home,JS,,24,miss3,0,R. Westbrook,
