,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:43.0,0,3,PHO,OKC,17,away,JS,assist,25,make3,3,P. George,R. Westbrook
1,1,11:20.0,0,3,PHO,OKC,23,home,JS,,21,miss2,0,T. Ulis,
2,1,11:16.0,0,3,PHO,OKC,4,home,OffReb,,,OffReb,,T. Chandler,
3,1,11:16.0,2,3,PHO,OKC,0,home,DK,,0,make2,2,T. Chandler,
4,1,11:01.0,2,5,PHO,OKC,15,away,HS,assist,4,make2,2,S. Adams,R. Westbrook
5,1,10:52.0,2,5,PHO,OKC,9,home,bad pass,steal,,turnover,,D. Booker,T. Ferguson
6,1,10:48.0,2,5,PHO,OKC,4,away,DK,,1,miss2,0,T. Ferguson,
7,1,10:47.0,2,5,PHO,OKC,1,away,OffReb,,,OffReb,,R. Westbrook,
8,1,10:45.0,2,5,PHO,OKC,2,away,lost ball,steal,,turnover,,R. Westbrook,T. Ulis
9,1,10:39.0,2,5,PHO,OKC,6,home,JS,,25,miss3,0,M. Chriss,
10,1,10:35.0,2,5,PHO,OKC,4,away,DefReb,,,DefReb,,P. George,
11,1,10:34.0,2,5,PHO,OKC,1,away,bad pass,steal,,turnover,,P. George,M. Chriss
12,1,10:20.0,2,5,PHO,OKC,14,home,JS,,15,miss2,0,D. Booker,
13,1,10:15.0,2,5,PHO,OKC,5,away,DefReb,,,DefReb,,R. Westbrook,
14,1,10:09.0,2,7,PHO,OKC,6,away,DK,assist,1,make2,2,S. Adams,R. Westbrook
15,1,9:47.0,4,7,PHO,OKC,22,home,DK,assist,0,make2,2,T. Warren,M. Chriss
16,1,9:44.0,4,7,PHO,OKC,3,away,BadPass,,,turnover,,P. George,
17,1,9:38.0,4,7,PHO,OKC,6,home,JS,,26,miss3,0,T. Ulis,
18,1,9:35.0,4,7,PHO,OKC,3,away,DefReb,,,DefReb,,R. Westbrook,
19,1,9:31.0,4,9,PHO,OKC,4,away,JS,,12,make2,2,C. Anthony,
20,1,9:18.0,4,9,PHO,OKC,13,home,JS,,7,miss2,0,D. Booker,
21,1,9:17.0,4,9,PHO,OKC,1,home,OffReb,,,OffReb,,T. Chandler,
22,1,9:17.0,6,9,PHO,OKC,0,home,DK,,9,make2,2,T. Chandler,
23,1,9:08.0,6,9,PHO,OKC,9,away,Timeout,,,,,,
24,1,8:59.0,6,11,PHO,OKC,9,away,JS,,19,make2,2,P. George,
