,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:34.0,0,3,DEN,LAC,26,away,JS,assist,25,make3,3,C. Paul,B. Griffin
1,1,11:12.0,0,3,DEN,LAC,22,home,LostBall,,,turnover,,J. Nelson,
2,1,10:56.0,0,6,DEN,LAC,16,away,JS,assist,26,make3,3,M. Barnes,J. Redick
3,1,10:31.0,0,6,DEN,LAC,25,home,ShotClockViolation,,,turnover,,Team,
4,1,10:19.0,0,8,DEN,LAC,12,away,JS,assist,19,make2,2,J. Redick,C. Paul
5,1,10:03.0,0,8,DEN,LAC,16,home,JS,,25,miss3,0,J. Nelson,
6,1,10:01.0,0,8,DEN,LAC,2,away,DefReb,,,DefReb,,D. Jordan,
7,1,9:53.0,0,10,DEN,LAC,8,away,JS,assist,20,make2,2,B. Griffin,C. Paul
8,1,9:46.0,0,10,DEN,LAC,7,home,Timeout,,,,,,
9,1,9:33.0,0,10,DEN,LAC,13,home,LU,,2,miss2,0,K. Faried,
10,1,9:32.0,0,10,DEN,LAC,1,away,DefReb,,,DefReb,,D. Jordan,
11,1,9:25.0,0,12,DEN,LAC,7,away,JS,assist,18,make2,2,B. Griffin,C. Paul
12,1,9:06.0,0,12,DEN,LAC,19,home,JS,,16,miss2,0,W. Chandler,
13,1,9:04.0,0,12,DEN,LAC,2,away,DefReb,,,DefReb,,C. Paul,
14,1,8:56.0,0,12,DEN,LAC,8,away,JS,,20,miss2,0,B. Griffin,
15,1,8:54.0,0,12,DEN,LAC,2,away,OffReb,,,OffReb,,C. Paul,
16,1,8:54.0,0,12,DEN,LAC,0,away,ShootingFoul,DrawnBy,,ShootingFoul,,J. Nelson,D. Jordan
17,1,8:54.0,0,12,DEN,LAC,0,away,FreeThrow,,,make1,0,D. Jordan,
18,1,8:54.0,0,12,DEN,LAC,0,away,OffReb,,,OffReb,,Team,
19,1,8:54.0,0,13,DEN,LAC,0,away,FreeThrow,,,make1,1,D. Jordan,
20,1,8:41.0,2,13,DEN,LAC,13,home,JS,assist,6,make2,2,J. Hickson,R. Foye
21,1,8:24.0,2,16,DEN,LAC,17,away,JS,assist,23,make3,3,M. Barnes,B. Griffin
22,1,8:04.0,2,16,DEN,LAC,20,home,BadPass,steal,,turnover,,K. Faried,C. Paul
23,1,7:53.0,2,18,DEN,LAC,11,away,JS,assist,20,make2,2,J. Redick,B. Griffin
24,1,7:33.0,2,18,DEN,LAC,20,home,JS,,18,miss2,0,R. Foye,
25,1,7:32.0,2,18,DEN,LAC,1,away,DefReb,,,DefReb,,Team,
26,1,7:19.0,2,18,DEN,LAC,13,away,JS,,20,miss2,0,B. Griffin,
27,1,7:18.0,2,18,DEN,LAC,1,home,DefReb,,,DefReb,,K. Faried,
28,1,7:12.0,2,18,DEN,LAC,6,home,LU,,0,miss2,0,W. Chandler,
29,1,7:11.0,2,18,DEN,LAC,1,home,OffReb,,,OffReb,,W. Chandler,
30,1,7:10.0,4,18,DEN,LAC,1,home,LU,,1,make2,2,W. Chandler,
31,1,7:10.0,4,18,DEN,LAC,0,home,DelayOfGame,,,DelayOfGame,,Team,
32,1,6:54.0,4,21,DEN,LAC,16,away,JS,assist,24,make3,3,C. Paul,B. Griffin
33,1,6:42.0,6,21,DEN,LAC,12,home,JS,assist,5,make2,2,J. Hickson,J. Nelson
34,1,6:28.0,6,24,DEN,LAC,14,away,JS,assist,24,make3,3,J. Redick,C. Paul
35,1,6:18.0,6,24,DEN,LAC,10,home,OffensiveFoul,DrawnBy,,OffensiveFoul,,J. Hickson,J. Redick
36,1,6:18.0,6,24,DEN,LAC,0,home,OffensiveFoul,,,turnover,,J. Hickson,
37,1,6:06.0,6,24,DEN,LAC,12,away,JS,,25,miss3,0,J. Redick,
38,1,6:04.0,6,24,DEN,LAC,2,away,OffReb,,,OffReb,,B. Griffin,
39,1,6:00.0,6,24,DEN,LAC,4,away,JS,,24,miss3,0,M. Barnes,
40,1,5:57.0,6,24,DEN,LAC,3,home,DefReb,,,DefReb,,K. Faried,
41,1,5:47.0,6,24,DEN,LAC,10,home,LU,,2,miss2,0,J. Hickson,
42,1,5:45.0,6,24,DEN,LAC,2,home,OffReb,,,OffReb,,J. Hickson,
43,1,5:45.0,6,24,DEN,LAC,0,home,TI,,0,miss2,0,J. Hickson,
44,1,5:44.0,6,24,DEN,LAC,1,home,OffReb,,,OffReb,,K. Faried,
45,1,5:41.0,6,24,DEN,LAC,3,home,JS,,25,miss3,0,R. Foye,
46,1,5:40.0,6,24,DEN,LAC,1,away,DefReb,,,DefReb,,C. Paul,
47,1,5:28.0,6,24,DEN,LAC,12,away,DK,,0,miss2,0,B. Griffin,
