,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,LA LAKERS_ACTION,GOLDEN STATE_SCORE,LA LAKERS_SCORE
0,1,11:45.0,,D. Russell misses 2-pt jump shot from 17 ft,0,0
1,1,11:42.0,Defensive rebound by A. Bogut,,0,0
2,1,11:29.0,H. Barnes misses 3-pt jump shot from 23 ft,,0,0
3,1,11:28.0,,Defensive rebound by Team,0,0
4,1,11:08.0,,K. Bryant misses 2-pt jump shot from 20 ft,0,0
5,1,11:07.0,Defensive rebound by A. Bogut,,0,0
6,1,10:57.0,Turnover by H. Barnes (traveling),,0,0
7,1,10:45.0,,Turnover by K. Bryant (bad pass; steal by A. Bogut),0,0
8,1,10:34.0,S. Curry makes 3-pt jump shot from 26 ft (assist by A. Bogut),,3,0
9,1,10:12.0,,K. Bryant misses 2-pt jump shot from 19 ft,3,0
10,1,10:10.0,,Offensive rebound by J. Clarkson,3,0
11,1,10:07.0,,J. Clarkson makes 2-pt jump shot from 15 ft,3,2
12,1,10:00.0,S. Curry misses 3-pt jump shot from 25 ft,,3,2
13,1,9:58.0,,Defensive rebound by R. Hibbert,3,2
14,1,9:54.0,,K. Bryant makes 2-pt layup from 1 ft (assist by D. Russell),3,4
15,1,9:45.0,K. Thompson misses 3-pt jump shot from 24 ft,,3,4
16,1,9:44.0,,Defensive rebound by J. Randle,3,4
17,1,9:25.0,,J. Randle misses 2-pt layup from 4 ft,3,4
18,1,9:23.0,Defensive rebound by K. Thompson,,3,4
19,1,9:11.0,K. Thompson makes 2-pt layup from 2 ft (assist by A. Bogut),,5,4
20,1,8:52.0,,J. Clarkson misses 2-pt jump shot from 17 ft,5,4
21,1,8:49.0,Defensive rebound by A. Bogut,,5,4
22,1,8:47.0,S. Curry makes 2-pt layup at rim (assist by A. Bogut),,7,4
23,1,8:23.0,,K. Bryant misses 2-pt jump shot from 12 ft,7,4
24,1,8:21.0,Defensive rebound by D. Green,,7,4
25,1,8:19.0,Turnover by D. Green (bad pass; steal by D. Russell),,7,4
26,1,8:14.0,,D. Russell makes 2-pt layup from 1 ft,7,6
27,1,8:00.0,K. Thompson misses 3-pt jump shot from 26 ft,,7,6
28,1,7:59.0,,Defensive rebound by R. Hibbert,7,6
29,1,7:47.0,,Shooting foul by S. Curry (drawn by D. Russell),7,6
30,1,7:47.0,,D. Russell makes free throw 1 of 2,7,7
31,1,7:47.0,,D. Russell makes free throw 2 of 2,7,8
32,1,7:36.0,Def 3 sec tech foul by R. Hibbert,,7,8
33,1,7:36.0,S. Curry makes technical free throw,,8,8
34,1,7:18.0,H. Barnes misses 3-pt jump shot from 24 ft,,8,8
35,1,7:17.0,,Defensive rebound by J. Clarkson,8,8
36,1,7:14.0,,D. Russell misses 2-pt layup at rim,8,8
37,1,7:14.0,Defensive rebound by Team,,8,8
38,1,7:05.0,S. Curry misses 3-pt jump shot from 26 ft,,8,8
39,1,7:05.0,,Defensive rebound by Team,8,8
40,1,6:52.0,,R. Hibbert misses 2-pt jump shot from 4 ft,8,8
41,1,6:49.0,Defensive rebound by K. Thompson,,8,8
42,1,6:46.0,D. Green misses 2-pt layup at rim (block by R. Hibbert),,8,8
43,1,6:41.0,,Defensive rebound by D. Russell,8,8
44,1,6:37.0,,J. Clarkson misses 2-pt jump shot from 20 ft,8,8
45,1,6:35.0,Defensive rebound by H. Barnes,,8,8
46,1,6:26.0,K. Thompson makes 2-pt dunk at rim (assist by A. Bogut),,10,8
47,1,6:04.0,,J. Randle misses 2-pt jump shot from 17 ft,10,8
48,1,6:03.0,Defensive rebound by D. Green,,10,8
49,1,5:58.0,Personal foul by K. Bryant (drawn by S. Curry),,10,8
50,1,5:58.0,,LA Lakers full timeout,10,8
51,1,5:58.0,,M. Huertas enters the game for D. Russell,10,8
52,1,5:58.0,B. Rush enters the game for H. Barnes,,10,8
53,1,5:53.0,K. Thompson misses 3-pt jump shot from 26 ft,,10,8
54,1,5:52.0,,Defensive rebound by J. Randle,10,8
55,1,5:35.0,,R. Hibbert misses 2-pt hook shot from 12 ft,10,8
56,1,5:33.0,Defensive rebound by D. Green,,10,8
57,1,5:27.0,B. Rush misses 3-pt jump shot from 26 ft,,10,8
58,1,5:23.0,,Defensive rebound by K. Bryant,10,8
59,1,5:15.0,,R. Hibbert makes 2-pt jump shot from 21 ft (assist by K. Bryant),10,10
60,1,5:03.0,S. Curry makes 2-pt layup from 2 ft (assist by A. Bogut),,12,10
61,1,4:47.0,,K. Bryant misses 3-pt jump shot from 26 ft,12,10
62,1,4:46.0,Defensive rebound by A. Bogut,,12,10
63,1,4:41.0,B. Rush makes 2-pt layup from 1 ft (assist by A. Bogut),,14,10
64,1,4:27.0,Violation by A. Bogut (kicked ball),,14,10
65,1,4:27.0,,B. Bass enters the game for R. Hibbert,14,10
66,1,4:27.0,L. Barbosa enters the game for K. Thompson,,14,10
67,1,4:27.0,A. Varejão enters the game for A. Bogut,,14,10
68,1,4:21.0,,Shooting foul by L. Barbosa (drawn by M. Huertas),14,10
69,1,4:21.0,,M. Huertas makes 2-pt layup at rim (assist by K. Bryant),14,12
70,1,4:21.0,,M. Huertas makes free throw 1 of 1,14,13
71,1,4:14.0,Personal foul by M. Huertas (drawn by S. Curry),,14,13
72,1,4:14.0,,N. Young enters the game for K. Bryant,14,13
73,1,4:08.0,S. Curry misses 2-pt layup from 3 ft,,14,13
74,1,4:04.0,Offensive rebound by A. Varejão,,14,13
75,1,4:04.0,A. Varejão makes 2-pt layup at rim,,16,13
76,1,3:47.0,,J. Clarkson misses 2-pt jump shot from 17 ft,16,13
77,1,3:45.0,Defensive rebound by A. Varejão,,16,13
78,1,3:38.0,S. Curry makes 2-pt layup at rim (assist by D. Green),,18,13
79,1,3:15.0,,J. Clarkson misses 2-pt layup from 2 ft,18,13
80,1,3:14.0,,Offensive rebound by B. Bass,18,13
81,1,3:14.0,,B. Bass misses 2-pt layup at rim,18,13
82,1,3:11.0,,Offensive rebound by B. Bass,18,13
83,1,3:09.0,,J. Clarkson makes 3-pt jump shot from 26 ft (assist by N. Young),18,16
84,1,2:58.0,S. Curry misses 3-pt jump shot from 24 ft,,18,16
85,1,2:57.0,,Defensive rebound by J. Randle,18,16
86,1,2:43.0,,J. Clarkson makes 2-pt jump shot from 17 ft,18,18
