,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,GOLDEN STATE_ACTION,SACRAMENTO_SCORE,GOLDEN STATE_SCORE
0,1,11:51.0,,Personal foul by D. Cousins (drawn by A. Bogut),0,0
1,1,11:45.0,,Personal foul by R. Rondo (drawn by S. Curry),0,0
2,1,11:39.0,,Shooting foul by R. Rondo (drawn by K. Thompson),0,0
3,1,11:39.0,,K. Thompson makes free throw 1 of 2,0,1
4,1,11:39.0,,K. Thompson misses free throw 2 of 2,0,1
5,1,11:39.0,Defensive rebound by D. Cousins,,0,1
6,1,11:23.0,B. McLemore misses 3-pt jump shot from 22 ft,,0,1
7,1,11:22.0,,Defensive rebound by B. Rush,0,1
8,1,11:07.0,,S. Curry misses 3-pt jump shot from 25 ft,0,1
9,1,11:06.0,Defensive rebound by R. Gay,,0,1
10,1,11:01.0,Personal foul by S. Curry (drawn by D. Cousins),,0,1
11,1,10:50.0,B. McLemore misses 2-pt layup from 2 ft (block by A. Bogut),,0,1
12,1,10:49.0,,Defensive rebound by S. Curry,0,1
13,1,10:40.0,,K. Thompson makes 3-pt jump shot from 22 ft (assist by S. Curry),0,4
14,1,10:27.0,R. Rondo misses 2-pt layup from 2 ft,,0,4
15,1,10:27.0,,Defensive rebound by D. Green,0,4
16,1,10:23.0,,D. Green makes 2-pt layup from 2 ft,0,6
17,1,10:14.0,R. Rondo makes 2-pt layup from 2 ft,,2,6
18,1,10:05.0,,S. Curry misses 2-pt jump shot from 18 ft,2,6
19,1,10:04.0,Defensive rebound by O. Casspi,,2,6
20,1,9:57.0,Shooting foul by B. Rush (drawn by R. Rondo),,2,6
21,1,9:57.0,R. Rondo misses free throw 1 of 2,,2,6
22,1,9:57.0,Offensive rebound by Team,,2,6
23,1,9:57.0,R. Rondo misses free throw 2 of 2,,2,6
24,1,9:56.0,,Defensive rebound by A. Bogut,2,6
25,1,9:49.0,,K. Thompson misses 3-pt jump shot from 22 ft,2,6
26,1,9:47.0,Defensive rebound by B. McLemore,,2,6
27,1,9:38.0,R. Rondo makes 2-pt hook shot from 5 ft,,4,6
28,1,9:28.0,,S. Curry misses 3-pt jump shot from 24 ft,4,6
29,1,9:27.0,,Offensive rebound by B. Rush,4,6
30,1,9:23.0,,K. Thompson misses 3-pt jump shot from 23 ft,4,6
31,1,9:22.0,Defensive rebound by B. McLemore,,4,6
32,1,9:10.0,R. Gay misses 2-pt jump shot from 15 ft,,4,6
33,1,9:09.0,Offensive rebound by B. McLemore,,4,6
34,1,9:06.0,O. Casspi misses 3-pt jump shot from 25 ft,,4,6
35,1,9:05.0,,Defensive rebound by S. Curry,4,6
36,1,8:54.0,,K. Thompson makes 2-pt jump shot from 10 ft,4,8
37,1,8:46.0,D. Cousins misses 2-pt jump shot from 16 ft,,4,8
38,1,8:45.0,,Defensive rebound by S. Curry,4,8
39,1,8:33.0,,D. Green makes 3-pt jump shot from 26 ft (assist by S. Curry),4,11
40,1,8:25.0,Personal block foul by A. Bogut (drawn by D. Cousins),,4,11
41,1,8:13.0,O. Casspi misses 3-pt jump shot from 23 ft,,4,11
42,1,8:13.0,,Defensive rebound by A. Bogut,4,11
43,1,8:05.0,,Turnover by D. Green (bad pass),4,11
44,1,7:51.0,R. Gay makes 3-pt jump shot from 24 ft (assist by D. Cousins),,7,11
45,1,7:32.0,,D. Green makes 3-pt jump shot from 23 ft (assist by B. Rush),7,14
46,1,7:17.0,D. Cousins misses 2-pt jump shot from 4 ft (block by B. Rush),,7,14
47,1,7:16.0,Offensive rebound by O. Casspi,,7,14
48,1,7:15.0,O. Casspi misses 2-pt layup from 2 ft (block by A. Bogut),,7,14
49,1,7:13.0,,Defensive rebound by S. Curry,7,14
50,1,7:10.0,,Personal foul by R. Rondo (drawn by S. Curry),7,14
51,1,7:10.0,D. Collison enters the game for R. Rondo,,7,14
52,1,7:01.0,,K. Thompson makes 2-pt jump shot from 14 ft (assist by A. Bogut),7,16
53,1,6:58.0,Sacramento full timeout,,7,16
54,1,6:45.0,D. Cousins makes 2-pt jump shot from 8 ft,,9,16
55,1,6:45.0,Shooting foul by A. Bogut (drawn by D. Cousins),,9,16
56,1,6:45.0,D. Cousins misses free throw 1 of 1,,9,16
57,1,6:44.0,,Defensive rebound by B. Rush,9,16
58,1,6:36.0,,Offensive foul by B. Rush (drawn by R. Gay),9,16
59,1,6:36.0,,Turnover by B. Rush (offensive foul),9,16
60,1,6:19.0,O. Casspi makes 2-pt layup from 2 ft (assist by D. Cousins),,11,16
61,1,6:19.0,,Technical foul by Team,11,16
62,1,6:19.0,R. Gay makes technical free throw,,12,16
63,1,6:19.0,,F. Ezeli enters the game for A. Bogut,12,16
64,1,5:55.0,,F. Ezeli makes 2-pt jump shot from 6 ft (assist by S. Curry),12,18
65,1,5:38.0,B. McLemore misses 3-pt jump shot from 24 ft,,12,18
66,1,5:37.0,,Defensive rebound by K. Thompson,12,18
67,1,5:25.0,,Shooting foul by D. Cousins (drawn by F. Ezeli),12,18
68,1,5:25.0,,F. Ezeli misses free throw 1 of 2,12,18
69,1,5:25.0,,Offensive rebound by Team,12,18
70,1,5:25.0,,A. Iguodala enters the game for B. Rush,12,18
71,1,5:25.0,,F. Ezeli makes free throw 2 of 2,12,19
72,1,5:12.0,Turnover by D. Collison (bad pass; steal by S. Curry),,12,19
73,1,5:07.0,,F. Ezeli makes 2-pt dunk at rim (assist by A. Iguodala),12,21
74,1,4:59.0,Personal foul by K. Thompson (drawn by B. McLemore),,12,21
75,1,4:59.0,B. McLemore makes free throw 1 of 2,,13,21
76,1,4:59.0,B. McLemore misses free throw 2 of 2,,13,21
77,1,4:58.0,Offensive rebound by D. Cousins,,13,21
78,1,4:54.0,D. Collison misses 3-pt jump shot from 23 ft,,13,21
79,1,4:53.0,,Defensive rebound by D. Green,13,21
80,1,4:45.0,,K. Thompson makes 2-pt jump shot from 16 ft (assist by S. Curry),13,23
81,1,4:31.0,R. Gay misses 2-pt jump shot from 18 ft,,13,23
82,1,4:30.0,,Defensive rebound by S. Curry,13,23
83,1,4:21.0,,Turnover by S. Curry (bad pass; steal by R. Gay),13,23
84,1,4:21.0,Personal foul by D. Green (drawn by R. Gay),,13,23
85,1,4:21.0,,Technical foul by D. Green,13,23
86,1,4:21.0,,Violation by Team (delay of game),13,23
87,1,4:21.0,R. Gay misses technical free throw,,13,23
88,1,4:21.0,Offensive rebound by Team,,13,23
89,1,4:21.0,M. Belinelli enters the game for B. McLemore,,13,23
90,1,4:21.0,R. Gay makes free throw 1 of 2,,14,23
91,1,4:21.0,R. Gay makes free throw 2 of 2,,15,23
92,1,4:13.0,,S. Curry misses 3-pt jump shot from 26 ft,15,23
93,1,4:12.0,,Offensive rebound by D. Green,15,23
94,1,4:08.0,,Turnover by D. Green (bad pass; steal by D. Cousins),15,23
95,1,4:01.0,O. Casspi makes 3-pt jump shot from 26 ft (assist by D. Collison),,18,23
96,1,3:42.0,,K. Thompson misses 2-pt jump shot from 20 ft,18,23
