,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,SAN ANTONIO_ACTION,MINNESOTA_SCORE,SAN ANTONIO_SCORE
0,1,11:42.0,A. Wiggins misses 2-pt jump shot from 13 ft,,0,0
1,1,11:40.0,,Defensive rebound by K. Leonard,0,0
2,1,11:30.0,,K. Leonard misses 2-pt jump shot from 15 ft,0,0
3,1,11:28.0,Defensive rebound by K. Towns,,0,0
4,1,11:13.0,T. Prince makes 2-pt jump shot from 18 ft (assist by R. Rubio),,2,0
5,1,10:56.0,,L. Aldridge misses 2-pt jump shot from 17 ft,2,0
6,1,10:55.0,Defensive rebound by K. Towns,,2,0
7,1,10:46.0,K. Towns makes 2-pt jump shot from 21 ft (assist by A. Wiggins),,4,0
8,1,10:26.0,,D. Green misses 3-pt jump shot from 23 ft,4,0
9,1,10:25.0,Defensive rebound by K. Garnett,,4,0
10,1,10:15.0,K. Garnett makes 2-pt jump shot from 19 ft (assist by R. Rubio),,6,0
11,1,9:49.0,,L. Aldridge misses 2-pt layup from 2 ft (block by T. Prince),6,0
12,1,9:48.0,,Offensive rebound by L. Aldridge,6,0
13,1,9:47.0,,L. Aldridge misses 2-pt jump shot from 3 ft,6,0
14,1,9:46.0,Defensive rebound by A. Wiggins,,6,0
15,1,9:46.0,Minnesota full timeout,,6,0
16,1,9:27.0,K. Garnett makes 2-pt jump shot from 18 ft (assist by R. Rubio),,8,0
17,1,9:16.0,,Turnover by D. West (bad pass; steal by R. Rubio),8,0
18,1,9:11.0,R. Rubio makes 2-pt layup at rim,,10,0
19,1,9:07.0,,Shooting foul by R. Rubio (drawn by T. Parker),10,0
20,1,9:07.0,,T. Parker misses free throw 1 of 2,10,0
21,1,9:07.0,,Offensive rebound by Team,10,0
22,1,9:07.0,,T. Parker makes free throw 2 of 2,10,1
23,1,8:53.0,K. Towns misses 2-pt jump shot from 14 ft,,10,1
24,1,8:51.0,,Defensive rebound by K. Leonard,10,1
25,1,8:43.0,,K. Leonard makes 2-pt jump shot from 6 ft,10,3
26,1,8:33.0,R. Rubio misses 2-pt layup from 3 ft (block by T. Parker),,10,3
27,1,8:32.0,,Defensive rebound by T. Parker,10,3
28,1,8:24.0,,D. Green misses 3-pt jump shot from 25 ft,10,3
29,1,8:23.0,Defensive rebound by K. Towns,,10,3
30,1,8:18.0,T. Prince makes 2-pt layup from 1 ft (assist by R. Rubio),,12,3
31,1,7:56.0,,K. Leonard makes 3-pt jump shot from 24 ft (assist by T. Parker),12,6
32,1,7:34.0,Shooting foul by L. Aldridge (drawn by K. Towns),,12,6
33,1,7:34.0,K. Towns makes free throw 1 of 2,,13,6
34,1,7:34.0,K. Towns makes free throw 2 of 2,,14,6
35,1,7:12.0,,T. Parker misses 2-pt jump shot from 6 ft,14,6
36,1,7:11.0,Defensive rebound by K. Garnett,,14,6
37,1,7:04.0,A. Wiggins makes 2-pt jump shot from 8 ft (assist by R. Rubio),,16,6
38,1,7:04.0,,San Antonio full timeout,16,6
39,1,6:48.0,,K. Leonard misses 2-pt jump shot from 12 ft,16,6
40,1,6:48.0,Defensive rebound by K. Towns,,16,6
