,QUARTER,TIME_REMAINING,ATLANTA_ACTION,WASHINGTON_ACTION,ATLANTA_SCORE,WASHINGTON_SCORE
0,1,11:41.0,,O. Porter makes 2-pt layup at rim (assist by N. Hilário),0,2
1,1,11:23.0,P. Millsap misses 2-pt jump shot from 12 ft,,0,2
2,1,11:21.0,,Defensive rebound by O. Porter,0,2
3,1,11:12.0,,N. Hilário makes 2-pt layup at rim (assist by J. Dudley),0,4
4,1,10:55.0,K. Bazemore makes 2-pt layup from 1 ft,,2,4
5,1,10:37.0,,N. Hilário makes 2-pt layup at rim (assist by J. Dudley),2,6
6,1,10:37.0,,Shooting foul by A. Horford (drawn by N. Hilário),2,6
7,1,10:37.0,,N. Hilário misses free throw 1 of 1,2,6
8,1,10:36.0,Defensive rebound by A. Horford,,2,6
9,1,10:26.0,J. Teague misses 3-pt jump shot from 26 ft,,2,6
10,1,10:24.0,,Defensive rebound by M. Thornton,2,6
11,1,10:14.0,,M. Thornton misses 2-pt jump shot from 16 ft,2,6
12,1,10:13.0,Defensive rebound by K. Bazemore,,2,6
13,1,10:06.0,J. Teague makes 3-pt jump shot from 27 ft (assist by K. Bazemore),,5,6
14,1,9:56.0,,Turnover by R. Sessions (lost ball; steal by J. Teague),5,6
15,1,9:44.0,A. Horford misses 3-pt jump shot from 26 ft,,5,6
16,1,9:43.0,,Defensive rebound by J. Dudley,5,6
17,1,9:37.0,,Personal foul by K. Bazemore,5,6
18,1,9:30.0,,N. Hilário makes 2-pt jump shot from 17 ft (assist by O. Porter),5,8
19,1,9:11.0,P. Millsap makes 2-pt layup from 1 ft (assist by J. Teague),,7,8
20,1,9:04.0,,R. Sessions misses 2-pt jump shot from 11 ft,7,8
21,1,9:03.0,Defensive rebound by K. Bazemore,,7,8
22,1,8:48.0,Turnover by K. Bazemore (lost ball; steal by N. Hilário),,7,8
23,1,8:43.0,,N. Hilário misses 2-pt layup at rim,7,8
24,1,8:42.0,,Offensive rebound by N. Hilário,7,8
25,1,8:42.0,,N. Hilário makes 2-pt layup at rim,7,10
26,1,8:26.0,Shooting foul by N. Hilário (drawn by A. Horford),,7,10
27,1,8:26.0,A. Horford makes free throw 1 of 2,,8,10
28,1,8:26.0,A. Horford makes free throw 2 of 2,,9,10
29,1,8:14.0,,M. Thornton makes 3-pt jump shot from 25 ft (assist by R. Sessions),9,13
30,1,7:59.0,J. Teague makes 3-pt jump shot from 26 ft,,12,13
31,1,7:45.0,,M. Thornton makes 2-pt layup at rim (assist by N. Hilário),12,15
32,1,7:31.0,Turnover by J. Teague (bad pass),,12,15
33,1,7:16.0,,M. Thornton misses 2-pt jump shot from 7 ft,12,15
34,1,7:15.0,Defensive rebound by A. Horford,,12,15
