,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,LA CLIPPERS_ACTION,CHARLOTTE_SCORE,LA CLIPPERS_SCORE
0,1,11:31.0,,C. Paul makes 3-pt jump shot from 25 ft (assist by J. Redick),0,3
1,1,11:18.0,Shooting foul by D. Jordan (drawn by J. Lin),,0,3
2,1,11:18.0,J. Lin makes free throw 1 of 2,,1,3
3,1,11:18.0,J. Lin misses free throw 2 of 2,,1,3
4,1,11:15.0,,Defensive rebound by D. Jordan,1,3
5,1,11:02.0,,C. Paul misses 2-pt jump shot from 15 ft,1,3
6,1,11:01.0,Defensive rebound by P. Hairston,,1,3
7,1,10:51.0,M. Williams misses 3-pt jump shot from 24 ft,,1,3
8,1,10:49.0,,Defensive rebound by L. Mbah a Moute,1,3
9,1,10:27.0,,P. Pierce misses 3-pt jump shot from 24 ft,1,3
10,1,10:26.0,Defensive rebound by J. Lin,,1,3
11,1,10:20.0,C. Zeller makes 2-pt layup from 1 ft (assist by J. Lin),,3,3
12,1,10:01.0,,Personal block foul by M. Williams (drawn by P. Pierce),3,3
13,1,9:49.0,,P. Pierce makes 2-pt jump shot from 13 ft (assist by C. Paul),3,5
14,1,9:35.0,J. Lin misses 2-pt jump shot from 16 ft,,3,5
15,1,9:34.0,,Defensive rebound by L. Mbah a Moute,3,5
16,1,9:25.0,,C. Paul makes 2-pt jump shot from 13 ft,3,7
17,1,9:10.0,K. Walker makes 2-pt jump shot from 9 ft,,5,7
18,1,8:59.0,,J. Redick makes 2-pt jump shot from 19 ft (assist by C. Paul),5,9
19,1,8:39.0,M. Williams makes 3-pt jump shot from 24 ft (assist by K. Walker),,8,9
20,1,8:18.0,,C. Paul makes 3-pt jump shot from 24 ft,8,12
21,1,8:01.0,C. Zeller misses 2-pt jump shot from 18 ft,,8,12
22,1,8:00.0,,Defensive rebound by D. Jordan,8,12
23,1,7:50.0,,J. Redick makes 3-pt jump shot from 24 ft (assist by D. Jordan),8,15
24,1,7:43.0,Charlotte full timeout,,8,15
25,1,7:34.0,M. Williams makes 2-pt jump shot from 11 ft,,10,15
26,1,7:15.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by C. Paul),10,18
27,1,7:01.0,K. Walker misses 2-pt layup from 2 ft (block by L. Mbah a Moute),,10,18
28,1,7:00.0,,Defensive rebound by C. Paul,10,18
29,1,7:00.0,,Turnover by C. Paul (lost ball),10,18
30,1,6:49.0,J. Lin misses 2-pt jump shot from 7 ft,,10,18
31,1,6:47.0,Offensive rebound by C. Zeller,,10,18
32,1,6:43.0,C. Zeller makes 2-pt layup at rim,,12,18
33,1,6:37.0,,Personal foul by J. Lin (drawn by J. Redick),12,18
34,1,6:37.0,,J. Crawford enters the game for P. Pierce,12,18
35,1,6:37.0,,W. Johnson enters the game for L. Mbah a Moute,12,18
36,1,6:26.0,,J. Redick makes 3-pt jump shot from 24 ft (assist by C. Paul),12,21
37,1,6:12.0,P. Hairston misses 2-pt jump shot from 10 ft,,12,21
38,1,6:12.0,,Defensive rebound by D. Jordan,12,21
39,1,6:01.0,,C. Paul misses 2-pt jump shot from 17 ft,12,21
40,1,6:00.0,Defensive rebound by C. Zeller,,12,21
41,1,5:47.0,K. Walker makes 2-pt jump shot from 12 ft,,14,21
42,1,5:20.0,,J. Crawford misses 3-pt jump shot from 25 ft,14,21
43,1,5:19.0,,Offensive rebound by W. Johnson,14,21
44,1,5:07.0,,Turnover by C. Paul (bad pass),14,21
45,1,4:58.0,Personal foul by J. Redick (drawn by J. Lin),,14,21
46,1,4:46.0,M. Williams misses 2-pt layup from 2 ft,,14,21
47,1,4:46.0,,Defensive rebound by C. Paul,14,21
48,1,4:38.0,,J. Redick misses 3-pt jump shot from 31 ft,14,21
49,1,4:37.0,Defensive rebound by P. Hairston,,14,21
50,1,4:28.0,K. Walker misses 2-pt jump shot from 19 ft,,14,21
51,1,4:25.0,,Defensive rebound by D. Jordan,14,21
52,1,4:20.0,,Turnover by C. Paul (bad pass; steal by P. Hairston),14,21
53,1,4:14.0,K. Walker misses 2-pt layup from 1 ft (block by D. Jordan),,14,21
54,1,4:12.0,,Defensive rebound by J. Redick,14,21
