,QUARTER,TIME_REMAINING,UTAH_ACTION,MINNESOTA_ACTION,UTAH_SCORE,MINNESOTA_SCORE
0,1,11:46.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by R. Rubio),0,2
1,1,11:25.0,T. Lyles makes 3-pt jump shot from 23 ft (assist by G. Hayward),,3,2
2,1,11:08.0,,K. Towns makes 2-pt jump shot from 16 ft (assist by R. Rubio),3,4
3,1,10:50.0,R. Neto misses 3-pt jump shot from 23 ft,,3,4
4,1,10:48.0,,Defensive rebound by K. Garnett,3,4
5,1,10:41.0,,K. Garnett makes 2-pt jump shot from 21 ft (assist by R. Rubio),3,6
6,1,10:16.0,R. Hood misses 3-pt jump shot from 24 ft,,3,6
7,1,10:15.0,,Defensive rebound by K. Garnett,3,6
8,1,10:07.0,,K. Garnett makes 2-pt jump shot from 21 ft (assist by R. Rubio),3,8
9,1,10:06.0,Utah full timeout,,3,8
10,1,9:44.0,R. Neto makes 2-pt jump shot from 20 ft (assist by J. Withey),,5,8
11,1,9:32.0,,K. Towns misses 2-pt jump shot from 20 ft,5,8
12,1,9:31.0,Defensive rebound by T. Lyles,,5,8
13,1,9:23.0,Turnover by R. Neto (bad pass; steal by T. Prince),,5,8
14,1,9:07.0,,K. Garnett misses 2-pt jump shot from 8 ft,5,8
15,1,9:06.0,Defensive rebound by J. Withey,,5,8
16,1,8:43.0,R. Neto misses 2-pt jump shot from 18 ft,,5,8
17,1,8:42.0,,Defensive rebound by K. Garnett,5,8
18,1,8:41.0,,Personal block foul by R. Neto (drawn by R. Rubio),5,8
19,1,8:26.0,,A. Wiggins misses 2-pt jump shot from 19 ft,5,8
20,1,8:25.0,Defensive rebound by T. Lyles,,5,8
21,1,8:12.0,R. Neto misses 3-pt jump shot from 24 ft,,5,8
22,1,8:11.0,,Defensive rebound by K. Towns,5,8
23,1,8:04.0,,Personal foul by R. Neto (drawn by A. Wiggins),5,8
24,1,8:04.0,T. Burke enters the game for R. Neto,,5,8
25,1,7:51.0,,A. Wiggins misses 2-pt jump shot from 18 ft,5,8
26,1,7:50.0,Defensive rebound by J. Withey,,5,8
27,1,7:35.0,J. Withey makes 2-pt layup from 2 ft (assist by R. Hood),,7,8
28,1,7:16.0,,R. Rubio misses 3-pt jump shot from 24 ft,7,8
29,1,7:15.0,Defensive rebound by T. Lyles,,7,8
30,1,7:03.0,T. Lyles misses 2-pt jump shot from 10 ft,,7,8
31,1,7:02.0,,Defensive rebound by K. Garnett,7,8
32,1,6:59.0,,Shooting foul by R. Hood (drawn by A. Wiggins),7,8
33,1,6:59.0,,A. Wiggins misses free throw 1 of 2,7,8
34,1,6:59.0,,Offensive rebound by Team,7,8
35,1,6:59.0,,G. Dieng enters the game for K. Garnett,7,8
36,1,6:59.0,,A. Wiggins makes free throw 2 of 2,7,9
37,1,6:44.0,T. Lyles misses 2-pt jump shot from 14 ft,,7,9
38,1,6:43.0,Offensive rebound by J. Withey,,7,9
39,1,6:43.0,J. Withey makes 2-pt layup from 1 ft,,9,9
40,1,6:24.0,,G. Dieng makes 2-pt jump shot from 15 ft (assist by R. Rubio),9,11
41,1,6:11.0,T. Booker enters the game for T. Lyles,,9,11
42,1,6:06.0,T. Burke misses 2-pt jump shot from 20 ft,,9,11
43,1,6:05.0,,Defensive rebound by K. Towns,9,11
44,1,5:52.0,,Turnover by K. Towns (traveling),9,11
45,1,5:52.0,,Minnesota full timeout,9,11
