,QUARTER,TIME_REMAINING,MIAMI_ACTION,OKLAHOMA CITY_ACTION,MIAMI_SCORE,OKLAHOMA CITY_SCORE
0,1,11:42.0,,A. Roberson misses 2-pt layup from 1 ft (block by H. Whiteside),0,0
1,1,11:41.0,Defensive rebound by D. Wade,,0,0
2,1,11:20.0,C. Bosh misses 2-pt jump shot from 10 ft,,0,0
3,1,11:19.0,,Defensive rebound by R. Westbrook,0,0
4,1,11:14.0,,Turnover by R. Westbrook (lost ball; steal by L. Deng),0,0
5,1,11:00.0,H. Whiteside misses 2-pt jump shot from 15 ft,,0,0
6,1,10:59.0,,Defensive rebound by K. Durant,0,0
7,1,10:42.0,,Turnover by R. Westbrook (bad pass; steal by H. Whiteside),0,0
8,1,10:29.0,Shooting foul by S. Ibaka (drawn by C. Bosh),,0,0
9,1,10:29.0,C. Bosh makes free throw 1 of 2,,1,0
10,1,10:29.0,C. Bosh makes free throw 2 of 2,,2,0
11,1,10:18.0,,K. Durant misses 2-pt jump shot from 9 ft,2,0
12,1,10:18.0,Defensive rebound by H. Whiteside,,2,0
13,1,10:03.0,D. Wade makes 2-pt jump shot from 15 ft (assist by T. Johnson),,4,0
14,1,9:44.0,,Shooting foul by T. Johnson (drawn by R. Westbrook),4,0
15,1,9:44.0,,R. Westbrook makes free throw 1 of 2,4,1
16,1,9:44.0,,R. Westbrook makes free throw 2 of 2,4,2
17,1,9:34.0,T. Johnson makes 2-pt jump shot from 10 ft,,6,2
18,1,9:21.0,,Turnover by K. Durant (lost ball; steal by L. Deng),6,2
19,1,9:16.0,D. Wade makes 2-pt jump shot from 4 ft,,8,2
20,1,9:03.0,,R. Westbrook makes 2-pt layup from 1 ft,8,4
21,1,8:39.0,D. Wade misses 2-pt jump shot from 11 ft,,8,4
22,1,8:38.0,,Defensive rebound by S. Adams,8,4
23,1,8:35.0,,K. Durant makes 2-pt layup from 1 ft (assist by R. Westbrook),8,6
24,1,8:35.0,,Shooting foul by L. Deng (drawn by K. Durant),8,6
25,1,8:35.0,,K. Durant makes free throw 1 of 1,8,7
26,1,8:22.0,T. Johnson makes 2-pt layup at rim (assist by C. Bosh),,10,7
27,1,8:11.0,,S. Ibaka makes 2-pt jump shot from 19 ft (assist by R. Westbrook),10,9
28,1,7:51.0,T. Johnson misses 2-pt jump shot from 17 ft,,10,9
29,1,7:50.0,,Defensive rebound by K. Durant,10,9
30,1,7:44.0,,K. Durant misses 3-pt jump shot from 24 ft,10,9
31,1,7:44.0,Defensive rebound by Team,,10,9
32,1,7:28.0,D. Wade makes 2-pt jump shot from 4 ft,,12,9
33,1,7:10.0,,S. Adams makes 2-pt hook shot from 2 ft (assist by R. Westbrook),12,11
34,1,6:45.0,Turnover by D. Wade (bad pass; steal by K. Durant),,12,11
35,1,6:44.0,,Shooting foul by C. Bosh (drawn by K. Durant),12,11
36,1,6:44.0,,K. Durant makes free throw 1 of 2,12,12
37,1,6:44.0,J. Richardson enters the game for T. Johnson,,12,12
38,1,6:44.0,G. Green enters the game for C. Bosh,,12,12
39,1,6:44.0,,K. Durant makes free throw 2 of 2,12,13
40,1,6:25.0,D. Wade misses 3-pt jump shot from 24 ft,,12,13
41,1,6:24.0,,Defensive rebound by A. Roberson,12,13
42,1,6:05.0,,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),12,15
43,1,5:57.0,Miami full timeout,,12,15
44,1,5:46.0,D. Wade misses 2-pt layup from 2 ft,,12,15
45,1,5:45.0,,Defensive rebound by K. Durant,12,15
46,1,5:38.0,,A. Roberson misses 3-pt jump shot from 22 ft,12,15
47,1,5:38.0,Defensive rebound by L. Deng,,12,15
48,1,5:36.0,Turnover by L. Deng (bad pass; steal by R. Westbrook),,12,15
49,1,5:28.0,,K. Durant makes 2-pt dunk at rim (assist by R. Westbrook),12,17
50,1,5:11.0,Turnover by L. Deng (bad pass; steal by S. Ibaka),,12,17
51,1,5:07.0,T. Johnson enters the game for D. Wade,,12,17
52,1,5:07.0,,K. Singler enters the game for S. Ibaka,12,17
53,1,5:07.0,,Oklahoma City full timeout,12,17
54,1,5:07.0,J. Winslow enters the game for J. Richardson,,12,17
55,1,5:00.0,,R. Westbrook misses 2-pt jump shot from 8 ft,12,17
56,1,5:00.0,Defensive rebound by T. Johnson,,12,17
57,1,4:38.0,G. Green makes 3-pt jump shot from 24 ft (assist by J. Winslow),,15,17
58,1,4:15.0,,K. Durant misses 2-pt jump shot from 4 ft,15,17
59,1,4:15.0,,Offensive rebound by K. Singler,15,17
60,1,4:08.0,,R. Westbrook makes 2-pt layup from 2 ft (assist by K. Durant),15,19
61,1,3:57.0,C. Bosh enters the game for L. Deng,,15,19
