,QUARTER,TIME_REMAINING,DETROIT_ACTION,BOSTON_ACTION,DETROIT_SCORE,BOSTON_SCORE
0,1,11:39.0,,J. Crowder misses 2-pt jump shot from 15 ft,0,0
1,1,11:38.0,,Offensive rebound by A. Johnson,0,0
2,1,11:31.0,,A. Bradley misses 3-pt jump shot from 24 ft,0,0
3,1,11:30.0,Defensive rebound by A. Drummond,,0,0
4,1,11:12.0,R. Jackson misses 3-pt jump shot from 25 ft,,0,0
5,1,11:11.0,,Defensive rebound by J. Sullinger,0,0
6,1,11:02.0,,J. Sullinger misses 2-pt jump shot from 21 ft,0,0
7,1,11:01.0,,Offensive rebound by Team,0,0
8,1,11:01.0,Loose ball foul by E. İlyasova (drawn by A. Johnson),,0,0
9,1,10:53.0,,A. Johnson misses 2-pt hook shot from 10 ft,0,0
10,1,10:52.0,,Offensive rebound by Team,0,0
11,1,10:52.0,Loose ball foul by A. Drummond (drawn by J. Sullinger),,0,0
12,1,10:47.0,,J. Sullinger makes 2-pt layup at rim (assist by I. Thomas),0,2
13,1,10:34.0,Personal foul by J. Crowder (drawn by M. Morris),,0,2
14,1,10:25.0,A. Drummond makes 2-pt hook shot from 9 ft (assist by R. Jackson),,2,2
15,1,10:12.0,,J. Crowder misses 2-pt layup from 1 ft,2,2
16,1,10:11.0,Defensive rebound by M. Morris,,2,2
17,1,10:08.0,Turnover by K. Caldwell-Pope (bad pass),,2,2
18,1,9:58.0,,A. Johnson makes 2-pt hook shot from 6 ft (assist by I. Thomas),2,4
19,1,9:38.0,A. Drummond makes 2-pt dunk at rim (assist by R. Jackson),,4,4
20,1,9:25.0,,A. Bradley makes 2-pt dunk at rim (assist by J. Sullinger),4,6
21,1,9:05.0,K. Caldwell-Pope misses 2-pt jump shot from 19 ft,,4,6
22,1,9:04.0,,Defensive rebound by A. Bradley,4,6
23,1,8:59.0,,A. Johnson makes 2-pt layup at rim (assist by A. Bradley),4,8
24,1,8:31.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,4,8
25,1,8:30.0,,Defensive rebound by A. Johnson,4,8
26,1,8:22.0,,A. Bradley makes 3-pt jump shot from 25 ft (assist by J. Sullinger),4,11
27,1,8:13.0,Detroit full timeout,,4,11
28,1,7:54.0,A. Drummond misses 2-pt hook shot from 11 ft,,4,11
29,1,7:53.0,,Defensive rebound by J. Sullinger,4,11
30,1,7:36.0,,J. Sullinger makes 2-pt jump shot from 8 ft (assist by A. Bradley),4,13
31,1,7:18.0,M. Morris misses 2-pt jump shot from 20 ft,,4,13
32,1,7:17.0,,Defensive rebound by I. Thomas,4,13
33,1,7:11.0,,I. Thomas misses 3-pt jump shot from 23 ft,4,13
34,1,7:10.0,Defensive rebound by Team,,4,13
35,1,6:58.0,Shooting foul by J. Sullinger (drawn by R. Jackson),,4,13
36,1,6:58.0,R. Jackson makes free throw 1 of 2,,5,13
37,1,6:58.0,R. Jackson makes free throw 2 of 2,,6,13
38,1,6:45.0,,I. Thomas makes 2-pt layup from 1 ft (assist by J. Sullinger),6,15
39,1,6:27.0,Turnover by R. Jackson (bad pass; steal by I. Thomas),,6,15
40,1,6:16.0,,A. Bradley misses 2-pt jump shot from 16 ft,6,15
41,1,6:15.0,Defensive rebound by A. Drummond,,6,15
42,1,5:59.0,E. İlyasova misses 2-pt jump shot from 6 ft,,6,15
43,1,5:58.0,,Defensive rebound by A. Bradley,6,15
44,1,5:49.0,,J. Sullinger makes 2-pt layup from 1 ft (assist by I. Thomas),6,17
45,1,5:36.0,A. Drummond misses 2-pt layup at rim,,6,17
46,1,5:35.0,Offensive rebound by A. Drummond,,6,17
47,1,5:35.0,A. Drummond makes 2-pt layup at rim,,8,17
48,1,5:20.0,,J. Sullinger misses 2-pt jump shot from 20 ft,8,17
49,1,5:19.0,Defensive rebound by E. İlyasova,,8,17
50,1,5:10.0,A. Drummond makes 2-pt hook shot from 9 ft (assist by R. Jackson),,10,17
51,1,4:58.0,,Personal foul by K. Caldwell-Pope (drawn by I. Thomas),10,17
52,1,4:58.0,,M. Smart enters the game for A. Bradley,10,17
53,1,4:58.0,,E. Turner enters the game for A. Johnson,10,17
54,1,4:48.0,,J. Sullinger misses 2-pt jump shot from 20 ft,10,17
55,1,4:47.0,Defensive rebound by M. Morris,,10,17
56,1,4:41.0,Shooting foul by E. Turner (drawn by M. Morris),,10,17
57,1,4:41.0,M. Morris makes free throw 1 of 2,,11,17
58,1,4:41.0,M. Morris misses free throw 2 of 2,,11,17
59,1,4:41.0,,Defensive rebound by E. Turner,11,17
60,1,4:21.0,,I. Thomas makes 2-pt layup at rim,11,19
61,1,4:04.0,M. Morris misses 3-pt jump shot from 25 ft,,11,19
62,1,4:03.0,,Defensive rebound by M. Smart,11,19
63,1,3:55.0,,M. Smart misses 2-pt layup from 1 ft,11,19
64,1,3:54.0,Defensive rebound by A. Drummond,,11,19
65,1,3:50.0,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by R. Jackson),,13,19
66,1,3:32.0,,I. Thomas misses 2-pt jump shot from 15 ft,13,19
67,1,3:31.0,Defensive rebound by A. Drummond,,13,19
68,1,3:19.0,Turnover by E. İlyasova (bad pass),,13,19
69,1,3:19.0,,K. Olynyk enters the game for J. Sullinger,13,19
70,1,3:19.0,S. Johnson enters the game for M. Morris,,13,19
71,1,3:06.0,,I. Thomas misses 2-pt jump shot from 13 ft,13,19
72,1,3:05.0,Defensive rebound by A. Drummond,,13,19
73,1,2:55.0,,Boston full timeout,13,19
74,1,2:55.0,,J. Jerebko enters the game for J. Crowder,13,19
75,1,2:55.0,B. Jennings enters the game for R. Jackson,,13,19
76,1,2:45.0,E. İlyasova misses 2-pt jump shot from 15 ft,,13,19
77,1,2:44.0,,Defensive rebound by K. Olynyk,13,19
78,1,2:27.0,,J. Jerebko makes 2-pt layup from 1 ft (assist by I. Thomas),13,21
79,1,2:11.0,Shooting foul by J. Jerebko (drawn by E. İlyasova),,13,21
80,1,2:11.0,E. İlyasova makes free throw 1 of 2,,14,21
81,1,2:11.0,E. İlyasova misses free throw 2 of 2,,14,21
82,1,2:11.0,,Defensive rebound by J. Jerebko,14,21
83,1,2:01.0,,E. Turner misses 2-pt jump shot from 11 ft,14,21
84,1,2:00.0,Defensive rebound by A. Drummond,,14,21
85,1,1:48.0,Turnover by E. İlyasova (bad pass),,14,21
86,1,1:23.0,,Turnover by E. Turner (bad pass; steal by K. Caldwell-Pope),14,21
87,1,1:08.0,S. Johnson misses 3-pt jump shot from 23 ft,,14,21
88,1,1:08.0,,Defensive rebound by E. Turner,14,21
89,1,0:58.0,,M. Smart makes 3-pt jump shot from 25 ft,14,24
90,1,0:40.0,B. Jennings misses 2-pt jump shot from 20 ft,,14,24
91,1,0:39.0,,Defensive rebound by J. Jerebko,14,24
92,1,0:29.0,,J. Jerebko misses 3-pt jump shot from 26 ft,14,24
93,1,0:28.0,Defensive rebound by B. Jennings,,14,24
94,1,0:22.0,E. İlyasova makes 2-pt layup from 1 ft (assist by B. Jennings),,16,24
95,1,0:06.0,,Personal foul by B. Jennings (drawn by I. Thomas),16,24
96,1,0:02.0,,M. Smart makes 3-pt jump shot from 26 ft (assist by E. Turner),16,27
97,1,0:01.0,S. Johnson misses 3-pt jump shot from 40 ft,,16,27
98,1,0:00.0,Offensive rebound by Team,,16,27
99,2,11:49.0,M. Morris misses 2-pt hook shot from 9 ft,,16,27
100,2,11:48.0,,Defensive rebound by K. Olynyk,16,27
101,2,11:36.0,,K. Olynyk misses 3-pt jump shot from 25 ft,16,27
102,2,11:35.0,Defensive rebound by S. Johnson,,16,27
103,2,11:20.0,Shooting foul by J. Jerebko (drawn by B. Jennings),,16,27
104,2,11:20.0,B. Jennings misses free throw 1 of 2,,16,27
105,2,11:20.0,Offensive rebound by Team,,16,27
106,2,11:20.0,B. Jennings makes free throw 2 of 2,,17,27
107,2,11:08.0,,K. Olynyk misses 3-pt jump shot from 25 ft,17,27
108,2,11:07.0,Defensive rebound by M. Morris,,17,27
109,2,11:01.0,S. Johnson misses 2-pt jump shot from 6 ft,,17,27
110,2,10:59.0,Offensive rebound by S. Johnson,,17,27
111,2,10:59.0,S. Johnson makes 2-pt layup at rim,,19,27
112,2,10:44.0,,A. Bradley makes 2-pt layup from 1 ft,19,29
113,2,10:30.0,B. Jennings makes 2-pt layup at rim,,21,29
114,2,10:14.0,,K. Olynyk misses 2-pt jump shot from 8 ft,21,29
115,2,10:13.0,Defensive rebound by B. Jennings,,21,29
116,2,10:07.0,A. Tolliver misses 3-pt jump shot from 25 ft,,21,29
117,2,10:06.0,Offensive rebound by A. Baynes,,21,29
118,2,10:05.0,Personal foul by K. Olynyk (drawn by A. Baynes),,21,29
119,2,10:05.0,,T. Zeller enters the game for J. Jerebko,21,29
120,2,9:50.0,S. Johnson misses 2-pt jump shot from 16 ft,,21,29
121,2,9:48.0,Offensive rebound by A. Tolliver,,21,29
122,2,9:42.0,A. Baynes misses 2-pt layup from 1 ft (block by E. Turner),,21,29
123,2,9:41.0,Offensive rebound by Team,,21,29
124,2,9:34.0,B. Jennings makes 2-pt jump shot from 17 ft,,23,29
125,2,9:22.0,,A. Bradley misses 2-pt jump shot from 20 ft,23,29
126,2,9:21.0,Defensive rebound by M. Morris,,23,29
