,QUARTER,TIME_REMAINING,CHICAGO_ACTION,ATLANTA_ACTION,CHICAGO_SCORE,ATLANTA_SCORE
0,1,11:39.0,,P. Millsap misses 2-pt layup from 2 ft,0,0
1,1,11:38.0,,Offensive rebound by P. Millsap,0,0
2,1,11:25.0,,K. Korver misses 3-pt jump shot from 25 ft,0,0
3,1,11:21.0,Defensive rebound by E. Moore,,0,0
4,1,11:16.0,T. Snell misses 3-pt jump shot from 25 ft,,0,0
5,1,11:15.0,,Defensive rebound by J. Teague,0,0
6,1,11:11.0,,Personal foul by T. Snell (drawn by J. Teague),0,0
7,1,11:05.0,,K. Bazemore misses 2-pt layup from 2 ft,0,0
8,1,11:03.0,,Offensive rebound by K. Bazemore,0,0
9,1,11:02.0,,K. Bazemore misses 2-pt layup from 2 ft,0,0
10,1,10:59.0,,Offensive rebound by K. Bazemore,0,0
11,1,10:59.0,,K. Bazemore makes 2-pt layup at rim,0,2
12,1,10:42.0,E. Moore misses 2-pt jump shot from 17 ft,,0,2
13,1,10:40.0,,Defensive rebound by A. Horford,0,2
14,1,10:30.0,,P. Millsap misses 3-pt jump shot from 25 ft,0,2
15,1,10:29.0,Defensive rebound by T. Gibson,,0,2
16,1,10:11.0,M. Dunleavy makes 2-pt jump shot from 19 ft (assist by P. Gasol),,2,2
17,1,9:54.0,,K. Bazemore makes 2-pt layup from 2 ft (assist by A. Horford),2,4
18,1,9:44.0,E. Moore misses 3-pt jump shot from 25 ft,,2,4
19,1,9:43.0,,Defensive rebound by P. Millsap,2,4
20,1,9:31.0,,K. Bazemore misses 3-pt jump shot from 25 ft,2,4
21,1,9:29.0,Defensive rebound by M. Dunleavy,,2,4
22,1,9:14.0,E. Moore makes 2-pt layup from 2 ft,,4,4
23,1,9:10.0,,Shooting foul by E. Moore (drawn by J. Teague),4,4
24,1,9:10.0,,J. Teague makes free throw 1 of 2,4,5
25,1,9:10.0,,J. Teague misses free throw 2 of 2,4,5
26,1,9:10.0,Defensive rebound by P. Gasol,,4,5
27,1,8:55.0,T. Snell misses 3-pt jump shot from 23 ft,,4,5
28,1,8:52.0,Offensive rebound by T. Snell,,4,5
29,1,8:48.0,T. Snell makes 2-pt layup at rim,,6,5
30,1,8:24.0,,A. Horford makes 2-pt hook shot from 2 ft (assist by J. Teague),6,7
31,1,8:02.0,P. Gasol misses 3-pt jump shot from 23 ft,,6,7
32,1,8:01.0,,Defensive rebound by A. Horford,6,7
33,1,7:51.0,,K. Bazemore makes 2-pt layup from 1 ft (assist by P. Millsap),6,9
34,1,7:34.0,T. Gibson makes 2-pt layup from 2 ft,,8,9
35,1,7:22.0,,P. Millsap misses 3-pt jump shot from 24 ft,8,9
36,1,7:20.0,,Offensive rebound by P. Millsap,8,9
37,1,7:19.0,,Shooting foul by E. Moore (drawn by P. Millsap),8,9
38,1,7:19.0,,P. Millsap makes free throw 1 of 2,8,10
39,1,7:19.0,A. Brooks enters the game for E. Moore,,8,10
40,1,7:19.0,,P. Millsap makes free throw 2 of 2,8,11
41,1,6:58.0,P. Gasol makes 2-pt hook shot from 5 ft,,10,11
42,1,6:58.0,Shooting foul by A. Horford (drawn by P. Gasol),,10,11
43,1,6:58.0,,M. Muscala enters the game for A. Horford,10,11
44,1,6:58.0,P. Gasol makes free throw 1 of 1,,11,11
45,1,6:47.0,,J. Teague makes 2-pt jump shot from 14 ft (assist by K. Korver),11,13
46,1,6:28.0,T. Snell misses 3-pt jump shot from 23 ft,,11,13
47,1,6:27.0,,Defensive rebound by M. Muscala,11,13
48,1,6:15.0,,J. Teague misses 3-pt jump shot from 25 ft,11,13
49,1,6:14.0,Defensive rebound by P. Gasol,,11,13
50,1,6:02.0,Turnover by P. Gasol (bad pass; steal by M. Muscala),,11,13
51,1,5:56.0,,J. Teague misses 2-pt jump shot from 13 ft,11,13
52,1,5:55.0,Defensive rebound by M. Dunleavy,,11,13
53,1,5:35.0,T. Gibson misses 2-pt hook shot from 7 ft,,11,13
54,1,5:34.0,Offensive rebound by T. Gibson,,11,13
55,1,5:32.0,Turnover by T. Gibson (lost ball; steal by P. Millsap),,11,13
56,1,5:24.0,,K. Bazemore misses 3-pt jump shot from 24 ft,11,13
