,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,UTAH_ACTION,SAN ANTONIO_SCORE,UTAH_SCORE
0,1,11:47.0,Turnover by T. Duncan (bad pass),,0,0
1,1,11:26.0,,R. Gobert misses 2-pt layup from 1 ft,0,0
2,1,11:26.0,,Offensive rebound by R. Gobert,0,0
3,1,11:26.0,,D. Favors misses 2-pt jump shot from 12 ft,0,0
4,1,11:25.0,Defensive rebound by K. Leonard,,0,0
5,1,11:14.0,K. Leonard makes 2-pt layup from 3 ft,,2,0
6,1,11:00.0,,R. Gobert makes 2-pt layup from 1 ft (assist by G. Hayward),2,2
7,1,10:45.0,K. Leonard misses 3-pt jump shot from 22 ft,,2,2
8,1,10:43.0,,Defensive rebound by Team,2,2
9,1,10:27.0,,S. Mack misses 2-pt jump shot from 18 ft,2,2
10,1,10:25.0,Defensive rebound by L. Aldridge,,2,2
11,1,10:17.0,T. Parker makes 2-pt jump shot from 17 ft,,4,2
12,1,9:55.0,,D. Favors makes 2-pt jump shot from 9 ft (assist by R. Hood),4,4
13,1,9:40.0,D. Green misses 3-pt jump shot from 23 ft,,4,4
14,1,9:40.0,,Defensive rebound by D. Favors,4,4
15,1,9:26.0,,G. Hayward misses 2-pt jump shot from 18 ft,4,4
16,1,9:25.0,Defensive rebound by T. Parker,,4,4
17,1,9:14.0,Turnover by T. Parker (bad pass; steal by D. Favors),,4,4
18,1,9:08.0,,R. Hood misses 3-pt jump shot from 25 ft,4,4
19,1,9:07.0,Defensive rebound by T. Duncan,,4,4
20,1,8:46.0,D. Green misses 2-pt jump shot from 9 ft,,4,4
21,1,8:45.0,,Defensive rebound by D. Favors,4,4
22,1,8:34.0,,R. Hood misses 2-pt jump shot from 4 ft (block by D. Green),4,4
23,1,8:34.0,,Offensive rebound by Team,4,4
24,1,8:28.0,,Shooting foul by D. Green (drawn by R. Hood),4,4
25,1,8:28.0,,R. Hood makes free throw 1 of 2,4,5
26,1,8:28.0,,R. Hood makes free throw 2 of 2,4,6
27,1,8:16.0,T. Duncan makes 2-pt jump shot from 16 ft (assist by T. Parker),,6,6
28,1,7:59.0,,D. Favors makes 2-pt jump shot from 14 ft (assist by R. Hood),6,8
29,1,7:43.0,T. Parker misses 2-pt jump shot from 8 ft,,6,8
30,1,7:43.0,,Defensive rebound by S. Mack,6,8
31,1,7:24.0,,R. Gobert makes 2-pt layup from 1 ft,6,10
32,1,7:09.0,L. Aldridge misses 2-pt jump shot from 3 ft,,6,10
33,1,7:08.0,Offensive rebound by T. Duncan,,6,10
34,1,7:06.0,T. Duncan makes 2-pt layup from 1 ft,,8,10
35,1,6:45.0,,Turnover by R. Gobert (lost ball; steal by T. Duncan),8,10
36,1,6:35.0,Shooting foul by G. Hayward (drawn by K. Leonard),,8,10
37,1,6:35.0,K. Leonard makes free throw 1 of 2,,9,10
38,1,6:35.0,K. Leonard makes free throw 2 of 2,,10,10
39,1,6:22.0,,S. Mack makes 2-pt jump shot from 11 ft,10,12
40,1,6:21.0,San Antonio full timeout,,10,12
41,1,6:08.0,Turnover by L. Aldridge (bad pass; steal by S. Mack),,10,12
42,1,6:02.0,,S. Mack makes 2-pt layup from 1 ft,10,14
43,1,5:39.0,K. Leonard makes 2-pt jump shot from 3 ft,,12,14
44,1,5:20.0,,G. Hayward makes 2-pt jump shot from 15 ft (assist by D. Favors),12,16
45,1,5:06.0,T. Duncan misses 2-pt jump shot from 17 ft,,12,16
46,1,5:06.0,,Defensive rebound by D. Favors,12,16
47,1,4:48.0,,R. Hood makes 3-pt jump shot from 24 ft,12,19
48,1,4:30.0,T. Parker makes 2-pt jump shot from 18 ft,,14,19
49,1,4:22.0,,Turnover by R. Gobert (back court),14,19
50,1,4:22.0,,C. Johnson enters the game for R. Hood,14,19
51,1,4:22.0,,T. Booker enters the game for D. Favors,14,19
52,1,4:22.0,B. Diaw enters the game for T. Duncan,,14,19
53,1,4:22.0,K. Anderson enters the game for D. Green,,14,19
