,QUARTER,TIME_REMAINING,TORONTO_ACTION,OKLAHOMA CITY_ACTION,TORONTO_SCORE,OKLAHOMA CITY_SCORE
0,1,11:44.0,Turnover by K. Lowry (lost ball),,0,0
1,1,11:25.0,,R. Westbrook misses 3-pt jump shot from 25 ft,0,0
2,1,11:25.0,Defensive rebound by L. Scola,,0,0
3,1,11:25.0,Personal foul by R. Westbrook (drawn by L. Scola),,0,0
4,1,11:09.0,L. Scola misses 2-pt jump shot from 19 ft,,0,0
5,1,11:09.0,,Defensive rebound by K. Durant,0,0
6,1,10:54.0,,S. Adams makes 2-pt jump shot from 8 ft (assist by K. Durant),0,2
7,1,10:34.0,D. DeRozan misses 2-pt jump shot from 6 ft,,0,2
8,1,10:34.0,,Defensive rebound by S. Adams,0,2
9,1,10:28.0,,R. Westbrook makes 2-pt jump shot from 14 ft,0,4
10,1,10:02.0,L. Scola misses 2-pt jump shot from 5 ft,,0,4
11,1,10:01.0,,Defensive rebound by S. Ibaka,0,4
12,1,9:55.0,,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),0,6
13,1,9:35.0,Personal foul by S. Adams (drawn by J. Valančiūnas),,0,6
14,1,9:22.0,J. Valančiūnas makes 2-pt hook shot from 3 ft,,2,6
15,1,9:09.0,,K. Durant misses 3-pt jump shot from 24 ft,2,6
16,1,9:08.0,Defensive rebound by D. Carroll,,2,6
17,1,8:55.0,K. Lowry misses 3-pt jump shot from 24 ft,,2,6
18,1,8:54.0,,Defensive rebound by S. Adams,2,6
19,1,8:50.0,,Personal foul by K. Lowry (drawn by K. Durant),2,6
20,1,8:41.0,,S. Adams misses 2-pt hook shot from 3 ft,2,6
21,1,8:41.0,Defensive rebound by D. Carroll,,2,6
22,1,8:24.0,L. Scola makes 2-pt jump shot from 17 ft (assist by K. Lowry),,4,6
23,1,8:14.0,,Turnover by R. Westbrook (bad pass),4,6
24,1,7:56.0,L. Scola misses 2-pt layup from 2 ft (block by S. Ibaka),,4,6
25,1,7:55.0,,Defensive rebound by S. Adams,4,6
26,1,7:53.0,,Turnover by S. Adams (bad pass; steal by L. Scola),4,6
27,1,7:48.0,L. Scola misses 2-pt layup at rim (block by S. Adams),,4,6
28,1,7:47.0,Offensive rebound by Team,,4,6
29,1,7:45.0,D. Carroll misses 2-pt layup from 1 ft (block by S. Adams),,4,6
30,1,7:45.0,Offensive rebound by Team,,4,6
31,1,7:39.0,D. DeRozan misses 2-pt layup from 2 ft (block by S. Adams),,4,6
32,1,7:39.0,,Defensive rebound by Team,4,6
33,1,7:25.0,,S. Ibaka makes 2-pt dunk at rim (assist by R. Westbrook),4,8
34,1,6:57.0,K. Lowry misses 2-pt layup at rim,,4,8
35,1,6:57.0,,Defensive rebound by S. Ibaka,4,8
36,1,6:54.0,,Turnover by R. Westbrook (bad pass; steal by D. DeRozan),4,8
37,1,6:49.0,K. Lowry misses 3-pt jump shot from 23 ft,,4,8
38,1,6:49.0,,Defensive rebound by R. Westbrook,4,8
39,1,6:43.0,,K. Durant makes 3-pt jump shot from 25 ft (assist by R. Westbrook),4,11
40,1,6:34.0,Toronto full timeout,,4,11
41,1,6:15.0,D. Carroll misses 2-pt jump shot from 18 ft (block by K. Durant),,4,11
42,1,6:15.0,Offensive rebound by Team,,4,11
43,1,6:15.0,Turnover by Team (shot clock),,4,11
44,1,6:07.0,,Turnover by R. Westbrook (bad pass; steal by K. Lowry),4,11
45,1,6:01.0,K. Lowry misses 2-pt layup from 1 ft (block by S. Ibaka),,4,11
46,1,6:00.0,,Defensive rebound by S. Adams,4,11
47,1,5:56.0,,K. Durant makes 2-pt layup from 1 ft (assist by R. Westbrook),4,13
48,1,5:39.0,D. Carroll misses 3-pt jump shot from 24 ft,,4,13
49,1,5:38.0,,Defensive rebound by S. Ibaka,4,13
50,1,5:29.0,,S. Adams makes 2-pt jump shot from 4 ft (assist by R. Westbrook),4,15
51,1,5:09.0,D. DeRozan misses 2-pt jump shot from 11 ft,,4,15
52,1,5:08.0,,Defensive rebound by R. Westbrook,4,15
53,1,4:58.0,,K. Durant misses 3-pt jump shot from 24 ft,4,15
54,1,4:57.0,Defensive rebound by D. DeRozan,,4,15
55,1,4:42.0,D. Carroll misses 2-pt jump shot from 4 ft,,4,15
56,1,4:41.0,Offensive rebound by D. Carroll,,4,15
57,1,4:40.0,D. Carroll misses 2-pt layup from 1 ft,,4,15
58,1,4:39.0,Offensive rebound by Team,,4,15
59,1,4:39.0,B. Biyombo enters the game for J. Valančiūnas,,4,15
60,1,4:39.0,P. Patterson enters the game for L. Scola,,4,15
61,1,4:32.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by P. Patterson),,7,15
62,1,4:16.0,,R. Westbrook misses 3-pt jump shot from 24 ft,7,15
63,1,4:16.0,Defensive rebound by K. Lowry,,7,15
64,1,4:05.0,,Violation by S. Adams (kicked ball),7,15
65,1,3:57.0,Offensive foul by P. Patterson (drawn by A. Roberson),,7,15
66,1,3:57.0,Turnover by P. Patterson (offensive foul),,7,15
67,1,3:57.0,T. Ross enters the game for D. DeRozan,,7,15
68,1,3:48.0,,S. Ibaka makes 2-pt dunk at rim (assist by R. Westbrook),7,17
69,1,3:38.0,Personal foul by A. Roberson (drawn by B. Biyombo),,7,17
70,1,3:38.0,,E. Freedom enters the game for S. Ibaka,7,17
71,1,3:38.0,,D. Waiters enters the game for S. Adams,7,17
72,1,3:38.0,,N. Collison enters the game for A. Roberson,7,17
73,1,3:27.0,Shooting foul by E. Freedom (drawn by B. Biyombo),,7,17
74,1,3:27.0,B. Biyombo misses free throw 1 of 2,,7,17
75,1,3:27.0,Offensive rebound by Team,,7,17
76,1,3:27.0,B. Biyombo makes free throw 2 of 2,,8,17
77,1,3:25.0,,Oklahoma City full timeout,8,17
78,1,3:06.0,,N. Collison misses 2-pt layup from 2 ft (block by P. Patterson),8,17
79,1,3:05.0,Defensive rebound by B. Biyombo,,8,17
80,1,2:55.0,K. Lowry misses 2-pt jump shot from 17 ft,,8,17
81,1,2:55.0,Offensive rebound by B. Biyombo,,8,17
82,1,2:51.0,Personal foul by N. Collison (drawn by B. Biyombo),,8,17
83,1,2:51.0,B. Biyombo makes free throw 1 of 2,,9,17
84,1,2:51.0,C. Joseph enters the game for K. Lowry,,9,17
85,1,2:51.0,B. Biyombo misses free throw 2 of 2,,9,17
86,1,2:50.0,,Defensive rebound by K. Durant,9,17
87,1,2:38.0,,K. Durant makes 2-pt dunk at rim (assist by R. Westbrook),9,19
88,1,2:15.0,C. Joseph makes 2-pt layup from 2 ft,,11,19
89,1,1:54.0,,E. Freedom makes 2-pt layup at rim (assist by R. Westbrook),11,21
90,1,1:38.0,D. Carroll makes 2-pt layup from 1 ft,,13,21
91,1,1:23.0,,N. Collison misses 2-pt layup from 2 ft,13,21
92,1,1:22.0,,Offensive rebound by D. Waiters,13,21
93,1,1:16.0,,D. Waiters misses 2-pt jump shot from 14 ft,13,21
94,1,1:15.0,Defensive rebound by D. Carroll,,13,21
95,1,1:07.0,P. Patterson misses 3-pt jump shot from 23 ft,,13,21
96,1,1:06.0,,Defensive rebound by E. Freedom,13,21
97,1,0:56.0,,K. Durant misses 2-pt jump shot from 16 ft,13,21
98,1,0:55.0,Defensive rebound by C. Joseph,,13,21
99,1,0:38.0,,K. Singler enters the game for K. Durant,13,21
100,1,0:38.0,,D. Augustin enters the game for R. Westbrook,13,21
101,1,0:38.0,Turnover by B. Biyombo (lost ball; steal by N. Collison),,13,21
102,1,0:28.0,,E. Freedom makes 2-pt jump shot from 14 ft (assist by D. Waiters),13,23
103,1,0:05.0,T. Ross misses 3-pt jump shot from 24 ft,,13,23
104,1,0:05.0,,Defensive rebound by E. Freedom,13,23
105,1,0:01.0,,Turnover by D. Augustin (lost ball; steal by P. Patterson),13,23
106,2,11:52.0,,Personal foul by B. Biyombo (drawn by E. Freedom),13,23
107,2,11:45.0,,E. Freedom makes 2-pt jump shot from 15 ft (assist by D. Augustin),13,25
108,2,11:27.0,B. Biyombo misses 2-pt hook shot from 3 ft,,13,25
109,2,11:27.0,,Defensive rebound by D. Waiters,13,25
110,2,11:19.0,,E. Freedom misses 2-pt layup from 2 ft (block by B. Biyombo),13,25
111,2,11:18.0,,Offensive rebound by D. Waiters,13,25
112,2,11:11.0,,D. Waiters misses 2-pt layup at rim,13,25
113,2,11:09.0,,Offensive rebound by N. Collison,13,25
114,2,11:09.0,,N. Collison misses 2-pt layup from 1 ft,13,25
115,2,11:09.0,Defensive rebound by D. DeRozan,,13,25
116,2,11:01.0,T. Ross makes 3-pt jump shot from 23 ft (assist by D. DeRozan),,16,25
117,2,10:48.0,,Offensive foul by D. Augustin (drawn by B. Biyombo),16,25
118,2,10:48.0,,Turnover by D. Augustin (offensive foul),16,25
119,2,10:27.0,C. Joseph misses 2-pt jump shot from 8 ft,,16,25
