,QUARTER,TIME_REMAINING,UTAH_ACTION,PHOENIX_ACTION,UTAH_SCORE,PHOENIX_SCORE
0,1,11:36.0,G. Hayward misses 3-pt jump shot from 24 ft,,0,0
1,1,11:35.0,,Defensive rebound by A. Len,0,0
2,1,11:20.0,,T. Chandler makes 2-pt dunk at rim (assist by R. Price),0,2
3,1,11:02.0,S. Mack misses 2-pt jump shot from 9 ft,,0,2
4,1,11:02.0,,Defensive rebound by T. Chandler,0,2
5,1,10:45.0,,R. Price misses 3-pt jump shot from 24 ft,0,2
6,1,10:45.0,Defensive rebound by G. Hayward,,0,2
7,1,10:36.0,Shooting foul by D. Booker (drawn by G. Hayward),,0,2
8,1,10:36.0,G. Hayward makes free throw 1 of 2,,1,2
9,1,10:36.0,G. Hayward makes free throw 2 of 2,,2,2
10,1,10:24.0,,D. Booker misses 2-pt layup from 2 ft,2,2
11,1,10:22.0,,Offensive rebound by T. Chandler,2,2
12,1,10:16.0,,Shooting foul by R. Gobert (drawn by A. Len),2,2
13,1,10:16.0,,A. Len makes free throw 1 of 2,2,3
14,1,10:16.0,,A. Len makes free throw 2 of 2,2,4
15,1,10:04.0,Personal foul by P. Tucker,,2,4
16,1,10:04.0,J. Ingles enters the game for G. Hayward,,2,4
17,1,9:49.0,R. Hood misses 2-pt jump shot from 16 ft,,2,4
18,1,9:49.0,,Defensive rebound by A. Len,2,4
19,1,9:35.0,,D. Booker makes 2-pt layup from 1 ft,2,6
20,1,9:12.0,J. Ingles misses 2-pt jump shot from 21 ft,,2,6
21,1,9:11.0,,Defensive rebound by Team,2,6
22,1,9:11.0,G. Hayward enters the game for J. Ingles,,2,6
23,1,8:58.0,,D. Booker misses 2-pt jump shot from 10 ft,2,6
24,1,8:57.0,Defensive rebound by S. Mack,,2,6
25,1,8:44.0,D. Favors misses 2-pt jump shot from 10 ft,,2,6
26,1,8:44.0,,Defensive rebound by D. Booker,2,6
27,1,8:37.0,,Turnover by D. Booker (bad pass),2,6
28,1,8:15.0,R. Hood misses 3-pt jump shot from 25 ft,,2,6
29,1,8:14.0,,Defensive rebound by Team,2,6
30,1,7:58.0,,T. Chandler misses 2-pt layup from 1 ft,2,6
31,1,7:57.0,,Offensive rebound by T. Chandler,2,6
32,1,7:57.0,,T. Chandler makes 2-pt layup from 1 ft,2,8
33,1,7:41.0,R. Gobert makes 2-pt dunk at rim (assist by S. Mack),,4,8
34,1,7:36.0,,Shooting foul by D. Favors (drawn by R. Price),4,8
35,1,7:36.0,,R. Price misses free throw 1 of 2,4,8
36,1,7:36.0,,Offensive rebound by Team,4,8
37,1,7:36.0,T. Lyles enters the game for D. Favors,,4,8
38,1,7:36.0,,R. Price misses free throw 2 of 2,4,8
39,1,7:34.0,Defensive rebound by T. Lyles,,4,8
40,1,7:19.0,R. Gobert makes 2-pt jump shot from 6 ft,,6,8
41,1,7:04.0,,Turnover by P. Tucker (bad pass),6,8
42,1,6:46.0,R. Hood misses 2-pt layup from 2 ft,,6,8
43,1,6:46.0,Offensive rebound by Team,,6,8
44,1,6:46.0,,Loose ball foul by P. Tucker,6,8
45,1,6:46.0,,M. Teletović enters the game for P. Tucker,6,8
46,1,6:34.0,R. Gobert misses 2-pt layup from 2 ft,,6,8
47,1,6:33.0,,Defensive rebound by T. Chandler,6,8
48,1,6:17.0,,Turnover by M. Teletović (traveling),6,8
49,1,6:02.0,R. Hood misses 3-pt jump shot from 25 ft,,6,8
50,1,6:01.0,,Defensive rebound by R. Price,6,8
51,1,5:55.0,,Personal foul by G. Hayward,6,8
52,1,5:55.0,,Phoenix full timeout,6,8
53,1,5:50.0,,Shooting foul by R. Gobert (drawn by M. Teletović),6,8
54,1,5:50.0,,M. Teletović misses free throw 1 of 2,6,8
55,1,5:50.0,,Offensive rebound by Team,6,8
56,1,5:50.0,D. Favors enters the game for R. Gobert,,6,8
57,1,5:50.0,,M. Teletović makes free throw 2 of 2,6,9
58,1,5:31.0,G. Hayward misses 2-pt jump shot from 20 ft,,6,9
59,1,5:29.0,,Defensive rebound by R. Price,6,9
60,1,5:22.0,,Turnover by M. Teletović (bad pass; steal by G. Hayward),6,9
61,1,4:58.0,R. Hood misses 3-pt jump shot from 24 ft,,6,9
62,1,4:58.0,,Defensive rebound by M. Teletović,6,9
63,1,4:44.0,,T. Chandler makes 2-pt hook shot from 2 ft,6,11
64,1,4:33.0,G. Hayward makes 3-pt jump shot from 24 ft (assist by R. Hood),,9,11
65,1,4:20.0,,T. Chandler makes 2-pt layup from 1 ft (assist by D. Booker),9,13
66,1,4:08.0,S. Mack misses 2-pt layup from 2 ft (block by D. Booker),,9,13
67,1,4:07.0,,Defensive rebound by A. Len,9,13
68,1,4:01.0,,M. Teletović makes 3-pt jump shot from 22 ft (assist by R. Price),9,16
69,1,3:34.0,R. Hood misses 3-pt jump shot from 22 ft,,9,16
70,1,3:34.0,,Defensive rebound by T. Chandler,9,16
71,1,3:14.0,,R. Price misses 3-pt jump shot from 24 ft,9,16
72,1,3:14.0,Defensive rebound by S. Mack,,9,16
73,1,3:00.0,Personal foul by R. Price,,9,16
74,1,3:00.0,J. Ingles enters the game for R. Hood,,9,16
