,QUARTER,TIME_REMAINING,INDIANA_ACTION,TORONTO_ACTION,INDIANA_SCORE,TORONTO_SCORE
0,1,11:42.0,,L. Scola misses 3-pt jump shot from 26 ft,0,0
1,1,11:42.0,,Offensive rebound by J. Valančiūnas,0,0
2,1,11:41.0,,J. Valančiūnas misses 2-pt layup from 2 ft,0,0
3,1,11:41.0,,Offensive rebound by J. Valančiūnas,0,0
4,1,11:41.0,Loose ball foul by I. Mahinmi,,0,0
5,1,11:17.0,,D. DeRozan misses 2-pt jump shot from 21 ft,0,0
6,1,11:17.0,Defensive rebound by I. Mahinmi,,0,0
7,1,10:58.0,I. Mahinmi misses 2-pt jump shot from 11 ft,,0,0
8,1,10:58.0,,Defensive rebound by Team,0,0
9,1,10:58.0,Loose ball foul by L. Allen,,0,0
10,1,10:46.0,,D. Carroll misses 2-pt layup from 1 ft,0,0
11,1,10:45.0,,Offensive rebound by D. Carroll,0,0
12,1,10:40.0,,K. Lowry misses 3-pt jump shot from 27 ft,0,0
13,1,10:40.0,Defensive rebound by M. Ellis,,0,0
14,1,10:31.0,G. Hill makes 2-pt jump shot from 16 ft (assist by M. Ellis),,2,0
15,1,10:21.0,,Personal block foul by G. Hill,2,0
16,1,10:04.0,,J. Valančiūnas makes 2-pt layup from 3 ft (assist by D. DeRozan),2,2
17,1,9:51.0,P. George misses 2-pt jump shot from 18 ft,,2,2
18,1,9:50.0,,Defensive rebound by L. Scola,2,2
19,1,9:30.0,,D. Carroll misses 2-pt jump shot from 5 ft,2,2
20,1,9:30.0,Defensive rebound by L. Allen,,2,2
21,1,9:17.0,Personal foul by D. Carroll,,2,2
22,1,9:16.0,Shooting foul by D. Carroll (drawn by P. George),,2,2
23,1,9:16.0,P. George makes free throw 1 of 2,,3,2
24,1,9:16.0,,N. Powell enters the game for D. Carroll,3,2
25,1,9:16.0,P. George makes free throw 2 of 2,,4,2
26,1,9:04.0,,J. Valančiūnas makes 2-pt jump shot from 13 ft (assist by N. Powell),4,4
27,1,8:54.0,M. Ellis makes 2-pt jump shot from 17 ft,,6,4
28,1,8:41.0,,N. Powell makes 3-pt jump shot from 26 ft (assist by K. Lowry),6,7
29,1,8:30.0,Personal foul by K. Lowry,,6,7
30,1,8:26.0,P. George misses 2-pt jump shot from 14 ft,,6,7
31,1,8:25.0,,Defensive rebound by D. DeRozan,6,7
32,1,8:12.0,,D. DeRozan makes 2-pt jump shot from 10 ft,6,9
33,1,7:47.0,M. Ellis misses 2-pt jump shot from 20 ft,,6,9
34,1,7:47.0,,Defensive rebound by Team,6,9
35,1,7:27.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by K. Lowry),6,11
36,1,7:08.0,P. George misses 2-pt jump shot from 4 ft (block by N. Powell),,6,11
