,QUARTER,TIME_REMAINING,ORLANDO_ACTION,LA CLIPPERS_ACTION,ORLANDO_SCORE,LA CLIPPERS_SCORE
0,1,11:46.0,T. Harris misses 2-pt jump shot from 17 ft,,0,0
1,1,11:45.0,,Defensive rebound by B. Griffin,0,0
2,1,11:30.0,,D. Jordan makes 2-pt hook shot from 3 ft (assist by B. Griffin),0,2
3,1,11:13.0,E. Payton makes 2-pt jump shot from 5 ft,,2,2
4,1,11:00.0,,Turnover by A. Rivers (bad pass; steal by E. Fournier),2,2
5,1,10:54.0,E. Fournier misses 2-pt layup from 2 ft,,2,2
6,1,10:53.0,Offensive rebound by T. Harris,,2,2
7,1,10:51.0,T. Harris makes 2-pt layup at rim,,4,2
8,1,10:35.0,,J. Crawford makes 2-pt jump shot from 15 ft (assist by B. Griffin),4,4
9,1,10:16.0,N. Vučević misses 2-pt hook shot from 9 ft,,4,4
10,1,10:14.0,Offensive rebound by T. Harris,,4,4
11,1,10:10.0,T. Harris misses 2-pt layup from 1 ft,,4,4
12,1,10:09.0,Offensive rebound by N. Vučević,,4,4
13,1,10:05.0,T. Harris makes 2-pt layup from 3 ft (assist by N. Vučević),,6,4
14,1,9:51.0,,B. Griffin makes 2-pt jump shot from 15 ft (assist by A. Rivers),6,6
15,1,9:41.0,C. Frye misses 3-pt jump shot from 24 ft,,6,6
16,1,9:40.0,,Defensive rebound by B. Griffin,6,6
17,1,9:29.0,,B. Griffin makes 2-pt dunk at rim,6,8
18,1,9:16.0,Personal foul by J. Crawford (drawn by E. Fournier),,6,8
19,1,9:11.0,Shooting foul by J. Crawford (drawn by E. Fournier),,6,8
20,1,9:11.0,E. Fournier makes free throw 1 of 2,,7,8
21,1,9:11.0,,L. Stephenson enters the game for J. Crawford,7,8
22,1,9:11.0,E. Fournier makes free throw 2 of 2,,8,8
23,1,8:57.0,,B. Griffin misses 2-pt jump shot from 18 ft,8,8
24,1,8:57.0,Defensive rebound by T. Harris,,8,8
25,1,8:39.0,N. Vučević misses 2-pt jump shot from 18 ft,,8,8
26,1,8:39.0,,Defensive rebound by D. Jordan,8,8
27,1,8:24.0,,Turnover by L. Mbah a Moute (lost ball; steal by E. Payton),8,8
28,1,8:18.0,T. Harris makes 2-pt layup from 2 ft (assist by E. Payton),,10,8
29,1,8:08.0,,L. Stephenson misses 2-pt jump shot from 15 ft,10,8
30,1,8:07.0,Defensive rebound by T. Harris,,10,8
31,1,7:56.0,N. Vučević misses 2-pt jump shot from 20 ft,,10,8
32,1,7:56.0,,Defensive rebound by A. Rivers,10,8
33,1,7:43.0,,D. Jordan misses 2-pt layup from 4 ft,10,8
34,1,7:43.0,Defensive rebound by Team,,10,8
35,1,7:43.0,,W. Johnson enters the game for L. Mbah a Moute,10,8
36,1,7:31.0,C. Frye misses 3-pt jump shot from 25 ft,,10,8
37,1,7:30.0,,Defensive rebound by D. Jordan,10,8
38,1,7:12.0,,W. Johnson makes 3-pt jump shot from 26 ft (assist by B. Griffin),10,11
39,1,7:04.0,Turnover by E. Fournier (lost ball; steal by L. Stephenson),,10,11
40,1,6:53.0,,Def 3 sec tech foul by N. Vučević,10,11
41,1,6:53.0,,W. Johnson makes technical free throw,10,12
42,1,6:44.0,,A. Rivers makes 2-pt layup from 3 ft,10,14
43,1,6:30.0,E. Payton misses 2-pt jump shot from 20 ft,,10,14
44,1,6:29.0,,Defensive rebound by B. Griffin,10,14
45,1,6:22.0,,Shooting foul by N. Vučević (drawn by B. Griffin),10,14
46,1,6:22.0,,B. Griffin makes free throw 1 of 2,10,15
47,1,6:22.0,V. Oladipo enters the game for E. Fournier,,10,15
48,1,6:22.0,J. Smith enters the game for N. Vučević,,10,15
49,1,6:22.0,A. Nicholson enters the game for C. Frye,,10,15
50,1,6:22.0,,B. Griffin makes free throw 2 of 2,10,16
51,1,6:07.0,J. Smith makes 2-pt jump shot from 14 ft (assist by E. Payton),,12,16
52,1,5:56.0,,A. Rivers misses 2-pt layup from 2 ft (block by V. Oladipo),12,16
53,1,5:55.0,,Offensive rebound by W. Johnson,12,16
54,1,5:51.0,,D. Jordan misses 2-pt dunk from 1 ft,12,16
55,1,5:47.0,Defensive rebound by J. Smith,,12,16
56,1,5:41.0,J. Smith makes 2-pt jump shot from 18 ft (assist by V. Oladipo),,14,16
57,1,5:13.0,,W. Johnson makes 3-pt jump shot from 24 ft (assist by A. Rivers),14,19
58,1,5:00.0,Turnover by V. Oladipo (lost ball),,14,19
59,1,5:00.0,,LA Clippers full timeout,14,19
60,1,5:00.0,A. Gordon enters the game for T. Harris,,14,19
61,1,4:46.0,,Shooting foul by J. Smith (drawn by B. Griffin),14,19
62,1,4:46.0,,B. Griffin makes free throw 1 of 2,14,20
63,1,4:46.0,,B. Griffin misses free throw 2 of 2,14,20
64,1,4:44.0,Defensive rebound by A. Gordon,,14,20
65,1,4:31.0,V. Oladipo makes 2-pt jump shot from 18 ft (assist by J. Smith),,16,20
66,1,4:19.0,,Shooting foul by V. Oladipo (drawn by W. Johnson),16,20
67,1,4:19.0,,W. Johnson misses free throw 1 of 2,16,20
68,1,4:19.0,,Offensive rebound by Team,16,20
69,1,4:19.0,,W. Johnson misses free throw 2 of 2,16,20
70,1,4:18.0,Defensive rebound by A. Gordon,,16,20
71,1,4:05.0,V. Oladipo misses 3-pt jump shot from 25 ft,,16,20
72,1,4:04.0,,Defensive rebound by A. Rivers,16,20
73,1,3:52.0,,B. Griffin misses 2-pt layup from 3 ft,16,20
74,1,3:51.0,,Offensive rebound by B. Griffin,16,20
75,1,3:49.0,,B. Griffin misses 2-pt layup from 1 ft,16,20
76,1,3:48.0,Defensive rebound by A. Nicholson,,16,20
77,1,3:39.0,J. Smith makes 2-pt jump shot from 18 ft (assist by V. Oladipo),,18,20
78,1,3:21.0,,Turnover by W. Johnson (lost ball; steal by A. Gordon),18,20
79,1,2:56.0,A. Gordon makes 2-pt jump shot from 18 ft (assist by J. Smith),,20,20
80,1,2:31.0,,A. Rivers misses 3-pt jump shot from 25 ft,20,20
81,1,2:31.0,Defensive rebound by V. Oladipo,,20,20
82,1,2:29.0,,Offensive charge foul by E. Payton (drawn by B. Griffin),20,20
83,1,2:29.0,Turnover by E. Payton (offensive foul),,20,20
84,1,2:29.0,Orlando full timeout,,20,20
85,1,2:29.0,,P. Prigioni enters the game for A. Rivers,20,20
86,1,2:29.0,,J. Smith enters the game for D. Jordan,20,20
87,1,2:05.0,,B. Griffin misses 2-pt jump shot from 21 ft,20,20
88,1,2:05.0,Defensive rebound by A. Gordon,,20,20
89,1,1:50.0,V. Oladipo misses 2-pt jump shot from 19 ft,,20,20
90,1,1:48.0,,Defensive rebound by B. Griffin,20,20
91,1,1:43.0,,B. Griffin misses 2-pt jump shot from 6 ft,20,20
92,1,1:42.0,Defensive rebound by A. Nicholson,,20,20
93,1,1:38.0,V. Oladipo makes 2-pt layup from 1 ft,,22,20
94,1,1:38.0,Shooting foul by L. Stephenson (drawn by V. Oladipo),,22,20
95,1,1:38.0,S. Napier enters the game for E. Payton,,22,20
96,1,1:38.0,V. Oladipo misses free throw 1 of 1,,22,20
97,1,1:36.0,,Defensive rebound by J. Smith,22,20
98,1,1:19.0,,B. Griffin misses 2-pt hook shot from 4 ft,22,20
99,1,1:18.0,,Offensive rebound by B. Griffin,22,20
100,1,1:15.0,,B. Griffin makes 2-pt layup from 1 ft,22,22
101,1,1:01.0,V. Oladipo makes 2-pt layup from 2 ft (assist by S. Napier),,24,22
