,QUARTER,TIME_REMAINING,CHICAGO_ACTION,GOLDEN STATE_ACTION,CHICAGO_SCORE,GOLDEN STATE_SCORE
0,1,11:38.0,,K. Thompson makes 2-pt jump shot from 9 ft,0,2
1,1,11:22.0,J. Butler makes 2-pt jump shot from 18 ft (assist by T. Snell),,2,2
2,1,10:54.0,,K. Thompson misses 2-pt jump shot from 13 ft,2,2
3,1,10:54.0,,Offensive rebound by Team,2,2
4,1,10:54.0,,Turnover by Team (shot clock),2,2
5,1,10:39.0,T. Snell misses 2-pt jump shot from 18 ft,,2,2
6,1,10:38.0,,Defensive rebound by D. Green,2,2
7,1,10:34.0,,K. Thompson makes 2-pt dunk at rim (assist by D. Green),2,4
8,1,10:15.0,N. Mirotić makes 2-pt jump shot from 19 ft (assist by K. Hinrich),,4,4
9,1,10:07.0,,D. Green misses 3-pt jump shot from 24 ft,4,4
10,1,10:07.0,Defensive rebound by K. Hinrich,,4,4
11,1,10:00.0,K. Hinrich makes 2-pt jump shot from 16 ft,,6,4
12,1,9:50.0,,S. Curry makes 3-pt jump shot from 24 ft,6,7
13,1,9:27.0,N. Mirotić makes 2-pt jump shot from 19 ft,,8,7
14,1,9:11.0,,H. Barnes misses 3-pt jump shot from 23 ft,8,7
15,1,9:11.0,Defensive rebound by P. Gasol,,8,7
16,1,9:02.0,T. Snell misses 2-pt layup from 2 ft (block by A. Bogut),,8,7
17,1,9:01.0,,Defensive rebound by H. Barnes,8,7
18,1,8:54.0,,K. Thompson misses 2-pt jump shot from 19 ft,8,7
19,1,8:53.0,Defensive rebound by P. Gasol,,8,7
20,1,8:41.0,N. Mirotić misses 3-pt jump shot from 25 ft,,8,7
21,1,8:40.0,,Defensive rebound by S. Curry,8,7
22,1,8:34.0,,S. Curry misses 2-pt jump shot from 3 ft,8,7
23,1,8:33.0,Defensive rebound by N. Mirotić,,8,7
24,1,8:24.0,P. Gasol makes 2-pt jump shot from 3 ft (assist by N. Mirotić),,10,7
25,1,8:15.0,,Turnover by S. Curry (bad pass; steal by K. Hinrich),10,7
26,1,8:11.0,K. Hinrich misses 3-pt jump shot from 25 ft,,10,7
27,1,8:11.0,,Defensive rebound by D. Green,10,7
28,1,7:56.0,,H. Barnes makes 2-pt jump shot from 18 ft,10,9
29,1,7:41.0,P. Gasol makes 2-pt jump shot from 18 ft (assist by J. Butler),,12,9
30,1,7:30.0,,S. Curry makes 2-pt hook shot from 8 ft,12,11
31,1,7:12.0,N. Mirotić misses 2-pt jump shot from 3 ft (block by A. Bogut),,12,11
32,1,7:09.0,,Defensive rebound by H. Barnes,12,11
33,1,7:01.0,,S. Curry misses 3-pt jump shot from 25 ft,12,11
34,1,7:00.0,Defensive rebound by P. Gasol,,12,11
35,1,6:51.0,Personal foul by A. Bogut (drawn by P. Gasol),,12,11
36,1,6:45.0,K. Hinrich makes 2-pt jump shot from 4 ft (assist by P. Gasol),,14,11
37,1,6:30.0,,Shooting foul by N. Mirotić (drawn by H. Barnes),14,11
38,1,6:30.0,,H. Barnes makes free throw 1 of 2,14,12
39,1,6:30.0,,H. Barnes misses free throw 2 of 2,14,12
40,1,6:29.0,Defensive rebound by N. Mirotić,,14,12
41,1,6:13.0,K. Hinrich makes 3-pt jump shot from 23 ft (assist by J. Butler),,17,12
42,1,6:05.0,,Turnover by S. Curry (bad pass; steal by K. Hinrich),17,12
43,1,6:01.0,K. Hinrich makes 2-pt layup at rim (assist by J. Butler),,19,12
44,1,5:48.0,,S. Curry misses 3-pt jump shot from 27 ft,19,12
45,1,5:48.0,Defensive rebound by P. Gasol,,19,12
46,1,5:35.0,P. Gasol makes 2-pt layup from 2 ft (assist by J. Butler),,21,12
47,1,5:33.0,,Golden State full timeout,21,12
48,1,5:33.0,,A. Iguodala enters the game for H. Barnes,21,12
49,1,5:33.0,J. Noah enters the game for P. Gasol,,21,12
50,1,5:33.0,E. Moore enters the game for K. Hinrich,,21,12
51,1,5:19.0,,Turnover by D. Green (bad pass),21,12
52,1,5:06.0,J. Butler makes 2-pt dunk at rim (assist by N. Mirotić),,23,12
53,1,4:43.0,,A. Iguodala misses 2-pt jump shot from 19 ft,23,12
54,1,4:43.0,,Offensive rebound by A. Bogut,23,12
55,1,4:38.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by A. Bogut),23,15
56,1,4:20.0,Shooting foul by K. Thompson (drawn by J. Butler),,23,15
57,1,4:20.0,J. Butler makes free throw 1 of 2,,24,15
58,1,4:20.0,,F. Ezeli enters the game for A. Bogut,24,15
59,1,4:20.0,J. Butler makes free throw 2 of 2,,25,15
60,1,4:07.0,,D. Green misses 3-pt jump shot from 26 ft,25,15
61,1,4:06.0,Defensive rebound by J. Butler,,25,15
62,1,3:54.0,N. Mirotić misses 3-pt jump shot from 26 ft,,25,15
63,1,3:54.0,,Defensive rebound by D. Green,25,15
