,QUARTER,TIME_REMAINING,ATLANTA_ACTION,CHARLOTTE_ACTION,ATLANTA_SCORE,CHARLOTTE_SCORE
0,1,11:39.0,Violation by K. Korver (kicked ball),,0,0
1,1,11:31.0,,P. Hairston misses 3-pt jump shot from 26 ft,0,0
2,1,11:30.0,,Offensive rebound by N. Batum,0,0
3,1,11:25.0,,M. Williams makes 3-pt jump shot from 23 ft (assist by N. Batum),0,3
4,1,11:01.0,K. Korver misses 2-pt jump shot from 15 ft,,0,3
5,1,10:59.0,,Defensive rebound by A. Jefferson,0,3
6,1,10:50.0,,N. Batum makes 3-pt jump shot from 25 ft,0,6
7,1,10:30.0,K. Korver makes 2-pt jump shot from 21 ft (assist by P. Millsap),,2,6
8,1,10:16.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by K. Walker),2,9
9,1,10:00.0,J. Teague makes 3-pt jump shot from 25 ft (assist by P. Millsap),,5,9
10,1,9:38.0,,A. Jefferson makes 2-pt jump shot from 12 ft (assist by N. Batum),5,11
11,1,9:18.0,K. Bazemore makes 2-pt layup from 2 ft,,7,11
12,1,8:58.0,,M. Williams misses 2-pt jump shot from 3 ft,7,11
13,1,8:57.0,Defensive rebound by A. Horford,,7,11
14,1,8:42.0,Turnover by A. Horford (traveling),,7,11
15,1,8:29.0,,Turnover by K. Walker (bad pass; steal by K. Bazemore),7,11
16,1,8:21.0,P. Millsap misses 3-pt jump shot from 25 ft,,7,11
17,1,8:19.0,,Defensive rebound by P. Hairston,7,11
18,1,8:13.0,,Turnover by K. Walker (lost ball; steal by J. Teague),7,11
19,1,8:08.0,J. Teague makes 2-pt jump shot from 8 ft,,9,11
20,1,7:49.0,,A. Jefferson misses 2-pt hook shot from 11 ft,9,11
21,1,7:48.0,Defensive rebound by J. Teague,,9,11
22,1,7:39.0,A. Horford makes 2-pt jump shot from 19 ft (assist by J. Teague),,11,11
23,1,7:25.0,,M. Williams misses 3-pt jump shot from 25 ft,11,11
24,1,7:24.0,Defensive rebound by Team,,11,11
25,1,7:24.0,Atlanta full timeout,,11,11
26,1,7:11.0,P. Millsap makes 2-pt jump shot from 12 ft (assist by A. Horford),,13,11
27,1,6:47.0,,A. Jefferson misses 2-pt jump shot from 3 ft (block by A. Horford),13,11
28,1,6:46.0,,Offensive rebound by K. Walker,13,11
29,1,6:40.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by A. Jefferson),13,14
30,1,6:32.0,J. Teague misses 2-pt jump shot from 21 ft,,13,14
31,1,6:31.0,,Defensive rebound by A. Jefferson,13,14
32,1,6:22.0,,M. Williams misses 3-pt jump shot from 24 ft,13,14
33,1,6:21.0,Defensive rebound by K. Bazemore,,13,14
34,1,6:14.0,J. Teague misses 2-pt layup from 2 ft (block by M. Williams),,13,14
35,1,6:12.0,,Defensive rebound by A. Jefferson,13,14
36,1,5:55.0,,P. Hairston misses 3-pt jump shot from 27 ft,13,14
37,1,5:52.0,Defensive rebound by J. Teague,,13,14
38,1,5:44.0,K. Bazemore makes 2-pt layup at rim,,15,14
39,1,5:25.0,,Turnover by N. Batum (lost ball; steal by K. Bazemore),15,14
40,1,5:13.0,K. Bazemore misses 3-pt jump shot from 24 ft,,15,14
41,1,5:12.0,,Defensive rebound by A. Jefferson,15,14
42,1,4:59.0,,Turnover by N. Batum (bad pass),15,14
43,1,4:59.0,,C. Zeller enters the game for M. Williams,15,14
