,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,WASHINGTON_ACTION,CLEVELAND_SCORE,WASHINGTON_SCORE
0,1,11:44.0,,Turnover by J. Wall (bad pass; steal by J. Smith),0,0
1,1,11:38.0,K. Irving misses 2-pt layup at rim,,0,0
2,1,11:36.0,Offensive rebound by K. Irving,,0,0
3,1,11:36.0,,Loose ball foul by O. Porter (drawn by K. Irving),0,0
4,1,11:23.0,K. Love misses 2-pt jump shot from 6 ft,,0,0
5,1,11:21.0,,Defensive rebound by G. Temple,0,0
6,1,11:08.0,,J. Wall misses 2-pt jump shot from 20 ft,0,0
7,1,11:07.0,,Offensive rebound by M. Gortat,0,0
8,1,11:04.0,,J. Dudley makes 3-pt jump shot from 24 ft (assist by M. Gortat),0,3
9,1,10:42.0,J. Smith makes 2-pt jump shot from 7 ft,,2,3
10,1,10:32.0,,G. Temple makes 2-pt layup from 1 ft (assist by J. Wall),2,5
11,1,10:07.0,J. Smith makes 2-pt jump shot from 9 ft,,4,5
12,1,10:01.0,,Shooting block foul by T. Thompson (drawn by G. Temple),4,5
13,1,10:01.0,,G. Temple makes free throw 1 of 2,4,6
14,1,10:01.0,,G. Temple makes free throw 2 of 2,4,7
15,1,9:44.0,L. James makes 2-pt jump shot from 12 ft,,6,7
16,1,9:38.0,,M. Gortat makes 2-pt layup from 2 ft (assist by J. Dudley),6,9
17,1,9:18.0,Turnover by K. Love (bad pass; steal by M. Gortat),,6,9
18,1,9:13.0,,G. Temple misses 2-pt layup at rim,6,9
19,1,9:10.0,Defensive rebound by L. James,,6,9
20,1,8:50.0,K. Love makes 2-pt jump shot from 8 ft,,8,9
21,1,8:30.0,,M. Gortat misses 2-pt jump shot from 15 ft,8,9
22,1,8:29.0,,Offensive rebound by J. Dudley,8,9
23,1,8:27.0,,J. Dudley makes 2-pt layup at rim,8,11
24,1,8:08.0,Personal foul by O. Porter (drawn by K. Love),,8,11
25,1,8:08.0,,K. Oubre enters the game for O. Porter,8,11
26,1,7:58.0,K. Irving misses 3-pt jump shot from 25 ft,,8,11
27,1,7:57.0,,Defensive rebound by M. Gortat,8,11
28,1,7:40.0,,M. Gortat misses 2-pt layup at rim,8,11
29,1,7:39.0,Defensive rebound by L. James,,8,11
30,1,7:32.0,Turnover by K. Irving (lost ball; steal by J. Wall),,8,11
31,1,7:28.0,,J. Wall makes 2-pt dunk at rim (assist by K. Oubre),8,13
32,1,7:27.0,Cleveland full timeout,,8,13
33,1,7:17.0,Personal foul by G. Temple (drawn by T. Thompson),,8,13
34,1,7:05.0,Shooting foul by J. Dudley (drawn by T. Thompson),,8,13
35,1,7:05.0,T. Thompson misses free throw 1 of 2,,8,13
36,1,7:05.0,Offensive rebound by Team,,8,13
37,1,7:05.0,T. Thompson makes free throw 2 of 2,,9,13
38,1,6:41.0,,K. Oubre misses 2-pt jump shot from 3 ft,9,13
39,1,6:41.0,,Offensive rebound by Team,9,13
40,1,6:41.0,,Turnover by Team (shot clock),9,13
41,1,6:22.0,L. James makes 2-pt jump shot from 21 ft,,11,13
42,1,6:11.0,,M. Gortat makes 2-pt jump shot from 6 ft (assist by J. Wall),11,15
43,1,5:52.0,J. Smith makes 2-pt jump shot from 12 ft,,13,15
44,1,5:43.0,,K. Oubre misses 3-pt jump shot from 25 ft,13,15
45,1,5:42.0,Defensive rebound by L. James,,13,15
46,1,5:34.0,K. Irving misses 2-pt jump shot from 9 ft,,13,15
47,1,5:33.0,,Defensive rebound by J. Dudley,13,15
48,1,5:29.0,,Shooting block foul by L. James (drawn by G. Temple),13,15
49,1,5:29.0,,G. Temple misses free throw 1 of 2,13,15
50,1,5:29.0,,Offensive rebound by Team,13,15
51,1,5:29.0,M. Dellavedova enters the game for K. Irving,,13,15
52,1,5:29.0,,G. Temple makes free throw 2 of 2,13,16
53,1,5:11.0,L. James misses 2-pt jump shot from 9 ft,,13,16
54,1,5:10.0,,Defensive rebound by G. Temple,13,16
55,1,5:00.0,,J. Wall misses 2-pt jump shot from 9 ft,13,16
56,1,4:59.0,Defensive rebound by T. Thompson,,13,16
57,1,4:49.0,L. James misses 3-pt jump shot from 26 ft,,13,16
58,1,4:48.0,,Defensive rebound by M. Gortat,13,16
59,1,4:29.0,,G. Temple misses 3-pt jump shot from 24 ft,13,16
60,1,4:28.0,Defensive rebound by K. Love,,13,16
61,1,4:16.0,L. James misses 2-pt jump shot from 4 ft,,13,16
62,1,4:15.0,Offensive rebound by K. Love,,13,16
63,1,4:13.0,K. Love misses 2-pt layup at rim,,13,16
64,1,4:12.0,,Defensive rebound by J. Wall,13,16
65,1,4:08.0,,K. Oubre makes 2-pt layup from 1 ft (assist by J. Wall),13,18
66,1,3:49.0,T. Thompson misses 2-pt jump shot from 3 ft,,13,18
67,1,3:48.0,Offensive rebound by K. Love,,13,18
68,1,3:46.0,K. Love misses 2-pt layup at rim,,13,18
69,1,3:46.0,,Defensive rebound by J. Wall,13,18
70,1,3:44.0,,Shooting foul by J. Smith (drawn by J. Wall),13,18
71,1,3:44.0,,J. Wall misses free throw 1 of 2,13,18
72,1,3:44.0,,Offensive rebound by Team,13,18
73,1,3:44.0,,G. Neal enters the game for G. Temple,13,18
74,1,3:44.0,I. Shumpert enters the game for L. James,,13,18
75,1,3:44.0,,J. Wall misses free throw 2 of 2,13,18
76,1,3:44.0,Defensive rebound by K. Love,,13,18
77,1,3:24.0,M. Dellavedova misses 2-pt jump shot from 10 ft,,13,18
78,1,3:23.0,Offensive rebound by T. Thompson,,13,18
79,1,3:22.0,T. Thompson makes 2-pt layup from 1 ft,,15,18
80,1,2:58.0,,J. Wall misses 2-pt jump shot from 20 ft,15,18
81,1,2:56.0,Defensive rebound by J. Smith,,15,18
82,1,2:46.0,T. Thompson misses 2-pt layup from 1 ft,,15,18
83,1,2:45.0,Offensive rebound by K. Love,,15,18
84,1,2:44.0,K. Love makes 2-pt layup from 2 ft,,17,18
85,1,2:38.0,,Washington full timeout,17,18
86,1,2:38.0,,N. Hilário enters the game for M. Gortat,17,18
87,1,2:34.0,,Turnover by J. Wall (bad pass; steal by K. Love),17,18
88,1,2:26.0,J. Smith misses 2-pt jump shot from 6 ft,,17,18
89,1,2:25.0,,Defensive rebound by K. Oubre,17,18
90,1,2:07.0,,G. Neal misses 2-pt jump shot from 20 ft,17,18
91,1,2:06.0,Defensive rebound by I. Shumpert,,17,18
92,1,1:53.0,K. Love misses 2-pt jump shot from 7 ft,,17,18
93,1,1:52.0,,Defensive rebound by J. Wall,17,18
94,1,1:43.0,,Shooting foul by M. Dellavedova (drawn by N. Hilário),17,18
95,1,1:43.0,,N. Hilário misses free throw 1 of 2,17,18
96,1,1:43.0,,Offensive rebound by Team,17,18
97,1,1:43.0,R. Jefferson enters the game for J. Smith,,17,18
98,1,1:43.0,T. Mozgov enters the game for T. Thompson,,17,18
99,1,1:43.0,,R. Sessions enters the game for J. Wall,17,18
100,1,1:43.0,,N. Hilário misses free throw 2 of 2,17,18
101,1,1:42.0,Defensive rebound by K. Love,,17,18
102,1,1:22.0,Turnover by T. Mozgov (lost ball),,17,18
103,1,1:10.0,,Shooting foul by T. Mozgov (drawn by N. Hilário),17,18
104,1,1:10.0,,N. Hilário misses free throw 1 of 2,17,18
105,1,1:10.0,,Offensive rebound by Team,17,18
106,1,1:10.0,K. Irving enters the game for M. Dellavedova,,17,18
107,1,1:10.0,,N. Hilário makes free throw 2 of 2,17,19
108,1,1:00.0,T. Mozgov misses 2-pt jump shot from 3 ft,,17,19
109,1,0:59.0,Offensive rebound by K. Love,,17,19
110,1,0:58.0,K. Love makes 2-pt layup from 1 ft,,19,19
111,1,0:46.0,,K. Oubre makes 2-pt layup from 1 ft,19,21
112,1,0:46.0,,Shooting foul by R. Jefferson (drawn by K. Oubre),19,21
113,1,0:46.0,M. Dellavedova enters the game for K. Love,,19,21
114,1,0:46.0,,J. Eddie enters the game for J. Dudley,19,21
115,1,0:46.0,,K. Oubre misses free throw 1 of 1,19,21
116,1,0:45.0,Defensive rebound by R. Jefferson,,19,21
117,1,0:35.0,K. Irving misses 2-pt layup from 1 ft,,19,21
118,1,0:34.0,Offensive rebound by T. Mozgov,,19,21
119,1,0:34.0,T. Mozgov makes 2-pt dunk at rim,,21,21
120,1,0:28.0,,J. Eddie makes 3-pt jump shot from 26 ft (assist by R. Sessions),21,24
121,1,0:11.0,K. Irving makes 2-pt jump shot from 6 ft,,23,24
122,1,0:11.0,Shooting foul by R. Sessions (drawn by K. Irving),,23,24
123,1,0:11.0,,J. Wall enters the game for K. Oubre,23,24
124,1,0:11.0,K. Irving makes free throw 1 of 1,,24,24
125,1,0:00.0,,Shooting foul by K. Irving (drawn by J. Eddie),24,24
126,1,0:00.0,,J. Eddie makes free throw 1 of 2,24,25
127,1,0:00.0,,J. Eddie makes free throw 2 of 2,24,26
128,2,11:38.0,T. Mozgov misses 2-pt jump shot from 8 ft,,24,26
129,2,11:38.0,,Defensive rebound by O. Porter,24,26
130,2,11:29.0,,R. Sessions misses 2-pt jump shot from 6 ft,24,26
131,2,11:29.0,Defensive rebound by T. Mozgov,,24,26
132,2,11:14.0,K. Irving misses 3-pt jump shot from 23 ft,,24,26
133,2,11:12.0,,Defensive rebound by O. Porter,24,26
134,2,10:58.0,,N. Hilário makes 2-pt jump shot from 17 ft (assist by G. Neal),24,28
135,2,10:33.0,Turnover by M. Dellavedova (step out of bounds),,24,28
136,2,10:18.0,,N. Hilário misses 2-pt jump shot from 11 ft,24,28
137,2,10:17.0,Defensive rebound by R. Jefferson,,24,28
138,2,10:08.0,K. Irving makes 2-pt layup at rim (assist by M. Dellavedova),,26,28
