,QUARTER,TIME_REMAINING,ORLANDO_ACTION,HOUSTON_ACTION,ORLANDO_SCORE,HOUSTON_SCORE
0,1,12:00.0,Violation by Team (jump ball),,0,0
1,1,11:55.0,,Turnover by T. Lawson (back court),0,0
2,1,11:38.0,Turnover by T. Harris (bad pass; steal by M. Thornton),,0,0
3,1,11:32.0,,M. Thornton makes 2-pt layup from 2 ft,0,2
4,1,11:19.0,N. Vučević misses 2-pt jump shot from 20 ft,,0,2
5,1,11:18.0,,Defensive rebound by T. Lawson,0,2
6,1,11:08.0,,J. Harden misses 2-pt layup from 2 ft,0,2
7,1,11:08.0,,Offensive rebound by D. Howard,0,2
8,1,11:02.0,,T. Ariza misses 2-pt layup from 1 ft,0,2
9,1,11:01.0,Defensive rebound by T. Harris,,0,2
10,1,10:56.0,E. Fournier makes 2-pt layup from 2 ft (assist by T. Harris),,2,2
11,1,10:41.0,,Turnover by J. Harden (bad pass),2,2
12,1,10:21.0,T. Harris makes 2-pt jump shot from 5 ft (assist by E. Fournier),,4,2
13,1,10:05.0,,M. Thornton misses 2-pt jump shot from 15 ft,4,2
14,1,10:05.0,,Offensive rebound by M. Thornton,4,2
15,1,9:58.0,,D. Howard makes 2-pt layup from 2 ft (assist by T. Lawson),4,4
16,1,9:58.0,,Shooting foul by E. Payton (drawn by D. Howard),4,4
17,1,9:58.0,,D. Howard makes free throw 1 of 1,4,5
18,1,9:47.0,N. Vučević makes 2-pt layup at rim (assist by E. Fournier),,6,5
19,1,9:41.0,,Personal foul by N. Vučević (drawn by D. Howard),6,5
20,1,9:21.0,,M. Thornton makes 3-pt jump shot from 25 ft (assist by T. Lawson),6,8
21,1,9:05.0,N. Vučević makes 2-pt jump shot from 15 ft (assist by E. Payton),,8,8
22,1,8:55.0,,Turnover by J. Harden (bad pass; steal by E. Payton),8,8
23,1,8:50.0,V. Oladipo makes 2-pt dunk at rim (assist by E. Payton),,10,8
24,1,8:36.0,,D. Howard makes 2-pt dunk at rim (assist by T. Lawson),10,10
25,1,8:13.0,T. Harris makes 2-pt jump shot from 8 ft,,12,10
26,1,7:51.0,,T. Ariza makes 2-pt jump shot from 16 ft (assist by T. Lawson),12,12
27,1,7:31.0,E. Payton makes 2-pt jump shot from 6 ft,,14,12
28,1,7:21.0,,M. Thornton misses 2-pt jump shot from 10 ft,14,12
29,1,7:20.0,,Offensive rebound by D. Howard,14,12
30,1,7:14.0,,D. Howard makes 2-pt layup from 2 ft,14,14
31,1,6:53.0,E. Fournier misses 2-pt jump shot from 21 ft,,14,14
32,1,6:52.0,,Defensive rebound by D. Howard,14,14
33,1,6:47.0,,Shooting foul by E. Payton (drawn by J. Harden),14,14
34,1,6:47.0,,J. Harden makes free throw 1 of 2,14,15
35,1,6:47.0,,C. Capela enters the game for D. Howard,14,15
36,1,6:47.0,C. Watson enters the game for E. Payton,,14,15
37,1,6:47.0,,J. Harden makes free throw 2 of 2,14,16
38,1,6:29.0,E. Fournier makes 3-pt jump shot from 25 ft (assist by N. Vučević),,17,16
39,1,6:14.0,,T. Ariza misses 3-pt jump shot from 23 ft,17,16
40,1,6:14.0,Defensive rebound by N. Vučević,,17,16
41,1,6:09.0,T. Harris makes 2-pt dunk at rim (assist by C. Watson),,19,16
42,1,5:52.0,,C. Capela makes 2-pt layup from 2 ft (assist by J. Harden),19,18
43,1,5:38.0,V. Oladipo makes 2-pt jump shot from 21 ft,,21,18
44,1,5:28.0,,T. Lawson misses 2-pt jump shot from 18 ft,21,18
45,1,5:27.0,Defensive rebound by E. Fournier,,21,18
46,1,5:17.0,Turnover by V. Oladipo (bad pass; steal by T. Ariza),,21,18
47,1,5:08.0,,T. Lawson makes 3-pt jump shot from 25 ft (assist by T. Ariza),21,21
48,1,5:08.0,Orlando full timeout,,21,21
49,1,5:08.0,,P. Beverley enters the game for T. Ariza,21,21
50,1,5:08.0,,C. Brewer enters the game for T. Lawson,21,21
51,1,4:52.0,C. Watson makes 3-pt jump shot from 24 ft (assist by N. Vučević),,24,21
52,1,4:39.0,,C. Capela misses 2-pt layup from 2 ft (block by N. Vučević),24,21
53,1,4:38.0,Defensive rebound by V. Oladipo,,24,21
54,1,4:33.0,T. Harris makes 3-pt jump shot from 23 ft (assist by V. Oladipo),,27,21
55,1,4:17.0,,J. Harden makes 2-pt layup at rim,27,23
56,1,4:07.0,V. Oladipo makes 3-pt jump shot from 23 ft (assist by T. Harris),,30,23
57,1,3:51.0,,M. Thornton makes 2-pt layup from 1 ft (assist by C. Capela),30,25
58,1,3:47.0,Turnover by C. Watson (lost ball; steal by P. Beverley),,30,25
59,1,3:45.0,,P. Beverley misses 2-pt layup from 2 ft,30,25
60,1,3:43.0,,Offensive rebound by J. Harden,30,25
61,1,3:43.0,,J. Harden misses 2-pt layup from 3 ft,30,25
62,1,3:41.0,Defensive rebound by E. Fournier,,30,25
63,1,3:37.0,E. Fournier makes 2-pt layup at rim,,32,25
64,1,3:37.0,Shooting block foul by C. Brewer (drawn by E. Fournier),,32,25
65,1,3:37.0,D. Dedmon enters the game for T. Harris,,32,25
66,1,3:37.0,A. Gordon enters the game for N. Vučević,,32,25
67,1,3:37.0,M. Hezonja enters the game for V. Oladipo,,32,25
68,1,3:37.0,E. Fournier makes free throw 1 of 1,,33,25
69,1,3:18.0,,M. Thornton makes 3-pt jump shot from 24 ft (assist by C. Brewer),33,28
70,1,3:07.0,A. Gordon misses 2-pt jump shot from 10 ft,,33,28
71,1,3:06.0,,Defensive rebound by C. Capela,33,28
72,1,2:57.0,,Shooting foul by D. Dedmon (drawn by J. Harden),33,28
73,1,2:57.0,,Houston full timeout,33,28
74,1,2:57.0,,T. Ariza enters the game for M. Thornton,33,28
75,1,2:57.0,,J. Harden makes free throw 1 of 2,33,29
76,1,2:57.0,,J. Harden makes free throw 2 of 2,33,30
77,1,2:34.0,C. Watson misses 2-pt jump shot from 20 ft,,33,30
78,1,2:33.0,,Defensive rebound by J. Harden,33,30
79,1,2:10.0,,T. Ariza makes 3-pt jump shot from 27 ft (assist by J. Harden),33,33
80,1,2:07.0,Personal foul by P. Beverley (drawn by C. Watson),,33,33
81,1,1:51.0,A. Gordon makes 2-pt jump shot from 15 ft,,35,33
82,1,1:43.0,,Shooting block foul by A. Gordon (drawn by T. Ariza),35,33
83,1,1:43.0,,T. Ariza makes free throw 1 of 2,35,34
84,1,1:43.0,,D. Howard enters the game for C. Capela,35,34
85,1,1:43.0,,T. Lawson enters the game for J. Harden,35,34
86,1,1:43.0,,T. Ariza misses free throw 2 of 2,35,34
87,1,1:43.0,Defensive rebound by D. Dedmon,,35,34
88,1,1:27.0,E. Fournier misses 2-pt jump shot from 8 ft,,35,34
89,1,1:26.0,,Defensive rebound by D. Howard,35,34
90,1,1:20.0,,P. Beverley misses 2-pt layup at rim,35,34
91,1,1:19.0,Defensive rebound by D. Dedmon,,35,34
92,1,1:04.0,Turnover by A. Gordon (lost ball; steal by T. Ariza),,35,34
93,1,1:00.0,Offensive charge foul by T. Ariza (drawn by A. Gordon),,35,34
94,1,1:00.0,,Turnover by T. Ariza (offensive foul),35,34
95,1,0:40.0,E. Fournier misses 3-pt jump shot from 24 ft,,35,34
96,1,0:39.0,,Defensive rebound by T. Lawson,35,34
97,1,0:29.0,,Shooting foul by D. Dedmon (drawn by D. Howard),35,34
98,1,0:29.0,,D. Howard misses free throw 1 of 2,35,34
99,1,0:29.0,,Offensive rebound by Team,35,34
100,1,0:29.0,J. Smith enters the game for D. Dedmon,,35,34
101,1,0:29.0,,D. Howard misses free throw 2 of 2,35,34
102,1,0:29.0,Defensive rebound by A. Gordon,,35,34
103,1,0:12.0,C. Watson misses 3-pt jump shot from 24 ft,,35,34
104,1,0:11.0,,Defensive rebound by P. Beverley,35,34
105,1,0:04.0,,C. Brewer misses 3-pt jump shot from 23 ft,35,34
106,1,0:03.0,Defensive rebound by E. Fournier,,35,34
107,1,0:00.0,E. Fournier misses 3-pt jump shot from 47 ft,,35,34
108,1,0:00.0,Offensive rebound by Team,,35,34
109,2,11:47.0,V. Oladipo makes 2-pt layup at rim (assist by E. Payton),,37,34
110,2,11:34.0,,Def 3 sec tech foul by M. Hezonja,37,34
111,2,11:34.0,,T. Ariza makes technical free throw,37,35
112,2,11:28.0,,Turnover by D. Howard (traveling),37,35
113,2,11:09.0,J. Smith misses 2-pt jump shot from 16 ft,,37,35
114,2,11:08.0,,Defensive rebound by P. Beverley,37,35
115,2,11:03.0,,D. Howard makes 2-pt dunk at rim (assist by C. Brewer),37,37
116,2,10:49.0,E. Payton makes 3-pt jump shot from 24 ft (assist by V. Oladipo),,40,37
117,2,10:36.0,,T. Lawson makes 2-pt jump shot from 14 ft,40,39
118,2,10:13.0,Personal foul by C. Brewer (drawn by M. Hezonja),,40,39
119,2,10:07.0,J. Smith makes 2-pt jump shot from 12 ft (assist by E. Payton),,42,39
