,QUARTER,TIME_REMAINING,DALLAS_ACTION,LA CLIPPERS_ACTION,DALLAS_SCORE,LA CLIPPERS_SCORE
0,1,11:40.0,,J. Redick makes 2-pt jump shot from 21 ft (assist by L. Stephenson),0,2
1,1,11:22.0,R. Felton misses 2-pt layup from 1 ft (block by D. Jordan),,0,2
2,1,11:21.0,Offensive rebound by J. Evans,,0,2
3,1,11:17.0,Z. Pachulia misses 2-pt jump shot from 19 ft,,0,2
4,1,11:16.0,,Defensive rebound by D. Jordan,0,2
5,1,11:09.0,,B. Griffin misses 2-pt jump shot from 18 ft,0,2
6,1,11:08.0,Defensive rebound by D. Nowitzki,,0,2
7,1,10:47.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,0,2
8,1,10:47.0,Offensive rebound by Z. Pachulia,,0,2
9,1,10:40.0,J. Jenkins makes 2-pt jump shot from 21 ft (assist by Z. Pachulia),,2,2
10,1,10:28.0,,J. Redick misses 2-pt jump shot from 3 ft,2,2
11,1,10:26.0,Defensive rebound by J. Jenkins,,2,2
12,1,10:16.0,R. Felton makes 2-pt jump shot from 12 ft,,4,2
13,1,10:12.0,,Shooting foul by J. Evans (drawn by B. Griffin),4,2
14,1,10:12.0,,B. Griffin makes free throw 1 of 2,4,3
15,1,10:12.0,,B. Griffin misses free throw 2 of 2,4,3
16,1,10:11.0,Defensive rebound by D. Nowitzki,,4,3
17,1,9:53.0,R. Felton makes 2-pt jump shot from 15 ft,,6,3
18,1,9:47.0,,C. Paul misses 3-pt jump shot from 26 ft,6,3
19,1,9:47.0,,Offensive rebound by Team,6,3
20,1,9:47.0,Loose ball foul by Z. Pachulia (drawn by B. Griffin),,6,3
21,1,9:33.0,,L. Stephenson misses 2-pt jump shot from 18 ft,6,3
22,1,9:32.0,,Offensive rebound by B. Griffin,6,3
23,1,9:29.0,,Turnover by B. Griffin (lost ball; steal by R. Felton),6,3
24,1,9:26.0,Offensive foul by Z. Pachulia (drawn by C. Paul),,6,3
25,1,9:26.0,Turnover by Z. Pachulia (offensive foul),,6,3
26,1,9:26.0,D. Powell enters the game for Z. Pachulia,,6,3
27,1,9:10.0,,D. Jordan makes 2-pt dunk at rim (assist by B. Griffin),6,5
28,1,8:52.0,Personal foul by L. Stephenson (drawn by D. Nowitzki),,6,5
29,1,8:43.0,R. Felton misses 3-pt jump shot from 27 ft,,6,5
30,1,8:42.0,,Defensive rebound by B. Griffin,6,5
31,1,8:17.0,,B. Griffin makes 2-pt dunk at rim (assist by C. Paul),6,7
32,1,8:02.0,J. Jenkins misses 2-pt jump shot from 20 ft,,6,7
33,1,8:01.0,,Defensive rebound by B. Griffin,6,7
34,1,7:58.0,,Offensive foul by D. Jordan (drawn by D. Nowitzki),6,7
35,1,7:58.0,,Turnover by D. Jordan (offensive foul),6,7
36,1,7:39.0,Turnover by J. Jenkins (bad pass; steal by C. Paul),,6,7
37,1,7:36.0,,Shooting foul by R. Felton (drawn by C. Paul),6,7
38,1,7:36.0,,C. Paul makes free throw 1 of 2,6,8
39,1,7:36.0,,C. Paul makes free throw 2 of 2,6,9
40,1,7:11.0,D. Powell makes 2-pt jump shot from 15 ft (assist by R. Felton),,8,9
41,1,7:01.0,,Personal foul by D. Powell (drawn by C. Paul),8,9
42,1,6:52.0,,B. Griffin makes 2-pt layup from 3 ft,8,11
43,1,6:45.0,Shooting foul by L. Stephenson (drawn by D. Powell),,8,11
44,1,6:45.0,D. Powell makes free throw 1 of 2,,9,11
45,1,6:45.0,,P. Pierce enters the game for L. Stephenson,9,11
46,1,6:45.0,D. Powell misses free throw 2 of 2,,9,11
47,1,6:44.0,,Defensive rebound by B. Griffin,9,11
48,1,6:31.0,,J. Redick makes 3-pt jump shot from 27 ft (assist by C. Paul),9,14
49,1,6:26.0,Dallas full timeout,,9,14
50,1,6:14.0,D. Nowitzki misses 2-pt jump shot from 16 ft,,9,14
51,1,6:13.0,,Defensive rebound by B. Griffin,9,14
52,1,6:06.0,,Shooting foul by J. Jenkins (drawn by J. Redick),9,14
53,1,6:06.0,,J. Redick makes free throw 1 of 2,9,15
54,1,6:06.0,J. Barea enters the game for R. Felton,,9,15
55,1,6:06.0,D. Harris enters the game for J. Jenkins,,9,15
56,1,6:06.0,C. Villanueva enters the game for D. Nowitzki,,9,15
57,1,6:06.0,,J. Redick makes free throw 2 of 2,9,16
58,1,5:44.0,C. Villanueva misses 2-pt jump shot from 4 ft (block by B. Griffin),,9,16
59,1,5:42.0,,Defensive rebound by D. Jordan,9,16
60,1,5:38.0,,P. Pierce misses 3-pt jump shot from 25 ft,9,16
61,1,5:37.0,Defensive rebound by Team,,9,16
62,1,5:14.0,J. Barea misses 2-pt jump shot from 3 ft (block by D. Jordan),,9,16
63,1,5:13.0,,Defensive rebound by B. Griffin,9,16
64,1,5:11.0,Offensive charge foul by B. Griffin (drawn by D. Harris),,9,16
65,1,5:11.0,,Turnover by B. Griffin (offensive foul),9,16
66,1,5:07.0,Personal foul by J. Redick (drawn by D. Harris),,9,16
67,1,5:07.0,J. Anderson enters the game for J. Evans,,9,16
68,1,4:51.0,J. Anderson misses 3-pt jump shot from 25 ft,,9,16
69,1,4:50.0,,Defensive rebound by D. Jordan,9,16
70,1,4:40.0,,B. Griffin misses 2-pt jump shot from 16 ft,9,16
71,1,4:40.0,,Offensive rebound by Team,9,16
72,1,4:28.0,,J. Redick misses 3-pt jump shot from 25 ft,9,16
73,1,4:27.0,Defensive rebound by D. Powell,,9,16
74,1,4:20.0,J. Anderson misses 2-pt jump shot from 5 ft (block by D. Jordan),,9,16
75,1,4:18.0,Offensive rebound by D. Harris,,9,16
76,1,4:14.0,C. Villanueva misses 3-pt jump shot from 24 ft,,9,16
77,1,4:13.0,,Defensive rebound by D. Jordan,9,16
78,1,4:06.0,,LA Clippers full timeout,9,16
79,1,4:06.0,,J. Smith enters the game for B. Griffin,9,16
80,1,4:06.0,,A. Rivers enters the game for C. Paul,9,16
81,1,4:06.0,,J. Crawford enters the game for J. Redick,9,16
82,1,3:53.0,,J. Crawford makes 2-pt jump shot from 16 ft,9,18
83,1,3:45.0,D. Harris misses 3-pt jump shot from 26 ft,,9,18
84,1,3:45.0,Offensive rebound by J. Barea,,9,18
85,1,3:37.0,J. Barea makes 2-pt jump shot from 13 ft,,11,18
86,1,3:22.0,,Turnover by J. Smith (bad pass),11,18
87,1,3:10.0,D. Powell misses 2-pt jump shot from 19 ft,,11,18
88,1,3:09.0,,Defensive rebound by D. Jordan,11,18
89,1,2:59.0,,J. Crawford misses 2-pt jump shot from 14 ft,11,18
90,1,2:58.0,Defensive rebound by D. Powell,,11,18
91,1,2:46.0,D. Powell makes 2-pt jump shot from 18 ft (assist by D. Harris),,13,18
92,1,2:30.0,,A. Rivers misses 2-pt layup from 3 ft,13,18
93,1,2:30.0,Defensive rebound by D. Powell,,13,18
94,1,2:18.0,D. Powell misses 2-pt jump shot from 17 ft,,13,18
95,1,2:17.0,,Defensive rebound by D. Jordan,13,18
96,1,2:07.0,,Shooting foul by D. Powell (drawn by J. Crawford),13,18
97,1,2:07.0,,J. Crawford makes 2-pt jump shot from 4 ft,13,20
98,1,2:07.0,,W. Johnson enters the game for D. Jordan,13,20
99,1,2:07.0,S. Mejri enters the game for D. Powell,,13,20
100,1,2:07.0,,J. Crawford makes free throw 1 of 1,13,21
101,1,1:48.0,D. Harris misses 2-pt jump shot from 10 ft,,13,21
102,1,1:47.0,,Defensive rebound by P. Pierce,13,21
103,1,1:40.0,,J. Smith misses 3-pt jump shot from 27 ft,13,21
104,1,1:39.0,Defensive rebound by J. Anderson,,13,21
105,1,1:29.0,C. Villanueva misses 3-pt jump shot from 25 ft,,13,21
106,1,1:29.0,,Defensive rebound by J. Smith,13,21
107,1,1:21.0,,P. Pierce misses 3-pt jump shot from 23 ft,13,21
108,1,1:20.0,Defensive rebound by D. Harris,,13,21
109,1,1:14.0,Shooting foul by A. Rivers (drawn by J. Barea),,13,21
110,1,1:14.0,J. Barea makes free throw 1 of 2,,14,21
111,1,1:14.0,J. Barea makes free throw 2 of 2,,15,21
112,1,1:01.0,,J. Crawford misses 2-pt jump shot from 11 ft,15,21
113,1,1:00.0,Defensive rebound by J. Anderson,,15,21
114,1,0:51.0,Turnover by J. Barea (bad pass; steal by A. Rivers),,15,21
115,1,0:50.0,,Personal take foul by J. Barea,15,21
116,1,0:50.0,,A. Rivers misses free throw 1 of 2,15,21
117,1,0:50.0,,Offensive rebound by Team,15,21
118,1,0:50.0,,A. Rivers makes free throw 2 of 2,15,22
119,1,0:39.0,Personal foul by W. Johnson (drawn by D. Harris),,15,22
120,1,0:39.0,D. Harris makes free throw 1 of 2,,16,22
121,1,0:39.0,D. Harris makes free throw 2 of 2,,17,22
122,1,0:28.0,,J. Crawford misses 3-pt jump shot from 27 ft,17,22
123,1,0:28.0,Defensive rebound by D. Harris,,17,22
124,1,0:05.0,J. Barea misses 2-pt jump shot from 4 ft (block by J. Smith),,17,22
125,1,0:05.0,Offensive rebound by Team,,17,22
126,1,0:04.0,Turnover by Team (shot clock),,17,22
127,1,0:04.0,,C. Paul enters the game for J. Smith,17,22
128,1,0:04.0,J. Evans enters the game for C. Villanueva,,17,22
129,1,0:01.0,,J. Crawford misses 3-pt jump shot from 25 ft,17,22
130,1,0:00.0,,Offensive rebound by Team,17,22
131,2,11:44.0,Turnover by J. Anderson (bad pass; steal by P. Pierce),,17,22
132,2,11:36.0,,P. Pierce misses 2-pt jump shot from 11 ft,17,22
133,2,11:33.0,Defensive rebound by J. Anderson,,17,22
134,2,11:18.0,Z. Pachulia misses 2-pt jump shot from 14 ft,,17,22
135,2,11:18.0,Offensive rebound by Z. Pachulia,,17,22
136,2,11:17.0,Personal foul by J. Smith (drawn by Z. Pachulia),,17,22
137,2,11:09.0,J. Barea misses 2-pt layup from 1 ft,,17,22
138,2,11:09.0,,Defensive rebound by Team,17,22
139,2,10:49.0,,J. Crawford makes 2-pt hook shot from 3 ft,17,24
140,2,10:45.0,D. Harris makes 2-pt layup from 2 ft (assist by J. Barea),,19,24
141,2,10:45.0,Shooting foul by W. Johnson (drawn by D. Harris),,19,24
142,2,10:45.0,J. Jenkins enters the game for J. Anderson,,19,24
143,2,10:45.0,D. Harris misses free throw 1 of 1,,19,24
144,2,10:44.0,,Defensive rebound by P. Pierce,19,24
145,2,10:30.0,,J. Crawford makes 3-pt jump shot from 24 ft (assist by A. Rivers),19,27
146,2,10:13.0,J. Jenkins makes 2-pt jump shot from 5 ft (assist by J. Barea),,21,27
147,2,9:58.0,,J. Smith misses 2-pt layup from 2 ft,21,27
148,2,9:58.0,Defensive rebound by Z. Pachulia,,21,27
149,2,9:54.0,Personal foul by J. Smith,,21,27
150,2,9:54.0,,B. Griffin enters the game for J. Smith,21,27
151,2,9:41.0,D. Harris makes 2-pt layup from 2 ft,,23,27
152,2,9:24.0,,A. Rivers makes 2-pt layup from 1 ft,23,29
153,2,9:11.0,Z. Pachulia makes 2-pt dunk at rim (assist by J. Barea),,25,29
154,2,8:58.0,,B. Griffin misses 2-pt jump shot from 19 ft,25,29
155,2,8:58.0,Defensive rebound by J. Jenkins,,25,29
156,2,8:54.0,Offensive foul by J. Barea (drawn by A. Rivers),,25,29
157,2,8:54.0,Turnover by J. Barea (offensive foul),,25,29
158,2,8:54.0,Official timeout,,25,29
159,2,8:42.0,,A. Rivers misses 2-pt layup from 1 ft,25,29
