,QUARTER,TIME_REMAINING,PHOENIX_ACTION,MEMPHIS_ACTION,PHOENIX_SCORE,MEMPHIS_SCORE
0,1,11:43.0,,M. Conley makes 2-pt jump shot from 11 ft (assist by M. Barnes),0,2
1,1,11:27.0,T. Chandler makes 2-pt layup at rim (assist by A. Len),,2,2
2,1,11:10.0,,Def 3 sec tech foul by A. Len,2,2
3,1,11:10.0,,M. Conley makes technical free throw,2,3
4,1,11:01.0,,M. Conley misses 2-pt jump shot from 22 ft,2,3
5,1,11:00.0,,Offensive rebound by C. Andersen,2,3
6,1,10:57.0,,Turnover by C. Andersen (bad pass; steal by D. Booker),2,3
7,1,10:52.0,D. Booker misses 2-pt jump shot from 12 ft,,2,3
8,1,10:50.0,,Defensive rebound by M. Barnes,2,3
9,1,10:43.0,,M. Barnes makes 2-pt layup from 1 ft (assist by M. Conley),2,5
10,1,10:19.0,D. Booker misses 3-pt jump shot from 25 ft,,2,5
11,1,10:18.0,,Defensive rebound by M. Barnes,2,5
12,1,10:10.0,,M. Barnes makes 3-pt jump shot from 25 ft,2,8
13,1,9:56.0,Turnover by T. Chandler (3 sec),,2,8
14,1,9:43.0,,M. Barnes misses 2-pt jump shot from 21 ft,2,8
15,1,9:42.0,Defensive rebound by T. Chandler,,2,8
16,1,9:31.0,Turnover by P. Tucker (bad pass; steal by M. Conley),,2,8
17,1,9:25.0,,Turnover by P. Hairston (dbl dribble),2,8
18,1,9:12.0,T. Chandler makes 2-pt jump shot from 15 ft (assist by D. Booker),,4,8
19,1,8:56.0,,Z. Randolph makes 2-pt jump shot from 7 ft,4,10
20,1,8:47.0,Personal foul by P. Hairston (drawn by P. Tucker),,4,10
21,1,8:41.0,T. Chandler misses 2-pt jump shot from 15 ft,,4,10
22,1,8:40.0,,Defensive rebound by C. Andersen,4,10
23,1,8:30.0,,M. Conley misses 2-pt jump shot from 21 ft,4,10
24,1,8:28.0,,Offensive rebound by C. Andersen,4,10
25,1,8:16.0,,M. Barnes misses 3-pt jump shot from 24 ft,4,10
26,1,8:15.0,Defensive rebound by P. Tucker,,4,10
27,1,8:08.0,D. Booker makes 3-pt jump shot from 24 ft (assist by R. Price),,7,10
28,1,7:57.0,,Z. Randolph misses 2-pt jump shot from 21 ft,7,10
29,1,7:57.0,Defensive rebound by P. Tucker,,7,10
30,1,7:44.0,A. Len misses 2-pt jump shot from 18 ft,,7,10
31,1,7:43.0,,Defensive rebound by M. Barnes,7,10
32,1,7:40.0,,Personal foul by R. Price (drawn by M. Conley),7,10
33,1,7:34.0,,M. Conley misses 2-pt jump shot from 8 ft,7,10
