,QUARTER,TIME_REMAINING,PHOENIX_ACTION,DENVER_ACTION,PHOENIX_SCORE,DENVER_SCORE
0,1,11:48.0,T. Chandler misses 2-pt jump shot from 15 ft,,0,0
1,1,11:45.0,,Defensive rebound by D. Gallinari,0,0
2,1,11:22.0,,G. Harris misses 2-pt jump shot from 18 ft,0,0
3,1,11:21.0,Defensive rebound by T. Chandler,,0,0
4,1,11:11.0,M. Morris makes 2-pt jump shot from 16 ft,,2,0
5,1,10:57.0,,N. Jokić misses 2-pt jump shot from 4 ft,2,0
6,1,10:54.0,Defensive rebound by P. Tucker,,2,0
7,1,10:53.0,Personal foul by K. Faried (drawn by P. Tucker),,2,0
8,1,10:44.0,Shooting block foul by E. Mudiay (drawn by B. Knight),,2,0
9,1,10:44.0,B. Knight makes free throw 1 of 2,,3,0
10,1,10:44.0,B. Knight makes free throw 2 of 2,,4,0
11,1,10:44.0,,K. Faried misses 2-pt jump shot from 16 ft,4,0
12,1,10:44.0,Defensive rebound by T. Chandler,,4,0
13,1,10:41.0,Turnover by P. Tucker (bad pass),,4,0
14,1,10:37.0,,Turnover by G. Harris (bad pass; steal by P. Tucker),4,0
15,1,10:20.0,Personal foul by N. Jokić (drawn by P. Tucker),,4,0
16,1,10:01.0,M. Morris misses 2-pt jump shot from 3 ft,,4,0
17,1,10:01.0,,Defensive rebound by D. Gallinari,4,0
18,1,9:55.0,,Shooting foul by P. Tucker (drawn by D. Gallinari),4,0
19,1,9:55.0,,D. Gallinari misses free throw 1 of 2,4,0
20,1,9:55.0,,Offensive rebound by Team,4,0
21,1,9:55.0,,D. Gallinari makes free throw 2 of 2,4,1
22,1,9:42.0,B. Knight misses 3-pt jump shot from 25 ft,,4,1
23,1,9:41.0,Offensive rebound by M. Morris,,4,1
24,1,9:38.0,Turnover by M. Morris (bad pass; steal by E. Mudiay),,4,1
25,1,9:32.0,,E. Mudiay makes 2-pt layup from 2 ft,4,3
26,1,9:28.0,Turnover by T. Chandler (traveling),,4,3
27,1,9:13.0,,Turnover by E. Mudiay (bad pass),4,3
28,1,8:58.0,M. Morris misses 2-pt jump shot from 8 ft,,4,3
29,1,8:57.0,,Defensive rebound by K. Faried,4,3
30,1,8:42.0,,N. Jokić misses 3-pt jump shot from 25 ft,4,3
31,1,8:42.0,Defensive rebound by M. Morris,,4,3
32,1,8:36.0,T. Chandler makes 2-pt dunk at rim (assist by E. Bledsoe),,6,3
33,1,8:17.0,,D. Gallinari makes 2-pt jump shot from 12 ft (assist by E. Mudiay),6,5
34,1,8:01.0,,Offensive charge foul by P. Tucker (drawn by K. Faried),6,5
35,1,8:01.0,Turnover by P. Tucker (offensive foul),,6,5
36,1,8:00.0,T. Warren enters the game for P. Tucker,,6,5
37,1,7:43.0,,Turnover by E. Mudiay (bad pass; steal by B. Knight),6,5
38,1,7:39.0,E. Bledsoe makes 2-pt dunk at rim (assist by B. Knight),,8,5
39,1,7:37.0,,Denver full timeout,8,5
40,1,7:37.0,,E. Mudiay makes 2-pt layup from 1 ft,8,7
41,1,7:08.0,B. Knight misses 3-pt jump shot from 26 ft,,8,7
42,1,7:07.0,,Defensive rebound by D. Gallinari,8,7
43,1,6:56.0,,N. Jokić makes 2-pt jump shot from 12 ft (assist by D. Gallinari),8,9
44,1,6:48.0,Shooting foul by N. Jokić (drawn by M. Morris),,8,9
45,1,6:48.0,M. Morris misses free throw 1 of 2,,8,9
46,1,6:48.0,Offensive rebound by Team,,8,9
47,1,6:48.0,M. Morris makes free throw 2 of 2,,9,9
48,1,6:31.0,,E. Mudiay misses 3-pt jump shot from 26 ft,9,9
49,1,6:31.0,,Offensive rebound by N. Jokić,9,9
50,1,6:27.0,,N. Jokić misses 2-pt layup from 2 ft (block by M. Morris),9,9
51,1,6:26.0,Defensive rebound by B. Knight,,9,9
52,1,6:20.0,E. Bledsoe makes 2-pt layup from 1 ft (assist by B. Knight),,11,9
53,1,5:59.0,,D. Gallinari misses 2-pt layup from 2 ft,11,9
54,1,5:59.0,,Offensive rebound by N. Jokić,11,9
55,1,5:55.0,,N. Jokić misses 2-pt layup from 2 ft,11,9
56,1,5:55.0,,Offensive rebound by D. Gallinari,11,9
57,1,5:52.0,,D. Gallinari misses 3-pt jump shot from 26 ft,11,9
58,1,5:52.0,,Offensive rebound by G. Harris,11,9
59,1,5:41.0,,D. Gallinari misses 3-pt jump shot from 24 ft,11,9
60,1,5:37.0,,Offensive rebound by K. Faried,11,9
61,1,5:30.0,,Personal foul by B. Knight (drawn by D. Gallinari),11,9
62,1,5:30.0,A. Len enters the game for T. Chandler,,11,9
63,1,5:30.0,,J. Hickson enters the game for N. Jokić,11,9
64,1,5:25.0,,G. Harris misses 2-pt layup from 1 ft (block by A. Len),11,9
65,1,5:25.0,,Offensive rebound by Team,11,9
66,1,5:15.0,,Turnover by Team (shot clock),11,9
67,1,4:52.0,E. Bledsoe makes 2-pt jump shot from 3 ft,,13,9
68,1,4:41.0,,E. Mudiay misses 2-pt jump shot from 15 ft,13,9
69,1,4:40.0,Defensive rebound by A. Len,,13,9
70,1,4:29.0,B. Knight makes 2-pt jump shot from 16 ft,,15,9
71,1,4:11.0,,G. Harris makes 2-pt jump shot from 18 ft (assist by J. Hickson),15,11
72,1,4:00.0,B. Knight makes 2-pt jump shot from 18 ft,,17,11
73,1,3:40.0,,K. Faried makes 2-pt dunk at rim (assist by J. Hickson),17,13
74,1,3:24.0,B. Knight misses 2-pt hook shot from 3 ft,,17,13
75,1,3:22.0,,Defensive rebound by K. Faried,17,13
76,1,3:18.0,,G. Harris makes 2-pt dunk at rim (assist by K. Faried),17,15
77,1,3:17.0,Phoenix full timeout,,17,15
78,1,3:17.0,,J. Nelson enters the game for K. Faried,17,15
79,1,3:17.0,,W. Barton enters the game for G. Harris,17,15
80,1,3:17.0,,D. Arthur enters the game for E. Mudiay,17,15
81,1,3:17.0,R. Price enters the game for B. Knight,,17,15
82,1,2:57.0,,Offensive charge foul by M. Morris (drawn by D. Gallinari),17,15
83,1,2:57.0,Turnover by M. Morris (offensive foul),,17,15
84,1,2:57.0,A. Goodwin enters the game for E. Bledsoe,,17,15
85,1,2:39.0,,D. Gallinari makes 3-pt jump shot from 24 ft (assist by W. Barton),17,18
86,1,2:23.0,Turnover by M. Morris (bad pass; steal by J. Hickson),,17,18
87,1,2:17.0,,W. Barton makes 2-pt layup from 2 ft,17,20
88,1,1:57.0,T. Warren misses 2-pt jump shot from 19 ft,,17,20
89,1,1:56.0,,Defensive rebound by W. Barton,17,20
90,1,1:55.0,,Shooting foul by T. Warren (drawn by W. Barton),17,20
91,1,1:55.0,,W. Barton makes free throw 1 of 2,17,21
92,1,1:55.0,M. Teletović enters the game for M. Morris,,17,21
93,1,1:55.0,,W. Barton makes free throw 2 of 2,17,22
94,1,1:34.0,M. Teletović misses 2-pt layup at rim,,17,22
95,1,1:34.0,,Defensive rebound by J. Hickson,17,22
96,1,1:22.0,,J. Hickson makes 2-pt dunk at rim (assist by J. Nelson),17,24
97,1,1:08.0,A. Goodwin misses 2-pt layup from 2 ft (block by J. Hickson),,17,24
98,1,1:06.0,,Defensive rebound by D. Gallinari,17,24
99,1,1:02.0,,D. Gallinari makes 2-pt dunk at rim,17,26
100,1,0:38.0,Turnover by Team (shot clock),,17,26
101,1,0:27.0,,W. Barton makes 3-pt jump shot from 25 ft (assist by J. Nelson),17,29
102,1,0:06.0,R. Price misses 3-pt jump shot from 25 ft,,17,29
103,1,0:05.0,,Defensive rebound by J. Hickson,17,29
104,1,0:01.0,,D. Arthur misses 2-pt jump shot from 17 ft,17,29
105,1,0:00.0,,Offensive rebound by Team,17,29
106,2,11:39.0,,D. Arthur makes 2-pt jump shot from 21 ft (assist by J. Nelson),17,31
107,2,11:30.0,Personal foul by W. Barton (drawn by T. Warren),,17,31
