,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,OKLAHOMA CITY_ACTION,WASHINGTON_SCORE,OKLAHOMA CITY_SCORE
0,1,11:41.0,,S. Ibaka makes 2-pt jump shot from 8 ft (assist by R. Westbrook),0,2
1,1,11:20.0,M. Gortat makes 2-pt layup at rim (assist by J. Dudley),,2,2
2,1,11:00.0,,R. Westbrook makes 2-pt jump shot from 9 ft,2,4
3,1,10:46.0,Turnover by M. Gortat (lost ball),,2,4
4,1,10:34.0,,R. Westbrook makes 2-pt jump shot from 3 ft,2,6
5,1,10:22.0,G. Temple makes 2-pt jump shot from 21 ft (assist by J. Dudley),,4,6
6,1,10:06.0,,K. Durant misses 3-pt jump shot from 25 ft,4,6
7,1,10:06.0,Defensive rebound by Team,,4,6
8,1,9:43.0,M. Gortat makes 2-pt hook shot from 4 ft,,6,6
9,1,9:31.0,,K. Durant makes 2-pt jump shot from 4 ft (assist by R. Westbrook),6,8
10,1,9:15.0,M. Gortat makes 2-pt dunk at rim (assist by J. Wall),,8,8
11,1,9:01.0,,Turnover by K. Durant (bad pass; steal by O. Porter),8,8
12,1,8:57.0,Turnover by J. Wall (lost ball),,8,8
13,1,8:47.0,,K. Durant makes 3-pt jump shot from 25 ft (assist by S. Ibaka),8,11
14,1,8:40.0,Turnover by J. Wall (bad pass; steal by S. Adams),,8,11
15,1,8:25.0,,D. Waiters misses 2-pt jump shot from 16 ft,8,11
16,1,8:25.0,Defensive rebound by J. Dudley,,8,11
17,1,8:18.0,J. Wall makes 2-pt layup at rim,,10,11
18,1,7:54.0,,K. Durant makes 2-pt jump shot from 8 ft,10,13
19,1,7:39.0,O. Porter makes 2-pt layup at rim (assist by J. Dudley),,12,13
20,1,7:27.0,,R. Westbrook makes 2-pt jump shot from 4 ft,12,15
21,1,7:19.0,J. Dudley misses 3-pt jump shot from 22 ft,,12,15
22,1,7:18.0,,Defensive rebound by K. Durant,12,15
23,1,7:09.0,,K. Durant makes 2-pt jump shot from 10 ft,12,17
24,1,6:55.0,Turnover by J. Dudley (bad pass; steal by D. Waiters),,12,17
25,1,6:46.0,,D. Waiters misses 2-pt layup from 1 ft,12,17
26,1,6:45.0,,Offensive rebound by D. Waiters,12,17
27,1,6:42.0,,S. Ibaka makes 3-pt jump shot from 22 ft (assist by D. Waiters),12,20
28,1,6:37.0,Washington full timeout,,12,20
29,1,6:23.0,M. Gortat misses 2-pt jump shot from 14 ft,,12,20
30,1,6:22.0,,Defensive rebound by Team,12,20
31,1,6:14.0,,S. Ibaka misses 2-pt jump shot from 15 ft,12,20
32,1,6:13.0,Defensive rebound by G. Temple,,12,20
33,1,6:02.0,J. Wall misses 2-pt jump shot from 18 ft,,12,20
34,1,6:01.0,,Defensive rebound by R. Westbrook,12,20
35,1,5:49.0,,S. Adams makes 2-pt hook shot from 4 ft (assist by R. Westbrook),12,22
36,1,5:36.0,O. Porter misses 3-pt jump shot from 25 ft,,12,22
37,1,5:36.0,,Defensive rebound by D. Waiters,12,22
38,1,5:28.0,,D. Waiters makes 2-pt layup at rim,12,24
39,1,5:17.0,O. Porter makes 2-pt layup at rim (assist by J. Wall),,14,24
40,1,5:03.0,,Turnover by K. Durant (traveling),14,24
41,1,5:03.0,B. Beal enters the game for O. Porter,,14,24
42,1,4:43.0,M. Gortat misses 2-pt jump shot from 9 ft,,14,24
43,1,4:42.0,,Defensive rebound by R. Westbrook,14,24
44,1,4:22.0,,S. Adams misses 2-pt hook shot from 5 ft,14,24
45,1,4:21.0,,Offensive rebound by S. Ibaka,14,24
46,1,4:21.0,,S. Ibaka makes 2-pt layup from 1 ft,14,26
47,1,4:15.0,G. Temple misses 2-pt layup from 2 ft,,14,26
48,1,4:14.0,,Defensive rebound by S. Ibaka,14,26
49,1,3:49.0,,D. Waiters misses 3-pt jump shot from 23 ft,14,26
50,1,3:48.0,Defensive rebound by B. Beal,,14,26
51,1,3:39.0,B. Beal misses 2-pt jump shot from 10 ft,,14,26
52,1,3:38.0,,Defensive rebound by R. Westbrook,14,26
53,1,3:29.0,,S. Ibaka makes 2-pt layup at rim (assist by R. Westbrook),14,28
