,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,DETROIT_ACTION,BROOKLYN_SCORE,DETROIT_SCORE
0,1,11:44.0,,E. İlyasova misses 2-pt jump shot from 17 ft,0,0
1,1,11:43.0,Defensive rebound by J. Johnson,,0,0
2,1,11:24.0,T. Young makes 2-pt layup at rim (assist by S. Larkin),,2,0
3,1,11:10.0,,Turnover by K. Caldwell-Pope (step out of bounds),2,0
4,1,10:46.0,S. Larkin misses 2-pt jump shot from 19 ft,,2,0
5,1,10:45.0,Offensive rebound by T. Young,,2,0
6,1,10:44.0,T. Young misses 2-pt layup from 2 ft,,2,0
7,1,10:42.0,,Defensive rebound by S. Johnson,2,0
8,1,10:30.0,,S. Johnson misses 3-pt jump shot from 24 ft,2,0
9,1,10:30.0,Defensive rebound by M. Brown,,2,0
10,1,10:22.0,Shooting foul by A. Drummond (drawn by B. Lopez),,2,0
11,1,10:22.0,B. Lopez makes free throw 1 of 2,,3,0
12,1,10:22.0,B. Lopez makes free throw 2 of 2,,4,0
13,1,10:01.0,,R. Jackson misses 2-pt jump shot from 8 ft (block by B. Lopez),4,0
14,1,10:01.0,,Offensive rebound by Team,4,0
15,1,9:56.0,,E. İlyasova misses 3-pt jump shot from 25 ft,4,0
16,1,9:56.0,Defensive rebound by T. Young,,4,0
17,1,9:52.0,Turnover by T. Young (bad pass; steal by K. Caldwell-Pope),,4,0
18,1,9:44.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,4,0
19,1,9:44.0,Defensive rebound by M. Brown,,4,0
20,1,9:35.0,T. Young misses 2-pt jump shot from 3 ft (block by S. Johnson),,4,0
21,1,9:35.0,,Defensive rebound by Team,4,0
22,1,9:15.0,,R. Jackson makes 3-pt jump shot from 25 ft (assist by E. İlyasova),4,3
23,1,8:59.0,S. Larkin makes 2-pt layup at rim (assist by B. Lopez),,6,3
24,1,8:40.0,,A. Drummond misses 2-pt layup at rim,6,3
25,1,8:39.0,,Offensive rebound by E. İlyasova,6,3
26,1,8:36.0,,E. İlyasova makes 2-pt layup at rim,6,5
27,1,8:13.0,J. Johnson misses 2-pt jump shot from 4 ft,,6,5
28,1,8:13.0,,Defensive rebound by S. Johnson,6,5
