,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,TORONTO_ACTION,CHARLOTTE_SCORE,TORONTO_SCORE
0,1,11:41.0,,K. Lowry makes 2-pt jump shot from 14 ft,0,2
1,1,11:22.0,C. Zeller makes 2-pt dunk at rim (assist by K. Walker),,2,2
2,1,11:11.0,,Shooting foul by K. Walker (drawn by D. DeRozan),2,2
3,1,11:11.0,,D. DeRozan makes free throw 1 of 2,2,3
4,1,11:11.0,,D. DeRozan makes free throw 2 of 2,2,4
5,1,11:00.0,Shooting foul by N. Powell (drawn by J. Lin),,2,4
6,1,11:00.0,J. Lin makes free throw 1 of 2,,3,4
7,1,11:00.0,J. Lin makes free throw 2 of 2,,4,4
8,1,10:43.0,,D. DeRozan misses 2-pt jump shot from 20 ft,4,4
9,1,10:43.0,Defensive rebound by M. Williams,,4,4
10,1,10:30.0,C. Lee makes 2-pt jump shot from 13 ft,,6,4
11,1,10:09.0,,J. Valančiūnas makes 2-pt jump shot from 19 ft (assist by D. DeRozan),6,6
12,1,9:50.0,J. Lin misses 2-pt layup from 3 ft,,6,6
13,1,9:50.0,,Defensive rebound by J. Valančiūnas,6,6
14,1,9:44.0,,K. Lowry misses 3-pt jump shot from 26 ft,6,6
15,1,9:43.0,Defensive rebound by C. Zeller,,6,6
16,1,9:34.0,J. Lin makes 3-pt jump shot from 25 ft,,9,6
17,1,9:11.0,,L. Scola makes 2-pt jump shot from 5 ft,9,8
18,1,8:59.0,Personal block foul by L. Scola,,9,8
19,1,8:50.0,K. Walker misses 3-pt jump shot from 26 ft,,9,8
20,1,8:49.0,,Defensive rebound by J. Valančiūnas,9,8
21,1,8:36.0,,L. Scola misses 2-pt layup from 2 ft,9,8
22,1,8:36.0,Defensive rebound by C. Zeller,,9,8
23,1,8:30.0,C. Zeller misses 2-pt layup from 2 ft,,9,8
24,1,8:30.0,,Defensive rebound by D. DeRozan,9,8
25,1,8:18.0,,K. Lowry makes 2-pt layup at rim (assist by D. DeRozan),9,10
26,1,8:02.0,M. Williams misses 3-pt jump shot from 25 ft,,9,10
27,1,8:02.0,,Defensive rebound by N. Powell,9,10
28,1,7:56.0,,N. Powell makes 2-pt layup from 2 ft,9,12
29,1,7:56.0,Charlotte full timeout,,9,12
30,1,7:41.0,C. Lee misses 3-pt jump shot from 25 ft,,9,12
31,1,7:40.0,,Defensive rebound by N. Powell,9,12
32,1,7:19.0,,J. Valančiūnas misses 2-pt layup from 3 ft,9,12
33,1,7:19.0,,Offensive rebound by J. Valančiūnas,9,12
34,1,7:15.0,,Turnover by J. Valančiūnas (bad pass),9,12
35,1,6:53.0,M. Williams misses 2-pt jump shot from 3 ft,,9,12
36,1,6:52.0,,Defensive rebound by D. DeRozan,9,12
37,1,6:42.0,,N. Powell misses 3-pt jump shot from 24 ft,9,12
38,1,6:41.0,,Offensive rebound by J. Valančiūnas,9,12
39,1,6:39.0,,J. Valančiūnas misses 2-pt layup at rim,9,12
40,1,6:38.0,Defensive rebound by J. Lin,,9,12
41,1,6:30.0,K. Walker misses 3-pt jump shot from 26 ft,,9,12
42,1,6:29.0,,Defensive rebound by K. Lowry,9,12
43,1,6:14.0,,L. Scola misses 3-pt jump shot from 25 ft,9,12
44,1,6:14.0,,Offensive rebound by Team,9,12
45,1,6:14.0,Loose ball foul by C. Zeller,,9,12
