,QUARTER,TIME_REMAINING,INDIANA_ACTION,BROOKLYN_ACTION,INDIANA_SCORE,BROOKLYN_SCORE
0,1,11:45.0,,S. Larkin makes 2-pt layup from 2 ft (assist by B. Lopez),0,2
1,1,11:28.0,Shooting foul by B. Lopez (drawn by I. Mahinmi),,0,2
2,1,11:28.0,I. Mahinmi makes free throw 1 of 2,,1,2
3,1,11:28.0,I. Mahinmi makes free throw 2 of 2,,2,2
4,1,11:14.0,,B. Bogdanović misses 2-pt layup from 2 ft,2,2
5,1,11:13.0,Defensive rebound by I. Mahinmi,,2,2
6,1,11:04.0,M. Turner makes 2-pt layup from 1 ft (assist by P. George),,4,2
7,1,10:55.0,,T. Young makes 2-pt layup from 2 ft (assist by B. Bogdanović),4,4
8,1,10:38.0,G. Hill makes 3-pt jump shot from 22 ft (assist by I. Mahinmi),,7,4
9,1,10:25.0,,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by S. Karasev),7,7
10,1,10:05.0,I. Mahinmi makes 2-pt layup at rim (assist by M. Turner),,9,7
11,1,9:39.0,,Turnover by Team (shot clock),9,7
12,1,9:21.0,I. Mahinmi misses 2-pt hook shot from 4 ft,,9,7
13,1,9:20.0,,Defensive rebound by B. Lopez,9,7
14,1,9:03.0,,S. Larkin makes 2-pt jump shot from 15 ft,9,9
15,1,8:51.0,Offensive foul by G. Hill (drawn by B. Bogdanović),,9,9
16,1,8:51.0,Turnover by G. Hill (offensive foul),,9,9
17,1,8:40.0,,T. Young makes 2-pt hook shot from 7 ft (assist by S. Larkin),9,11
18,1,8:24.0,P. George makes 3-pt jump shot from 25 ft (assist by M. Ellis),,12,11
19,1,8:16.0,,B. Lopez misses 2-pt layup from 1 ft,12,11
20,1,8:15.0,,Offensive rebound by S. Karasev,12,11
21,1,8:13.0,,S. Karasev makes 2-pt layup from 2 ft,12,13
22,1,8:02.0,M. Turner misses 2-pt jump shot from 13 ft,,12,13
23,1,8:01.0,,Defensive rebound by B. Lopez,12,13
24,1,7:51.0,,S. Karasev misses 3-pt jump shot from 25 ft,12,13
25,1,7:50.0,Defensive rebound by G. Hill,,12,13
26,1,7:44.0,Turnover by G. Hill (lost ball; steal by S. Karasev),,12,13
27,1,7:38.0,,S. Larkin misses 2-pt layup from 1 ft,12,13
28,1,7:37.0,Defensive rebound by M. Turner,,12,13
29,1,7:32.0,P. George makes 2-pt layup from 1 ft,,14,13
30,1,7:13.0,,T. Young misses 2-pt jump shot from 5 ft,14,13
31,1,7:12.0,,Offensive rebound by T. Young,14,13
32,1,7:11.0,,T. Young makes 2-pt layup from 2 ft,14,15
33,1,7:05.0,Indiana full timeout,,14,15
34,1,6:59.0,P. George misses 3-pt jump shot from 25 ft,,14,15
35,1,6:58.0,,Defensive rebound by Team,14,15
36,1,6:47.0,,B. Bogdanović misses 3-pt jump shot from 22 ft,14,15
37,1,6:46.0,Defensive rebound by G. Hill,,14,15
38,1,6:37.0,G. Hill misses 2-pt jump shot from 15 ft,,14,15
39,1,6:36.0,Offensive rebound by P. George,,14,15
40,1,6:35.0,P. George makes 2-pt layup at rim,,16,15
41,1,6:21.0,,Turnover by S. Karasev (bad pass; steal by P. George),16,15
42,1,6:16.0,Turnover by M. Ellis (bad pass; steal by S. Larkin),,16,15
43,1,6:11.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,16,15
44,1,6:10.0,,Offensive rebound by Team,16,15
45,1,5:58.0,,B. Lopez misses 2-pt jump shot from 6 ft,16,15
46,1,5:56.0,Defensive rebound by M. Turner,,16,15
47,1,5:45.0,P. George makes 2-pt layup from 2 ft (assist by M. Ellis),,18,15
