,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,LA LAKERS_ACTION,WASHINGTON_SCORE,LA LAKERS_SCORE
0,1,11:44.0,B. Beal misses 3-pt jump shot from 25 ft,,0,0
1,1,11:43.0,,Defensive rebound by J. Clarkson,0,0
2,1,11:25.0,,J. Randle misses 2-pt jump shot from 17 ft,0,0
3,1,11:23.0,Defensive rebound by J. Wall,,0,0
4,1,11:16.0,Personal foul by J. Randle,,0,0
5,1,11:04.0,M. Gortat makes 2-pt layup from 3 ft (assist by J. Wall),,2,0
6,1,10:48.0,,K. Bryant makes 3-pt jump shot from 26 ft (assist by J. Clarkson),2,3
7,1,10:32.0,N. Hilário misses 2-pt jump shot from 12 ft,,2,3
8,1,10:31.0,,Defensive rebound by R. Hibbert,2,3
9,1,10:27.0,,Turnover by J. Clarkson (lost ball),2,3
10,1,10:09.0,N. Hilário misses 2-pt jump shot from 5 ft,,2,3
11,1,10:06.0,,Defensive rebound by J. Clarkson,2,3
12,1,10:01.0,,K. Bryant makes 3-pt jump shot from 25 ft (assist by J. Clarkson),2,6
13,1,9:51.0,Turnover by J. Wall (bad pass; steal by K. Bryant),,2,6
14,1,9:40.0,,K. Bryant misses 3-pt jump shot from 24 ft,2,6
15,1,9:38.0,,Offensive rebound by D. Russell,2,6
16,1,9:32.0,,D. Russell makes 3-pt jump shot from 25 ft,2,9
17,1,9:28.0,J. Wall makes 2-pt dunk at rim,,4,9
18,1,9:08.0,,J. Clarkson misses 3-pt jump shot from 24 ft,4,9
19,1,9:07.0,,Offensive rebound by Team,4,9
20,1,8:52.0,,J. Randle makes 2-pt jump shot from 12 ft (assist by K. Bryant),4,11
21,1,8:43.0,O. Porter misses 3-pt jump shot from 25 ft,,4,11
22,1,8:41.0,,Defensive rebound by J. Clarkson,4,11
23,1,8:19.0,,D. Russell makes 2-pt jump shot from 2 ft,4,13
24,1,8:13.0,Washington full timeout,,4,13
25,1,8:01.0,M. Gortat misses 2-pt hook shot from 5 ft,,4,13
26,1,7:58.0,Offensive rebound by O. Porter,,4,13
27,1,7:54.0,M. Gortat misses 2-pt jump shot from 9 ft,,4,13
28,1,7:53.0,,Defensive rebound by K. Bryant,4,13
29,1,7:45.0,,K. Bryant misses 2-pt layup from 2 ft,4,13
30,1,7:44.0,Defensive rebound by M. Gortat,,4,13
31,1,7:34.0,M. Gortat misses 2-pt layup from 1 ft,,4,13
32,1,7:33.0,,Defensive rebound by R. Hibbert,4,13
33,1,7:25.0,,D. Russell makes 3-pt jump shot from 26 ft,4,16
34,1,7:19.0,J. Wall makes 2-pt layup from 1 ft,,6,16
35,1,6:58.0,,K. Bryant misses 3-pt jump shot from 26 ft,6,16
36,1,6:58.0,Defensive rebound by Team,,6,16
37,1,6:43.0,J. Wall makes 3-pt jump shot from 25 ft,,9,16
38,1,6:29.0,,D. Russell misses 2-pt jump shot from 16 ft,9,16
39,1,6:27.0,Defensive rebound by B. Beal,,9,16
40,1,6:18.0,J. Wall makes 3-pt jump shot from 25 ft (assist by B. Beal),,12,16
41,1,5:59.0,,Turnover by J. Clarkson (lost ball; steal by J. Wall),12,16
42,1,5:54.0,J. Wall makes 2-pt layup at rim (assist by N. Hilário),,14,16
