,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,SACRAMENTO_ACTION,PHILADELPHIA_SCORE,SACRAMENTO_SCORE
0,1,11:45.0,,Turnover by D. Cousins (bad pass; steal by I. Smith),0,0
1,1,11:38.0,J. Grant makes 2-pt layup from 1 ft (assist by I. Smith),,2,0
2,1,11:27.0,,D. Cousins misses 2-pt jump shot from 2 ft,2,0
3,1,11:26.0,,Offensive rebound by D. Cousins,2,0
4,1,11:26.0,,D. Cousins makes 2-pt layup from 2 ft,2,2
5,1,11:03.0,I. Smith makes 2-pt jump shot from 16 ft,,4,2
6,1,10:45.0,,D. Cousins makes 2-pt dunk at rim (assist by B. McLemore),4,4
7,1,10:35.0,I. Canaan misses 3-pt jump shot from 23 ft,,4,4
8,1,10:34.0,,Defensive rebound by R. Gay,4,4
9,1,10:29.0,,Turnover by O. Casspi (lost ball; steal by I. Canaan),4,4
10,1,10:18.0,J. Sampson misses 3-pt jump shot from 22 ft,,4,4
11,1,10:17.0,Offensive rebound by J. Grant,,4,4
12,1,10:13.0,I. Smith makes 2-pt layup from 1 ft,,6,4
13,1,10:02.0,,R. Gay misses 2-pt layup from 2 ft (block by J. Sampson),6,4
14,1,10:01.0,Defensive rebound by I. Smith,,6,4
15,1,9:56.0,I. Smith misses 2-pt jump shot from 7 ft,,6,4
16,1,9:55.0,Offensive rebound by J. Sampson,,6,4
17,1,9:55.0,J. Sampson misses 2-pt layup from 3 ft,,6,4
18,1,9:55.0,,Defensive rebound by B. McLemore,6,4
19,1,9:49.0,,O. Casspi misses 2-pt layup from 2 ft,6,4
20,1,9:48.0,,Offensive rebound by O. Casspi,6,4
21,1,9:42.0,,B. McLemore makes 3-pt jump shot from 25 ft,6,7
22,1,9:20.0,I. Canaan misses 3-pt jump shot from 25 ft,,6,7
23,1,9:19.0,,Defensive rebound by R. Gay,6,7
24,1,9:07.0,Violation by N. Noel (kicked ball),,6,7
25,1,8:59.0,,D. Cousins makes 2-pt hook shot from 4 ft (assist by R. Rondo),6,9
26,1,8:51.0,Turnover by J. Sampson (lost ball),,6,9
27,1,8:41.0,,Shooting foul by J. Sampson (drawn by R. Rondo),6,9
28,1,8:41.0,,R. Rondo misses free throw 1 of 2,6,9
29,1,8:41.0,,Offensive rebound by Team,6,9
30,1,8:41.0,,R. Rondo misses free throw 2 of 2,6,9
31,1,8:40.0,Defensive rebound by I. Canaan,,6,9
32,1,8:35.0,Shooting foul by B. McLemore (drawn by I. Smith),,6,9
33,1,8:35.0,I. Smith makes free throw 1 of 2,,7,9
34,1,8:35.0,I. Smith misses free throw 2 of 2,,7,9
35,1,8:34.0,,Defensive rebound by R. Gay,7,9
36,1,8:20.0,,D. Cousins makes 2-pt jump shot from 20 ft (assist by R. Rondo),7,11
37,1,8:11.0,N. Noel makes 2-pt dunk at rim (assist by I. Smith),,9,11
38,1,8:11.0,Shooting foul by R. Gay (drawn by N. Noel),,9,11
39,1,8:11.0,N. Noel misses free throw 1 of 1,,9,11
40,1,8:09.0,,Defensive rebound by O. Casspi,9,11
41,1,7:46.0,,R. Rondo misses 3-pt jump shot from 24 ft (block by I. Smith),9,11
42,1,7:44.0,Defensive rebound by J. Sampson,,9,11
43,1,7:40.0,J. Sampson misses 2-pt jump shot from 3 ft,,9,11
44,1,7:39.0,Offensive rebound by J. Grant,,9,11
45,1,7:39.0,J. Grant misses 2-pt layup from 1 ft,,9,11
46,1,7:38.0,Offensive rebound by J. Sampson,,9,11
47,1,7:36.0,J. Sampson misses 2-pt jump shot from 7 ft,,9,11
48,1,7:35.0,,Defensive rebound by D. Cousins,9,11
49,1,7:20.0,,B. McLemore misses 3-pt jump shot from 24 ft,9,11
50,1,7:19.0,Defensive rebound by N. Noel,,9,11
51,1,7:15.0,Personal foul by B. McLemore (drawn by I. Smith),,9,11
52,1,6:58.0,Turnover by J. Sampson (lost ball; steal by R. Rondo),,9,11
53,1,6:53.0,,Turnover by B. McLemore (lost ball),9,11
54,1,6:38.0,N. Noel misses 2-pt jump shot from 6 ft,,9,11
55,1,6:36.0,Offensive rebound by J. Sampson,,9,11
56,1,6:36.0,J. Sampson makes 2-pt layup from 2 ft,,11,11
57,1,6:32.0,Offensive charge foul by R. Gay (drawn by N. Noel),,11,11
58,1,6:32.0,,Turnover by R. Gay (offensive foul),11,11
59,1,6:32.0,Philadelphia full timeout,,11,11
60,1,6:32.0,N. Stauskas enters the game for J. Sampson,,11,11
61,1,6:21.0,N. Noel makes 2-pt dunk at rim (assist by I. Smith),,13,11
62,1,6:02.0,,B. McLemore makes 3-pt jump shot from 24 ft (assist by R. Rondo),13,14
63,1,5:44.0,N. Noel makes 2-pt dunk at rim (assist by N. Stauskas),,15,14
64,1,5:32.0,,R. Rondo makes 2-pt layup from 1 ft,15,16
65,1,5:20.0,N. Stauskas misses 3-pt jump shot from 23 ft,,15,16
66,1,5:19.0,,Defensive rebound by D. Cousins,15,16
67,1,5:17.0,,Turnover by D. Cousins (bad pass),15,16
68,1,5:17.0,,D. Collison enters the game for O. Casspi,15,16
69,1,5:17.0,H. Thompson enters the game for I. Canaan,,15,16
70,1,5:17.0,R. Covington enters the game for J. Grant,,15,16
71,1,5:17.0,J. Okafor enters the game for N. Noel,,15,16
72,1,5:07.0,H. Thompson makes 2-pt layup from 2 ft (assist by R. Covington),,17,16
73,1,5:07.0,Shooting foul by D. Cousins (drawn by H. Thompson),,17,16
74,1,5:07.0,,M. Belinelli enters the game for B. McLemore,17,16
75,1,5:07.0,H. Thompson makes free throw 1 of 1,,18,16
76,1,4:55.0,,M. Belinelli makes 2-pt jump shot from 19 ft (assist by R. Rondo),18,18
77,1,4:42.0,,Offensive charge foul by J. Okafor (drawn by R. Gay),18,18
78,1,4:42.0,Turnover by J. Okafor (offensive foul),,18,18
79,1,4:29.0,,M. Belinelli makes 2-pt jump shot from 17 ft (assist by R. Rondo),18,20
80,1,4:07.0,J. Okafor misses 2-pt jump shot from 3 ft (block by D. Cousins),,18,20
81,1,4:06.0,,Defensive rebound by D. Cousins,18,20
82,1,3:59.0,,D. Cousins misses 3-pt jump shot from 25 ft,18,20
83,1,3:58.0,Defensive rebound by N. Stauskas,,18,20
84,1,3:56.0,Turnover by N. Stauskas (bad pass; steal by D. Collison),,18,20
85,1,3:54.0,,D. Collison misses 2-pt layup from 2 ft,18,20
86,1,3:53.0,Defensive rebound by H. Thompson,,18,20
87,1,3:39.0,H. Thompson makes 3-pt jump shot from 24 ft (assist by J. Okafor),,21,20
88,1,3:28.0,,Turnover by R. Rondo (bad pass),21,20
89,1,3:28.0,T. McConnell enters the game for I. Smith,,21,20
90,1,3:14.0,N. Stauskas misses 3-pt jump shot from 25 ft,,21,20
91,1,3:13.0,,Defensive rebound by R. Gay,21,20
92,1,3:07.0,,Shooting foul by R. Covington (drawn by D. Cousins),21,20
93,1,3:07.0,,D. Cousins misses free throw 1 of 2,21,20
94,1,3:07.0,,Offensive rebound by Team,21,20
95,1,3:07.0,,O. Casspi enters the game for R. Gay,21,20
96,1,3:07.0,,D. Cousins makes free throw 2 of 2,21,21
97,1,2:55.0,N. Stauskas makes 3-pt jump shot from 23 ft (assist by T. McConnell),,24,21
98,1,2:39.0,,M. Belinelli makes 2-pt jump shot from 20 ft (assist by R. Rondo),24,23
99,1,2:26.0,J. Okafor misses 2-pt jump shot from 5 ft (block by D. Cousins),,24,23
100,1,2:24.0,,Defensive rebound by M. Belinelli,24,23
101,1,2:17.0,,Shooting foul by J. Okafor (drawn by D. Cousins),24,23
102,1,2:17.0,,Sacramento full timeout,24,23
103,1,2:17.0,,D. Cousins makes free throw 1 of 2,24,24
104,1,2:17.0,,D. Cousins makes free throw 2 of 2,24,25
105,1,1:53.0,H. Thompson makes 2-pt jump shot from 15 ft,,26,25
106,1,1:35.0,,M. Belinelli makes 2-pt jump shot from 21 ft (assist by R. Rondo),26,27
107,1,1:15.0,J. Okafor misses 2-pt jump shot from 8 ft,,26,27
108,1,1:14.0,,Defensive rebound by O. Casspi,26,27
109,1,1:10.0,,D. Collison makes 2-pt layup from 2 ft (assist by M. Belinelli),26,29
110,1,0:53.0,Shooting foul by O. Casspi (drawn by R. Covington),,26,29
111,1,0:53.0,R. Covington makes free throw 1 of 3,,27,29
112,1,0:53.0,R. Covington makes free throw 2 of 3,,28,29
113,1,0:53.0,,K. Koufos enters the game for D. Cousins,28,29
114,1,0:53.0,R. Covington misses free throw 3 of 3,,28,29
115,1,0:53.0,,Defensive rebound by R. Rondo,28,29
116,1,0:45.0,,Shooting foul by R. Covington (drawn by O. Casspi),28,29
117,1,0:45.0,,O. Casspi makes free throw 1 of 2,28,30
118,1,0:45.0,,O. Casspi makes free throw 2 of 2,28,31
