,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,UTAH_ACTION,CHARLOTTE_SCORE,UTAH_SCORE
0,1,11:45.0,,T. Lyles misses 3-pt jump shot from 23 ft,0,0
1,1,11:44.0,Defensive rebound by P. Hairston,,0,0
2,1,11:29.0,M. Williams misses 2-pt jump shot from 4 ft,,0,0
3,1,11:28.0,,Defensive rebound by R. Neto,0,0
4,1,11:23.0,,Shooting foul by S. Hawes (drawn by R. Gobert),0,0
5,1,11:23.0,,R. Gobert misses free throw 1 of 2,0,0
6,1,11:23.0,,Offensive rebound by Team,0,0
7,1,11:23.0,,R. Gobert makes free throw 2 of 2,0,1
8,1,11:10.0,P. Hairston misses 2-pt jump shot from 20 ft,,0,1
9,1,11:09.0,,Defensive rebound by R. Gobert,0,1
10,1,10:53.0,,R. Neto misses 2-pt layup from 2 ft,0,1
11,1,10:53.0,Defensive rebound by S. Hawes,,0,1
12,1,10:40.0,M. Williams misses 2-pt jump shot from 21 ft,,0,1
13,1,10:39.0,,Defensive rebound by R. Gobert,0,1
14,1,10:22.0,,R. Hood makes 3-pt jump shot from 25 ft (assist by R. Neto),0,4
15,1,10:07.0,P. Hairston makes 2-pt layup from 1 ft (assist by S. Hawes),,2,4
16,1,9:45.0,,R. Hood makes 3-pt jump shot from 25 ft (assist by R. Neto),2,7
17,1,9:29.0,Turnover by K. Walker (bad pass; steal by G. Hayward),,2,7
18,1,9:21.0,,R. Neto misses 3-pt jump shot from 23 ft,2,7
19,1,9:20.0,Defensive rebound by S. Hawes,,2,7
20,1,9:03.0,N. Batum misses 3-pt jump shot from 23 ft,,2,7
21,1,9:03.0,,Defensive rebound by T. Lyles,2,7
22,1,8:47.0,,Offensive foul by R. Gobert (drawn by M. Williams),2,7
23,1,8:47.0,,Turnover by R. Gobert (offensive foul),2,7
24,1,8:25.0,S. Hawes misses 2-pt jump shot from 14 ft,,2,7
25,1,8:25.0,,Defensive rebound by R. Hood,2,7
26,1,8:09.0,,G. Hayward makes 2-pt jump shot from 3 ft,2,9
27,1,7:54.0,M. Williams misses 3-pt jump shot from 24 ft,,2,9
28,1,7:52.0,Offensive rebound by S. Hawes,,2,9
29,1,7:41.0,K. Walker makes 2-pt jump shot from 8 ft,,4,9
30,1,7:27.0,,R. Hood misses 2-pt jump shot from 18 ft,4,9
31,1,7:27.0,Defensive rebound by Team,,4,9
32,1,7:13.0,Offensive foul by M. Williams (drawn by R. Neto),,4,9
33,1,7:13.0,Turnover by M. Williams (offensive foul),,4,9
34,1,7:13.0,,D. Favors enters the game for R. Gobert,4,9
35,1,6:55.0,,G. Hayward misses 2-pt jump shot from 9 ft,4,9
36,1,6:55.0,Defensive rebound by N. Batum,,4,9
37,1,6:47.0,Turnover by N. Batum (lost ball; steal by D. Favors),,4,9
38,1,6:39.0,,R. Neto misses 3-pt jump shot from 24 ft,4,9
39,1,6:39.0,Defensive rebound by N. Batum,,4,9
40,1,6:31.0,Personal foul by R. Neto (drawn by N. Batum),,4,9
41,1,6:19.0,P. Hairston misses 3-pt jump shot from 24 ft,,4,9
42,1,6:19.0,,Defensive rebound by T. Lyles,4,9
43,1,6:08.0,,Utah full timeout,4,9
44,1,6:01.0,,R. Hood misses 3-pt jump shot from 24 ft,4,9
45,1,6:01.0,Defensive rebound by M. Williams,,4,9
46,1,5:44.0,N. Batum misses 2-pt jump shot from 10 ft,,4,9
47,1,5:43.0,,Defensive rebound by G. Hayward,4,9
48,1,5:32.0,,Turnover by T. Lyles (lost ball; steal by M. Williams),4,9
49,1,5:28.0,Shooting foul by R. Hood (drawn by N. Batum),,4,9
50,1,5:28.0,N. Batum makes free throw 1 of 2,,5,9
51,1,5:28.0,,C. Johnson enters the game for R. Hood,5,9
52,1,5:28.0,N. Batum misses free throw 2 of 2,,5,9
53,1,5:28.0,,Defensive rebound by C. Johnson,5,9
54,1,5:11.0,,G. Hayward misses 2-pt jump shot from 18 ft,5,9
55,1,5:11.0,Defensive rebound by Team,,5,9
56,1,5:00.0,K. Walker makes 2-pt layup from 3 ft,,7,9
57,1,4:48.0,,C. Johnson misses 2-pt jump shot from 6 ft,7,9
58,1,4:48.0,Defensive rebound by K. Walker,,7,9
59,1,4:39.0,K. Walker misses 2-pt jump shot from 17 ft,,7,9
60,1,4:39.0,,Defensive rebound by G. Hayward,7,9
61,1,4:28.0,,D. Favors misses 2-pt jump shot from 17 ft,7,9
62,1,4:27.0,Defensive rebound by N. Batum,,7,9
63,1,4:11.0,M. Williams makes 2-pt layup at rim (assist by S. Hawes),,9,9
64,1,3:51.0,,T. Lyles misses 3-pt jump shot from 23 ft,9,9
65,1,3:51.0,Defensive rebound by N. Batum,,9,9
66,1,3:41.0,N. Batum makes 2-pt jump shot from 8 ft,,11,9
