,QUARTER,TIME_REMAINING,ATLANTA_ACTION,OKLAHOMA CITY_ACTION,ATLANTA_SCORE,OKLAHOMA CITY_SCORE
0,1,11:44.0,,Turnover by K. Durant (bad pass; steal by T. Sefolosha),0,0
1,1,11:37.0,K. Korver makes 3-pt jump shot from 23 ft (assist by J. Teague),,3,0
2,1,11:12.0,,A. Roberson misses 3-pt jump shot from 22 ft,3,0
3,1,11:12.0,Defensive rebound by A. Horford,,3,0
4,1,10:57.0,Shooting foul by K. Durant (drawn by T. Sefolosha),,3,0
5,1,10:57.0,T. Sefolosha makes free throw 1 of 2,,4,0
6,1,10:57.0,T. Sefolosha misses free throw 2 of 2,,4,0
7,1,10:56.0,,Defensive rebound by K. Durant,4,0
8,1,10:42.0,,Turnover by A. Roberson (bad pass; steal by T. Sefolosha),4,0
9,1,10:39.0,Turnover by T. Sefolosha (bad pass; steal by R. Westbrook),,4,0
10,1,10:19.0,,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),4,2
11,1,10:04.0,T. Sefolosha makes 2-pt layup at rim,,6,2
12,1,9:47.0,,S. Adams makes 2-pt hook shot from 5 ft (assist by R. Westbrook),6,4
13,1,9:33.0,T. Sefolosha makes 2-pt jump shot from 12 ft (assist by K. Korver),,8,4
14,1,9:19.0,,S. Adams makes 2-pt dunk at rim (assist by K. Durant),8,6
15,1,9:00.0,A. Horford misses 2-pt jump shot from 12 ft,,8,6
16,1,8:59.0,,Defensive rebound by K. Durant,8,6
17,1,8:49.0,,S. Ibaka makes 2-pt jump shot from 15 ft (assist by K. Durant),8,8
18,1,8:27.0,A. Horford misses 3-pt jump shot from 23 ft,,8,8
19,1,8:26.0,,Defensive rebound by S. Ibaka,8,8
20,1,8:14.0,,S. Ibaka makes 2-pt jump shot from 11 ft (assist by K. Durant),8,10
21,1,7:58.0,Turnover by K. Korver (bad pass; steal by R. Westbrook),,8,10
22,1,7:50.0,,S. Ibaka misses 3-pt jump shot from 22 ft,8,10
23,1,7:49.0,,Offensive rebound by A. Roberson,8,10
24,1,7:42.0,,S. Ibaka makes 2-pt jump shot from 19 ft (assist by K. Durant),8,12
25,1,7:41.0,Atlanta full timeout,,8,12
26,1,7:24.0,Turnover by T. Sefolosha (bad pass),,8,12
27,1,7:08.0,,K. Durant makes 2-pt jump shot from 10 ft,8,14
28,1,6:42.0,P. Millsap misses 3-pt jump shot from 23 ft,,8,14
29,1,6:42.0,,Defensive rebound by S. Adams,8,14
30,1,6:21.0,,S. Ibaka makes 3-pt jump shot from 24 ft (assist by R. Westbrook),8,17
31,1,5:56.0,J. Teague makes 2-pt jump shot from 16 ft,,10,17
32,1,5:43.0,,Turnover by K. Durant (bad pass),10,17
33,1,5:43.0,M. Muscala enters the game for A. Horford,,10,17
34,1,5:43.0,K. Bazemore enters the game for K. Korver,,10,17
35,1,5:43.0,,D. Waiters enters the game for S. Adams,10,17
36,1,5:29.0,J. Teague makes 2-pt jump shot from 19 ft,,12,17
37,1,5:12.0,,S. Ibaka misses 2-pt jump shot from 5 ft,12,17
38,1,5:12.0,Defensive rebound by J. Teague,,12,17
39,1,5:04.0,Shooting foul by R. Westbrook (drawn by P. Millsap),,12,17
40,1,5:04.0,P. Millsap misses free throw 1 of 2,,12,17
41,1,5:04.0,Offensive rebound by Team,,12,17
42,1,5:04.0,P. Millsap misses free throw 2 of 2,,12,17
43,1,5:03.0,,Defensive rebound by A. Roberson,12,17
44,1,4:48.0,,D. Waiters makes 3-pt jump shot from 23 ft (assist by K. Durant),12,20
45,1,4:22.0,K. Bazemore makes 3-pt jump shot from 24 ft (assist by J. Teague),,15,20
46,1,4:09.0,,Shooting foul by J. Teague (drawn by R. Westbrook),15,20
47,1,4:09.0,,R. Westbrook misses free throw 1 of 2,15,20
48,1,4:09.0,,Offensive rebound by Team,15,20
49,1,4:09.0,D. Schröder enters the game for J. Teague,,15,20
50,1,4:09.0,,A. Morrow enters the game for A. Roberson,15,20
51,1,4:09.0,,R. Westbrook makes free throw 2 of 2,15,21
52,1,3:57.0,Personal foul by D. Waiters (drawn by K. Bazemore),,15,21
53,1,3:42.0,M. Muscala makes 2-pt hook shot from 5 ft (assist by P. Millsap),,17,21
54,1,3:31.0,,Shooting foul by M. Muscala (drawn by S. Ibaka),17,21
55,1,3:31.0,,S. Ibaka makes free throw 1 of 2,17,22
56,1,3:31.0,,S. Ibaka makes free throw 2 of 2,17,23
57,1,3:16.0,D. Schröder misses 3-pt jump shot from 24 ft,,17,23
58,1,3:16.0,Offensive rebound by M. Muscala,,17,23
59,1,3:13.0,Turnover by M. Muscala (lost ball; steal by R. Westbrook),,17,23
60,1,3:07.0,,R. Westbrook makes 3-pt jump shot from 24 ft,17,26
61,1,2:51.0,M. Muscala makes 2-pt hook shot from 4 ft (assist by P. Millsap),,19,26
62,1,2:39.0,,Personal foul by K. Bazemore (drawn by K. Durant),19,26
63,1,2:39.0,,Oklahoma City full timeout,19,26
64,1,2:39.0,,N. Collison enters the game for K. Durant,19,26
65,1,2:39.0,,E. Freedom enters the game for S. Ibaka,19,26
66,1,2:39.0,K. Korver enters the game for T. Sefolosha,,19,26
67,1,2:39.0,A. Horford enters the game for P. Millsap,,19,26
68,1,2:32.0,,E. Freedom makes 2-pt layup from 2 ft (assist by R. Westbrook),19,28
69,1,2:19.0,D. Schröder misses 2-pt jump shot from 17 ft,,19,28
70,1,2:19.0,,Defensive rebound by N. Collison,19,28
71,1,2:10.0,,E. Freedom misses 2-pt layup from 1 ft (block by D. Schröder),19,28
72,1,2:09.0,,Offensive rebound by E. Freedom,19,28
73,1,2:08.0,,E. Freedom makes 2-pt layup from 2 ft,19,30
74,1,1:52.0,K. Bazemore makes 3-pt jump shot from 23 ft (assist by M. Muscala),,22,30
75,1,1:29.0,,R. Westbrook misses 2-pt jump shot from 11 ft,22,30
76,1,1:28.0,,Offensive rebound by N. Collison,22,30
77,1,1:17.0,,Turnover by D. Waiters (lost ball; steal by D. Schröder),22,30
78,1,1:14.0,Turnover by D. Schröder (bad pass),,22,30
79,1,1:04.0,,E. Freedom misses 2-pt dunk at rim (block by M. Muscala),22,30
80,1,1:03.0,Defensive rebound by A. Horford,,22,30
81,1,1:00.0,K. Korver makes 3-pt jump shot from 22 ft (assist by K. Bazemore),,25,30
82,1,0:50.0,,R. Westbrook makes 3-pt jump shot from 24 ft,25,33
83,1,0:35.0,K. Bazemore makes 2-pt layup from 1 ft,,27,33
84,1,0:29.0,,R. Westbrook makes 2-pt jump shot from 18 ft,27,35
