,QUARTER,TIME_REMAINING,HOUSTON_ACTION,PORTLAND_ACTION,HOUSTON_SCORE,PORTLAND_SCORE
0,1,11:37.0,Turnover by D. Howard (bad pass),,0,0
1,1,11:25.0,,A. Aminu makes 2-pt jump shot from 14 ft (assist by D. Lillard),0,2
2,1,11:07.0,D. Howard makes 2-pt hook shot from 5 ft (assist by T. Ariza),,2,2
3,1,10:50.0,,D. Lillard misses 2-pt jump shot from 16 ft,2,2
4,1,10:48.0,Defensive rebound by D. Howard,,2,2
5,1,10:37.0,D. Howard makes 2-pt dunk at rim (assist by J. Harden),,4,2
6,1,10:22.0,,Turnover by M. Plumlee (bad pass; steal by T. Ariza),4,2
7,1,10:16.0,P. Beverley misses 3-pt jump shot from 24 ft,,4,2
8,1,10:16.0,,Defensive rebound by M. Harkless,4,2
9,1,10:03.0,,C. McCollum makes 3-pt jump shot from 23 ft (assist by A. Aminu),4,5
10,1,9:50.0,T. Ariza misses 3-pt jump shot from 24 ft,,4,5
11,1,9:50.0,,Defensive rebound by Team,4,5
12,1,9:38.0,,C. McCollum misses 3-pt jump shot from 27 ft,4,5
13,1,9:37.0,Defensive rebound by D. Howard,,4,5
14,1,9:27.0,D. Howard makes 2-pt hook shot from 5 ft (assist by T. Ariza),,6,5
15,1,9:10.0,,Shooting foul by J. Harden (drawn by A. Aminu),6,5
16,1,9:10.0,,A. Aminu makes free throw 1 of 2,6,6
17,1,9:10.0,,A. Aminu makes free throw 2 of 2,6,7
18,1,8:57.0,J. Harden makes 3-pt jump shot from 24 ft (assist by D. Howard),,9,7
19,1,8:39.0,,A. Aminu misses 3-pt jump shot from 24 ft,9,7
20,1,8:39.0,,Offensive rebound by M. Harkless,9,7
21,1,8:36.0,,M. Harkless makes 2-pt layup from 2 ft,9,9
22,1,8:12.0,D. Howard makes 2-pt hook shot from 6 ft,,11,9
23,1,7:59.0,,Turnover by D. Lillard (bad pass),11,9
24,1,7:52.0,Shooting foul by M. Harkless (drawn by J. Harden),,11,9
25,1,7:52.0,J. Harden makes free throw 1 of 2,,12,9
26,1,7:52.0,J. Harden makes free throw 2 of 2,,13,9
27,1,7:40.0,,A. Aminu makes 2-pt jump shot from 7 ft (assist by C. McCollum),13,11
28,1,7:25.0,Shooting foul by M. Plumlee (drawn by D. Howard),,13,11
29,1,7:25.0,D. Howard makes free throw 1 of 2,,14,11
30,1,7:25.0,D. Howard misses free throw 2 of 2,,14,11
31,1,7:24.0,,Defensive rebound by A. Aminu,14,11
32,1,7:17.0,,Turnover by A. Aminu (bad pass; steal by T. Ariza),14,11
33,1,7:11.0,T. Ariza misses 3-pt jump shot from 25 ft,,14,11
34,1,7:11.0,,Defensive rebound by Team,14,11
35,1,6:55.0,,Turnover by M. Plumlee (traveling),14,11
36,1,6:42.0,P. Beverley misses 2-pt layup at rim,,14,11
37,1,6:37.0,Offensive rebound by D. Howard,,14,11
38,1,6:37.0,D. Howard makes 2-pt layup from 1 ft,,16,11
39,1,6:18.0,,C. McCollum misses 2-pt layup from 1 ft,16,11
40,1,6:18.0,Defensive rebound by D. Howard,,16,11
41,1,6:14.0,J. Harden makes 2-pt layup at rim,,18,11
42,1,6:14.0,,Portland full timeout,18,11
43,1,6:14.0,,A. Crabbe enters the game for C. McCollum,18,11
44,1,6:14.0,J. Smith enters the game for C. Brewer,,18,11
45,1,5:55.0,,M. Plumlee misses 2-pt layup from 2 ft (block by J. Smith),18,11
46,1,5:51.0,,Offensive rebound by M. Plumlee,18,11
47,1,5:51.0,,M. Plumlee makes 2-pt layup from 1 ft,18,13
48,1,5:32.0,J. Harden makes 2-pt jump shot from 14 ft,,20,13
49,1,5:10.0,,D. Lillard makes 3-pt jump shot from 24 ft (assist by A. Aminu),20,16
50,1,4:56.0,Turnover by P. Beverley (step out of bounds),,20,16
51,1,4:56.0,,M. Leonard enters the game for M. Plumlee,20,16
52,1,4:56.0,C. Capela enters the game for D. Howard,,20,16
53,1,4:56.0,,E. Davis enters the game for A. Aminu,20,16
54,1,4:56.0,T. Lawson enters the game for P. Beverley,,20,16
55,1,4:40.0,,M. Leonard makes 2-pt jump shot from 17 ft (assist by D. Lillard),20,18
56,1,4:27.0,J. Harden misses 2-pt jump shot from 13 ft,,20,18
57,1,4:26.0,,Defensive rebound by M. Leonard,20,18
58,1,4:14.0,,G. Henderson enters the game for M. Harkless,20,18
59,1,4:06.0,,D. Lillard makes 2-pt layup from 1 ft,20,20
60,1,4:05.0,Houston full timeout,,20,20
61,1,3:52.0,J. Smith misses 3-pt jump shot from 24 ft,,20,20
62,1,3:51.0,,Defensive rebound by G. Henderson,20,20
63,1,3:38.0,,D. Lillard misses 3-pt jump shot from 24 ft,20,20
64,1,3:37.0,Defensive rebound by C. Capela,,20,20
65,1,3:27.0,J. Harden makes 3-pt jump shot from 24 ft,,23,20
66,1,3:14.0,,Personal foul by C. Capela (drawn by D. Lillard),23,20
67,1,3:14.0,C. Brewer enters the game for T. Ariza,,23,20
68,1,3:06.0,,A. Crabbe makes 2-pt jump shot from 23 ft,23,22
69,1,2:58.0,Personal foul by A. Crabbe (drawn by J. Harden),,23,22
70,1,2:58.0,J. Harden makes free throw 1 of 3,,24,22
71,1,2:58.0,J. Harden makes free throw 2 of 3,,25,22
72,1,2:58.0,J. Harden makes free throw 3 of 3,,26,22
73,1,2:43.0,,D. Lillard makes 2-pt jump shot from 19 ft,26,24
74,1,2:31.0,Turnover by J. Harden (lost ball),,26,24
75,1,2:22.0,,Personal block foul by C. Capela (drawn by G. Henderson),26,24
76,1,2:11.0,,M. Leonard makes 2-pt jump shot from 16 ft (assist by D. Lillard),26,26
77,1,1:57.0,J. Smith misses 3-pt jump shot from 24 ft,,26,26
78,1,1:57.0,,Defensive rebound by G. Henderson,26,26
79,1,1:47.0,,G. Henderson misses 2-pt jump shot from 21 ft,26,26
80,1,1:46.0,Defensive rebound by J. Smith,,26,26
81,1,1:43.0,Turnover by J. Smith (bad pass; steal by D. Lillard),,26,26
82,1,1:38.0,,Shooting foul by T. Lawson (drawn by D. Lillard),26,26
83,1,1:38.0,,D. Lillard misses free throw 1 of 2,26,26
84,1,1:38.0,,Offensive rebound by Team,26,26
85,1,1:38.0,,D. Lillard makes free throw 2 of 2,26,27
86,1,1:19.0,J. Smith misses 3-pt jump shot from 24 ft,,26,27
87,1,1:18.0,,Defensive rebound by M. Leonard,26,27
88,1,1:09.0,,D. Lillard misses 2-pt jump shot from 8 ft,26,27
89,1,1:08.0,Defensive rebound by C. Capela,,26,27
90,1,0:58.0,C. Brewer misses 3-pt jump shot from 24 ft,,26,27
91,1,0:57.0,Offensive rebound by J. Harden,,26,27
92,1,0:48.0,J. Harden misses 3-pt jump shot from 24 ft,,26,27
93,1,0:47.0,,Defensive rebound by Team,26,27
94,1,0:32.0,,D. Lillard misses 3-pt jump shot from 24 ft,26,27
95,1,0:32.0,Defensive rebound by Team,,26,27
96,1,0:29.0,Turnover by J. Harden (bad pass; steal by A. Crabbe),,26,27
97,1,0:25.0,,D. Lillard makes 2-pt layup from 1 ft (assist by A. Crabbe),26,29
98,1,0:13.0,Personal take foul by D. Lillard (drawn by T. Lawson),,26,29
99,1,0:13.0,T. Ariza enters the game for J. Smith,,26,29
100,1,0:13.0,,M. Harkless enters the game for D. Lillard,26,29
101,1,0:13.0,,A. Aminu enters the game for M. Leonard,26,29
102,1,0:00.0,C. Brewer makes 3-pt jump shot from 22 ft (assist by J. Harden),,29,29
103,2,11:39.0,,G. Henderson misses 2-pt jump shot from 19 ft,29,29
104,2,11:38.0,,Offensive rebound by E. Davis,29,29
105,2,11:29.0,,G. Henderson misses 2-pt jump shot from 18 ft,29,29
106,2,11:28.0,Defensive rebound by M. Thornton,,29,29
107,2,11:19.0,Shooting foul by E. Davis (drawn by T. Ariza),,29,29
108,2,11:19.0,T. Ariza makes free throw 1 of 2,,30,29
109,2,11:19.0,T. Ariza makes free throw 2 of 2,,31,29
110,2,10:57.0,,C. McCollum misses 2-pt jump shot from 14 ft,31,29
111,2,10:56.0,Defensive rebound by D. Howard,,31,29
112,2,10:50.0,Turnover by M. Thornton (bad pass; steal by C. McCollum),,31,29
113,2,10:43.0,,A. Crabbe misses 3-pt jump shot from 23 ft,31,29
114,2,10:43.0,,Offensive rebound by M. Leonard,31,29
115,2,10:40.0,,M. Leonard makes 2-pt layup at rim,31,31
116,2,10:27.0,D. Howard makes 2-pt hook shot from 6 ft,,33,31
117,2,10:07.0,,E. Davis misses 2-pt jump shot from 12 ft,33,31
118,2,10:07.0,Defensive rebound by D. Howard,,33,31
