,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,DENVER_ACTION,GOLDEN STATE_SCORE,DENVER_SCORE
0,1,11:44.0,A. Bogut makes 2-pt hook shot from 4 ft (assist by S. Curry),,2,0
1,1,11:20.0,,D. Gallinari makes 3-pt jump shot from 26 ft (assist by G. Harris),2,3
2,1,11:02.0,K. Thompson misses 3-pt jump shot from 25 ft,,2,3
3,1,11:01.0,,Defensive rebound by D. Arthur,2,3
4,1,10:44.0,,D. Gallinari misses 2-pt layup from 2 ft,2,3
5,1,10:43.0,,Offensive rebound by N. Jokić,2,3
6,1,10:43.0,,N. Jokić misses 2-pt layup from 1 ft,2,3
7,1,10:41.0,Defensive rebound by D. Green,,2,3
8,1,10:27.0,S. Curry makes 2-pt layup at rim (assist by A. Bogut),,4,3
9,1,10:02.0,,E. Mudiay misses 3-pt jump shot from 29 ft,4,3
10,1,10:01.0,,Offensive rebound by Team,4,3
11,1,10:01.0,,Turnover by Team (shot clock),4,3
12,1,9:52.0,A. Bogut makes 2-pt dunk at rim (assist by S. Curry),,6,3
13,1,9:38.0,,N. Jokić misses 2-pt jump shot from 7 ft (block by A. Bogut),6,3
14,1,9:36.0,Defensive rebound by A. Bogut,,6,3
15,1,9:17.0,D. Green makes 3-pt jump shot from 27 ft (assist by K. Thompson),,9,3
16,1,9:02.0,,G. Harris makes 2-pt dunk at rim (assist by E. Mudiay),9,5
17,1,8:50.0,S. Curry misses 3-pt jump shot from 25 ft,,9,5
18,1,8:48.0,,Defensive rebound by N. Jokić,9,5
19,1,8:38.0,,G. Harris makes 2-pt layup from 1 ft (assist by N. Jokić),9,7
20,1,8:25.0,S. Curry misses 3-pt jump shot from 25 ft,,9,7
21,1,8:24.0,,Defensive rebound by Team,9,7
22,1,8:11.0,,Shooting foul by H. Barnes (drawn by D. Gallinari),9,7
23,1,8:11.0,,D. Gallinari makes free throw 1 of 2,9,8
24,1,8:11.0,,D. Gallinari makes free throw 2 of 2,9,9
25,1,7:55.0,D. Green misses 3-pt jump shot from 24 ft,,9,9
26,1,7:54.0,Offensive rebound by A. Bogut,,9,9
27,1,7:43.0,H. Barnes makes 2-pt layup from 1 ft (assist by K. Thompson),,11,9
28,1,7:31.0,,D. Arthur makes 2-pt jump shot from 11 ft (assist by N. Jokić),11,11
29,1,7:18.0,Turnover by H. Barnes (bad pass),,11,11
30,1,7:02.0,,D. Gallinari misses 2-pt jump shot from 20 ft,11,11
31,1,7:01.0,Defensive rebound by A. Bogut,,11,11
32,1,7:00.0,Turnover by A. Bogut (step out of bounds),,11,11
33,1,6:56.0,,G. Harris misses 2-pt layup from 1 ft,11,11
34,1,6:55.0,,Offensive rebound by N. Jokić,11,11
35,1,6:55.0,,N. Jokić misses 2-pt jump shot from 2 ft,11,11
36,1,6:52.0,Defensive rebound by D. Green,,11,11
37,1,6:48.0,H. Barnes misses 2-pt layup from 1 ft,,11,11
38,1,6:47.0,Offensive rebound by D. Green,,11,11
