,QUARTER,TIME_REMAINING,INDIANA_ACTION,NEW ORLEANS_ACTION,INDIANA_SCORE,NEW ORLEANS_SCORE
0,1,11:43.0,,A. Davis misses 2-pt jump shot from 11 ft,0,0
1,1,11:43.0,Defensive rebound by I. Mahinmi,,0,0
2,1,11:25.0,I. Mahinmi makes 2-pt jump shot from 18 ft (assist by G. Hill),,2,0
3,1,11:03.0,,A. Davis makes 2-pt jump shot from 7 ft (assist by D. Cunningham),2,2
4,1,10:49.0,L. Allen makes 2-pt dunk at rim (assist by P. George),,4,2
5,1,10:35.0,,E. Gordon makes 2-pt jump shot from 19 ft (assist by A. Davis),4,4
6,1,10:20.0,Turnover by G. Hill (bad pass; steal by T. Evans),,4,4
7,1,10:15.0,,T. Evans misses 2-pt layup at rim,4,4
8,1,10:15.0,,Offensive rebound by Team,4,4
9,1,10:15.0,Loose ball foul by P. George,,4,4
10,1,10:07.0,,Turnover by T. Evans (lost ball),4,4
11,1,9:51.0,Turnover by I. Mahinmi (bad pass; steal by E. Gordon),,4,4
12,1,9:45.0,,T. Evans makes 2-pt layup from 1 ft (assist by E. Gordon),4,6
13,1,9:33.0,Personal foul by T. Evans,,4,6
14,1,9:28.0,I. Mahinmi makes 2-pt layup from 1 ft (assist by P. George),,6,6
15,1,9:02.0,,T. Evans misses 2-pt jump shot from 18 ft,6,6
16,1,9:02.0,Defensive rebound by I. Mahinmi,,6,6
17,1,8:51.0,P. George misses 2-pt jump shot from 9 ft,,6,6
18,1,8:49.0,,Defensive rebound by A. Davis,6,6
19,1,8:48.0,,Turnover by A. Davis (bad pass; steal by P. George),6,6
20,1,8:47.0,Shooting foul by Ö. Aşık (drawn by P. George),,6,6
21,1,8:47.0,P. George makes free throw 1 of 2,,7,6
22,1,8:47.0,P. George misses free throw 2 of 2,,7,6
23,1,8:46.0,,Defensive rebound by E. Gordon,7,6
24,1,8:39.0,,New Orleans full timeout,7,6
25,1,8:39.0,,R. Anderson enters the game for A. Davis,7,6
26,1,8:28.0,,R. Anderson makes 2-pt jump shot from 20 ft (assist by T. Evans),7,8
27,1,8:07.0,Turnover by P. George (lost ball; steal by T. Evans),,7,8
28,1,7:56.0,,D. Cunningham misses 3-pt jump shot from 23 ft,7,8
29,1,7:54.0,Defensive rebound by I. Mahinmi,,7,8
30,1,7:46.0,G. Hill misses 2-pt jump shot from 20 ft,,7,8
31,1,7:42.0,Offensive rebound by L. Allen,,7,8
32,1,7:29.0,Def 3 sec tech foul by Ö. Aşık,,7,8
33,1,7:29.0,P. George makes technical free throw,,8,8
34,1,7:24.0,I. Mahinmi misses 2-pt layup from 2 ft,,8,8
35,1,7:23.0,,Defensive rebound by T. Evans,8,8
36,1,7:04.0,,R. Anderson misses 3-pt jump shot from 22 ft,8,8
37,1,7:03.0,Defensive rebound by P. George,,8,8
38,1,6:56.0,P. George makes 2-pt jump shot from 11 ft,,10,8
39,1,6:44.0,,Shooting foul by I. Mahinmi (drawn by R. Anderson),10,8
40,1,6:44.0,,R. Anderson makes free throw 1 of 2,10,9
41,1,6:44.0,C. Miles enters the game for L. Allen,,10,9
42,1,6:44.0,,A. Ajinça enters the game for Ö. Aşık,10,9
43,1,6:44.0,,R. Anderson makes free throw 2 of 2,10,10
44,1,6:24.0,G. Hill misses 2-pt jump shot from 9 ft,,10,10
45,1,6:21.0,,Defensive rebound by A. Ajinça,10,10
46,1,6:12.0,,T. Evans makes 2-pt jump shot from 4 ft,10,12
47,1,5:53.0,P. George misses 3-pt jump shot from 23 ft,,10,12
48,1,5:52.0,,Defensive rebound by R. Anderson,10,12
49,1,5:51.0,,Personal foul by I. Mahinmi (drawn by R. Anderson),10,12
50,1,5:51.0,,New Orleans full timeout,10,12
51,1,5:51.0,M. Turner enters the game for I. Mahinmi,,10,12
52,1,5:51.0,,J. Holiday enters the game for D. Cunningham,10,12
53,1,5:44.0,,Personal foul by G. Hill (drawn by R. Anderson),10,12
54,1,5:39.0,,T. Evans misses 2-pt layup from 3 ft,10,12
55,1,5:38.0,,Offensive rebound by A. Ajinça,10,12
56,1,5:38.0,,A. Ajinça misses 2-pt layup from 1 ft,10,12
57,1,5:37.0,,Offensive rebound by A. Ajinça,10,12
58,1,5:37.0,,A. Ajinça misses 2-pt layup from 1 ft,10,12
59,1,5:36.0,Defensive rebound by M. Turner,,10,12
60,1,5:11.0,P. George misses 2-pt jump shot from 6 ft,,10,12
61,1,5:11.0,Offensive rebound by Team,,10,12
62,1,5:11.0,Turnover by Team (shot clock),,10,12
63,1,5:00.0,,J. Holiday makes 2-pt layup from 1 ft,10,14
64,1,5:00.0,Indiana full timeout,,10,14
65,1,4:49.0,C. Miles misses 3-pt jump shot from 24 ft,,10,14
