,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,CLEVELAND_ACTION,NEW ORLEANS_SCORE,CLEVELAND_SCORE
0,1,11:41.0,,T. Mozgov misses 2-pt layup from 1 ft,0,0
1,1,11:41.0,Defensive rebound by A. Davis,,0,0
2,1,11:23.0,A. Davis misses 2-pt jump shot from 13 ft,,0,0
3,1,11:22.0,,Defensive rebound by T. Mozgov,0,0
4,1,11:09.0,,T. Mozgov misses 2-pt jump shot from 16 ft,0,0
5,1,11:08.0,Defensive rebound by D. Cunningham,,0,0
6,1,10:51.0,A. Davis makes 2-pt jump shot from 9 ft (assist by Ö. Aşık),,2,0
7,1,10:35.0,,L. James makes 2-pt layup from 2 ft,2,2
8,1,10:19.0,N. Cole misses 2-pt jump shot from 10 ft,,2,2
9,1,10:19.0,Offensive rebound by Team,,2,2
10,1,10:15.0,A. Davis makes 2-pt jump shot from 15 ft (assist by D. Cunningham),,4,2
11,1,9:51.0,,Turnover by T. Thompson (bad pass),4,2
12,1,9:36.0,N. Cole misses 2-pt jump shot from 16 ft,,4,2
13,1,9:36.0,Offensive rebound by Ö. Aşık,,4,2
14,1,9:32.0,Turnover by N. Cole (bad pass; steal by K. Irving),,4,2
15,1,9:26.0,,K. Irving misses 2-pt layup at rim,4,2
16,1,9:26.0,,Offensive rebound by T. Thompson,4,2
17,1,9:26.0,,Personal foul by D. Cunningham (drawn by T. Thompson),4,2
18,1,9:17.0,,J. Smith makes 3-pt jump shot from 25 ft (assist by L. James),4,5
19,1,8:56.0,B. Dejean-Jones misses 3-pt jump shot from 26 ft,,4,5
20,1,8:55.0,,Defensive rebound by K. Irving,4,5
21,1,8:36.0,,L. James makes 2-pt layup from 1 ft,4,7
22,1,8:20.0,A. Davis misses 2-pt layup at rim (block by T. Mozgov),,4,7
23,1,8:19.0,Offensive rebound by A. Davis,,4,7
24,1,8:16.0,A. Davis makes 2-pt hook shot from 4 ft,,6,7
25,1,8:01.0,,J. Smith makes 3-pt jump shot from 25 ft (assist by T. Thompson),6,10
26,1,7:54.0,Offensive foul by N. Cole (drawn by K. Irving),,6,10
27,1,7:54.0,Turnover by N. Cole (offensive foul),,6,10
28,1,7:40.0,Offensive charge foul by T. Mozgov (drawn by Ö. Aşık),,6,10
29,1,7:40.0,,Turnover by T. Mozgov (offensive foul),6,10
30,1,7:25.0,D. Cunningham misses 2-pt jump shot from 20 ft,,6,10
31,1,7:25.0,,Defensive rebound by Team,6,10
32,1,7:25.0,,A. Varejão enters the game for T. Mozgov,6,10
33,1,7:09.0,,K. Irving makes 2-pt jump shot from 16 ft,6,12
34,1,6:54.0,Ö. Aşık makes 2-pt dunk at rim (assist by B. Dejean-Jones),,8,12
35,1,6:36.0,,A. Varejão makes 2-pt hook shot from 5 ft,8,14
36,1,6:26.0,N. Cole makes 2-pt jump shot from 16 ft,,10,14
37,1,6:12.0,,K. Irving makes 3-pt jump shot from 25 ft (assist by A. Varejão),10,17
38,1,6:00.0,Shooting foul by A. Varejão (drawn by B. Dejean-Jones),,10,17
39,1,6:00.0,B. Dejean-Jones makes free throw 1 of 2,,11,17
40,1,6:00.0,R. Anderson enters the game for Ö. Aşık,,11,17
41,1,6:00.0,B. Dejean-Jones misses free throw 2 of 2,,11,17
42,1,5:58.0,,Defensive rebound by T. Thompson,11,17
43,1,5:48.0,,Turnover by K. Irving (bad pass),11,17
44,1,5:48.0,,Cleveland full timeout,11,17
45,1,5:48.0,J. Holiday enters the game for B. Dejean-Jones,,11,17
46,1,5:37.0,J. Holiday misses 2-pt jump shot from 8 ft,,11,17
47,1,5:35.0,,Defensive rebound by J. Smith,11,17
48,1,5:28.0,,Personal foul by D. Cunningham (drawn by L. James),11,17
49,1,5:28.0,A. Gee enters the game for D. Cunningham,,11,17
50,1,5:18.0,,A. Varejão misses 2-pt jump shot from 12 ft,11,17
51,1,5:18.0,Defensive rebound by A. Gee,,11,17
52,1,5:06.0,J. Holiday makes 2-pt layup from 2 ft (assist by N. Cole),,13,17
53,1,4:43.0,,A. Varejão misses 2-pt jump shot from 8 ft,13,17
54,1,4:43.0,,Offensive rebound by Team,13,17
55,1,4:34.0,,J. Smith makes 3-pt jump shot from 26 ft (assist by K. Irving),13,20
56,1,4:21.0,A. Davis misses 2-pt jump shot from 16 ft,,13,20
57,1,4:21.0,,Defensive rebound by J. Smith,13,20
58,1,4:06.0,,L. James misses 2-pt jump shot from 5 ft,13,20
59,1,4:05.0,Defensive rebound by N. Cole,,13,20
60,1,3:59.0,Turnover by N. Cole (lost ball; steal by A. Varejão),,13,20
61,1,3:59.0,,Personal foul by N. Cole (drawn by A. Varejão),13,20
62,1,3:59.0,,M. Williams enters the game for K. Irving,13,20
63,1,3:59.0,T. Douglas enters the game for N. Cole,,13,20
64,1,3:47.0,,L. James misses 2-pt jump shot from 18 ft,13,20
65,1,3:47.0,,Offensive rebound by Team,13,20
66,1,3:43.0,,M. Williams misses 2-pt jump shot from 13 ft,13,20
67,1,3:43.0,,Offensive rebound by T. Thompson,13,20
68,1,3:32.0,,J. Smith misses 3-pt jump shot from 28 ft,13,20
69,1,3:31.0,,Offensive rebound by Team,13,20
70,1,3:31.0,Loose ball foul by A. Davis (drawn by T. Thompson),,13,20
71,1,3:17.0,,L. James makes 2-pt layup at rim,13,22
72,1,3:03.0,A. Gee misses 3-pt jump shot from 23 ft,,13,22
73,1,3:03.0,,Defensive rebound by T. Thompson,13,22
74,1,2:40.0,,J. Smith misses 2-pt jump shot from 12 ft,13,22
75,1,2:38.0,Defensive rebound by A. Davis,,13,22
76,1,2:32.0,Personal foul by T. Thompson (drawn by A. Davis),,13,22
77,1,2:32.0,New Orleans full timeout,,13,22
78,1,2:32.0,,I. Shumpert enters the game for J. Smith,13,22
79,1,2:15.0,R. Anderson misses 2-pt jump shot from 16 ft,,13,22
80,1,2:14.0,,Defensive rebound by A. Varejão,13,22
81,1,2:03.0,,M. Williams makes 2-pt jump shot from 15 ft (assist by L. James),13,24
82,1,1:43.0,T. Douglas misses 2-pt jump shot from 11 ft,,13,24
83,1,1:43.0,,Defensive rebound by A. Varejão,13,24
84,1,1:38.0,,Turnover by M. Williams (bad pass; steal by A. Gee),13,24
85,1,1:19.0,R. Anderson makes 2-pt layup at rim,,15,24
86,1,0:58.0,,I. Shumpert makes 2-pt layup at rim (assist by A. Varejão),15,26
87,1,0:40.0,A. Davis makes 2-pt jump shot from 5 ft (assist by T. Douglas),,17,26
88,1,0:31.0,,I. Shumpert misses 3-pt jump shot from 25 ft,17,26
89,1,0:30.0,Defensive rebound by R. Anderson,,17,26
90,1,0:19.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by R. Anderson),,20,26
91,1,0:02.0,,L. James makes 2-pt dunk at rim,20,28
92,2,11:50.0,J. Holiday misses 2-pt jump shot from 12 ft,,20,28
93,2,11:48.0,Offensive rebound by J. Holiday,,20,28
94,2,11:47.0,J. Holiday misses 2-pt layup from 2 ft,,20,28
95,2,11:46.0,,Defensive rebound by T. Thompson,20,28
96,2,11:37.0,,R. Jefferson misses 3-pt jump shot from 25 ft,20,28
97,2,11:37.0,Defensive rebound by J. Holiday,,20,28
98,2,11:25.0,R. Anderson misses 3-pt jump shot from 28 ft,,20,28
99,2,11:25.0,Offensive rebound by A. Gee,,20,28
100,2,11:25.0,Shooting foul by R. Jefferson (drawn by A. Gee),,20,28
101,2,11:25.0,A. Gee makes free throw 1 of 2,,21,28
102,2,11:25.0,A. Gee misses free throw 2 of 2,,21,28
103,2,11:24.0,,Defensive rebound by A. Varejão,21,28
104,2,10:58.0,,I. Shumpert misses 3-pt jump shot from 25 ft,21,28
105,2,10:58.0,,Offensive rebound by T. Thompson,21,28
106,2,10:58.0,,Personal foul by A. Davis (drawn by T. Thompson),21,28
107,2,10:58.0,Ö. Aşık enters the game for A. Davis,,21,28
108,2,10:58.0,,T. Mozgov enters the game for T. Thompson,21,28
109,2,10:48.0,,T. Mozgov makes 2-pt layup at rim (assist by M. Williams),21,30
110,2,10:32.0,J. Holiday makes 2-pt jump shot from 14 ft,,23,30
111,2,10:15.0,,Turnover by I. Shumpert (bad pass),23,30
112,2,10:07.0,J. Holiday misses 3-pt jump shot from 25 ft,,23,30
113,2,10:06.0,,Defensive rebound by T. Mozgov,23,30
114,2,9:56.0,,M. Williams makes 2-pt jump shot from 20 ft,23,32
115,2,9:43.0,R. Anderson makes 2-pt jump shot from 16 ft (assist by Ö. Aşık),,25,32
116,2,9:26.0,,M. Williams misses 2-pt jump shot from 18 ft,25,32
117,2,9:25.0,Defensive rebound by Ö. Aşık,,25,32
118,2,9:23.0,,K. Irving enters the game for A. Varejão,25,32
119,2,9:14.0,J. Holiday makes 2-pt layup at rim,,27,32
120,2,8:58.0,,K. Irving makes 2-pt jump shot from 8 ft,27,34
121,2,8:42.0,A. Gee makes 2-pt jump shot from 18 ft (assist by J. Holiday),,29,34
122,2,8:30.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by K. Irving),29,37
123,2,8:12.0,R. Anderson misses 3-pt jump shot from 24 ft,,29,37
124,2,8:12.0,,Defensive rebound by R. Jefferson,29,37
125,2,8:03.0,,R. Jefferson misses 2-pt jump shot from 18 ft,29,37
126,2,8:02.0,Defensive rebound by Ö. Aşık,,29,37
127,2,7:52.0,T. Douglas misses 3-pt jump shot from 25 ft,,29,37
128,2,7:51.0,Offensive rebound by R. Anderson,,29,37
129,2,7:36.0,R. Anderson misses 3-pt jump shot from 25 ft,,29,37
130,2,7:36.0,Offensive rebound by A. Gee,,29,37
131,2,7:31.0,A. Gee misses 2-pt layup at rim (block by T. Mozgov),,29,37
132,2,7:30.0,,Defensive rebound by I. Shumpert,29,37
133,2,7:22.0,,Cleveland full timeout,29,37
134,2,7:06.0,,M. Williams misses 2-pt jump shot from 18 ft,29,37
135,2,7:05.0,Defensive rebound by Team,,29,37
136,2,7:05.0,,J. Smith enters the game for M. Williams,29,37
137,2,7:05.0,,Violation by Team (delay of game),29,37
138,2,6:49.0,R. Anderson misses 2-pt jump shot from 16 ft,,29,37
139,2,6:46.0,,Defensive rebound by I. Shumpert,29,37
140,2,6:41.0,,K. Irving makes 3-pt jump shot from 28 ft (assist by I. Shumpert),29,40
141,2,6:29.0,A. Gee misses 3-pt jump shot from 22 ft,,29,40
142,2,6:29.0,,Defensive rebound by K. Irving,29,40
143,2,6:21.0,,Shooting foul by T. Douglas (drawn by K. Irving),29,40
144,2,6:21.0,,K. Irving makes free throw 1 of 2,29,41
145,2,6:21.0,D. Cunningham enters the game for R. Anderson,,29,41
146,2,6:21.0,B. Dejean-Jones enters the game for J. Holiday,,29,41
147,2,6:21.0,N. Cole enters the game for A. Gee,,29,41
148,2,6:21.0,A. Davis enters the game for T. Douglas,,29,41
149,2,6:21.0,,L. James enters the game for I. Shumpert,29,41
150,2,6:21.0,,T. Thompson enters the game for R. Jefferson,29,41
151,2,6:21.0,,K. Irving makes free throw 2 of 2,29,42
152,2,6:09.0,N. Cole makes 2-pt jump shot from 8 ft,,31,42
153,2,5:58.0,,K. Irving makes 2-pt jump shot from 7 ft,31,44
154,2,5:44.0,N. Cole makes 2-pt layup at rim,,33,44
155,2,5:34.0,,K. Irving misses 3-pt jump shot from 24 ft,33,44
156,2,5:34.0,Defensive rebound by Team,,33,44
157,2,5:34.0,Official timeout,,33,44
158,2,5:22.0,Turnover by N. Cole (lost ball; steal by K. Irving),,33,44
159,2,5:14.0,,J. Smith misses 3-pt jump shot from 25 ft,33,44
160,2,5:13.0,Defensive rebound by B. Dejean-Jones,,33,44
161,2,5:05.0,N. Cole misses 2-pt jump shot from 17 ft,,33,44
162,2,5:03.0,Offensive rebound by Ö. Aşık,,33,44
163,2,5:03.0,Ö. Aşık misses 2-pt layup at rim,,33,44
164,2,5:01.0,,Defensive rebound by K. Irving,33,44
165,2,4:42.0,,T. Mozgov makes 2-pt jump shot from 4 ft (assist by L. James),33,46
166,2,4:35.0,Shooting foul by T. Mozgov (drawn by N. Cole),,33,46
167,2,4:35.0,N. Cole makes free throw 1 of 2,,34,46
168,2,4:35.0,N. Cole makes free throw 2 of 2,,35,46
169,2,4:18.0,,L. James misses 2-pt jump shot from 8 ft,35,46
170,2,4:15.0,Defensive rebound by N. Cole,,35,46
171,2,4:04.0,N. Cole misses 2-pt jump shot from 18 ft,,35,46
172,2,3:59.0,Offensive rebound by A. Davis,,35,46
173,2,3:59.0,A. Davis makes 2-pt dunk at rim,,37,46
174,2,3:47.0,,T. Thompson misses 2-pt jump shot from 4 ft,37,46
175,2,3:46.0,,Offensive rebound by T. Mozgov,37,46
176,2,3:36.0,,Turnover by L. James (lost ball; steal by N. Cole),37,46
177,2,3:30.0,N. Cole makes 2-pt layup from 1 ft,,39,46
178,2,3:19.0,,K. Irving makes 3-pt jump shot from 22 ft (assist by J. Smith),39,49
179,2,3:06.0,B. Dejean-Jones misses 3-pt jump shot from 27 ft,,39,49
180,2,3:06.0,,Defensive rebound by T. Thompson,39,49
181,2,2:58.0,,J. Smith makes 3-pt jump shot from 24 ft (assist by L. James),39,52
182,2,2:51.0,New Orleans full timeout,,39,52
183,2,2:34.0,A. Davis misses 2-pt jump shot from 8 ft,,39,52
184,2,2:32.0,,Defensive rebound by T. Thompson,39,52
185,2,2:28.0,,T. Thompson misses 2-pt layup from 1 ft (block by A. Davis),39,52
186,2,2:28.0,,Offensive rebound by Team,39,52
187,2,2:28.0,,A. Varejão enters the game for T. Mozgov,39,52
188,2,2:22.0,,J. Smith misses 3-pt jump shot from 23 ft,39,52
189,2,2:22.0,,Offensive rebound by T. Thompson,39,52
