,QUARTER,TIME_REMAINING,CHICAGO_ACTION,LA CLIPPERS_ACTION,CHICAGO_SCORE,LA CLIPPERS_SCORE
0,1,11:40.0,,P. Pierce misses 3-pt jump shot from 26 ft,0,0
1,1,11:38.0,Defensive rebound by P. Gasol,,0,0
2,1,11:17.0,D. Rose makes 2-pt layup from 3 ft (assist by P. Gasol),,2,0
3,1,11:06.0,,J. Redick misses 2-pt jump shot from 21 ft,2,0
4,1,11:05.0,Defensive rebound by P. Gasol,,2,0
5,1,10:53.0,T. Gibson makes 2-pt layup from 2 ft,,4,0
6,1,10:32.0,,Turnover by D. Jordan (offensive goaltending),4,0
7,1,10:21.0,J. Butler makes 2-pt jump shot from 13 ft (assist by P. Gasol),,6,0
8,1,10:04.0,,P. Pierce misses 2-pt jump shot from 10 ft,6,0
9,1,10:02.0,,Offensive rebound by D. Jordan,6,0
10,1,10:02.0,,D. Jordan misses 2-pt layup from 1 ft,6,0
11,1,9:58.0,Defensive rebound by T. Gibson,,6,0
12,1,9:55.0,Turnover by P. Gasol (bad pass; steal by L. Mbah a Moute),,6,0
13,1,9:46.0,,C. Paul misses 2-pt jump shot from 14 ft,6,0
14,1,9:46.0,Defensive rebound by Team,,6,0
15,1,9:46.0,,Loose ball foul by L. Mbah a Moute (drawn by J. Butler),6,0
16,1,9:24.0,P. Gasol misses 2-pt jump shot from 15 ft,,6,0
17,1,9:24.0,,Defensive rebound by D. Jordan,6,0
18,1,9:13.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by C. Paul),6,3
19,1,8:53.0,E. Moore misses 3-pt jump shot from 25 ft,,6,3
20,1,8:52.0,,Defensive rebound by D. Jordan,6,3
21,1,8:46.0,,Personal take foul by E. Moore (drawn by D. Jordan),6,3
22,1,8:37.0,,J. Redick misses 2-pt jump shot from 5 ft (block by E. Moore),6,3
23,1,8:33.0,Defensive rebound by P. Gasol,,6,3
24,1,8:23.0,P. Gasol makes 2-pt layup from 2 ft (assist by E. Moore),,8,3
25,1,8:10.0,,L. Mbah a Moute makes 3-pt jump shot from 24 ft (assist by P. Pierce),8,6
26,1,7:59.0,D. Rose misses 2-pt jump shot from 16 ft,,8,6
27,1,7:55.0,,Defensive rebound by L. Mbah a Moute,8,6
28,1,7:47.0,,Turnover by P. Pierce (bad pass),8,6
29,1,7:29.0,J. Butler misses 2-pt jump shot from 13 ft,,8,6
30,1,7:28.0,,Defensive rebound by D. Jordan,8,6
31,1,7:16.0,,P. Pierce misses 3-pt jump shot from 27 ft,8,6
32,1,7:15.0,,Offensive rebound by D. Jordan,8,6
33,1,7:10.0,,D. Jordan makes 2-pt hook shot from 3 ft,8,8
34,1,6:58.0,T. Gibson makes 2-pt dunk at rim (assist by E. Moore),,10,8
35,1,6:36.0,,C. Paul misses 2-pt jump shot from 5 ft,10,8
36,1,6:34.0,Defensive rebound by P. Gasol,,10,8
37,1,6:28.0,Personal foul by L. Mbah a Moute (drawn by T. Gibson),,10,8
38,1,6:27.0,,W. Johnson enters the game for P. Pierce,10,8
39,1,6:18.0,T. Gibson misses 2-pt jump shot from 17 ft,,10,8
40,1,6:17.0,,Defensive rebound by D. Jordan,10,8
41,1,6:02.0,,L. Mbah a Moute misses 2-pt layup from 3 ft (block by T. Gibson),10,8
42,1,6:02.0,,Offensive rebound by Team,10,8
43,1,6:02.0,,LA Clippers full timeout,10,8
44,1,5:56.0,,W. Johnson misses 2-pt jump shot from 18 ft,10,8
45,1,5:55.0,,Offensive rebound by D. Jordan,10,8
46,1,5:53.0,,W. Johnson makes 2-pt layup from 1 ft (assist by D. Jordan),10,10
47,1,5:53.0,,Shooting foul by P. Gasol (drawn by W. Johnson),10,10
48,1,5:53.0,,W. Johnson misses free throw 1 of 1,10,10
49,1,5:52.0,Defensive rebound by T. Gibson,,10,10
50,1,5:35.0,P. Gasol misses 2-pt jump shot from 4 ft (block by D. Jordan),,10,10
51,1,5:35.0,Offensive rebound by Team,,10,10
52,1,5:31.0,T. Gibson misses 2-pt jump shot from 18 ft,,10,10
53,1,5:30.0,,Defensive rebound by J. Redick,10,10
54,1,5:20.0,,L. Mbah a Moute misses 3-pt jump shot from 25 ft,10,10
55,1,5:19.0,,Offensive rebound by D. Jordan,10,10
56,1,5:05.0,,W. Johnson makes 3-pt jump shot from 26 ft (assist by J. Redick),10,13
57,1,4:52.0,Turnover by P. Gasol (bad pass; steal by L. Mbah a Moute),,10,13
58,1,4:36.0,,L. Mbah a Moute misses 2-pt layup from 1 ft (block by T. Gibson),10,13
59,1,4:34.0,Defensive rebound by P. Gasol,,10,13
60,1,4:32.0,,Violation by W. Johnson (def goaltending),10,13
61,1,4:32.0,D. Rose makes 2-pt layup from 2 ft,,12,13
62,1,4:16.0,,C. Paul makes 2-pt jump shot from 4 ft,12,15
63,1,4:03.0,J. Butler makes 3-pt jump shot from 23 ft (assist by E. Moore),,15,15
64,1,3:46.0,,C. Paul makes 2-pt jump shot from 16 ft,15,17
65,1,3:33.0,D. Rose makes 2-pt layup from 3 ft,,17,17
66,1,3:32.0,Violation by Team (jump ball),,17,17
67,1,3:07.0,,C. Paul misses 3-pt jump shot from 27 ft,17,17
68,1,3:06.0,Defensive rebound by D. Rose,,17,17
69,1,3:00.0,J. Butler misses 2-pt layup from 2 ft,,17,17
70,1,3:00.0,,Defensive rebound by D. Jordan,17,17
71,1,2:37.0,,C. Paul makes 2-pt jump shot from 3 ft (assist by D. Jordan),17,19
72,1,2:35.0,Chicago full timeout,,17,19
73,1,2:35.0,B. Portis enters the game for E. Moore,,17,19
74,1,2:35.0,D. McDermott enters the game for T. Gibson,,17,19
75,1,2:35.0,A. Brooks enters the game for D. Rose,,17,19
76,1,2:35.0,,A. Rivers enters the game for L. Mbah a Moute,17,19
77,1,2:35.0,,J. Crawford enters the game for J. Redick,17,19
78,1,2:20.0,J. Butler misses 2-pt jump shot from 18 ft,,17,19
79,1,2:19.0,,Defensive rebound by D. Jordan,17,19
80,1,2:09.0,,J. Crawford misses 2-pt jump shot from 17 ft,17,19
81,1,2:08.0,Defensive rebound by D. McDermott,,17,19
82,1,1:50.0,P. Gasol misses 2-pt jump shot from 19 ft,,17,19
83,1,1:49.0,Offensive rebound by B. Portis,,17,19
84,1,1:45.0,B. Portis makes 2-pt layup from 1 ft,,19,19
85,1,1:31.0,,W. Johnson makes 3-pt jump shot from 24 ft (assist by C. Paul),19,22
86,1,1:09.0,B. Portis misses 2-pt jump shot from 14 ft,,19,22
87,1,1:08.0,,Defensive rebound by D. Jordan,19,22
88,1,0:54.0,,C. Paul misses 3-pt jump shot from 25 ft,19,22
89,1,0:53.0,Defensive rebound by P. Gasol,,19,22
90,1,0:34.0,J. Butler makes 2-pt layup from 3 ft (assist by P. Gasol),,21,22
91,1,0:34.0,Shooting foul by W. Johnson (drawn by J. Butler),,21,22
92,1,0:34.0,K. Hinrich enters the game for P. Gasol,,21,22
93,1,0:34.0,,P. Prigioni enters the game for C. Paul,21,22
94,1,0:34.0,J. Butler makes free throw 1 of 1,,22,22
95,1,0:15.0,,J. Crawford makes 2-pt jump shot from 4 ft,22,24
96,1,0:05.0,B. Portis misses 2-pt jump shot from 3 ft,,22,24
97,1,0:03.0,,Defensive rebound by D. Jordan,22,24
98,1,0:01.0,,W. Johnson misses 3-pt jump shot from 35 ft,22,24
99,1,0:00.0,,Offensive rebound by Team,22,24
100,2,11:49.0,K. Hinrich misses 2-pt jump shot from 19 ft,,22,24
101,2,11:46.0,,Defensive rebound by C. Aldrich,22,24
102,2,11:35.0,,Turnover by C. Aldrich (offensive foul),22,24
103,2,11:35.0,,Offensive foul by C. Aldrich (drawn by A. Brooks),22,24
104,2,11:22.0,T. Snell makes 2-pt layup from 3 ft (assist by A. Brooks),,24,24
105,2,11:07.0,,P. Prigioni makes 3-pt jump shot from 24 ft (assist by C. Aldrich),24,27
106,2,10:44.0,T. Snell misses 2-pt jump shot from 6 ft,,24,27
107,2,10:43.0,Offensive rebound by B. Portis,,24,27
108,2,10:43.0,B. Portis makes 2-pt layup from 2 ft,,26,27
109,2,10:33.0,,Personal foul by T. Snell (drawn by A. Rivers),26,27
110,2,10:33.0,,L. Stephenson enters the game for W. Johnson,26,27
111,2,10:24.0,,J. Crawford makes 2-pt jump shot from 15 ft,26,29
112,2,10:12.0,B. Portis makes 2-pt jump shot from 17 ft,,28,29
113,2,9:55.0,,A. Rivers misses 3-pt jump shot from 25 ft,28,29
114,2,9:54.0,Defensive rebound by B. Portis,,28,29
115,2,9:47.0,D. McDermott makes 3-pt jump shot from 27 ft (assist by B. Portis),,31,29
116,2,9:29.0,,A. Rivers makes 3-pt jump shot from 28 ft (assist by C. Aldrich),31,32
117,2,9:21.0,Personal foul by L. Stephenson (drawn by A. Brooks),,31,32
118,2,9:11.0,B. Portis misses 3-pt jump shot from 25 ft,,31,32
119,2,9:10.0,,Defensive rebound by C. Aldrich,31,32
120,2,9:06.0,,Shooting foul by A. Brooks (drawn by A. Rivers),31,32
121,2,9:06.0,,A. Rivers misses free throw 1 of 2,31,32
122,2,9:06.0,,Offensive rebound by Team,31,32
123,2,9:06.0,T. Gibson enters the game for B. Portis,,31,32
124,2,9:06.0,,A. Rivers makes free throw 2 of 2,31,33
125,2,8:54.0,Turnover by A. Brooks (bad pass; steal by L. Stephenson),,31,33
126,2,8:34.0,,Turnover by L. Stephenson (lost ball),31,33
127,2,8:34.0,Official timeout,,31,33
128,2,8:12.0,A. Brooks misses 2-pt jump shot from 3 ft,,31,33
129,2,8:07.0,,Defensive rebound by P. Prigioni,31,33
130,2,7:58.0,,J. Crawford misses 2-pt jump shot from 19 ft,31,33
131,2,7:57.0,Defensive rebound by K. Hinrich,,31,33
132,2,7:46.0,D. McDermott misses 3-pt jump shot from 28 ft,,31,33
133,2,7:45.0,Offensive rebound by T. Gibson,,31,33
134,2,7:44.0,T. Gibson makes 2-pt layup from 3 ft,,33,33
135,2,7:26.0,,L. Stephenson makes 2-pt jump shot from 20 ft,33,35
136,2,7:07.0,K. Hinrich misses 2-pt hook shot from 3 ft,,33,35
137,2,7:07.0,Offensive rebound by T. Gibson,,33,35
138,2,7:07.0,Personal foul by P. Prigioni (drawn by T. Gibson),,33,35
