,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CLEVELAND_ACTION,WASHINGTON_SCORE,CLEVELAND_SCORE
0,1,11:39.0,B. Beal makes 2-pt jump shot from 7 ft,,2,0
1,1,11:17.0,,T. Mozgov misses 2-pt layup from 1 ft (block by M. Gortat),2,0
2,1,11:16.0,Defensive rebound by J. Wall,,2,0
3,1,11:04.0,J. Wall misses 2-pt jump shot from 19 ft,,2,0
4,1,11:02.0,,Defensive rebound by L. James,2,0
5,1,10:54.0,,T. Mozgov misses 2-pt layup at rim (block by O. Porter),2,0
6,1,10:54.0,,Offensive rebound by Team,2,0
7,1,10:49.0,,Turnover by L. James (bad pass; steal by J. Wall),2,0
8,1,10:36.0,M. Gortat makes 2-pt hook shot from 5 ft (assist by J. Wall),,4,0
9,1,10:24.0,,Personal foul by J. Dudley (drawn by K. Love),4,0
10,1,10:14.0,,M. Williams misses 2-pt jump shot from 5 ft,4,0
11,1,10:13.0,Defensive rebound by M. Gortat,,4,0
12,1,10:07.0,O. Porter makes 2-pt layup from 1 ft (assist by J. Wall),,6,0
13,1,9:53.0,,Turnover by J. Smith (bad pass; steal by J. Wall),6,0
14,1,9:48.0,J. Wall makes 2-pt dunk at rim,,8,0
15,1,9:31.0,,L. James misses 2-pt jump shot from 22 ft,8,0
16,1,9:31.0,Defensive rebound by M. Gortat,,8,0
17,1,9:23.0,J. Wall makes 2-pt jump shot from 17 ft,,10,0
18,1,9:22.0,,Cleveland full timeout,10,0
19,1,9:07.0,,L. James makes 2-pt layup at rim,10,2
20,1,8:52.0,J. Wall misses 2-pt jump shot from 17 ft,,10,2
21,1,8:52.0,,Defensive rebound by J. Smith,10,2
22,1,8:41.0,,M. Williams makes 2-pt jump shot from 15 ft (assist by L. James),10,4
23,1,8:19.0,M. Gortat makes 2-pt dunk at rim (assist by J. Dudley),,12,4
24,1,8:02.0,,K. Love makes 2-pt jump shot from 16 ft (assist by M. Williams),12,6
25,1,7:52.0,M. Gortat misses 2-pt jump shot from 14 ft,,12,6
26,1,7:52.0,,Defensive rebound by T. Mozgov,12,6
27,1,7:36.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by J. Smith),12,9
28,1,7:31.0,Shooting foul by T. Mozgov (drawn by J. Wall),,12,9
29,1,7:31.0,J. Wall makes free throw 1 of 2,,13,9
30,1,7:31.0,J. Wall makes free throw 2 of 2,,14,9
31,1,7:18.0,,M. Williams makes 2-pt jump shot from 14 ft,14,11
32,1,7:04.0,M. Gortat misses 2-pt jump shot from 8 ft,,14,11
33,1,7:03.0,,Defensive rebound by M. Williams,14,11
34,1,6:59.0,,Turnover by T. Mozgov (lost ball),14,11
35,1,6:43.0,O. Porter misses 3-pt jump shot from 24 ft,,14,11
36,1,6:42.0,,Defensive rebound by M. Williams,14,11
37,1,6:39.0,,Turnover by L. James (bad pass; steal by J. Wall),14,11
38,1,6:32.0,B. Beal misses 3-pt jump shot from 24 ft,,14,11
39,1,6:31.0,,Defensive rebound by K. Love,14,11
40,1,6:12.0,,J. Smith makes 3-pt jump shot from 23 ft (assist by L. James),14,14
41,1,6:06.0,M. Gortat makes 2-pt dunk at rim (assist by J. Wall),,16,14
42,1,5:50.0,,T. Mozgov misses 2-pt layup at rim,16,14
43,1,5:49.0,,Offensive rebound by T. Mozgov,16,14
44,1,5:48.0,,Turnover by T. Mozgov (lost ball; steal by J. Wall),16,14
45,1,5:45.0,J. Wall makes 2-pt layup at rim,,18,14
46,1,5:45.0,Shooting foul by J. Smith (drawn by J. Wall),,18,14
47,1,5:45.0,,T. Thompson enters the game for T. Mozgov,18,14
48,1,5:45.0,,R. Jefferson enters the game for L. James,18,14
49,1,5:45.0,J. Wall misses free throw 1 of 1,,18,14
50,1,5:45.0,,Defensive rebound by J. Smith,18,14
51,1,5:24.0,,M. Williams makes 2-pt jump shot from 11 ft,18,16
52,1,5:04.0,Turnover by B. Beal (bad pass; steal by J. Smith),,18,16
53,1,4:59.0,,Personal foul by B. Beal (drawn by K. Love),18,16
54,1,4:52.0,,M. Williams misses 2-pt jump shot from 11 ft,18,16
55,1,4:51.0,Defensive rebound by M. Gortat,,18,16
56,1,4:40.0,J. Wall misses 2-pt jump shot from 8 ft,,18,16
57,1,4:40.0,,Defensive rebound by T. Thompson,18,16
58,1,4:31.0,Offensive charge foul by T. Thompson (drawn by M. Gortat),,18,16
59,1,4:31.0,,Turnover by T. Thompson (offensive foul),18,16
60,1,4:31.0,Washington full timeout,,18,16
61,1,4:31.0,,M. Dellavedova enters the game for M. Williams,18,16
62,1,4:31.0,R. Sessions enters the game for J. Wall,,18,16
63,1,4:10.0,O. Porter makes 2-pt layup from 1 ft (assist by B. Beal),,20,16
64,1,3:52.0,,K. Love makes 2-pt jump shot from 20 ft,20,18
65,1,3:43.0,B. Beal makes 2-pt jump shot from 10 ft (assist by R. Sessions),,22,18
66,1,3:28.0,,M. Dellavedova makes 2-pt jump shot from 11 ft,22,20
67,1,3:14.0,M. Gortat makes 2-pt jump shot from 9 ft (assist by J. Dudley),,24,20
68,1,2:49.0,,T. Thompson misses 2-pt jump shot from 2 ft,24,20
69,1,2:48.0,,Offensive rebound by T. Thompson,24,20
70,1,2:48.0,,T. Thompson misses 2-pt layup from 2 ft,24,20
71,1,2:44.0,,Offensive rebound by R. Jefferson,24,20
