,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,ORLANDO_ACTION,PHILADELPHIA_SCORE,ORLANDO_SCORE
0,1,11:50.0,R. Covington misses 3-pt jump shot from 26 ft,,0,0
1,1,11:49.0,,Defensive rebound by T. Harris,0,0
2,1,11:39.0,,E. Payton makes 2-pt layup from 1 ft,0,2
3,1,11:33.0,Turnover by N. Noel (bad pass; steal by E. Payton),,0,2
4,1,11:16.0,,C. Frye misses 3-pt jump shot from 25 ft,0,2
5,1,11:15.0,Defensive rebound by R. Covington,,0,2
6,1,10:56.0,J. Okafor makes 2-pt jump shot from 6 ft (assist by I. Smith),,2,2
7,1,10:44.0,,E. Payton makes 2-pt layup from 1 ft,2,4
8,1,10:33.0,Turnover by I. Smith (bad pass; steal by C. Frye),,2,4
9,1,10:24.0,,N. Vučević makes 2-pt hook shot from 4 ft (assist by C. Frye),2,6
10,1,10:03.0,N. Noel makes 2-pt jump shot from 15 ft (assist by I. Smith),,4,6
11,1,9:46.0,,N. Vučević makes 2-pt layup from 1 ft (assist by C. Frye),4,8
12,1,9:32.0,Turnover by R. Covington (bad pass; steal by E. Fournier),,4,8
13,1,9:20.0,,Turnover by C. Frye (bad pass),4,8
14,1,9:01.0,J. Sampson misses 2-pt jump shot from 8 ft,,4,8
15,1,9:00.0,,Defensive rebound by C. Frye,4,8
16,1,8:51.0,,Turnover by E. Fournier (lost ball; steal by R. Covington),4,8
17,1,8:46.0,Shooting foul by C. Frye (drawn by R. Covington),,4,8
18,1,8:46.0,R. Covington makes free throw 1 of 2,,5,8
19,1,8:46.0,R. Covington makes free throw 2 of 2,,6,8
20,1,8:36.0,,E. Payton makes 2-pt layup from 1 ft (assist by N. Vučević),6,10
21,1,8:36.0,,Shooting foul by N. Noel (drawn by E. Payton),6,10
22,1,8:36.0,,E. Payton misses free throw 1 of 1,6,10
23,1,8:36.0,Defensive rebound by R. Covington,,6,10
24,1,8:26.0,I. Smith misses 2-pt layup at rim,,6,10
25,1,8:23.0,,Defensive rebound by N. Vučević,6,10
26,1,8:19.0,,Turnover by E. Payton (lost ball; steal by J. Okafor),6,10
27,1,8:13.0,J. Sampson misses 2-pt layup from 1 ft,,6,10
28,1,8:11.0,,Defensive rebound by N. Vučević,6,10
29,1,8:07.0,,T. Harris misses 2-pt layup at rim (block by N. Noel),6,10
30,1,8:07.0,,Offensive rebound by N. Vučević,6,10
31,1,8:07.0,,N. Vučević makes 2-pt layup at rim,6,12
32,1,8:07.0,Philadelphia full timeout,,6,12
33,1,7:50.0,Turnover by J. Okafor (lost ball; steal by T. Harris),,6,12
34,1,7:36.0,,Shooting foul by I. Smith (drawn by E. Payton),6,12
35,1,7:36.0,,E. Payton makes free throw 1 of 2,6,13
36,1,7:36.0,,E. Payton misses free throw 2 of 2,6,13
37,1,7:34.0,Defensive rebound by N. Noel,,6,13
38,1,7:14.0,J. Okafor makes 2-pt jump shot from 4 ft,,8,13
39,1,6:58.0,,C. Frye misses 2-pt jump shot from 21 ft,8,13
40,1,6:57.0,Defensive rebound by R. Covington,,8,13
41,1,6:42.0,R. Covington misses 3-pt jump shot from 24 ft,,8,13
42,1,6:41.0,,Defensive rebound by N. Vučević,8,13
43,1,6:20.0,,E. Fournier misses 3-pt jump shot from 24 ft,8,13
44,1,6:19.0,Defensive rebound by N. Noel,,8,13
45,1,6:05.0,R. Covington misses 3-pt jump shot from 26 ft,,8,13
46,1,6:03.0,,Defensive rebound by E. Payton,8,13
47,1,5:55.0,,T. Harris misses 3-pt jump shot from 22 ft,8,13
48,1,5:54.0,,Offensive rebound by E. Payton,8,13
49,1,5:44.0,,C. Frye misses 3-pt jump shot from 24 ft,8,13
50,1,5:42.0,,Offensive rebound by C. Frye,8,13
51,1,5:38.0,,T. Harris misses 2-pt dunk at rim,8,13
52,1,5:36.0,,Offensive rebound by C. Frye,8,13
53,1,5:36.0,,C. Frye misses 2-pt layup at rim,8,13
54,1,5:34.0,Defensive rebound by N. Noel,,8,13
55,1,5:22.0,J. Sampson misses 3-pt jump shot from 23 ft,,8,13
56,1,5:21.0,,Defensive rebound by N. Vučević,8,13
57,1,5:12.0,,N. Vučević makes 2-pt dunk at rim (assist by E. Payton),8,15
58,1,4:59.0,I. Smith makes 2-pt layup from 1 ft,,10,15
59,1,4:43.0,,E. Payton makes 2-pt layup from 1 ft (assist by C. Frye),10,17
60,1,4:21.0,Turnover by R. Covington (lost ball; steal by E. Fournier),,10,17
61,1,4:19.0,,Clear path foul by R. Covington,10,17
62,1,4:19.0,J. Grant enters the game for N. Noel,,10,17
63,1,4:19.0,H. Thompson enters the game for J. Sampson,,10,17
64,1,4:19.0,,S. Napier enters the game for C. Frye,10,17
65,1,4:19.0,,A. Gordon enters the game for E. Payton,10,17
66,1,4:19.0,,E. Fournier misses clear path free throw 1 of 2,10,17
67,1,4:19.0,,Offensive rebound by Team,10,17
68,1,4:19.0,,E. Fournier makes clear path free throw 2 of 2,10,18
69,1,4:19.0,I. Canaan enters the game for R. Covington,,10,18
70,1,4:02.0,,T. Harris makes 2-pt dunk at rim,10,20
71,1,3:44.0,I. Smith makes 2-pt layup from 1 ft,,12,20
