,QUARTER,TIME_REMAINING,ATLANTA_ACTION,NEW ORLEANS_ACTION,ATLANTA_SCORE,NEW ORLEANS_SCORE
0,1,11:44.0,A. Horford misses 2-pt jump shot from 16 ft,,0,0
1,1,11:43.0,,Defensive rebound by A. Davis,0,0
2,1,11:22.0,,A. Davis misses 2-pt jump shot from 19 ft,0,0
3,1,11:21.0,Defensive rebound by P. Millsap,,0,0
4,1,11:05.0,P. Millsap misses 3-pt jump shot from 25 ft,,0,0
5,1,11:05.0,,Defensive rebound by A. Davis,0,0
6,1,10:53.0,,D. Cunningham misses 2-pt layup from 1 ft (block by J. Teague),0,0
7,1,10:52.0,Defensive rebound by P. Millsap,,0,0
8,1,10:42.0,Turnover by P. Millsap (traveling),,0,0
9,1,10:22.0,,E. Gordon misses 2-pt jump shot from 9 ft (block by A. Horford),0,0
10,1,10:19.0,Defensive rebound by K. Bazemore,,0,0
11,1,10:10.0,Turnover by A. Horford (lost ball; steal by A. Davis),,0,0
12,1,10:04.0,,E. Gordon makes 2-pt dunk at rim,0,2
13,1,9:47.0,A. Horford misses 2-pt layup from 2 ft,,0,2
14,1,9:47.0,,Defensive rebound by A. Davis,0,2
15,1,9:31.0,,L. Babbitt misses 3-pt jump shot from 26 ft,0,2
16,1,9:31.0,Defensive rebound by K. Bazemore,,0,2
17,1,9:17.0,A. Horford makes 2-pt jump shot from 20 ft (assist by K. Bazemore),,2,2
18,1,9:05.0,,A. Davis makes 2-pt jump shot from 12 ft,2,4
19,1,8:48.0,P. Millsap makes 2-pt jump shot from 19 ft (assist by J. Teague),,4,4
20,1,8:30.0,,D. Cunningham makes 3-pt jump shot from 23 ft (assist by J. Holiday),4,7
21,1,8:14.0,A. Horford misses 3-pt jump shot from 23 ft,,4,7
22,1,8:14.0,,Defensive rebound by Team,4,7
23,1,7:52.0,,E. Gordon makes 3-pt jump shot from 23 ft (assist by J. Holiday),4,10
24,1,7:37.0,Shooting foul by D. Cunningham (drawn by J. Teague),,4,10
25,1,7:37.0,J. Teague misses free throw 1 of 2,,4,10
26,1,7:37.0,Offensive rebound by Team,,4,10
27,1,7:37.0,J. Teague makes free throw 2 of 2,,5,10
28,1,7:25.0,,A. Davis misses 2-pt jump shot from 19 ft,5,10
29,1,7:24.0,Defensive rebound by P. Millsap,,5,10
30,1,7:14.0,Shooting foul by E. Gordon (drawn by K. Bazemore),,5,10
31,1,7:14.0,K. Bazemore makes free throw 1 of 2,,6,10
32,1,7:14.0,T. Splitter enters the game for A. Horford,,6,10
33,1,7:14.0,,A. Ajinça enters the game for L. Babbitt,6,10
34,1,7:14.0,K. Bazemore makes free throw 2 of 2,,7,10
35,1,7:04.0,,Turnover by J. Holiday (bad pass; steal by K. Bazemore),7,10
36,1,6:57.0,J. Teague makes 2-pt layup from 1 ft (assist by K. Bazemore),,9,10
37,1,6:44.0,,J. Holiday misses 3-pt jump shot from 24 ft,9,10
38,1,6:44.0,Defensive rebound by T. Splitter,,9,10
39,1,6:33.0,Personal foul by A. Davis (drawn by K. Bazemore),,9,10
40,1,6:33.0,Atlanta full timeout,,9,10
41,1,6:33.0,,I. Smith enters the game for J. Holiday,9,10
42,1,6:24.0,J. Teague misses 2-pt layup from 2 ft (block by A. Ajinça),,9,10
43,1,6:23.0,,Defensive rebound by D. Cunningham,9,10
44,1,6:00.0,,I. Smith misses 2-pt jump shot from 17 ft,9,10
45,1,5:58.0,Defensive rebound by K. Korver,,9,10
46,1,5:47.0,J. Teague misses 2-pt layup from 1 ft,,9,10
47,1,5:46.0,,Defensive rebound by A. Davis,9,10
48,1,5:33.0,,D. Cunningham misses 3-pt jump shot from 24 ft,9,10
49,1,5:32.0,Defensive rebound by T. Splitter,,9,10
50,1,5:22.0,Turnover by P. Millsap (bad pass; steal by A. Ajinça),,9,10
