,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,ORLANDO_ACTION,PHILADELPHIA_SCORE,ORLANDO_SCORE
0,1,11:53.0,,M. Hezonja makes 2-pt dunk from 1 ft,0,2
1,1,11:44.0,R. Covington misses 3-pt jump shot from 26 ft,,0,2
2,1,11:43.0,,Defensive rebound by A. Gordon,0,2
3,1,11:34.0,,A. Gordon makes 2-pt layup from 1 ft (assist by E. Payton),0,4
4,1,11:22.0,Turnover by N. Stauskas (bad pass; steal by V. Oladipo),,0,4
5,1,11:05.0,,Shooting foul by J. Okafor (drawn by A. Gordon),0,4
6,1,11:05.0,,A. Gordon makes free throw 1 of 2,0,5
7,1,11:05.0,,A. Gordon makes free throw 2 of 2,0,6
8,1,10:54.0,Personal foul by M. Hezonja (drawn by N. Stauskas),,0,6
9,1,10:43.0,Turnover by N. Noel (lost ball; steal by M. Hezonja),,0,6
10,1,10:33.0,,A. Gordon misses 2-pt layup from 1 ft (block by N. Noel),0,6
11,1,10:31.0,,Offensive rebound by A. Gordon,0,6
12,1,10:31.0,,A. Gordon makes 2-pt layup at rim,0,8
13,1,10:31.0,Philadelphia full timeout,,0,8
14,1,10:08.0,R. Covington misses 2-pt jump shot from 8 ft,,0,8
15,1,10:07.0,,Defensive rebound by N. Vučević,0,8
16,1,9:54.0,,M. Hezonja makes 3-pt jump shot from 24 ft (assist by A. Gordon),0,11
17,1,9:41.0,Shooting foul by E. Payton (drawn by N. Stauskas),,0,11
18,1,9:41.0,N. Stauskas misses free throw 1 of 2,,0,11
19,1,9:41.0,Offensive rebound by Team,,0,11
20,1,9:41.0,N. Stauskas makes free throw 2 of 2,,1,11
21,1,9:22.0,,V. Oladipo makes 2-pt jump shot from 16 ft,1,13
22,1,9:09.0,J. Okafor makes 2-pt hook shot from 6 ft,,3,13
23,1,8:57.0,,M. Hezonja misses 2-pt jump shot from 21 ft,3,13
24,1,8:57.0,Defensive rebound by R. Covington,,3,13
25,1,8:45.0,J. Okafor makes 2-pt jump shot from 5 ft,,5,13
26,1,8:29.0,,N. Vučević makes 2-pt hook shot from 8 ft,5,15
27,1,8:24.0,Personal foul by E. Payton (drawn by J. Okafor),,5,15
28,1,8:10.0,N. Noel misses 2-pt dunk at rim (block by A. Gordon),,5,15
29,1,8:10.0,Offensive rebound by Team,,5,15
30,1,8:06.0,J. Okafor makes 2-pt jump shot from 16 ft,,7,15
31,1,7:57.0,,M. Hezonja makes 2-pt layup at rim (assist by E. Payton),7,17
32,1,7:57.0,,Shooting foul by N. Noel (drawn by M. Hezonja),7,17
33,1,7:57.0,J. Grant enters the game for N. Noel,,7,17
34,1,7:57.0,,M. Hezonja makes free throw 1 of 1,7,18
35,1,7:47.0,N. Stauskas makes 2-pt dunk at rim (assist by J. Okafor),,9,18
36,1,7:47.0,Shooting foul by M. Hezonja (drawn by N. Stauskas),,9,18
37,1,7:47.0,,C. Watson enters the game for M. Hezonja,9,18
38,1,7:47.0,N. Stauskas makes free throw 1 of 1,,10,18
39,1,7:34.0,,V. Oladipo misses 2-pt jump shot from 13 ft,10,18
40,1,7:34.0,Defensive rebound by R. Covington,,10,18
41,1,7:25.0,J. Okafor makes 2-pt dunk at rim (assist by N. Stauskas),,12,18
42,1,7:14.0,,N. Vučević misses 2-pt jump shot from 12 ft,12,18
43,1,7:13.0,,Offensive rebound by E. Payton,12,18
44,1,7:10.0,,Shooting foul by R. Covington (drawn by A. Gordon),12,18
45,1,7:10.0,,A. Gordon makes free throw 1 of 2,12,19
46,1,7:10.0,,A. Gordon makes free throw 2 of 2,12,20
47,1,6:55.0,J. Okafor misses 2-pt jump shot from 11 ft,,12,20
48,1,6:54.0,,Defensive rebound by A. Gordon,12,20
49,1,6:47.0,,N. Vučević makes 2-pt hook shot from 3 ft (assist by A. Gordon),12,22
50,1,6:28.0,R. Covington makes 2-pt layup at rim,,14,22
51,1,6:15.0,,N. Vučević makes 2-pt hook shot from 5 ft,14,24
52,1,5:57.0,J. Okafor makes 2-pt layup from 2 ft,,16,24
53,1,5:44.0,,Turnover by A. Gordon (traveling),16,24
54,1,5:44.0,N. Noel enters the game for J. Okafor,,16,24
55,1,5:27.0,N. Noel misses 2-pt jump shot from 4 ft,,16,24
56,1,5:24.0,,Defensive rebound by Team,16,24
57,1,5:08.0,,E. Payton misses 2-pt jump shot from 4 ft,16,24
58,1,5:08.0,Defensive rebound by I. Smith,,16,24
59,1,5:01.0,J. Grant makes 2-pt layup at rim (assist by I. Smith),,18,24
60,1,4:44.0,,V. Oladipo misses 2-pt jump shot from 17 ft,18,24
61,1,4:43.0,Defensive rebound by I. Smith,,18,24
62,1,4:36.0,Turnover by R. Covington (lost ball; steal by N. Vučević),,18,24
63,1,4:33.0,,Shooting foul by R. Covington (drawn by V. Oladipo),18,24
64,1,4:33.0,,V. Oladipo makes free throw 1 of 2,18,25
65,1,4:33.0,I. Canaan enters the game for N. Stauskas,,18,25
66,1,4:33.0,T. McConnell enters the game for R. Covington,,18,25
67,1,4:33.0,,B. Jennings enters the game for E. Payton,18,25
68,1,4:33.0,,V. Oladipo makes free throw 2 of 2,18,26
69,1,4:20.0,Turnover by J. Grant (bad pass; steal by C. Watson),,18,26
70,1,4:15.0,,Shooting foul by J. Grant (drawn by A. Gordon),18,26
71,1,4:15.0,,A. Gordon makes free throw 1 of 2,18,27
72,1,4:15.0,,A. Gordon makes free throw 2 of 2,18,28
73,1,4:02.0,T. McConnell misses 2-pt jump shot from 12 ft,,18,28
74,1,4:01.0,Offensive rebound by Team,,18,28
75,1,3:39.0,N. Noel makes 2-pt layup from 2 ft (assist by I. Smith),,20,28
76,1,3:28.0,,N. Vučević makes 2-pt jump shot from 15 ft (assist by B. Jennings),20,30
77,1,3:15.0,Turnover by I. Smith (lost ball),,20,30
78,1,3:15.0,R. Holmes enters the game for I. Smith,,20,30
79,1,3:00.0,,N. Vučević makes 2-pt hook shot from 5 ft,20,32
80,1,2:52.0,N. Noel misses 2-pt jump shot from 19 ft,,20,32
81,1,2:50.0,,Defensive rebound by V. Oladipo,20,32
82,1,2:44.0,,C. Watson misses 3-pt jump shot from 24 ft,20,32
83,1,2:44.0,Defensive rebound by N. Noel,,20,32
84,1,2:29.0,Turnover by I. Canaan (traveling),,20,32
