,QUARTER,TIME_REMAINING,DALLAS_ACTION,MINNESOTA_ACTION,DALLAS_SCORE,MINNESOTA_SCORE
0,1,11:41.0,J. Barea misses 2-pt jump shot from 8 ft (block by K. Towns),,0,0
1,1,11:39.0,,Defensive rebound by R. Rubio,0,0
2,1,11:34.0,,Turnover by K. Towns (bad pass),0,0
3,1,11:18.0,D. Nowitzki misses 2-pt jump shot from 13 ft,,0,0
4,1,11:17.0,,Defensive rebound by K. Towns,0,0
5,1,10:52.0,,Turnover by Team (shot clock),0,0
6,1,10:37.0,W. Matthews misses 2-pt jump shot from 13 ft,,0,0
7,1,10:36.0,,Defensive rebound by G. Dieng,0,0
8,1,10:13.0,,R. Rubio misses 2-pt jump shot from 19 ft,0,0
9,1,10:12.0,,Offensive rebound by K. Towns,0,0
10,1,10:09.0,,Turnover by K. Towns (lost ball; steal by Z. Pachulia),0,0
11,1,9:59.0,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by J. Barea),,3,0
12,1,9:44.0,,A. Wiggins makes 2-pt jump shot from 16 ft (assist by G. Dieng),3,2
13,1,9:34.0,Personal foul by R. Rubio,,3,2
14,1,9:32.0,Turnover by Z. Pachulia (lost ball),,3,2
15,1,9:22.0,Offensive charge foul by K. Towns (drawn by Z. Pachulia),,3,2
16,1,9:22.0,,Turnover by K. Towns (offensive foul),3,2
17,1,9:12.0,Z. Pachulia misses 2-pt layup from 1 ft,,3,2
18,1,9:11.0,,Defensive rebound by A. Wiggins,3,2
19,1,9:10.0,,Personal foul by Z. Pachulia,3,2
20,1,9:00.0,,K. Towns makes 2-pt jump shot from 19 ft (assist by R. Rubio),3,4
21,1,8:48.0,J. Barea makes 2-pt jump shot from 6 ft,,5,4
22,1,8:34.0,,G. Dieng makes 2-pt layup from 1 ft (assist by K. Towns),5,6
23,1,8:15.0,J. Barea misses 2-pt jump shot from 7 ft,,5,6
24,1,8:14.0,,Defensive rebound by K. Towns,5,6
25,1,8:09.0,,K. Towns makes 2-pt layup from 1 ft (assist by R. Rubio),5,8
26,1,8:09.0,,Shooting foul by D. Nowitzki (drawn by K. Towns),5,8
27,1,8:09.0,S. Mejri enters the game for Z. Pachulia,,5,8
28,1,8:09.0,,K. Towns makes free throw 1 of 1,5,9
29,1,7:54.0,Turnover by W. Matthews (lost ball; steal by Z. LaVine),,5,9
30,1,7:48.0,,K. Towns misses 2-pt layup from 1 ft (block by S. Mejri),5,9
31,1,7:47.0,Defensive rebound by Team,,5,9
32,1,7:32.0,J. Barea makes 3-pt jump shot from 25 ft (assist by J. Anderson),,8,9
33,1,7:20.0,,K. Towns makes 2-pt jump shot from 19 ft (assist by R. Rubio),8,11
34,1,7:09.0,J. Barea makes 2-pt layup at rim,,10,11
35,1,6:53.0,,Shooting foul by S. Mejri (drawn by A. Wiggins),10,11
36,1,6:53.0,,A. Wiggins makes 2-pt jump shot from 14 ft,10,13
37,1,6:53.0,,A. Wiggins makes free throw 1 of 1,10,14
