,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,NEW YORK_ACTION,CLEVELAND_SCORE,NEW YORK_SCORE
0,1,11:39.0,,R. Lopez misses 2-pt hook shot from 6 ft,0,0
1,1,11:38.0,Defensive rebound by T. Mozgov,,0,0
2,1,11:17.0,K. Love makes 3-pt jump shot from 23 ft (assist by L. James),,3,0
3,1,10:54.0,,S. Vujačić misses 2-pt jump shot from 19 ft,3,0
4,1,10:53.0,Defensive rebound by K. Love,,3,0
5,1,10:43.0,K. Love misses 3-pt jump shot from 26 ft,,3,0
6,1,10:42.0,,Defensive rebound by C. Anthony,3,0
7,1,10:23.0,,K. Porziņģis makes 2-pt jump shot from 15 ft (assist by J. Calderón),3,2
8,1,10:06.0,Turnover by L. James (bad pass; steal by J. Calderón),,3,2
9,1,9:53.0,,C. Anthony misses 2-pt jump shot from 13 ft,3,2
10,1,9:52.0,Defensive rebound by M. Dellavedova,,3,2
11,1,9:45.0,J. Smith misses 3-pt jump shot from 26 ft,,3,2
12,1,9:44.0,,Defensive rebound by R. Lopez,3,2
13,1,9:34.0,,C. Anthony misses 3-pt jump shot from 24 ft,3,2
14,1,9:33.0,Defensive rebound by K. Love,,3,2
15,1,9:24.0,L. James makes 3-pt jump shot from 25 ft (assist by K. Love),,6,2
16,1,9:04.0,,S. Vujačić makes 2-pt jump shot from 20 ft (assist by C. Anthony),6,4
17,1,8:53.0,K. Love misses 2-pt layup at rim,,6,4
18,1,8:52.0,Offensive rebound by K. Love,,6,4
19,1,8:51.0,K. Love misses 2-pt layup from 1 ft,,6,4
20,1,8:50.0,,Defensive rebound by Team,6,4
21,1,8:37.0,,K. Porziņģis misses 2-pt jump shot from 20 ft,6,4
22,1,8:36.0,Defensive rebound by M. Dellavedova,,6,4
23,1,8:23.0,K. Love makes 2-pt layup from 1 ft,,8,4
24,1,8:10.0,,K. Porziņģis misses 3-pt jump shot from 25 ft,8,4
25,1,8:09.0,Defensive rebound by T. Mozgov,,8,4
26,1,8:02.0,L. James misses 2-pt layup from 1 ft,,8,4
27,1,8:01.0,,Defensive rebound by S. Vujačić,8,4
28,1,7:56.0,,C. Anthony misses 3-pt jump shot from 23 ft,8,4
29,1,7:55.0,,Offensive rebound by S. Vujačić,8,4
30,1,7:39.0,,Turnover by K. Porziņģis (lost ball; steal by L. James),8,4
31,1,7:35.0,Shooting foul by J. Calderón (drawn by L. James),,8,4
32,1,7:35.0,L. James makes 2-pt layup at rim,,10,4
33,1,7:35.0,L. James makes free throw 1 of 1,,11,4
34,1,7:25.0,,J. Calderón misses 2-pt jump shot from 15 ft,11,4
35,1,7:24.0,Defensive rebound by K. Love,,11,4
36,1,7:17.0,Shooting foul by K. Porziņģis (drawn by K. Love),,11,4
37,1,7:17.0,K. Love makes free throw 1 of 2,,12,4
38,1,7:17.0,K. Love misses free throw 2 of 2,,12,4
39,1,7:16.0,,Defensive rebound by K. Porziņģis,12,4
40,1,6:53.0,,C. Anthony misses 2-pt layup from 2 ft,12,4
41,1,6:52.0,Defensive rebound by K. Love,,12,4
42,1,6:46.0,Turnover by M. Dellavedova (bad pass; steal by C. Anthony),,12,4
43,1,6:42.0,,Personal foul by M. Dellavedova,12,4
44,1,6:36.0,,J. Calderón makes 2-pt jump shot from 19 ft,12,6
45,1,6:18.0,K. Love misses 3-pt jump shot from 23 ft,,12,6
46,1,6:17.0,,Defensive rebound by C. Anthony,12,6
47,1,6:01.0,,R. Lopez misses 2-pt jump shot from 10 ft,12,6
48,1,6:00.0,Defensive rebound by T. Mozgov,,12,6
49,1,5:52.0,K. Love misses 2-pt hook shot from 4 ft,,12,6
50,1,5:51.0,,Defensive rebound by S. Vujačić,12,6
51,1,5:28.0,,K. Porziņģis makes 3-pt jump shot from 23 ft (assist by J. Calderón),12,9
52,1,5:27.0,Cleveland full timeout,,12,9
53,1,5:13.0,J. Smith makes 3-pt jump shot from 23 ft (assist by L. James),,15,9
54,1,4:46.0,,K. Porziņģis makes 2-pt jump shot from 7 ft,15,11
55,1,4:33.0,Personal foul by C. Anthony,,15,11
56,1,4:33.0,M. Williams enters the game for M. Dellavedova,,15,11
57,1,4:33.0,,J. Grant enters the game for J. Calderón,15,11
58,1,4:24.0,T. Mozgov makes 2-pt dunk at rim (assist by L. James),,17,11
59,1,4:15.0,,Personal foul by K. Love,17,11
60,1,4:05.0,,C. Anthony misses 2-pt jump shot from 13 ft,17,11
61,1,4:04.0,,Offensive rebound by R. Lopez,17,11
62,1,4:04.0,,R. Lopez makes 2-pt layup from 1 ft,17,13
63,1,3:41.0,T. Mozgov misses 2-pt jump shot from 10 ft,,17,13
64,1,3:40.0,Offensive rebound by L. James,,17,13
65,1,3:36.0,J. Smith makes 3-pt jump shot from 25 ft (assist by L. James),,20,13
66,1,3:17.0,Violation by J. Smith (kicked ball),,20,13
67,1,3:17.0,T. Thompson enters the game for T. Mozgov,,20,13
68,1,3:17.0,,K. Séraphin enters the game for R. Lopez,20,13
69,1,3:04.0,,C. Anthony makes 2-pt jump shot from 8 ft (assist by K. Séraphin),20,15
70,1,2:38.0,M. Williams makes 3-pt jump shot from 24 ft (assist by L. James),,23,15
71,1,2:23.0,,S. Vujačić misses 3-pt jump shot from 25 ft,23,15
72,1,2:22.0,Defensive rebound by K. Love,,23,15
73,1,2:07.0,M. Williams makes 3-pt jump shot from 22 ft (assist by L. James),,26,15
74,1,1:58.0,,New York full timeout,26,15
75,1,1:58.0,C. Frye enters the game for K. Love,,26,15
76,1,1:58.0,,A. Afflalo enters the game for K. Porziņģis,26,15
77,1,1:58.0,,D. Williams enters the game for S. Vujačić,26,15
78,1,1:52.0,,J. Grant misses 3-pt jump shot from 24 ft,26,15
79,1,1:51.0,Defensive rebound by T. Thompson,,26,15
80,1,1:34.0,C. Frye misses 3-pt jump shot from 23 ft,,26,15
81,1,1:33.0,Offensive rebound by L. James,,26,15
82,1,1:29.0,L. James misses 2-pt jump shot from 3 ft,,26,15
