,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,MIAMI_ACTION,MEMPHIS_SCORE,MIAMI_SCORE
0,1,11:39.0,M. Conley misses 2-pt jump shot from 19 ft,,0,0
1,1,11:38.0,,Defensive rebound by L. Deng,0,0
2,1,11:25.0,,G. Dragić misses 2-pt jump shot from 10 ft,0,0
3,1,11:24.0,Defensive rebound by M. Conley,,0,0
4,1,11:16.0,C. Lee misses 2-pt jump shot from 18 ft,,0,0
5,1,11:15.0,,Defensive rebound by L. Deng,0,0
6,1,10:56.0,,C. Bosh makes 2-pt jump shot from 16 ft (assist by G. Dragić),0,2
7,1,10:43.0,C. Lee makes 3-pt jump shot from 23 ft (assist by M. Gasol),,3,2
8,1,10:22.0,,Personal foul by C. Lee (drawn by G. Dragić),3,2
9,1,10:12.0,,L. Deng makes 2-pt jump shot from 4 ft,3,4
10,1,10:00.0,M. Gasol misses 2-pt jump shot from 16 ft,,3,4
11,1,9:59.0,,Defensive rebound by G. Dragić,3,4
12,1,9:37.0,,L. Deng misses 2-pt jump shot from 11 ft (block by M. Barnes),3,4
13,1,9:35.0,,Offensive rebound by Team,3,4
14,1,9:35.0,,Turnover by Team (shot clock),3,4
15,1,9:12.0,M. Barnes misses 3-pt jump shot from 24 ft,,3,4
16,1,9:11.0,,Defensive rebound by L. Deng,3,4
17,1,8:59.0,,Turnover by G. Dragić (bad pass; steal by M. Conley),3,4
18,1,8:54.0,M. Conley makes 2-pt layup from 1 ft,,5,4
19,1,8:40.0,,L. Deng makes 3-pt jump shot from 23 ft (assist by G. Dragić),5,7
20,1,8:25.0,J. Green misses 3-pt jump shot from 24 ft,,5,7
21,1,8:24.0,Offensive rebound by M. Gasol,,5,7
22,1,8:18.0,Turnover by M. Gasol (bad pass; steal by H. Whiteside),,5,7
23,1,8:09.0,,Turnover by G. Dragić (bad pass; steal by M. Conley),5,7
24,1,8:03.0,M. Barnes misses 3-pt jump shot from 23 ft,,5,7
25,1,8:02.0,,Defensive rebound by H. Whiteside,5,7
26,1,7:43.0,,G. Dragić misses 2-pt jump shot from 12 ft,5,7
27,1,7:42.0,,Offensive rebound by H. Whiteside,5,7
28,1,7:41.0,,H. Whiteside makes 2-pt layup from 1 ft,5,9
29,1,7:24.0,Shooting foul by H. Whiteside (drawn by M. Gasol),,5,9
30,1,7:24.0,M. Gasol makes free throw 1 of 2,,6,9
31,1,7:24.0,M. Gasol misses free throw 2 of 2,,6,9
32,1,7:23.0,,Defensive rebound by C. Bosh,6,9
33,1,7:02.0,,H. Whiteside makes 2-pt jump shot from 14 ft,6,11
34,1,6:48.0,M. Gasol makes 2-pt jump shot from 17 ft (assist by M. Conley),,8,11
35,1,6:25.0,,G. Dragić misses 3-pt jump shot from 23 ft,8,11
36,1,6:24.0,Defensive rebound by M. Gasol,,8,11
