,QUARTER,TIME_REMAINING,DENVER_ACTION,NEW ORLEANS_ACTION,DENVER_SCORE,NEW ORLEANS_SCORE
100,2,10:46.0,Shooting foul by L. Babbitt (drawn by D. Arthur),,30,31
101,2,10:46.0,D. Arthur misses free throw 1 of 1,,30,31
102,2,10:45.0,,Defensive rebound by J. Hamilton,30,31
103,2,10:31.0,,T. Frazier makes 2-pt layup from 1 ft,30,33
104,2,10:31.0,,Shooting foul by D. Arthur (drawn by T. Frazier),30,33
105,2,10:31.0,,K. Perkins enters the game for L. Babbitt,30,33
106,2,10:31.0,,T. Frazier makes free throw 1 of 1,30,34
107,2,10:17.0,W. Barton misses 3-pt jump shot from 25 ft,,30,34
108,2,10:17.0,,Defensive rebound by K. Perkins,30,34
109,2,10:01.0,,J. Ennis misses 3-pt jump shot from 25 ft,30,34
110,2,10:01.0,Defensive rebound by W. Barton,,30,34
111,2,9:53.0,A. Toupane makes 2-pt layup from 1 ft (assist by W. Barton),,32,34
112,2,9:53.0,,Violation by J. Hamilton (def goaltending),32,34
113,2,9:36.0,,J. Ennis makes 2-pt layup from 1 ft (assist by T. Frazier),32,36
114,2,9:21.0,D. Arthur makes 3-pt jump shot from 25 ft (assist by D. Augustin),,35,36
115,2,8:54.0,,T. Frazier misses 3-pt jump shot from 25 ft,35,36
116,2,8:54.0,Defensive rebound by A. Toupane,,35,36
117,2,8:43.0,W. Barton misses 2-pt layup at rim,,35,36
118,2,8:43.0,,Defensive rebound by A. Ajinça,35,36
119,2,8:40.0,,Turnover by A. Ajinça (bad pass; steal by D. Augustin),35,36
120,2,8:36.0,J. Lauvergne makes 2-pt dunk at rim (assist by D. Augustin),,37,36
121,2,8:16.0,,J. Ennis misses 2-pt layup at rim,37,36
122,2,8:16.0,,Offensive rebound by A. Ajinça,37,36
123,2,8:14.0,,A. Ajinça misses 2-pt layup from 1 ft,37,36
124,2,8:12.0,,Offensive rebound by J. Ennis,37,36
125,2,8:10.0,,J. Ennis makes 3-pt jump shot from 24 ft,37,39
126,2,7:54.0,D. Arthur makes 2-pt layup from 2 ft (assist by D. Augustin),,39,39
127,2,7:31.0,Official timeout,,39,39
128,2,7:27.0,,A. Ajinça makes 2-pt layup from 3 ft (assist by J. Ennis),39,41
129,2,7:10.0,D. Arthur makes 3-pt jump shot from 23 ft (assist by D. Augustin),,42,41
130,2,6:57.0,,K. Perkins makes 2-pt layup from 2 ft (assist by T. Frazier),42,43
131,2,6:46.0,Offensive foul by D. Arthur (drawn by K. Perkins),,42,43
132,2,6:46.0,Turnover by D. Arthur (offensive foul),,42,43
133,2,6:36.0,,J. Hamilton misses 3-pt jump shot from 25 ft,42,43
134,2,6:35.0,Defensive rebound by D. Arthur,,42,43
135,2,6:24.0,D. Arthur makes 3-pt jump shot from 26 ft (assist by D. Augustin),,45,43
136,2,6:07.0,,Offensive foul by K. Perkins (drawn by D. Arthur),45,43
137,2,6:07.0,,Turnover by K. Perkins (offensive foul),45,43
138,2,6:07.0,,D. Cunningham enters the game for K. Perkins,45,43
139,2,5:57.0,D. Augustin makes 3-pt jump shot from 24 ft,,48,43
140,2,5:40.0,,Shooting foul by A. Toupane (drawn by D. Cunningham),48,43
141,2,5:40.0,,New Orleans full timeout,48,43
142,2,5:40.0,,T. Douglas enters the game for J. Hamilton,48,43
143,2,5:40.0,,D. Cunningham makes free throw 1 of 2,48,44
144,2,5:40.0,,D. Cunningham misses free throw 2 of 2,48,44
145,2,5:39.0,Defensive rebound by D. Arthur,,48,44
146,2,5:17.0,J. Lauvergne makes 2-pt jump shot from 19 ft (assist by D. Arthur),,50,44
