,QUARTER,TIME_REMAINING,PORTLAND_ACTION,BROOKLYN_ACTION,PORTLAND_SCORE,BROOKLYN_SCORE
0,1,11:40.0,,W. Ellington misses 2-pt jump shot from 22 ft,0,0
1,1,11:39.0,,Offensive rebound by T. Young,0,0
2,1,11:35.0,,D. Sloan misses 3-pt jump shot from 24 ft,0,0
3,1,11:32.0,Defensive rebound by D. Lillard,,0,0
4,1,11:26.0,N. Vonleh misses 2-pt layup from 1 ft,,0,0
5,1,11:25.0,Offensive rebound by N. Vonleh,,0,0
6,1,11:24.0,N. Vonleh misses 2-pt layup from 2 ft,,0,0
7,1,11:23.0,Offensive rebound by N. Vonleh,,0,0
8,1,11:22.0,N. Vonleh makes 2-pt layup from 2 ft,,2,0
9,1,11:00.0,,B. Lopez makes 2-pt hook shot from 6 ft (assist by W. Ellington),2,2
10,1,10:35.0,M. Plumlee misses 2-pt jump shot from 6 ft,,2,2
11,1,10:34.0,,Defensive rebound by T. Young,2,2
12,1,10:16.0,,D. Sloan makes 2-pt layup from 2 ft (assist by B. Lopez),2,4
13,1,9:53.0,M. Plumlee makes 2-pt dunk at rim (assist by D. Lillard),,4,4
14,1,9:33.0,,B. Lopez misses 2-pt jump shot from 20 ft,4,4
15,1,9:32.0,,Offensive rebound by D. Sloan,4,4
16,1,9:32.0,,Shooting foul by M. Plumlee (drawn by B. Lopez),4,4
17,1,9:32.0,,B. Lopez makes free throw 1 of 2,4,5
18,1,9:32.0,,B. Lopez makes free throw 2 of 2,4,6
19,1,9:08.0,Turnover by A. Aminu (lost ball; steal by J. Johnson),,4,6
20,1,8:44.0,,B. Lopez makes 2-pt jump shot from 14 ft,4,8
21,1,8:30.0,A. Aminu misses 3-pt jump shot from 23 ft,,4,8
22,1,8:29.0,,Defensive rebound by D. Sloan,4,8
23,1,8:26.0,,J. Johnson makes 2-pt layup from 2 ft (assist by D. Sloan),4,10
24,1,8:01.0,N. Vonleh misses 2-pt dunk at rim (block by T. Young),,4,10
25,1,8:00.0,Offensive rebound by Team,,4,10
26,1,7:56.0,M. Plumlee misses 2-pt jump shot from 18 ft,,4,10
27,1,7:56.0,,Defensive rebound by D. Sloan,4,10
28,1,7:41.0,,B. Lopez misses 2-pt jump shot from 15 ft,4,10
29,1,7:40.0,Defensive rebound by N. Vonleh,,4,10
30,1,7:28.0,D. Lillard misses 2-pt layup from 2 ft,,4,10
31,1,7:27.0,,Defensive rebound by Team,4,10
32,1,7:27.0,Loose ball foul by N. Vonleh (drawn by B. Lopez),,4,10
33,1,7:06.0,,B. Lopez makes 2-pt layup from 2 ft,4,12
34,1,6:45.0,C. McCollum misses 2-pt jump shot from 15 ft,,4,12
35,1,6:43.0,,Defensive rebound by W. Ellington,4,12
36,1,6:31.0,,T. Young misses 2-pt hook shot from 9 ft,4,12
37,1,6:29.0,Defensive rebound by M. Plumlee,,4,12
38,1,6:20.0,D. Lillard makes 3-pt jump shot from 25 ft,,7,12
39,1,5:55.0,,B. Lopez misses 2-pt jump shot from 12 ft,7,12
40,1,5:54.0,Defensive rebound by A. Aminu,,7,12
41,1,5:48.0,D. Lillard makes 2-pt jump shot from 17 ft,,9,12
42,1,5:39.0,,Brooklyn full timeout,9,12
43,1,5:39.0,,T. Robinson enters the game for B. Lopez,9,12
44,1,5:39.0,A. Crabbe enters the game for C. McCollum,,9,12
45,1,5:32.0,,T. Robinson makes 2-pt layup from 2 ft (assist by J. Johnson),9,14
46,1,5:15.0,M. Plumlee makes 2-pt dunk at rim (assist by D. Lillard),,11,14
47,1,4:52.0,,W. Ellington makes 2-pt jump shot from 21 ft (assist by D. Sloan),11,16
48,1,4:35.0,A. Crabbe makes 3-pt jump shot from 23 ft (assist by D. Lillard),,14,16
49,1,4:20.0,,W. Ellington misses 3-pt jump shot from 22 ft,14,16
50,1,4:18.0,,Offensive rebound by T. Robinson,14,16
51,1,4:17.0,M. Leonard enters the game for M. Plumlee,,14,16
52,1,4:17.0,E. Davis enters the game for N. Vonleh,,14,16
53,1,4:17.0,M. Harkless enters the game for A. Aminu,,14,16
54,1,4:05.0,,J. Johnson misses 2-pt jump shot from 10 ft,14,16
55,1,4:04.0,,Offensive rebound by T. Young,14,16
56,1,4:03.0,,T. Young misses 2-pt hook shot from 6 ft,14,16
57,1,4:02.0,Defensive rebound by M. Leonard,,14,16
58,1,3:49.0,D. Lillard misses 3-pt jump shot from 24 ft,,14,16
59,1,3:48.0,Offensive rebound by E. Davis,,14,16
60,1,3:45.0,E. Davis makes 2-pt layup from 2 ft,,16,16
61,1,3:36.0,,T. Young makes 2-pt jump shot from 16 ft (assist by D. Sloan),16,18
62,1,3:10.0,M. Leonard misses 3-pt jump shot from 24 ft,,16,18
63,1,3:09.0,,Defensive rebound by W. Ellington,16,18
64,1,3:00.0,,T. Young makes 2-pt layup from 2 ft,16,20
65,1,2:58.0,Portland full timeout,,16,20
66,1,2:58.0,,A. Bargnani enters the game for T. Young,16,20
67,1,2:58.0,,S. Larkin enters the game for D. Sloan,16,20
68,1,2:35.0,Shooting foul by T. Robinson (drawn by E. Davis),,16,20
69,1,2:35.0,E. Davis makes free throw 1 of 2,,17,20
70,1,2:35.0,E. Davis misses free throw 2 of 2,,17,20
71,1,2:34.0,,Defensive rebound by T. Robinson,17,20
72,1,2:12.0,,J. Johnson misses 2-pt jump shot from 6 ft,17,20
73,1,2:11.0,,Offensive rebound by T. Robinson,17,20
74,1,2:10.0,,T. Robinson misses 2-pt layup from 2 ft,17,20
75,1,2:09.0,Defensive rebound by M. Leonard,,17,20
76,1,1:56.0,M. Harkless misses 3-pt jump shot from 22 ft,,17,20
77,1,1:55.0,,Defensive rebound by W. Ellington,17,20
