,QUARTER,TIME_REMAINING,ORLANDO_ACTION,PHOENIX_ACTION,ORLANDO_SCORE,PHOENIX_SCORE
0,1,11:42.0,T. Harris misses 3-pt jump shot from 23 ft,,0,0
1,1,11:40.0,,Defensive rebound by E. Bledsoe,0,0
2,1,11:31.0,,B. Knight misses 2-pt jump shot from 5 ft,0,0
3,1,11:27.0,Defensive rebound by E. Payton,,0,0
4,1,11:23.0,C. Frye misses 3-pt jump shot from 24 ft,,0,0
5,1,11:19.0,,Defensive rebound by P. Tucker,0,0
6,1,11:17.0,,P. Tucker misses 2-pt layup from 1 ft,0,0
7,1,11:14.0,Defensive rebound by N. Vučević,,0,0
8,1,11:09.0,T. Harris misses 2-pt layup from 1 ft,,0,0
9,1,11:09.0,,Defensive rebound by Team,0,0
10,1,10:54.0,,E. Bledsoe makes 2-pt jump shot from 11 ft,0,2
11,1,10:36.0,E. Fournier makes 2-pt jump shot from 16 ft (assist by N. Vučević),,2,2
12,1,10:23.0,,J. Leuer makes 2-pt jump shot from 17 ft (assist by E. Bledsoe),2,4
13,1,10:06.0,N. Vučević misses 2-pt jump shot from 14 ft,,2,4
14,1,10:03.0,,Defensive rebound by E. Bledsoe,2,4
15,1,9:57.0,,P. Tucker makes 2-pt hook shot from 5 ft,2,6
16,1,9:35.0,Def 3 sec tech foul by E. Bledsoe,,2,6
17,1,9:35.0,N. Vučević makes technical free throw,,3,6
18,1,9:27.0,T. Harris makes 2-pt jump shot from 16 ft (assist by E. Payton),,5,6
19,1,9:16.0,,Turnover by E. Bledsoe (lost ball; steal by E. Payton),5,6
20,1,9:06.0,N. Vučević misses 2-pt jump shot from 12 ft,,5,6
21,1,9:04.0,,Defensive rebound by J. Leuer,5,6
22,1,8:54.0,,J. Leuer misses 2-pt jump shot from 16 ft,5,6
23,1,8:53.0,Defensive rebound by N. Vučević,,5,6
24,1,8:39.0,Turnover by E. Fournier (lost ball; steal by B. Knight),,5,6
25,1,8:35.0,,B. Knight makes 2-pt layup from 1 ft,5,8
26,1,8:25.0,E. Payton makes 2-pt jump shot from 8 ft,,7,8
27,1,8:13.0,,P. Tucker misses 3-pt jump shot from 23 ft,7,8
28,1,8:11.0,,Offensive rebound by A. Len,7,8
29,1,8:09.0,,Turnover by A. Len (lost ball; steal by T. Harris),7,8
30,1,8:03.0,T. Harris misses 2-pt layup from 1 ft,,7,8
31,1,8:00.0,,Defensive rebound by B. Knight,7,8
32,1,7:56.0,,Shooting foul by E. Fournier (drawn by J. Leuer),7,8
33,1,7:56.0,,J. Leuer makes free throw 1 of 2,7,9
34,1,7:56.0,,J. Leuer makes free throw 2 of 2,7,10
35,1,7:41.0,N. Vučević misses 2-pt hook shot from 8 ft,,7,10
36,1,7:37.0,,Defensive rebound by J. Leuer,7,10
37,1,7:36.0,,A. Len makes 2-pt dunk at rim (assist by B. Knight),7,12
38,1,7:15.0,E. Fournier misses 3-pt jump shot from 25 ft,,7,12
39,1,7:13.0,,Defensive rebound by P. Tucker,7,12
40,1,7:00.0,,J. Leuer misses 2-pt jump shot from 18 ft,7,12
41,1,7:00.0,Defensive rebound by Team,,7,12
42,1,6:46.0,T. Harris makes 3-pt jump shot from 22 ft (assist by E. Payton),,10,12
43,1,6:31.0,,Turnover by P. Tucker (bad pass; steal by E. Payton),10,12
44,1,6:27.0,,Offensive charge foul by T. Harris (drawn by B. Knight),10,12
45,1,6:27.0,Turnover by T. Harris (offensive foul),,10,12
46,1,6:03.0,,E. Bledsoe misses 3-pt jump shot from 25 ft,10,12
47,1,6:00.0,Defensive rebound by N. Vučević,,10,12
48,1,5:56.0,E. Payton makes 2-pt layup at rim,,12,12
49,1,5:49.0,,Phoenix full timeout,12,12
50,1,5:40.0,,J. Leuer misses 2-pt jump shot from 14 ft,12,12
51,1,5:38.0,,Offensive rebound by A. Len,12,12
52,1,5:26.0,,Shooting foul by C. Frye (drawn by A. Len),12,12
53,1,5:26.0,,A. Len makes free throw 1 of 2,12,13
54,1,5:26.0,,D. Booker enters the game for E. Bledsoe,12,13
55,1,5:26.0,,M. Teletović enters the game for J. Leuer,12,13
56,1,5:26.0,,A. Len misses free throw 2 of 2,12,13
57,1,5:25.0,Defensive rebound by N. Vučević,,12,13
58,1,5:14.0,Turnover by C. Frye (bad pass; steal by B. Knight),,12,13
59,1,5:08.0,,Turnover by B. Knight (lost ball; steal by E. Payton),12,13
60,1,4:58.0,Shooting foul by A. Len (drawn by E. Fournier),,12,13
61,1,4:58.0,E. Fournier makes free throw 1 of 2,,13,13
62,1,4:58.0,E. Fournier misses free throw 2 of 2,,13,13
63,1,4:58.0,,Defensive rebound by M. Teletović,13,13
64,1,4:48.0,,Turnover by B. Knight (bad pass; steal by E. Payton),13,13
65,1,4:32.0,E. Fournier misses 2-pt jump shot from 3 ft (block by P. Tucker),,13,13
66,1,4:32.0,Offensive rebound by Team,,13,13
67,1,4:32.0,,T. Warren enters the game for P. Tucker,13,13
68,1,4:29.0,N. Vučević makes 2-pt hook shot from 8 ft (assist by E. Payton),,15,13
69,1,4:09.0,,M. Teletović misses 3-pt jump shot from 25 ft,15,13
70,1,4:08.0,Defensive rebound by T. Harris,,15,13
