,QUARTER,TIME_REMAINING,ORLANDO_ACTION,CHARLOTTE_ACTION,ORLANDO_SCORE,CHARLOTTE_SCORE
0,1,11:40.0,,C. Zeller makes 2-pt layup from 1 ft (assist by K. Walker),0,2
1,1,11:29.0,Turnover by E. İlyasova (bad pass; steal by C. Zeller),,0,2
2,1,11:21.0,,J. Lin misses 2-pt jump shot from 9 ft,0,2
3,1,11:19.0,,Offensive rebound by J. Lin,0,2
4,1,11:16.0,,M. Williams misses 3-pt jump shot from 25 ft,0,2
5,1,11:14.0,Defensive rebound by N. Vučević,,0,2
6,1,11:01.0,E. Fournier misses 3-pt jump shot from 22 ft,,0,2
7,1,11:00.0,,Defensive rebound by M. Williams,0,2
8,1,10:49.0,,C. Lee makes 2-pt jump shot from 19 ft,0,4
9,1,10:32.0,M. Hezonja misses 2-pt jump shot from 15 ft,,0,4
10,1,10:31.0,,Defensive rebound by M. Williams,0,4
11,1,10:23.0,,K. Walker misses 3-pt jump shot from 25 ft,0,4
12,1,10:22.0,Defensive rebound by M. Hezonja,,0,4
13,1,10:13.0,E. Fournier makes 3-pt jump shot from 25 ft (assist by M. Hezonja),,3,4
14,1,9:56.0,,J. Lin makes 3-pt jump shot from 25 ft (assist by K. Walker),3,7
15,1,9:36.0,Shooting foul by K. Walker (drawn by E. Payton),,3,7
16,1,9:36.0,E. Payton misses free throw 1 of 2,,3,7
17,1,9:36.0,Offensive rebound by Team,,3,7
18,1,9:36.0,E. Payton misses free throw 2 of 2,,3,7
19,1,9:35.0,,Defensive rebound by M. Williams,3,7
20,1,9:20.0,,C. Lee misses 2-pt layup from 1 ft,3,7
21,1,9:19.0,Defensive rebound by E. İlyasova,,3,7
22,1,9:08.0,E. İlyasova makes 2-pt layup from 1 ft (assist by E. Payton),,5,7
23,1,8:41.0,,C. Lee makes 2-pt jump shot from 14 ft,5,9
24,1,8:23.0,N. Vučević makes 2-pt dunk at rim (assist by E. Fournier),,7,9
25,1,8:04.0,,M. Williams makes 2-pt jump shot from 20 ft (assist by C. Lee),7,11
26,1,7:53.0,N. Vučević misses 2-pt hook shot from 6 ft,,7,11
27,1,7:51.0,,Defensive rebound by C. Zeller,7,11
28,1,7:44.0,,K. Walker makes 2-pt layup from 1 ft,7,13
29,1,7:33.0,,Violation by K. Walker (kicked ball),7,13
30,1,7:24.0,N. Vučević makes 2-pt jump shot from 16 ft (assist by E. Fournier),,9,13
31,1,7:11.0,,C. Lee misses 3-pt jump shot from 24 ft,9,13
32,1,7:09.0,Defensive rebound by E. İlyasova,,9,13
33,1,7:00.0,N. Vučević makes 2-pt hook shot from 5 ft (assist by M. Hezonja),,11,13
34,1,6:38.0,,M. Williams makes 2-pt jump shot from 9 ft,11,15
35,1,6:38.0,,Shooting foul by E. İlyasova (drawn by M. Williams),11,15
36,1,6:38.0,,M. Williams makes free throw 1 of 1,11,16
37,1,6:29.0,E. İlyasova misses 3-pt jump shot from 25 ft,,11,16
38,1,6:28.0,,Defensive rebound by J. Lin,11,16
39,1,6:18.0,,C. Lee makes 3-pt jump shot from 23 ft (assist by J. Lin),11,19
40,1,6:13.0,Orlando full timeout,,11,19
41,1,6:13.0,,A. Jefferson enters the game for C. Zeller,11,19
42,1,6:02.0,E. Fournier makes 3-pt jump shot from 22 ft (assist by N. Vučević),,14,19
43,1,5:41.0,,M. Williams makes 3-pt jump shot from 24 ft (assist by J. Lin),14,22
44,1,5:25.0,N. Vučević misses 2-pt jump shot from 20 ft,,14,22
45,1,5:23.0,,Defensive rebound by J. Lin,14,22
46,1,5:13.0,,A. Jefferson misses 2-pt jump shot from 16 ft,14,22
47,1,5:12.0,Defensive rebound by E. İlyasova,,14,22
48,1,4:59.0,M. Hezonja misses 3-pt jump shot from 24 ft,,14,22
49,1,4:58.0,,Defensive rebound by A. Jefferson,14,22
50,1,4:52.0,,J. Lin makes 2-pt jump shot from 22 ft,14,24
51,1,4:31.0,N. Vučević makes 2-pt hook shot from 7 ft,,16,24
52,1,4:14.0,,A. Jefferson makes 2-pt layup from 1 ft (assist by C. Lee),16,26
53,1,4:02.0,Turnover by E. Payton (bad pass; steal by C. Lee),,16,26
54,1,3:56.0,,J. Lin makes 3-pt jump shot from 25 ft (assist by K. Walker),16,29
55,1,3:40.0,E. Fournier misses 2-pt jump shot from 3 ft,,16,29
56,1,3:39.0,Offensive rebound by E. İlyasova,,16,29
57,1,3:39.0,E. İlyasova misses 2-pt layup from 1 ft,,16,29
58,1,3:39.0,,Defensive rebound by M. Williams,16,29
59,1,3:39.0,,Personal foul by E. Fournier,16,29
60,1,3:39.0,A. Gordon enters the game for E. İlyasova,,16,29
61,1,3:39.0,D. Marble enters the game for M. Hezonja,,16,29
62,1,3:39.0,,J. Lamb enters the game for C. Lee,16,29
63,1,3:39.0,,T. Daniels enters the game for J. Lin,16,29
64,1,3:28.0,,K. Walker misses 2-pt layup at rim,16,29
65,1,3:27.0,Defensive rebound by E. Payton,,16,29
66,1,3:22.0,D. Marble misses 3-pt jump shot from 25 ft,,16,29
67,1,3:19.0,,Defensive rebound by A. Jefferson,16,29
68,1,3:04.0,,M. Williams makes 3-pt jump shot from 24 ft (assist by A. Jefferson),16,32
69,1,2:51.0,E. Fournier makes 2-pt layup at rim (assist by E. Payton),,18,32
70,1,2:26.0,,J. Lamb misses 3-pt jump shot from 25 ft,18,32
71,1,2:25.0,Defensive rebound by A. Gordon,,18,32
