,QUARTER,TIME_REMAINING,INDIANA_ACTION,GOLDEN STATE_ACTION,INDIANA_SCORE,GOLDEN STATE_SCORE
0,1,11:48.0,Turnover by P. George (lost ball; steal by D. Green),,0,0
1,1,11:41.0,,D. Green makes 2-pt layup at rim,0,2
2,1,11:23.0,J. Hill misses 2-pt jump shot from 15 ft,,0,2
3,1,11:22.0,,Defensive rebound by D. Green,0,2
4,1,11:09.0,,Personal foul by M. Ellis (drawn by K. Thompson),0,2
5,1,11:03.0,,K. Thompson makes 2-pt jump shot from 14 ft (assist by S. Curry),0,4
6,1,10:46.0,J. Hill makes 2-pt hook shot from 6 ft (assist by G. Robinson),,2,4
7,1,10:37.0,,S. Curry makes 3-pt jump shot from 24 ft,2,7
8,1,10:16.0,J. Hill misses 2-pt jump shot from 5 ft (block by A. Bogut),,2,7
9,1,10:15.0,Offensive rebound by S. Hill,,2,7
10,1,10:14.0,S. Hill makes 2-pt hook shot from 8 ft,,4,7
11,1,9:57.0,,K. Thompson misses 3-pt jump shot from 25 ft,4,7
12,1,9:55.0,Defensive rebound by P. George,,4,7
13,1,9:47.0,P. George misses 2-pt jump shot from 18 ft,,4,7
14,1,9:46.0,,Defensive rebound by S. Curry,4,7
15,1,9:42.0,,S. Curry misses 3-pt jump shot from 26 ft,4,7
16,1,9:42.0,Defensive rebound by S. Hill,,4,7
17,1,9:27.0,S. Hill misses 2-pt layup from 2 ft,,4,7
18,1,9:26.0,,Defensive rebound by S. Curry,4,7
19,1,9:20.0,,D. Green makes 2-pt layup at rim (assist by K. Thompson),4,9
20,1,9:06.0,J. Hill makes 2-pt hook shot from 7 ft (assist by G. Robinson),,6,9
21,1,8:56.0,,D. Green misses 3-pt jump shot from 26 ft,6,9
22,1,8:55.0,,Offensive rebound by S. Curry,6,9
23,1,8:45.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by H. Barnes),6,12
24,1,8:44.0,Indiana full timeout,,6,12
25,1,8:25.0,G. Robinson misses 2-pt jump shot from 18 ft,,6,12
26,1,8:25.0,,Defensive rebound by H. Barnes,6,12
27,1,8:13.0,,H. Barnes misses 2-pt layup at rim,6,12
28,1,8:11.0,,Offensive rebound by H. Barnes,6,12
29,1,8:10.0,,H. Barnes makes 2-pt layup at rim,6,14
30,1,7:50.0,P. George misses 2-pt jump shot from 14 ft,,6,14
31,1,7:48.0,Offensive rebound by G. Robinson,,6,14
32,1,7:39.0,M. Ellis misses 3-pt jump shot from 26 ft,,6,14
33,1,7:38.0,,Defensive rebound by A. Bogut,6,14
34,1,7:34.0,,Shooting foul by M. Ellis (drawn by D. Green),6,14
35,1,7:34.0,,D. Green makes 2-pt layup from 1 ft (assist by S. Curry),6,16
36,1,7:34.0,,D. Green makes free throw 1 of 1,6,17
37,1,7:13.0,S. Hill misses 2-pt layup at rim,,6,17
38,1,7:12.0,,Defensive rebound by H. Barnes,6,17
39,1,7:00.0,,Turnover by K. Thompson (bad pass),6,17
40,1,7:00.0,J. Young enters the game for M. Ellis,,6,17
41,1,6:43.0,P. George makes 2-pt dunk at rim,,8,17
42,1,6:29.0,,Personal foul by P. George (drawn by D. Green),8,17
43,1,6:23.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by H. Barnes),8,20
44,1,6:04.0,S. Hill misses 3-pt jump shot from 24 ft,,8,20
45,1,6:03.0,,Defensive rebound by S. Curry,8,20
46,1,5:59.0,,D. Green makes 2-pt dunk at rim (assist by S. Curry),8,22
47,1,5:59.0,Indiana full timeout,,8,22
48,1,5:59.0,C. Miles enters the game for S. Hill,,8,22
49,1,5:59.0,,A. Iguodala enters the game for H. Barnes,8,22
50,1,5:55.0,Technical foul by S. Hill,,8,22
51,1,5:55.0,,S. Curry makes technical free throw,8,23
52,1,5:46.0,Turnover by P. George (bad pass; steal by D. Green),,8,23
53,1,5:41.0,,A. Iguodala makes 2-pt dunk at rim (assist by K. Thompson),8,25
54,1,5:20.0,C. Miles misses 2-pt layup from 1 ft (block by A. Bogut),,8,25
55,1,5:18.0,,Defensive rebound by S. Curry,8,25
56,1,5:12.0,,K. Thompson misses 2-pt jump shot from 5 ft,8,25
57,1,5:10.0,Defensive rebound by G. Robinson,,8,25
58,1,5:00.0,J. Hill misses 2-pt jump shot from 17 ft,,8,25
59,1,5:00.0,Offensive rebound by J. Young,,8,25
60,1,4:51.0,J. Young makes 3-pt jump shot from 26 ft (assist by P. George),,11,25
61,1,4:32.0,,A. Bogut misses 2-pt hook shot from 5 ft,11,25
62,1,4:30.0,Defensive rebound by G. Robinson,,11,25
63,1,4:18.0,Turnover by C. Miles (lost ball),,11,25
64,1,4:18.0,,F. Ezeli enters the game for A. Bogut,11,25
65,1,4:18.0,,L. Barbosa enters the game for K. Thompson,11,25
66,1,4:10.0,,D. Green makes 2-pt layup from 1 ft (assist by S. Curry),11,27
67,1,3:52.0,J. Hill makes 2-pt layup from 1 ft (assist by C. Miles),,13,27
68,1,3:44.0,,S. Curry misses 2-pt jump shot from 19 ft,13,27
