,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,LA CLIPPERS_ACTION,WASHINGTON_SCORE,LA CLIPPERS_SCORE
0,1,11:41.0,,C. Paul makes 2-pt jump shot from 21 ft,0,2
1,1,11:14.0,M. Morris misses 2-pt jump shot from 19 ft,,0,2
2,1,11:13.0,Offensive rebound by O. Porter,,0,2
3,1,11:11.0,Turnover by O. Porter (lost ball; steal by C. Paul),,0,2
4,1,11:02.0,,L. Mbah a Moute makes 2-pt dunk at rim (assist by B. Griffin),0,4
5,1,10:43.0,M. Morris misses 3-pt jump shot from 25 ft,,0,4
6,1,10:42.0,Offensive rebound by M. Gortat,,0,4
7,1,10:38.0,M. Gortat makes 2-pt hook shot from 7 ft,,2,4
8,1,10:18.0,,C. Paul makes 2-pt jump shot from 7 ft,2,6
9,1,10:06.0,J. Wall makes 2-pt jump shot from 18 ft,,4,6
10,1,9:50.0,,J. Redick makes 2-pt jump shot from 19 ft (assist by C. Paul),4,8
11,1,9:38.0,B. Beal misses 2-pt jump shot from 14 ft,,4,8
12,1,9:38.0,Offensive rebound by B. Beal,,4,8
13,1,9:32.0,B. Beal misses 2-pt jump shot from 12 ft,,4,8
14,1,9:31.0,,Defensive rebound by L. Mbah a Moute,4,8
15,1,9:23.0,,C. Paul misses 2-pt jump shot from 19 ft,4,8
16,1,9:23.0,,Offensive rebound by Team,4,8
17,1,9:23.0,Loose ball foul by M. Gortat,,4,8
18,1,9:22.0,,Personal foul by J. Wall,4,8
19,1,9:15.0,,J. Redick makes 2-pt jump shot from 20 ft (assist by B. Griffin),4,10
20,1,9:01.0,J. Wall misses 2-pt jump shot from 16 ft,,4,10
21,1,9:00.0,,Defensive rebound by B. Griffin,4,10
22,1,8:50.0,,B. Griffin misses 2-pt jump shot from 14 ft,4,10
23,1,8:49.0,Defensive rebound by O. Porter,,4,10
24,1,8:39.0,Turnover by B. Beal (lost ball; steal by D. Jordan),,4,10
25,1,8:33.0,,LA Clippers full timeout,4,10
26,1,8:24.0,,Personal foul by M. Morris,4,10
27,1,8:13.0,,J. Redick makes 2-pt jump shot from 23 ft (assist by C. Paul),4,12
28,1,8:00.0,M. Morris makes 2-pt jump shot from 16 ft (assist by M. Gortat),,6,12
29,1,7:41.0,,Personal foul by J. Wall,6,12
30,1,7:41.0,R. Sessions enters the game for J. Wall,,6,12
31,1,7:32.0,,J. Redick makes 2-pt jump shot from 17 ft (assist by C. Paul),6,14
32,1,7:13.0,R. Sessions misses 3-pt jump shot from 23 ft,,6,14
33,1,7:13.0,,Defensive rebound by B. Griffin,6,14
34,1,7:05.0,,D. Jordan misses 2-pt hook shot from 5 ft,6,14
35,1,7:02.0,Defensive rebound by M. Morris,,6,14
36,1,6:58.0,R. Sessions misses 2-pt layup from 1 ft,,6,14
37,1,6:56.0,,Defensive rebound by D. Jordan,6,14
38,1,6:51.0,,B. Griffin makes 2-pt dunk at rim (assist by C. Paul),6,16
39,1,6:31.0,M. Morris misses 2-pt jump shot from 17 ft,,6,16
40,1,6:30.0,,Defensive rebound by L. Mbah a Moute,6,16
41,1,6:15.0,,J. Redick misses 3-pt jump shot from 24 ft,6,16
42,1,6:13.0,Defensive rebound by O. Porter,,6,16
43,1,6:07.0,B. Beal misses 2-pt layup from 2 ft,,6,16
44,1,6:02.0,,Defensive rebound by L. Mbah a Moute,6,16
45,1,5:53.0,,D. Jordan makes 2-pt layup from 1 ft (assist by C. Paul),6,18
46,1,5:47.0,B. Beal misses 2-pt layup at rim,,6,18
47,1,5:45.0,Offensive rebound by B. Beal,,6,18
48,1,5:45.0,B. Beal makes 2-pt layup at rim,,8,18
49,1,5:29.0,,C. Paul makes 2-pt jump shot from 7 ft,8,20
50,1,5:22.0,Personal take foul by L. Mbah a Moute,,8,20
51,1,5:22.0,,J. Green enters the game for B. Griffin,8,20
52,1,5:22.0,Technical foul by J. Wall,,8,20
53,1,5:22.0,,C. Paul makes technical free throw,8,21
54,1,5:08.0,M. Gortat makes 2-pt jump shot from 6 ft (assist by R. Sessions),,10,21
55,1,4:51.0,,J. Redick misses 2-pt jump shot from 21 ft,10,21
56,1,4:49.0,Defensive rebound by M. Morris,,10,21
57,1,4:37.0,M. Gortat misses 2-pt jump shot from 11 ft,,10,21
58,1,4:36.0,,Defensive rebound by C. Paul,10,21
