,QUARTER,TIME_REMAINING,ATLANTA_ACTION,HOUSTON_ACTION,ATLANTA_SCORE,HOUSTON_SCORE
253,3,6:58.0,,J. Harden misses 2-pt jump shot from 16 ft,72,78
254,3,6:57.0,,Offensive rebound by D. Motiejūnas,72,78
255,3,6:52.0,,T. Ariza misses 2-pt layup at rim,72,78
256,3,6:51.0,,Offensive rebound by D. Howard,72,78
257,3,6:42.0,,J. Harden makes 2-pt layup from 2 ft,72,80
258,3,6:22.0,J. Teague misses 2-pt jump shot from 6 ft,,72,80
259,3,6:20.0,Offensive rebound by A. Horford,,72,80
260,3,6:20.0,A. Horford makes 2-pt dunk at rim,,74,80
261,3,6:11.0,Violation by T. Sefolosha (kicked ball),,74,80
262,3,6:11.0,,T. Lawson enters the game for P. Beverley,74,80
263,3,6:06.0,,Turnover by D. Motiejūnas (lost ball; steal by P. Millsap),74,80
264,3,6:02.0,P. Millsap makes 2-pt layup at rim,,76,80
265,3,5:54.0,,Turnover by J. Harden (bad pass; steal by J. Teague),76,80
266,3,5:31.0,K. Bazemore misses 2-pt jump shot from 10 ft,,76,80
267,3,5:30.0,Offensive rebound by P. Millsap,,76,80
268,3,5:29.0,P. Millsap misses 2-pt layup at rim,,76,80
269,3,5:29.0,,Defensive rebound by D. Howard,76,80
270,3,5:24.0,,D. Motiejūnas misses 2-pt layup from 2 ft,76,80
271,3,5:23.0,Defensive rebound by A. Horford,,76,80
272,3,5:18.0,J. Teague misses 3-pt jump shot from 25 ft,,76,80
273,3,5:17.0,,Defensive rebound by D. Howard,76,80
274,3,5:12.0,,T. Ariza makes 2-pt layup at rim (assist by D. Motiejūnas),76,82
275,3,4:55.0,K. Bazemore makes 3-pt jump shot from 24 ft (assist by J. Teague),,79,82
276,3,4:41.0,,Turnover by J. Harden (bad pass),79,82
277,3,4:30.0,P. Millsap makes 3-pt jump shot from 24 ft (assist by K. Bazemore),,82,82
278,3,4:11.0,,Shooting foul by P. Millsap (drawn by J. Harden),82,82
279,3,4:11.0,,J. Harden makes free throw 1 of 2,82,83
280,3,4:11.0,,C. Brewer enters the game for T. Ariza,82,83
281,3,4:11.0,,C. Capela enters the game for D. Howard,82,83
282,3,4:11.0,Atlanta full timeout,,82,83
283,3,4:11.0,,J. Harden misses free throw 2 of 2,82,83
284,3,4:11.0,Defensive rebound by P. Millsap,,82,83
285,3,3:55.0,K. Bazemore misses 3-pt jump shot from 23 ft,,82,83
286,3,3:54.0,,Defensive rebound by D. Motiejūnas,82,83
287,3,3:42.0,,T. Lawson misses 2-pt jump shot from 17 ft,82,83
288,3,3:40.0,Defensive rebound by P. Millsap,,82,83
289,3,3:33.0,Personal foul by D. Motiejūnas (drawn by A. Horford),,82,83
290,3,3:32.0,M. Scott enters the game for A. Horford,,82,83
291,3,3:21.0,P. Millsap misses 2-pt jump shot from 7 ft,,82,83
292,3,3:20.0,Offensive rebound by P. Millsap,,82,83
293,3,3:10.0,M. Scott misses 3-pt jump shot from 24 ft,,82,83
294,3,3:08.0,Offensive rebound by P. Millsap,,82,83
295,3,3:07.0,P. Millsap misses 2-pt jump shot from 4 ft (block by D. Motiejūnas),,82,83
296,3,3:05.0,,Defensive rebound by C. Capela,82,83
297,3,3:01.0,,Shooting foul by M. Scott (drawn by J. Harden),82,83
298,3,3:01.0,,J. Harden makes free throw 1 of 2,82,84
299,3,3:01.0,,J. Harden makes free throw 2 of 2,82,85
300,3,2:45.0,M. Scott misses 3-pt jump shot from 24 ft,,82,85
301,3,2:44.0,,Defensive rebound by J. Harden,82,85
302,3,2:37.0,,Turnover by J. Harden (bad pass),82,85
303,3,2:37.0,S. Mack enters the game for J. Teague,,82,85
304,3,2:23.0,Personal foul by C. Brewer (drawn by K. Bazemore),,82,85
305,3,2:11.0,P. Millsap misses 2-pt layup from 2 ft,,82,85
306,3,2:11.0,Offensive rebound by T. Sefolosha,,82,85
307,3,2:11.0,Turnover by T. Sefolosha (offensive goaltending),,82,85
308,3,2:00.0,,J. Harden makes 3-pt jump shot from 24 ft,82,88
309,3,1:52.0,,Offensive charge foul by P. Millsap (drawn by D. Motiejūnas),82,88
310,3,1:52.0,Turnover by P. Millsap (offensive foul),,82,88
311,3,1:42.0,,Shooting foul by P. Millsap (drawn by C. Capela),82,88
312,3,1:42.0,,C. Capela makes free throw 1 of 2,82,89
313,3,1:42.0,A. Horford enters the game for P. Millsap,,82,89
314,3,1:42.0,,C. Capela misses free throw 2 of 2,82,89
315,3,1:42.0,Defensive rebound by K. Bazemore,,82,89
