,QUARTER,TIME_REMAINING,BOSTON_ACTION,ATLANTA_ACTION,BOSTON_SCORE,ATLANTA_SCORE
0,1,11:50.0,Turnover by I. Thomas (step out of bounds),,0,0
1,1,11:40.0,,Offensive foul by A. Horford (drawn by A. Bradley),0,0
2,1,11:40.0,,Turnover by A. Horford (offensive foul),0,0
3,1,11:28.0,I. Thomas misses 2-pt layup from 1 ft (block by P. Millsap),,0,0
4,1,11:26.0,,Defensive rebound by K. Korver,0,0
5,1,11:17.0,,P. Millsap misses 2-pt jump shot from 7 ft,0,0
6,1,11:16.0,Defensive rebound by J. Sullinger,,0,0
7,1,11:02.0,A. Bradley makes 2-pt jump shot from 18 ft (assist by J. Sullinger),,2,0
8,1,10:53.0,,A. Horford misses 2-pt hook shot from 9 ft,2,0
9,1,10:53.0,,Offensive rebound by Team,2,0
10,1,10:49.0,,T. Sefolosha makes 2-pt layup from 2 ft (assist by K. Korver),2,2
11,1,10:30.0,A. Bradley misses 3-pt jump shot from 24 ft,,2,2
12,1,10:28.0,,Defensive rebound by P. Millsap,2,2
13,1,10:16.0,,K. Korver makes 3-pt jump shot from 24 ft (assist by J. Teague),2,5
14,1,10:00.0,A. Bradley makes 2-pt jump shot from 20 ft (assist by J. Crowder),,4,5
15,1,9:49.0,,Turnover by J. Teague (bad pass; steal by I. Thomas),4,5
16,1,9:43.0,J. Crowder makes 2-pt hook shot from 5 ft (assist by A. Bradley),,6,5
17,1,9:32.0,,J. Teague makes 2-pt layup from 2 ft,6,7
18,1,9:23.0,Turnover by I. Thomas (bad pass; steal by T. Sefolosha),,6,7
19,1,9:22.0,,T. Sefolosha makes 2-pt layup from 1 ft,6,9
20,1,9:22.0,,Shooting foul by J. Crowder (drawn by T. Sefolosha),6,9
21,1,9:22.0,,T. Sefolosha makes free throw 1 of 1,6,10
22,1,9:08.0,J. Sullinger misses 2-pt jump shot from 12 ft,,6,10
23,1,9:04.0,Offensive rebound by J. Crowder,,6,10
24,1,9:03.0,J. Crowder misses 2-pt layup from 1 ft,,6,10
25,1,9:02.0,,Defensive rebound by K. Korver,6,10
26,1,8:47.0,,A. Horford makes 2-pt jump shot from 18 ft (assist by P. Millsap),6,12
27,1,8:32.0,J. Crowder misses 3-pt jump shot from 23 ft (block by T. Sefolosha),,6,12
28,1,8:30.0,,Defensive rebound by A. Horford,6,12
29,1,8:20.0,,A. Horford makes 2-pt layup from 1 ft (assist by T. Sefolosha),6,14
30,1,8:18.0,Boston full timeout,,6,14
31,1,7:58.0,I. Thomas misses 2-pt layup from 1 ft,,6,14
32,1,7:55.0,Offensive rebound by A. Johnson,,6,14
33,1,7:55.0,A. Johnson misses 2-pt layup at rim,,6,14
34,1,7:54.0,,Defensive rebound by T. Sefolosha,6,14
35,1,7:46.0,,A. Horford misses 3-pt jump shot from 23 ft,6,14
36,1,7:44.0,Defensive rebound by J. Crowder,,6,14
37,1,7:38.0,Turnover by I. Thomas (bad pass; steal by T. Sefolosha),,6,14
38,1,7:28.0,,P. Millsap makes 2-pt layup from 1 ft (assist by T. Sefolosha),6,16
39,1,7:13.0,A. Bradley makes 2-pt jump shot from 19 ft,,8,16
40,1,7:01.0,,A. Horford misses 3-pt jump shot from 25 ft,8,16
41,1,7:00.0,Defensive rebound by J. Crowder,,8,16
42,1,6:45.0,A. Bradley makes 3-pt jump shot from 25 ft (assist by J. Crowder),,11,16
43,1,6:26.0,,T. Sefolosha makes 2-pt hook shot from 7 ft (assist by J. Teague),11,18
44,1,6:09.0,Shooting foul by A. Horford (drawn by J. Sullinger),,11,18
45,1,6:09.0,J. Sullinger makes free throw 1 of 2,,12,18
46,1,6:09.0,,M. Muscala enters the game for A. Horford,12,18
47,1,6:09.0,,L. Patterson enters the game for T. Sefolosha,12,18
48,1,6:09.0,K. Olynyk enters the game for J. Crowder,,12,18
49,1,6:09.0,E. Turner enters the game for A. Johnson,,12,18
50,1,6:09.0,J. Sullinger makes free throw 2 of 2,,13,18
51,1,5:52.0,,M. Muscala makes 3-pt jump shot from 25 ft (assist by L. Patterson),13,21
52,1,5:34.0,K. Olynyk misses 3-pt jump shot from 25 ft,,13,21
53,1,5:33.0,,Defensive rebound by L. Patterson,13,21
54,1,5:25.0,,Shooting foul by K. Olynyk (drawn by P. Millsap),13,21
55,1,5:25.0,,P. Millsap makes free throw 1 of 2,13,22
56,1,5:25.0,,P. Millsap makes free throw 2 of 2,13,23
57,1,5:11.0,I. Thomas makes 3-pt jump shot from 24 ft (assist by J. Sullinger),,16,23
58,1,4:58.0,,J. Teague misses 2-pt jump shot from 17 ft,16,23
59,1,4:57.0,,Offensive rebound by P. Millsap,16,23
60,1,4:48.0,,Turnover by P. Millsap (lost ball; steal by A. Bradley),16,23
61,1,4:45.0,A. Bradley makes 2-pt dunk at rim,,18,23
62,1,4:45.0,,Atlanta full timeout,18,23
63,1,4:45.0,,D. Schröder enters the game for J. Teague,18,23
64,1,4:37.0,,Offensive foul by K. Korver (drawn by K. Olynyk),18,23
65,1,4:37.0,,Turnover by K. Korver (offensive foul),18,23
66,1,4:19.0,Turnover by I. Thomas (lost ball; steal by M. Muscala),,18,23
67,1,4:12.0,,K. Korver makes 2-pt layup from 1 ft (assist by D. Schröder),18,25
68,1,3:54.0,I. Thomas misses 2-pt layup from 1 ft,,18,25
69,1,3:52.0,Offensive rebound by J. Sullinger,,18,25
70,1,3:51.0,J. Sullinger misses 2-pt layup at rim (block by M. Muscala),,18,25
71,1,3:49.0,Offensive rebound by E. Turner,,18,25
72,1,3:39.0,K. Olynyk misses 2-pt layup from 1 ft (block by M. Muscala),,18,25
73,1,3:37.0,,Defensive rebound by L. Patterson,18,25
74,1,3:24.0,,P. Millsap makes 2-pt jump shot from 11 ft (assist by L. Patterson),18,27
75,1,3:24.0,,Shooting foul by J. Sullinger (drawn by P. Millsap),18,27
76,1,3:24.0,D. Lee enters the game for J. Sullinger,,18,27
77,1,3:24.0,R. Hunter enters the game for I. Thomas,,18,27
78,1,3:24.0,,P. Millsap makes free throw 1 of 1,18,28
79,1,3:05.0,E. Turner misses 2-pt layup from 2 ft,,18,28
80,1,3:02.0,,Defensive rebound by D. Schröder,18,28
81,1,2:59.0,,L. Patterson makes 3-pt jump shot from 24 ft (assist by D. Schröder),18,31
82,1,2:46.0,Turnover by D. Lee (lost ball; steal by P. Millsap),,18,31
83,1,2:38.0,,D. Schröder misses 3-pt jump shot from 25 ft,18,31
84,1,2:36.0,Defensive rebound by D. Lee,,18,31
85,1,2:20.0,K. Olynyk makes 2-pt layup from 2 ft (assist by E. Turner),,20,31
86,1,2:09.0,,D. Schröder misses 2-pt layup from 2 ft,20,31
87,1,2:08.0,Defensive rebound by K. Olynyk,,20,31
88,1,2:03.0,Shooting foul by L. Patterson (drawn by E. Turner),,20,31
89,1,2:03.0,E. Turner makes free throw 1 of 2,,21,31
90,1,2:03.0,,T. Sefolosha enters the game for K. Korver,21,31
91,1,2:03.0,,M. Scott enters the game for P. Millsap,21,31
92,1,2:03.0,E. Turner makes free throw 2 of 2,,22,31
93,1,1:53.0,,L. Patterson misses 3-pt jump shot from 25 ft,22,31
94,1,1:51.0,Defensive rebound by D. Lee,,22,31
95,1,1:42.0,A. Bradley makes 3-pt jump shot from 25 ft (assist by D. Lee),,25,31
96,1,1:26.0,,Turnover by D. Schröder (bad pass; steal by D. Lee),25,31
97,1,1:20.0,A. Bradley misses 3-pt jump shot from 25 ft,,25,31
98,1,1:19.0,,Defensive rebound by L. Patterson,25,31
99,1,1:16.0,,M. Scott makes 2-pt layup from 1 ft (assist by L. Patterson),25,33
100,1,1:08.0,J. Jerebko enters the game for A. Bradley,,25,33
101,1,0:59.0,Offensive foul by K. Olynyk (drawn by T. Sefolosha),,25,33
102,1,0:59.0,Turnover by K. Olynyk (offensive foul),,25,33
103,1,0:59.0,,T. Hardaway enters the game for L. Patterson,25,33
104,1,0:48.0,,Turnover by D. Schröder (bad pass; steal by K. Olynyk),25,33
105,1,0:27.0,E. Turner misses 2-pt layup from 1 ft,,25,33
106,1,0:25.0,,Defensive rebound by D. Schröder,25,33
107,1,0:10.0,,Turnover by D. Schröder (lost ball; steal by K. Olynyk),25,33
108,1,0:03.0,R. Hunter makes 3-pt jump shot from 25 ft (assist by E. Turner),,28,33
109,1,0:00.0,,D. Schröder misses 2-pt layup from 2 ft,28,33
110,1,0:00.0,,Offensive rebound by Team,28,33
111,2,11:44.0,,T. Hardaway misses 3-pt jump shot from 25 ft,28,33
112,2,11:42.0,,Offensive rebound by T. Sefolosha,28,33
113,2,11:32.0,,Turnover by M. Scott (lost ball; steal by R. Hunter),28,33
114,2,11:21.0,Personal foul by T. Hardaway (drawn by R. Hunter),,28,33
115,2,11:14.0,Offensive foul by R. Hunter (drawn by D. Schröder),,28,33
116,2,11:14.0,Turnover by R. Hunter (offensive foul),,28,33
117,2,11:01.0,,D. Schröder misses 3-pt jump shot from 25 ft,28,33
118,2,10:59.0,Defensive rebound by R. Hunter,,28,33
119,2,10:44.0,R. Hunter misses 3-pt jump shot from 24 ft,,28,33
120,2,10:43.0,,Defensive rebound by A. Horford,28,33
121,2,10:25.0,,Shooting foul by D. Lee (drawn by D. Schröder),28,33
122,2,10:25.0,,D. Schröder makes free throw 1 of 2,28,34
123,2,10:25.0,J. Crowder enters the game for K. Olynyk,,28,34
124,2,10:25.0,,D. Schröder makes free throw 2 of 2,28,35
125,2,10:09.0,J. Crowder misses 2-pt jump shot from 21 ft,,28,35
126,2,10:07.0,Offensive rebound by R. Hunter,,28,35
127,2,10:02.0,R. Hunter makes 2-pt jump shot from 10 ft,,30,35
128,2,9:44.0,,M. Scott misses 2-pt jump shot from 14 ft,30,35
129,2,9:42.0,Defensive rebound by E. Turner,,30,35
130,2,9:33.0,J. Jerebko misses 2-pt jump shot from 16 ft,,30,35
131,2,9:32.0,,Defensive rebound by T. Sefolosha,30,35
132,2,9:22.0,,T. Sefolosha makes 2-pt layup from 2 ft,30,37
133,2,9:14.0,J. Crowder misses 2-pt jump shot from 21 ft,,30,37
134,2,9:13.0,,Defensive rebound by T. Sefolosha,30,37
135,2,8:59.0,,D. Schröder misses 2-pt layup from 2 ft,30,37
136,2,8:57.0,Defensive rebound by E. Turner,,30,37
137,2,8:45.0,J. Crowder misses 3-pt jump shot from 24 ft,,30,37
138,2,8:42.0,,Defensive rebound by Team,30,37
139,2,8:42.0,Official timeout,,30,37
140,2,8:42.0,,J. Teague enters the game for D. Schröder,30,37
141,2,8:42.0,A. Johnson enters the game for J. Jerebko,,30,37
142,2,8:34.0,,Def 3 sec tech foul by A. Johnson,30,37
143,2,8:34.0,,J. Teague makes technical free throw,30,38
144,2,8:27.0,,M. Scott makes 3-pt jump shot from 22 ft (assist by A. Horford),30,41
145,2,8:12.0,D. Lee makes 2-pt hook shot from 8 ft (assist by E. Turner),,32,41
146,2,7:59.0,,Shooting foul by E. Turner (drawn by J. Teague),32,41
147,2,7:59.0,,J. Teague misses free throw 1 of 2,32,41
148,2,7:59.0,,Offensive rebound by Team,32,41
149,2,7:59.0,,L. Patterson enters the game for T. Hardaway,32,41
150,2,7:59.0,,K. Korver enters the game for T. Sefolosha,32,41
151,2,7:59.0,,J. Teague makes free throw 2 of 2,32,42
152,2,7:46.0,R. Hunter makes 3-pt jump shot from 25 ft (assist by D. Lee),,35,42
153,2,7:27.0,,Turnover by A. Horford (traveling),35,42
154,2,7:09.0,Turnover by A. Johnson (lost ball; steal by J. Teague),,35,42
155,2,7:03.0,,K. Korver makes 2-pt jump shot from 22 ft (assist by J. Teague),35,44
156,2,6:44.0,D. Lee makes 2-pt layup from 1 ft (assist by E. Turner),,37,44
157,2,6:43.0,,Turnover by M. Scott (inbound),37,44
158,2,6:43.0,,P. Millsap enters the game for M. Scott,37,44
159,2,6:34.0,E. Turner misses 2-pt jump shot from 20 ft,,37,44
160,2,6:31.0,Offensive rebound by A. Johnson,,37,44
161,2,6:17.0,D. Lee misses 2-pt jump shot from 17 ft,,37,44
162,2,6:16.0,,Defensive rebound by K. Korver,37,44
163,2,6:00.0,,Turnover by K. Korver (bad pass; steal by D. Lee),37,44
164,2,5:54.0,J. Crowder makes 2-pt layup at rim (assist by E. Turner),,39,44
165,2,5:29.0,,P. Millsap makes 2-pt jump shot from 2 ft,39,46
166,2,5:28.0,Boston full timeout,,39,46
167,2,5:28.0,,M. Muscala enters the game for A. Horford,39,46
168,2,5:28.0,A. Bradley enters the game for E. Turner,,39,46
169,2,5:28.0,I. Thomas enters the game for R. Hunter,,39,46
170,2,5:12.0,J. Crowder misses 2-pt jump shot from 7 ft,,39,46
171,2,5:10.0,Offensive rebound by A. Johnson,,39,46
172,2,5:06.0,A. Bradley makes 3-pt jump shot from 25 ft (assist by A. Johnson),,42,46
173,2,4:40.0,,P. Millsap misses 2-pt layup from 1 ft,42,46
174,2,4:38.0,Defensive rebound by D. Lee,,42,46
175,2,4:23.0,I. Thomas misses 2-pt jump shot from 19 ft,,42,46
176,2,4:21.0,,Defensive rebound by P. Millsap,42,46
177,2,4:12.0,,K. Korver misses 2-pt jump shot from 19 ft,42,46
178,2,4:10.0,Defensive rebound by A. Johnson,,42,46
179,2,3:59.0,J. Crowder makes 2-pt dunk at rim (assist by D. Lee),,44,46
180,2,3:39.0,,P. Millsap makes 2-pt jump shot from 5 ft,44,48
181,2,3:13.0,A. Bradley makes 2-pt jump shot from 20 ft,,46,48
182,2,3:07.0,,Personal foul by J. Crowder (drawn by P. Millsap),46,48
183,2,3:07.0,,Atlanta full timeout,46,48
184,2,3:07.0,,A. Horford enters the game for M. Muscala,46,48
185,2,3:07.0,,T. Sefolosha enters the game for L. Patterson,46,48
186,2,3:01.0,,P. Millsap makes 2-pt layup from 1 ft (assist by T. Sefolosha),46,50
187,2,2:38.0,D. Lee makes 2-pt hook shot from 6 ft,,48,50
188,2,2:30.0,,Turnover by T. Sefolosha (bad pass; steal by I. Thomas),48,50
189,2,2:21.0,Turnover by A. Johnson (traveling),,48,50
190,2,2:21.0,J. Sullinger enters the game for A. Johnson,,48,50
191,2,2:08.0,,A. Horford makes 2-pt jump shot from 19 ft (assist by J. Teague),48,52
192,2,1:50.0,J. Crowder misses 2-pt jump shot from 18 ft,,48,52
193,2,1:46.0,,Defensive rebound by K. Korver,48,52
194,2,1:37.0,,P. Millsap makes 2-pt jump shot from 17 ft,48,54
195,2,1:37.0,Boston full timeout,,48,54
196,2,1:17.0,A. Bradley misses 2-pt jump shot from 9 ft,,48,54
197,2,1:16.0,,Defensive rebound by Team,48,54
