,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,LA LAKERS_ACTION,MEMPHIS_SCORE,LA LAKERS_SCORE
0,1,11:40.0,,D. Russell misses 2-pt jump shot from 20 ft,0,0
1,1,11:39.0,,Offensive rebound by R. Hibbert,0,0
2,1,11:37.0,,R. Hibbert makes 2-pt hook shot from 8 ft,0,2
3,1,11:16.0,Z. Randolph misses 2-pt layup from 1 ft,,0,2
4,1,11:12.0,Offensive rebound by C. Andersen,,0,2
5,1,11:12.0,C. Andersen misses 2-pt layup from 2 ft,,0,2
6,1,11:12.0,,Defensive rebound by J. Randle,0,2
7,1,11:12.0,,Personal foul by T. Allen,0,2
8,1,10:58.0,,J. Clarkson makes 2-pt jump shot from 2 ft,0,4
9,1,10:42.0,,Violation by K. Bryant (kicked ball),0,4
10,1,10:33.0,M. Barnes misses 3-pt jump shot from 25 ft,,0,4
11,1,10:32.0,,Defensive rebound by J. Randle,0,4
12,1,10:21.0,,D. Russell makes 2-pt layup from 2 ft,0,6
13,1,10:03.0,Z. Randolph misses 2-pt jump shot from 15 ft,,0,6
14,1,10:02.0,,Defensive rebound by J. Randle,0,6
15,1,9:53.0,,J. Clarkson makes 3-pt jump shot from 26 ft (assist by J. Randle),0,9
16,1,9:53.0,Memphis full timeout,,0,9
17,1,9:40.0,T. Allen makes 2-pt layup from 3 ft (assist by M. Barnes),,2,9
18,1,9:18.0,,J. Randle misses 2-pt jump shot from 19 ft,2,9
19,1,9:17.0,Defensive rebound by C. Andersen,,2,9
20,1,9:08.0,C. Andersen makes 2-pt layup from 2 ft (assist by T. Allen),,4,9
21,1,8:49.0,,Turnover by J. Randle (3 sec),4,9
22,1,8:32.0,M. Barnes makes 2-pt layup at rim (assist by Z. Randolph),,6,9
23,1,8:12.0,,D. Russell makes 2-pt jump shot from 9 ft (assist by J. Randle),6,11
24,1,8:12.0,,Shooting foul by R. McCallum (drawn by D. Russell),6,11
25,1,8:12.0,,D. Russell makes free throw 1 of 1,6,12
26,1,7:56.0,Turnover by Z. Randolph (lost ball),,6,12
27,1,7:42.0,,Offensive foul by J. Clarkson (drawn by T. Allen),6,12
28,1,7:42.0,,Turnover by J. Clarkson (offensive foul),6,12
29,1,7:35.0,Personal foul by D. Russell,,6,12
30,1,7:24.0,Z. Randolph makes 2-pt layup at rim (assist by T. Allen),,8,12
31,1,7:06.0,,D. Russell misses 3-pt jump shot from 24 ft,8,12
32,1,7:06.0,Defensive rebound by Team,,8,12
33,1,6:46.0,Z. Randolph makes 2-pt jump shot from 16 ft,,10,12
34,1,6:31.0,,K. Bryant misses 2-pt jump shot from 19 ft,10,12
35,1,6:28.0,Defensive rebound by T. Allen,,10,12
36,1,6:16.0,Z. Randolph misses 2-pt layup from 2 ft,,10,12
37,1,6:14.0,,Defensive rebound by J. Clarkson,10,12
38,1,6:06.0,,Turnover by J. Clarkson (lost ball; steal by Z. Randolph),10,12
39,1,6:00.0,T. Allen makes 2-pt dunk at rim (assist by Z. Randolph),,12,12
40,1,5:29.0,,K. Bryant misses 2-pt jump shot from 11 ft,12,12
41,1,5:29.0,,Offensive rebound by Team,12,12
42,1,5:29.0,,B. Bass enters the game for R. Hibbert,12,12
43,1,5:29.0,,L. Williams enters the game for D. Russell,12,12
44,1,5:29.0,R. Hollins enters the game for C. Andersen,,12,12
45,1,5:23.0,,K. Bryant misses 2-pt jump shot from 14 ft,12,12
