,QUARTER,TIME_REMAINING,PHOENIX_ACTION,MINNESOTA_ACTION,PHOENIX_SCORE,MINNESOTA_SCORE
0,1,11:48.0,A. Len misses 2-pt hook shot from 3 ft,,0,0
1,1,11:47.0,,Defensive rebound by K. Towns,0,0
2,1,11:37.0,,A. Wiggins misses 2-pt jump shot from 17 ft,0,0
3,1,11:36.0,,Offensive rebound by G. Dieng,0,0
4,1,11:36.0,,G. Dieng makes 2-pt dunk at rim,0,2
5,1,11:17.0,B. Knight makes 3-pt jump shot from 24 ft,,3,2
6,1,11:01.0,,K. Towns misses 2-pt jump shot from 20 ft,3,2
7,1,11:00.0,,Offensive rebound by G. Dieng,3,2
8,1,10:54.0,,Z. LaVine misses 3-pt jump shot from 25 ft,3,2
9,1,10:53.0,Defensive rebound by D. Booker,,3,2
10,1,10:39.0,A. Len misses 2-pt jump shot from 15 ft,,3,2
11,1,10:38.0,,Defensive rebound by G. Dieng,3,2
12,1,10:34.0,,Personal foul by B. Knight,3,2
13,1,10:29.0,,K. Towns makes 3-pt jump shot from 24 ft (assist by R. Rubio),3,5
14,1,10:13.0,B. Knight makes 2-pt jump shot from 22 ft,,5,5
15,1,10:00.0,,R. Rubio misses 3-pt jump shot from 24 ft,5,5
16,1,9:59.0,Defensive rebound by A. Len,,5,5
17,1,9:47.0,B. Knight makes 3-pt jump shot from 26 ft,,8,5
18,1,9:29.0,,R. Rubio makes 3-pt jump shot from 25 ft (assist by Z. LaVine),8,8
19,1,9:11.0,B. Knight makes 2-pt jump shot from 7 ft,,10,8
20,1,8:59.0,,K. Towns makes 2-pt layup from 1 ft (assist by R. Rubio),10,10
21,1,8:35.0,D. Booker misses 2-pt jump shot from 21 ft,,10,10
22,1,8:35.0,,Defensive rebound by K. Towns,10,10
23,1,8:32.0,,Shooting foul by P. Tucker (drawn by A. Wiggins),10,10
24,1,8:32.0,,A. Wiggins makes free throw 1 of 2,10,11
25,1,8:32.0,,A. Wiggins makes free throw 2 of 2,10,12
26,1,8:14.0,B. Knight makes 3-pt jump shot from 26 ft (assist by T. Chandler),,13,12
27,1,8:03.0,,Shooting foul by T. Chandler (drawn by A. Wiggins),13,12
28,1,8:03.0,,A. Wiggins makes free throw 1 of 2,13,13
29,1,8:03.0,,A. Wiggins makes free throw 2 of 2,13,14
