,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,LA LAKERS_ACTION,NEW ORLEANS_SCORE,LA LAKERS_SCORE
0,1,11:46.0,E. Gordon misses 3-pt jump shot from 24 ft,,0,0
1,1,11:45.0,,Defensive rebound by L. Nance,0,0
2,1,11:37.0,,Turnover by K. Bryant (bad pass),0,0
3,1,11:27.0,Turnover by T. Evans (bad pass; steal by J. Clarkson),,0,0
4,1,11:20.0,,J. Clarkson misses 2-pt jump shot from 3 ft (block by D. Cunningham),0,0
5,1,11:18.0,Defensive rebound by D. Cunningham,,0,0
6,1,11:16.0,E. Gordon makes 2-pt jump shot from 13 ft,,2,0
7,1,11:16.0,Shooting foul by L. Williams (drawn by E. Gordon),,2,0
8,1,11:16.0,E. Gordon makes free throw 1 of 1,,3,0
9,1,10:53.0,,R. Hibbert makes 2-pt jump shot from 13 ft (assist by K. Bryant),3,2
10,1,10:35.0,R. Anderson makes 2-pt jump shot from 19 ft,,5,2
11,1,10:18.0,,L. Nance makes 2-pt dunk at rim (assist by J. Clarkson),5,4
12,1,10:04.0,Turnover by E. Gordon (bad pass),,5,4
13,1,9:45.0,,L. Williams misses 3-pt jump shot from 23 ft,5,4
14,1,9:44.0,Defensive rebound by Ö. Aşık,,5,4
15,1,9:31.0,T. Evans makes 2-pt layup from 2 ft,,7,4
16,1,9:10.0,,R. Hibbert makes 2-pt hook shot from 9 ft (assist by L. Williams),7,6
17,1,8:53.0,R. Anderson makes 2-pt jump shot from 16 ft (assist by D. Cunningham),,9,6
18,1,8:39.0,,J. Clarkson misses 2-pt dunk at rim (block by Ö. Aşık),9,6
19,1,8:39.0,Defensive rebound by Team,,9,6
20,1,8:19.0,T. Evans misses 3-pt jump shot from 25 ft,,9,6
21,1,8:18.0,,Defensive rebound by L. Nance,9,6
22,1,8:02.0,,K. Bryant misses 3-pt jump shot from 22 ft,9,6
23,1,8:01.0,Defensive rebound by Ö. Aşık,,9,6
24,1,7:52.0,T. Evans makes 3-pt jump shot from 24 ft,,12,6
25,1,7:30.0,,R. Hibbert misses 2-pt jump shot from 18 ft,12,6
26,1,7:30.0,Defensive rebound by E. Gordon,,12,6
27,1,7:14.0,R. Anderson misses 2-pt jump shot from 20 ft,,12,6
28,1,7:11.0,,Defensive rebound by R. Hibbert,12,6
29,1,7:02.0,,J. Clarkson misses 3-pt jump shot from 24 ft,12,6
30,1,7:01.0,Defensive rebound by Ö. Aşık,,12,6
31,1,6:50.0,Ö. Aşık misses 2-pt layup from 2 ft (block by R. Hibbert),,12,6
32,1,6:48.0,Offensive rebound by Ö. Aşık,,12,6
33,1,6:42.0,Turnover by T. Evans (bad pass; steal by K. Bryant),,12,6
34,1,6:35.0,,K. Bryant misses 3-pt jump shot from 24 ft,12,6
35,1,6:32.0,Defensive rebound by T. Evans,,12,6
36,1,6:10.0,T. Evans misses 2-pt layup at rim (block by R. Hibbert),,12,6
37,1,6:09.0,,Defensive rebound by R. Hibbert,12,6
38,1,6:04.0,,Shooting foul by D. Cunningham (drawn by K. Bryant),12,6
39,1,6:04.0,,K. Bryant makes free throw 1 of 2,12,7
40,1,6:04.0,,D. Russell enters the game for L. Williams,12,7
41,1,6:04.0,,K. Bryant misses free throw 2 of 2,12,7
42,1,6:03.0,,Offensive rebound by Team,12,7
43,1,5:48.0,,L. Nance misses 2-pt hook shot from 9 ft,12,7
44,1,5:41.0,Defensive rebound by T. Evans,,12,7
45,1,5:36.0,Ö. Aşık misses 2-pt layup from 2 ft,,12,7
46,1,5:34.0,Offensive rebound by R. Anderson,,12,7
47,1,5:29.0,R. Anderson misses 2-pt jump shot from 12 ft,,12,7
48,1,5:27.0,,Defensive rebound by D. Russell,12,7
49,1,5:15.0,,D. Russell misses 3-pt jump shot from 25 ft,12,7
50,1,5:14.0,Defensive rebound by Ö. Aşık,,12,7
51,1,5:02.0,T. Evans makes 2-pt layup from 2 ft,,14,7
52,1,4:41.0,,K. Bryant misses 3-pt jump shot from 24 ft,14,7
53,1,4:40.0,Defensive rebound by Ö. Aşık,,14,7
54,1,4:38.0,Personal foul by K. Bryant (drawn by T. Evans),,14,7
55,1,4:38.0,,LA Lakers full timeout,14,7
56,1,4:38.0,,J. Randle enters the game for L. Nance,14,7
57,1,4:38.0,J. Holiday enters the game for D. Cunningham,,14,7
58,1,4:38.0,A. Ajinça enters the game for Ö. Aşık,,14,7
59,1,4:18.0,R. Anderson makes 2-pt layup at rim (assist by T. Evans),,16,7
60,1,4:05.0,,K. Bryant makes 2-pt layup from 1 ft,16,9
61,1,3:48.0,A. Ajinça misses 2-pt jump shot from 11 ft,,16,9
62,1,3:47.0,,Defensive rebound by K. Bryant,16,9
63,1,3:35.0,,K. Bryant makes 2-pt jump shot from 13 ft,16,11
64,1,3:27.0,J. Holiday misses 3-pt jump shot from 24 ft,,16,11
65,1,3:26.0,,Defensive rebound by K. Bryant,16,11
66,1,3:20.0,,A. Brown enters the game for K. Bryant,16,11
67,1,3:20.0,,B. Bass enters the game for R. Hibbert,16,11
68,1,3:09.0,,B. Bass misses 2-pt jump shot from 14 ft,16,11
69,1,3:08.0,Defensive rebound by J. Holiday,,16,11
70,1,3:00.0,J. Holiday misses 2-pt layup at rim,,16,11
71,1,2:59.0,Offensive rebound by R. Anderson,,16,11
72,1,2:57.0,Turnover by R. Anderson (back court),,16,11
73,1,2:57.0,New Orleans full timeout,,16,11
74,1,2:41.0,,B. Bass misses 2-pt jump shot from 6 ft,16,11
75,1,2:40.0,Defensive rebound by J. Holiday,,16,11
76,1,2:31.0,T. Evans makes 2-pt layup from 1 ft (assist by J. Holiday),,18,11
77,1,2:12.0,,J. Randle misses 2-pt jump shot from 14 ft,18,11
78,1,2:11.0,Defensive rebound by R. Anderson,,18,11
79,1,1:55.0,T. Evans makes 2-pt jump shot from 18 ft (assist by J. Holiday),,20,11
80,1,1:32.0,,B. Bass makes 2-pt layup from 1 ft (assist by D. Russell),20,13
81,1,1:17.0,J. Holiday misses 2-pt jump shot from 12 ft,,20,13
82,1,1:16.0,,Defensive rebound by A. Brown,20,13
83,1,1:13.0,,Turnover by D. Russell (bad pass),20,13
84,1,1:13.0,N. Cole enters the game for E. Gordon,,20,13
85,1,1:06.0,New Orleans full timeout,,20,13
86,1,0:53.0,R. Anderson misses 2-pt jump shot from 8 ft,,20,13
87,1,0:52.0,,Defensive rebound by D. Russell,20,13
88,1,0:51.0,,Turnover by B. Bass (bad pass),20,13
89,1,0:38.0,N. Cole misses 2-pt jump shot from 5 ft,,20,13
90,1,0:36.0,Offensive rebound by A. Ajinça,,20,13
91,1,0:35.0,Turnover by A. Ajinça (bad pass; steal by J. Clarkson),,20,13
92,1,0:35.0,Loose ball foul by J. Holiday (drawn by J. Clarkson),,20,13
93,1,0:23.0,,A. Brown makes 2-pt jump shot from 15 ft (assist by D. Russell),20,15
94,1,0:10.0,R. Anderson misses 2-pt layup from 2 ft,,20,15
95,1,0:10.0,Offensive rebound by R. Anderson,,20,15
96,1,0:09.0,R. Anderson makes 2-pt layup from 2 ft,,22,15
97,1,0:02.0,,A. Brown misses 3-pt jump shot from 24 ft,22,15
98,1,0:00.0,,Offensive rebound by Team,22,15
99,2,11:49.0,,J. Randle misses 2-pt layup at rim (block by A. Ajinça),22,15
100,2,11:49.0,,Offensive rebound by Team,22,15
101,2,11:40.0,,J. Randle misses 2-pt hook shot from 7 ft,22,15
102,2,11:40.0,Defensive rebound by Team,,22,15
103,2,11:20.0,N. Cole makes 2-pt jump shot from 19 ft,,24,15
104,2,11:15.0,,Personal block foul by A. Ajinça,24,15
105,2,11:01.0,,Shooting foul by D. Cunningham (drawn by L. Williams),24,15
106,2,11:01.0,,L. Williams makes free throw 1 of 2,24,16
107,2,11:01.0,,L. Williams makes free throw 2 of 2,24,17
108,2,10:50.0,N. Cole misses 2-pt jump shot from 21 ft,,24,17
109,2,10:50.0,,Defensive rebound by J. Randle,24,17
110,2,10:32.0,,L. Williams misses 2-pt layup at rim,24,17
111,2,10:30.0,Defensive rebound by L. Babbitt,,24,17
112,2,10:24.0,D. Cunningham misses 3-pt jump shot from 23 ft,,24,17
113,2,10:19.0,,Defensive rebound by B. Bass,24,17
114,2,10:05.0,,J. Randle misses 2-pt layup from 1 ft,24,17
115,2,10:04.0,Defensive rebound by A. Ajinça,,24,17
116,2,10:03.0,Turnover by A. Ajinça (bad pass; steal by J. Randle),,24,17
117,2,9:57.0,,J. Randle makes 2-pt dunk at rim,24,19
118,2,9:51.0,A. Ajinça misses 2-pt jump shot from 18 ft,,24,19
119,2,9:50.0,,Defensive rebound by J. Randle,24,19
120,2,9:46.0,,Personal foul by D. Cunningham,24,19
121,2,9:46.0,R. Anderson enters the game for D. Cunningham,,24,19
122,2,9:46.0,,K. Bryant enters the game for A. Brown,24,19
123,2,9:36.0,,J. Randle misses 2-pt jump shot from 19 ft,24,19
124,2,9:35.0,Defensive rebound by A. Ajinça,,24,19
125,2,9:25.0,N. Cole makes 2-pt dunk at rim,,26,19
126,2,9:03.0,,L. Williams misses 3-pt jump shot from 24 ft,26,19
127,2,9:02.0,Defensive rebound by A. Ajinça,,26,19
128,2,8:52.0,A. Ajinça makes 2-pt dunk at rim (assist by J. Holiday),,28,19
129,2,8:45.0,,LA Lakers full timeout,28,19
130,2,8:35.0,,Shooting foul by L. Babbitt (drawn by L. Williams),28,19
131,2,8:35.0,,L. Williams makes free throw 1 of 3,28,20
132,2,8:35.0,,L. Williams makes free throw 2 of 3,28,21
133,2,8:35.0,,L. Williams makes free throw 3 of 3,28,22
134,2,8:22.0,J. Holiday makes 2-pt layup from 1 ft,,30,22
135,2,8:01.0,,K. Bryant misses 3-pt jump shot from 24 ft,30,22
136,2,8:00.0,Defensive rebound by N. Cole,,30,22
137,2,7:48.0,A. Ajinça makes 2-pt layup at rim (assist by N. Cole),,32,22
138,2,7:36.0,,Turnover by D. Russell (bad pass),32,22
139,2,7:36.0,,Loose ball foul by D. Russell (drawn by N. Cole),32,22
140,2,7:36.0,,L. Nance enters the game for J. Randle,32,22
141,2,7:29.0,Turnover by R. Anderson (bad pass),,32,22
142,2,7:06.0,,B. Bass makes 2-pt layup from 1 ft (assist by L. Williams),32,24
143,2,6:57.0,A. Ajinça misses 2-pt jump shot from 20 ft,,32,24
144,2,6:57.0,,Defensive rebound by D. Russell,32,24
145,2,6:54.0,,Shooting foul by L. Babbitt (drawn by L. Williams),32,24
146,2,6:54.0,,L. Williams makes free throw 1 of 2,32,25
147,2,6:54.0,T. Evans enters the game for L. Babbitt,,32,25
148,2,6:54.0,,L. Williams makes free throw 2 of 2,32,26
149,2,6:41.0,N. Cole misses 2-pt jump shot from 8 ft,,32,26
150,2,6:38.0,Offensive rebound by A. Ajinça,,32,26
151,2,6:34.0,A. Ajinça makes 2-pt layup at rim,,34,26
152,2,6:33.0,,Personal foul by A. Ajinça (drawn by D. Russell),34,26
153,2,6:33.0,,D. Russell misses free throw 1 of 2,34,26
154,2,6:33.0,,Offensive rebound by Team,34,26
155,2,6:33.0,,R. Hibbert enters the game for B. Bass,34,26
156,2,6:33.0,E. Gordon enters the game for J. Holiday,,34,26
157,2,6:33.0,Ö. Aşık enters the game for A. Ajinça,,34,26
158,2,6:33.0,,D. Russell makes free throw 2 of 2,34,27
159,2,6:16.0,R. Anderson misses 2-pt hook shot from 5 ft,,34,27
160,2,6:14.0,,Defensive rebound by L. Nance,34,27
161,2,6:05.0,,K. Bryant makes 2-pt jump shot from 21 ft (assist by L. Williams),34,29
162,2,5:57.0,Personal foul by L. Nance (drawn by E. Gordon),,34,29
163,2,5:57.0,Official timeout,,34,29
164,2,5:46.0,E. Gordon misses 2-pt jump shot from 8 ft (block by L. Williams),,34,29
165,2,5:46.0,,Defensive rebound by R. Hibbert,34,29
166,2,5:25.0,,R. Hibbert misses 2-pt hook shot from 7 ft,34,29
167,2,5:20.0,Defensive rebound by Ö. Aşık,,34,29
168,2,5:15.0,Personal foul by L. Williams,,34,29
169,2,4:59.0,T. Evans misses 2-pt jump shot from 22 ft,,34,29
170,2,4:59.0,,Defensive rebound by Team,34,29
171,2,4:59.0,Personal foul by L. Nance (drawn by R. Anderson),,34,29
172,2,4:59.0,,Personal foul by R. Anderson,34,29
173,2,4:59.0,,J. Clarkson enters the game for D. Russell,34,29
174,2,4:41.0,,K. Bryant misses 2-pt jump shot from 13 ft,34,29
175,2,4:36.0,Defensive rebound by Ö. Aşık,,34,29
176,2,4:35.0,Turnover by T. Evans (bad pass; steal by L. Nance),,34,29
177,2,4:27.0,,K. Bryant misses 3-pt jump shot from 24 ft,34,29
178,2,4:26.0,Defensive rebound by T. Evans,,34,29
179,2,4:26.0,Personal foul by K. Bryant (drawn by T. Evans),,34,29
180,2,4:17.0,T. Evans misses 2-pt layup from 2 ft,,34,29
181,2,4:17.0,Offensive rebound by Ö. Aşık,,34,29
182,2,4:17.0,Shooting foul by J. Clarkson (drawn by Ö. Aşık),,34,29
183,2,4:17.0,Ö. Aşık makes free throw 1 of 2,,35,29
184,2,4:17.0,Ö. Aşık misses free throw 2 of 2,,35,29
185,2,4:15.0,,Defensive rebound by K. Bryant,35,29
186,2,3:58.0,,L. Nance misses 2-pt jump shot from 7 ft,35,29
187,2,3:57.0,,Offensive rebound by J. Clarkson,35,29
188,2,3:57.0,,J. Clarkson misses 2-pt jump shot from 5 ft,35,29
189,2,3:54.0,Defensive rebound by Ö. Aşık,,35,29
190,2,3:47.0,R. Anderson misses 3-pt jump shot from 25 ft,,35,29
191,2,3:46.0,,Defensive rebound by L. Williams,35,29
192,2,3:37.0,,R. Hibbert misses 2-pt layup from 2 ft (block by E. Gordon),35,29
193,2,3:37.0,,Offensive rebound by Team,35,29
194,2,3:36.0,,Shooting foul by T. Evans (drawn by J. Clarkson),35,29
195,2,3:36.0,,J. Clarkson makes free throw 1 of 2,35,30
196,2,3:36.0,,J. Clarkson makes free throw 2 of 2,35,31
197,2,3:22.0,Ö. Aşık misses 2-pt layup from 1 ft,,35,31
198,2,3:20.0,,Defensive rebound by R. Hibbert,35,31
199,2,3:03.0,,L. Williams misses 3-pt jump shot from 22 ft,35,31
200,2,3:02.0,Defensive rebound by E. Gordon,,35,31
201,2,2:48.0,E. Gordon makes 2-pt layup from 1 ft (assist by T. Evans),,37,31
202,2,2:42.0,Violation by Ö. Aşık (kicked ball),,37,31
203,2,2:42.0,New Orleans full timeout,,37,31
204,2,2:42.0,,A. Brown enters the game for K. Bryant,37,31
205,2,2:42.0,A. Ajinça enters the game for Ö. Aşık,,37,31
206,2,2:27.0,,L. Nance makes 2-pt dunk at rim (assist by L. Williams),37,33
207,2,2:10.0,A. Ajinça makes 2-pt dunk at rim (assist by T. Evans),,39,33
208,2,2:00.0,,L. Nance makes 2-pt jump shot from 19 ft (assist by L. Williams),39,35
209,2,1:39.0,T. Evans misses 2-pt layup at rim,,39,35
210,2,1:37.0,,Defensive rebound by A. Brown,39,35
211,2,1:25.0,,Shooting foul by A. Ajinça (drawn by R. Hibbert),39,35
212,2,1:25.0,,R. Hibbert makes free throw 1 of 2,39,36
213,2,1:25.0,Ö. Aşık enters the game for A. Ajinça,,39,36
214,2,1:25.0,,R. Hibbert makes free throw 2 of 2,39,37
215,2,1:07.0,E. Gordon misses 3-pt jump shot from 22 ft,,39,37
216,2,1:06.0,,Defensive rebound by Team,39,37
217,2,0:50.0,,Shooting foul by E. Gordon (drawn by J. Clarkson),39,37
218,2,0:50.0,,J. Clarkson misses free throw 1 of 2,39,37
219,2,0:50.0,,Offensive rebound by Team,39,37
220,2,0:50.0,,J. Clarkson makes free throw 2 of 2,39,38
221,2,0:35.0,T. Evans misses 3-pt jump shot from 26 ft,,39,38
222,2,0:34.0,,Defensive rebound by J. Clarkson,39,38
223,2,0:26.0,,A. Brown misses 3-pt jump shot from 22 ft,39,38
224,2,0:25.0,Defensive rebound by N. Cole,,39,38
225,2,0:20.0,T. Evans makes 2-pt layup at rim (assist by N. Cole),,41,38
226,3,11:34.0,,J. Clarkson misses 3-pt jump shot from 24 ft,41,38
227,3,11:33.0,Defensive rebound by D. Cunningham,,41,38
228,3,11:18.0,R. Anderson makes 3-pt jump shot from 25 ft (assist by E. Gordon),,44,38
229,3,11:05.0,,J. Clarkson misses 2-pt layup from 1 ft,44,38
230,3,11:02.0,Defensive rebound by Ö. Aşık,,44,38
231,3,10:53.0,D. Cunningham misses 3-pt jump shot from 23 ft,,44,38
232,3,10:51.0,,Defensive rebound by J. Clarkson,44,38
233,3,10:48.0,,Shooting foul by E. Gordon (drawn by J. Clarkson),44,38
234,3,10:48.0,,J. Clarkson makes free throw 1 of 2,44,39
235,3,10:48.0,,J. Clarkson makes free throw 2 of 2,44,40
236,3,10:38.0,Personal block foul by J. Clarkson (drawn by T. Evans),,44,40
237,3,10:25.0,,Offensive charge foul by T. Evans (drawn by L. Nance),44,40
238,3,10:25.0,Turnover by T. Evans (offensive foul),,44,40
239,3,10:06.0,,R. Hibbert misses 2-pt layup from 1 ft,44,40
240,3,10:05.0,Defensive rebound by Ö. Aşık,,44,40
241,3,9:55.0,R. Anderson makes 2-pt layup from 1 ft (assist by Ö. Aşık),,46,40
242,3,9:45.0,,Turnover by J. Clarkson (bad pass; steal by Ö. Aşık),46,40
243,3,9:34.0,D. Cunningham misses 3-pt jump shot from 24 ft,,46,40
244,3,9:33.0,,Defensive rebound by L. Williams,46,40
245,3,9:30.0,,Personal foul by T. Evans,46,40
246,3,9:15.0,,L. Williams misses 3-pt jump shot from 26 ft,46,40
247,3,9:15.0,,Offensive rebound by Team,46,40
248,3,9:06.0,,Personal foul by T. Evans (drawn by J. Clarkson),46,40
249,3,9:01.0,,Turnover by J. Clarkson (bad pass; steal by T. Evans),46,40
250,3,8:57.0,Shooting foul by L. Williams (drawn by T. Evans),,46,40
251,3,8:57.0,T. Evans makes free throw 1 of 2,,47,40
252,3,8:57.0,T. Evans makes free throw 2 of 2,,48,40
253,3,8:48.0,,L. Williams makes 2-pt jump shot from 19 ft,48,42
254,3,8:48.0,,Shooting foul by Ö. Aşık (drawn by L. Williams),48,42
255,3,8:48.0,N. Cole enters the game for T. Evans,,48,42
256,3,8:48.0,,L. Williams makes free throw 1 of 1,48,43
257,3,8:34.0,E. Gordon makes 3-pt jump shot from 25 ft (assist by Ö. Aşık),,51,43
258,3,8:09.0,,R. Hibbert makes 2-pt hook shot from 3 ft (assist by L. Williams),51,45
259,3,7:47.0,R. Anderson misses 2-pt jump shot from 21 ft,,51,45
260,3,7:44.0,,Defensive rebound by J. Clarkson,51,45
261,3,7:38.0,,A. Brown makes 3-pt jump shot from 24 ft (assist by J. Clarkson),51,48
262,3,7:19.0,R. Anderson misses 2-pt hook shot from 5 ft,,51,48
263,3,7:16.0,,Defensive rebound by L. Nance,51,48
264,3,7:06.0,,J. Clarkson misses 2-pt layup from 2 ft,51,48
