,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,DALLAS_ACTION,BROOKLYN_SCORE,DALLAS_SCORE
0,1,11:41.0,B. Lopez makes 2-pt hook shot from 7 ft,,2,0
1,1,11:29.0,,D. Williams misses 2-pt jump shot from 15 ft,2,0
2,1,11:28.0,Defensive rebound by T. Young,,2,0
3,1,11:11.0,B. Lopez misses 2-pt jump shot from 21 ft,,2,0
4,1,11:10.0,,Defensive rebound by D. Williams,2,0
5,1,11:03.0,,Turnover by D. Nowitzki (bad pass),2,0
6,1,10:50.0,Turnover by D. Sloan (bad pass),,2,0
7,1,10:28.0,,Personal block foul by B. Lopez (drawn by D. Nowitzki),2,0
8,1,10:21.0,,D. Williams misses 3-pt jump shot from 24 ft,2,0
9,1,10:19.0,,Offensive rebound by D. Nowitzki,2,0
10,1,10:17.0,,D. Nowitzki makes 2-pt jump shot from 17 ft,2,2
11,1,9:59.0,B. Lopez makes 2-pt jump shot from 18 ft (assist by D. Sloan),,4,2
12,1,9:40.0,,D. Nowitzki makes 2-pt jump shot from 18 ft (assist by D. Williams),4,4
13,1,9:20.0,W. Ellington misses 3-pt jump shot from 24 ft,,4,4
14,1,9:19.0,,Defensive rebound by Z. Pachulia,4,4
15,1,9:08.0,,D. Williams misses 3-pt jump shot from 24 ft,4,4
16,1,9:07.0,Defensive rebound by B. Lopez,,4,4
17,1,8:56.0,,Violation by D. Nowitzki (kicked ball),4,4
18,1,8:48.0,D. Sloan makes 3-pt jump shot from 24 ft (assist by B. Lopez),,7,4
19,1,8:30.0,,Z. Pachulia misses 2-pt jump shot from 12 ft,7,4
20,1,8:29.0,Defensive rebound by J. Johnson,,7,4
21,1,8:09.0,T. Young misses 2-pt jump shot from 3 ft (block by D. Nowitzki),,7,4
22,1,8:08.0,,Defensive rebound by D. Nowitzki,7,4
23,1,7:57.0,,D. Williams misses 2-pt layup from 1 ft,7,4
24,1,7:55.0,,Offensive rebound by Z. Pachulia,7,4
25,1,7:55.0,,Z. Pachulia makes 2-pt layup at rim,7,6
26,1,7:35.0,T. Young misses 2-pt hook shot from 3 ft,,7,6
27,1,7:34.0,,Defensive rebound by D. Nowitzki,7,6
28,1,7:23.0,,D. Williams makes 3-pt jump shot from 24 ft (assist by W. Matthews),7,9
29,1,7:00.0,Personal foul by Z. Pachulia (drawn by B. Lopez),,7,9
30,1,6:54.0,D. Sloan makes 3-pt jump shot from 24 ft,,10,9
31,1,6:32.0,,D. Nowitzki misses 2-pt jump shot from 14 ft,10,9
32,1,6:32.0,Defensive rebound by B. Lopez,,10,9
33,1,6:20.0,J. Johnson misses 3-pt jump shot from 22 ft,,10,9
34,1,6:19.0,,Defensive rebound by W. Matthews,10,9
35,1,6:06.0,,C. Parsons misses 3-pt jump shot from 22 ft,10,9
36,1,6:05.0,Defensive rebound by T. Young,,10,9
37,1,5:53.0,T. Young misses 2-pt jump shot from 21 ft,,10,9
38,1,5:52.0,,Defensive rebound by C. Parsons,10,9
39,1,5:48.0,,Dallas full timeout,10,9
40,1,5:48.0,,R. Felton enters the game for D. Nowitzki,10,9
41,1,5:38.0,,C. Parsons makes 2-pt jump shot from 5 ft,10,11
42,1,5:20.0,T. Young misses 2-pt hook shot from 5 ft,,10,11
43,1,5:19.0,Offensive rebound by T. Young,,10,11
44,1,5:16.0,T. Young makes 2-pt layup from 2 ft,,12,11
45,1,4:59.0,,D. Williams misses 2-pt jump shot from 10 ft,12,11
46,1,4:58.0,,Offensive rebound by Team,12,11
47,1,4:45.0,,Z. Pachulia misses 2-pt jump shot from 15 ft,12,11
48,1,4:44.0,Defensive rebound by B. Lopez,,12,11
49,1,4:22.0,B. Lopez misses 2-pt jump shot from 9 ft,,12,11
50,1,4:21.0,,Defensive rebound by Z. Pachulia,12,11
51,1,4:08.0,,W. Matthews makes 2-pt jump shot from 17 ft,12,13
52,1,3:56.0,Turnover by B. Lopez (bad pass; steal by D. Williams),,12,13
53,1,3:50.0,,C. Parsons makes 3-pt jump shot from 24 ft (assist by D. Williams),12,16
54,1,3:36.0,D. Sloan makes 2-pt layup from 1 ft,,14,16
55,1,3:19.0,,Z. Pachulia makes 2-pt layup from 2 ft (assist by C. Parsons),14,18
56,1,3:03.0,T. Young misses 2-pt hook shot from 6 ft,,14,18
57,1,3:01.0,,Defensive rebound by W. Matthews,14,18
58,1,2:55.0,,D. Williams misses 3-pt jump shot from 25 ft,14,18
59,1,2:55.0,,Offensive rebound by C. Parsons,14,18
60,1,2:55.0,Loose ball foul by J. Johnson (drawn by C. Parsons),,14,18
61,1,2:55.0,Technical foul by J. Johnson,,14,18
62,1,2:55.0,Brooklyn full timeout,,14,18
63,1,2:55.0,A. Bargnani enters the game for B. Lopez,,14,18
64,1,2:55.0,B. Bogdanović enters the game for W. Ellington,,14,18
65,1,2:55.0,,D. Williams makes technical free throw,14,19
66,1,2:39.0,,R. Felton makes 2-pt jump shot from 21 ft,14,21
67,1,2:19.0,D. Sloan misses 2-pt jump shot from 18 ft,,14,21
68,1,2:18.0,,Defensive rebound by W. Matthews,14,21
69,1,2:03.0,,Z. Pachulia makes 2-pt hook shot from 4 ft,14,23
70,1,1:55.0,Brooklyn full timeout,,14,23
71,1,1:55.0,,J. Barea enters the game for C. Parsons,14,23
72,1,1:55.0,,D. Nowitzki enters the game for Z. Pachulia,14,23
73,1,1:55.0,,C. Villanueva enters the game for D. Williams,14,23
74,1,1:55.0,S. Larkin enters the game for D. Sloan,,14,23
75,1,1:48.0,Turnover by S. Larkin (bad pass; steal by D. Nowitzki),,14,23
76,1,1:37.0,,J. Barea makes 2-pt jump shot from 12 ft,14,25
77,1,1:16.0,J. Johnson makes 2-pt hook shot from 2 ft,,16,25
78,1,1:03.0,,W. Matthews misses 3-pt jump shot from 24 ft,16,25
