,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,WASHINGTON_ACTION,BROOKLYN_SCORE,WASHINGTON_SCORE
0,1,11:43.0,,B. Beal makes 2-pt layup from 1 ft (assist by M. Gortat),0,2
1,1,11:21.0,B. Bogdanović misses 2-pt jump shot from 9 ft (block by M. Gortat),,0,2
2,1,11:20.0,Offensive rebound by Team,,0,2
3,1,11:11.0,T. Robinson misses 2-pt jump shot from 9 ft,,0,2
4,1,11:10.0,,Defensive rebound by R. Sessions,0,2
5,1,10:58.0,,M. Gortat makes 2-pt hook shot from 6 ft (assist by R. Sessions),0,4
6,1,10:35.0,B. Bogdanović misses 2-pt layup from 2 ft,,0,4
7,1,10:33.0,,Defensive rebound by M. Gortat,0,4
8,1,10:27.0,,B. Beal makes 3-pt jump shot from 27 ft (assist by R. Sessions),0,7
9,1,10:12.0,W. Ellington misses 2-pt jump shot from 10 ft,,0,7
10,1,10:10.0,,Defensive rebound by R. Sessions,0,7
11,1,10:09.0,,Personal foul by R. Hollis-Jefferson,0,7
12,1,9:55.0,,O. Porter makes 2-pt jump shot from 13 ft,0,9
13,1,9:54.0,Brooklyn full timeout,,0,9
14,1,9:42.0,S. Larkin makes 2-pt layup at rim (assist by R. Hollis-Jefferson),,2,9
15,1,9:29.0,,Turnover by M. Morris (bad pass),2,9
16,1,9:17.0,R. Hollis-Jefferson misses 2-pt jump shot from 18 ft,,2,9
17,1,9:15.0,Offensive rebound by W. Ellington,,2,9
18,1,9:09.0,R. Hollis-Jefferson makes 2-pt dunk at rim (assist by S. Larkin),,4,9
19,1,8:58.0,,M. Morris misses 2-pt jump shot from 17 ft,4,9
20,1,8:57.0,Defensive rebound by B. Bogdanović,,4,9
21,1,8:45.0,R. Hollis-Jefferson misses 2-pt jump shot from 8 ft (block by M. Gortat),,4,9
22,1,8:44.0,Offensive rebound by T. Robinson,,4,9
23,1,8:42.0,T. Robinson makes 2-pt layup at rim,,6,9
24,1,8:32.0,,B. Beal misses 3-pt jump shot from 26 ft,6,9
25,1,8:31.0,Defensive rebound by W. Ellington,,6,9
26,1,8:20.0,W. Ellington misses 3-pt jump shot from 23 ft,,6,9
27,1,8:19.0,,Defensive rebound by M. Morris,6,9
28,1,8:08.0,,O. Porter makes 2-pt layup from 1 ft (assist by R. Sessions),6,11
29,1,8:08.0,,Shooting foul by S. Larkin (drawn by O. Porter),6,11
30,1,8:08.0,,O. Porter makes free throw 1 of 1,6,12
31,1,7:49.0,R. Hollis-Jefferson misses 2-pt jump shot from 13 ft,,6,12
32,1,7:48.0,,Defensive rebound by O. Porter,6,12
33,1,7:42.0,,Turnover by O. Porter (bad pass; steal by R. Hollis-Jefferson),6,12
34,1,7:37.0,B. Bogdanović misses 2-pt jump shot from 3 ft (block by O. Porter),,6,12
35,1,7:37.0,Offensive rebound by Team,,6,12
36,1,7:23.0,W. Ellington misses 3-pt jump shot from 23 ft,,6,12
