,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,MEMPHIS_ACTION,MINNESOTA_SCORE,MEMPHIS_SCORE
0,1,11:43.0,,R. Hollins makes 2-pt dunk at rim (assist by T. Allen),0,2
1,1,11:24.0,Turnover by A. Wiggins (lost ball; steal by M. Barnes),,0,2
2,1,11:18.0,,B. Weber makes 2-pt layup from 2 ft,0,4
3,1,11:06.0,R. Rubio misses 2-pt jump shot from 3 ft (block by R. Hollins),,0,4
4,1,11:05.0,Offensive rebound by G. Dieng,,0,4
5,1,11:05.0,Shooting foul by B. Weber (drawn by G. Dieng),,0,4
6,1,11:05.0,G. Dieng makes free throw 1 of 2,,1,4
7,1,11:05.0,G. Dieng makes free throw 2 of 2,,2,4
8,1,10:54.0,,B. Weber misses 2-pt jump shot from 7 ft,2,4
9,1,10:51.0,,Offensive rebound by J. Green,2,4
10,1,10:51.0,,J. Green makes 2-pt dunk at rim,2,6
11,1,10:40.0,Z. LaVine makes 3-pt jump shot from 25 ft (assist by G. Dieng),,5,6
12,1,10:14.0,,R. Hollins makes 2-pt jump shot from 7 ft (assist by M. Barnes),5,8
13,1,9:53.0,G. Dieng misses 2-pt jump shot from 5 ft (block by R. Hollins),,5,8
14,1,9:52.0,Offensive rebound by R. Rubio,,5,8
15,1,9:48.0,Z. LaVine makes 3-pt jump shot from 23 ft (assist by R. Rubio),,8,8
16,1,9:35.0,,Shooting foul by G. Dieng (drawn by J. Green),8,8
17,1,9:35.0,,J. Green makes free throw 1 of 2,8,9
18,1,9:35.0,,J. Green makes free throw 2 of 2,8,10
19,1,9:16.0,G. Dieng makes 2-pt layup from 2 ft,,10,10
20,1,9:06.0,,M. Barnes misses 3-pt jump shot from 26 ft,10,10
21,1,9:05.0,Defensive rebound by K. Towns,,10,10
22,1,8:59.0,,Violation by T. Allen (kicked ball),10,10
23,1,8:55.0,A. Wiggins makes 2-pt jump shot from 20 ft (assist by G. Dieng),,12,10
24,1,8:42.0,,B. Weber misses 2-pt jump shot from 15 ft,12,10
